State,Fatal crashes,Licensed drivers,Hand-held ban
Alabama,937,3943,1
Alaska,78,535,1
Arizona,865,5082,1
Arkansas,488,2391,2
California,3357,26199,3
Colorado,558,4067,1
Connecticut,281,2611,3
Delaware,116,756,3
District of Columbia,26,490,3
Florida,2933,14675,1
Georgia,1422,6976,3
Hawaii,109,932,3
Idaho,232,1161,1
Illinois,1003,8515,3
Indiana,768,4553,1
Iowa,356,2246,1
Kansas,381,2030,1
Kentucky,763,3031,1
Louisiana,704,3395,1
Maine,151,1021,1
Maryland,472,4265,3
Massachusetts,359,5041,2
Michigan,980,7075,2
Minnesota,357,3378,1
Mississippi,628,2019,1
Missouri,868,4250,1
Montana,171,797,1
Nebraska,194,1404,1
Nevada,303,1872,3
New Hampshire,130,1096,3
New Jersey,569,6238,3
New Mexico,358,1522,2
New York,965,11948,3
North Carolina,1348,7267,1
North Dakota,102,556,1
Ohio,1053,7975,2
Oklahoma,624,2498,2
Oregon,446,2856,3
Pennsylvania,1088,8997,2
Rhode Island,48,753,3
South Carolina,936,3747,1
South Dakota,103,623,1
Tennessee,966,5198,2
Texas,3407,15880,2
Utah,259,1960,2
Vermont,57,554,3
Virginia,722,5912,1
Washington,504,5636,3
West Virginia,250,1159,3
Wisconsin,544,4207,1
Wyoming,100,421,1
