State,Case number,Vehicle count,Person count,Day,Month,Year,Day of week,Hour,Minute
District of Columbia,110001,1,1,1,1,2016,6,4,8
District of Columbia,110002,1,1,22,2,2016,2,18,44
District of Columbia,110003,2,2,25,3,2016,6,15,47
District of Columbia,110004,1,1,5,4,2016,3,23,56
District of Columbia,110005,2,2,20,4,2016,4,20,15
District of Columbia,110006,2,1,18,6,2016,7,2,0
District of Columbia,110007,1,1,23,6,2016,5,1,10
District of Columbia,110008,2,2,26,6,2016,1,22,42
District of Columbia,110009,2,2,2,7,2016,7,20,46
District of Columbia,110010,1,1,23,7,2016,7,4,54
District of Columbia,110011,2,11,10,8,2016,4,14,35
District of Columbia,110012,1,1,15,8,2016,2,4,38
District of Columbia,110013,1,1,18,8,2016,5,2,20
District of Columbia,110014,1,1,19,8,2016,6,2,44
District of Columbia,110015,1,1,11,9,2016,1,3,50
District of Columbia,110016,1,1,6,9,2016,3,2,27
District of Columbia,110017,2,2,15,9,2016,5,18,59
District of Columbia,110018,1,1,27,9,2016,3,1,50
District of Columbia,110019,1,1,8,4,2016,6,1,28
District of Columbia,110020,1,2,2,10,2016,1,3,5
District of Columbia,110021,2,3,12,10,2016,4,22,8
District of Columbia,110022,1,1,26,10,2016,4,0,14
District of Columbia,110023,7,6,29,10,2016,7,15,19
District of Columbia,110024,1,3,9,7,2016,7,22,46
District of Columbia,110025,4,6,23,12,2016,6,19,22
District of Columbia,110026,1,1,27,12,2016,3,6,22
Maryland,240001,2,2,14,1,2016,5,17,23
Maryland,240002,1,1,21,2,2016,1,13,39
Maryland,240003,1,2,4,1,2016,2,19,12
Maryland,240004,3,4,14,2,2016,1,16,26
Maryland,240005,1,2,1,2,2016,2,0,48
Maryland,240006,1,1,1,2,2016,2,5,50
Maryland,240007,3,4,18,1,2016,2,2,52
Maryland,240008,1,1,3,2,2016,4,20,43
Maryland,240009,2,2,19,1,2016,3,7,30
Maryland,240010,1,2,25,2,2016,5,14,59
Maryland,240011,1,1,5,1,2016,3,7,50
Maryland,240012,2,4,3,1,2016,1,15,9
Maryland,240013,2,5,27,2,2016,7,18,55
Maryland,240014,1,1,20,1,2016,4,13,8
Maryland,240015,1,1,19,2,2016,6,22,20
Maryland,240016,1,1,15,2,2016,2,17,45
Maryland,240017,2,2,13,2,2016,7,20,59
Maryland,240018,2,2,19,2,2016,6,4,8
Maryland,240019,1,4,20,2,2016,7,15,44
Maryland,240020,1,1,1,3,2016,3,18,20
Maryland,240021,1,3,16,1,2016,7,14,30
Maryland,240022,2,5,11,2,2016,5,12,28
Maryland,240023,1,1,28,2,2016,1,14,23
Maryland,240024,1,1,26,1,2016,3,19,47
Maryland,240025,2,2,19,2,2016,6,4,43
Maryland,240026,1,1,7,2,2016,1,7,27
Maryland,240027,1,1,22,2,2016,2,11,5
Maryland,240028,2,4,20,2,2016,7,16,0
Maryland,240029,1,2,4,2,2016,5,22,46
Maryland,240030,2,2,10,2,2016,4,12,50
Maryland,240031,1,1,21,2,2016,1,18,56
Maryland,240032,2,3,5,2,2016,6,11,24
Maryland,240033,3,8,9,1,2016,7,10,5
Maryland,240034,1,1,7,1,2016,5,0,4
Maryland,240035,1,2,13,2,2016,7,21,41
Maryland,240036,1,1,18,1,2016,2,18,16
Maryland,240037,1,1,28,2,2016,1,18,46
Maryland,240038,1,1,3,1,2016,1,20,44
Maryland,240039,1,1,21,1,2016,5,0,26
Maryland,240040,2,2,13,1,2016,4,4,53
Maryland,240041,1,4,4,1,2016,2,12,46
