PRICPTM	DISTANCE	WEIGHT	PCTLOAD	ORIGIN	MARKET	DEREG	CARRIER	PRODUCT	LNPRICE
19942	3.60		7.50	32.6	MIA	LARGE	YES	B	100	9.9006
112162	0.25		7.50	32.6	MIA	LARGE	YES	B	100	11.6277
72973	0.25		15.00	65.2	MIA	LARGE	YES	B	100	11.1978
41892	0.25		24.00	100.0	MIA	LARGE	YES	B	100	10.6428
23519	2.60		7.50	32.6	MIA	LARGE	YES	B	100	10.0656
58221	1.50		0.25	1.1	MIA	SMALL	YES	B	100	10.9720
25725	4.80		0.25	1.1	MIA	LARGE	YES	B	100	10.1552
17103	4.80		7.50	32.6	MIA	LARGE	YES	B	100	9.7470
5884	6.00		24.00	100.0	MIA	SMALL	YES	B	100	8.6800
35079	3.00		0.25	1.1	JAX	SMALL	YES	B	100	10.4654
33671	3.00		0.75	3.3	JAX	SMALL	YES	B	100	10.4244
26408	3.00		3.00	13.0	JAX	SMALL	YES	B	100	10.1814
21734	3.00		7.50	32.6	JAX	SMALL	YES	B	100	9.9866
8390	3.00		24.00	100.0	JAX	SMALL	YES	B	100	9.0348
37063	1.70		3.00	13.0	JAX	LARGE	YES	B	100	10.5204
11328	1.70		24.00	100.0	JAX	LARGE	YES	B	100	9.3350
25118	2.30		7.50	32.6	JAX	SMALL	YES	B	100	10.1313
41988	2.10		0.75	3.3	JAX	LARGE	YES	B	100	10.6451
32416	2.10		3.00	13.0	JAX	LARGE	YES	B	100	10.3864
7789	3.60		24.00	100.0	MIA	LARGE	YES	B	150	8.9605
215541	0.25		0.25	1.1	MIA	LARGE	YES	B	150	12.2809
112162	0.25		7.50	32.6	MIA	LARGE	YES	B	150	11.6277
72973	0.25		15.00	65.2	MIA	LARGE	YES	B	150	11.1978
15463	2.60		15.00	65.2	MIA	LARGE	YES	B	150	9.6462
9161	2.60		24.00	100.0	MIA	LARGE	YES	B	150	9.1227
52703	1.50		0.75	3.3	MIA	SMALL	YES	B	150	10.8724
40090	1.50		3.00	13.0	MIA	SMALL	YES	B	150	10.5989
21009	4.80		3.00	13.0	MIA	LARGE	YES	B	150	9.9527
17103	4.80		7.50	32.6	MIA	LARGE	YES	B	150	9.7470
15541	6.00		7.50	32.6	MIA	SMALL	YES	B	150	9.6512
11852	6.00		15.00	65.2	MIA	SMALL	YES	B	150	9.3803
50394	1.80		0.25	1.1	MIA	SMALL	YES	B	150	10.8276
35567	1.80		3.00	13.0	MIA	SMALL	YES	B	150	10.4792
32343	3.40		0.25	1.1	JAX	LARGE	YES	B	150	10.3842
24841	3.40		3.00	13.0	JAX	LARGE	YES	B	150	10.1203
7850	3.40		24.00	100.0	JAX	LARGE	YES	B	150	8.9682
35079	3.00		0.25	1.1	JAX	SMALL	YES	B	150	10.4654
33671	3.00		0.75	3.3	JAX	SMALL	YES	B	150	10.4244
26408	3.00		3.00	13.0	JAX	SMALL	YES	B	150	10.1814
41988	2.10		0.75	3.3	JAX	LARGE	YES	B	150	10.6451
