OPEID,Name,Address,City,State,State Desc,Zip Code
001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,4900 MERIDIAN STREET                              ,NORMAL              ,AL,ALABAMA                                                     ,35762
001003,FAULKNER UNIVERSITY                                              ,5345 ATLANTA HIGHWAY                              ,MONTGOMERY          ,AL,ALABAMA                                                     ,36109
001004,UNIVERSITY OF MONTEVALLO                                         ,PALMER CIRCLE                                     ,MONTEVALLO          ,AL,ALABAMA                                                     ,35115
001005,ALABAMA STATE UNIVERSITY                                         ,915 SOUTH JACKSON STREET                          ,MONTGOMERY          ,AL,ALABAMA                                                     ,36104
001007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,1675 CHEROKEE ROAD                                ,ALEXANDER CITY      ,AL,ALABAMA                                                     ,35010
001008,ATHENS STATE UNIVERSITY                                          ,300 NORTH BEATY STREET                            ,ATHENS              ,AL,ALABAMA                                                     ,35611
001009,AUBURN UNIVERSITY                                                ,107 SAMFORD HALL                                  ,AUBURN              ,AL,ALABAMA                                                     ,36849
001012,BIRMINGHAM-SOUTHERN COLLEGE                                      ,900 ARKADELPHIA ROAD                              ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35254
001013,CALHOUN COMMUNITY COLLEGE                                        ,6250 HIGHWAY 31 NORTH                             ,TANNER              ,AL,ALABAMA                                                     ,35671
001015,ENTERPRISE STATE COMMUNITY COLLEGE                               ,600 PLAZA DRIVE                                   ,ENTERPRISE          ,AL,ALABAMA                                                     ,36331
001016,UNIVERSITY OF NORTH ALABAMA                                      ,ONE HARRISON PLAZA                                ,FLORENCE            ,AL,ALABAMA                                                     ,35632
001019,HUNTINGDON COLLEGE                                               ,1500 EAST FAIRVIEW AVENUE                         ,MONTGOMERY          ,AL,ALABAMA                                                     ,36106
001020,JACKSONVILLE STATE UNIVERSITY                                    ,"700 PELHAM ROAD, NORTH                            ",JACKSONVILLE        ,AL,ALABAMA                                                     ,36265
001022,JEFFERSON STATE COMMUNITY COLLEGE                                ,2601 CARSON ROAD                                  ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35215
001023,JUDSON COLLEGE                                                   ,302 BIBB STREET                                   ,MARION              ,AL,ALABAMA                                                     ,36756
001024,UNIVERSITY OF WEST ALABAMA                                       ,205 NORTH WASHINGTON                              ,LIVINGSTON          ,AL,ALABAMA                                                     ,35470
001026,MARION MILITARY INSTITUTE                                        ,1101 WASHINGTON STREET                            ,MARION              ,AL,ALABAMA                                                     ,36756
001028,MILES COLLEGE                                                    ,5500 MYRON MASSEY BOULEVARD                       ,FAIRFIELD           ,AL,ALABAMA                                                     ,35064
001029,UNIVERSITY OF MOBILE                                             ,5735 COLLEGE PARKWAY                              ,MOBILE              ,AL,ALABAMA                                                     ,36663
001031,NORTHEAST ALABAMA COMMUNITY COLLEGE                              ,138  HIGHWAY 35                    138  ALABAMA HI,RAINSVILLE          ,AL,ALABAMA                                                     ,35986
001033,OAKWOOD UNIVERSITY                                               ,"7000 ADVENTIST BOULEVARD, NORTHWEST               ",HUNTSVILLE          ,AL,ALABAMA                                                     ,35896
001036,SAMFORD UNIVERSITY                                               ,800 LAKESHORE DRIVE                               ,BIRMINGHAM          ,AL,ALABAMA                                                     ,35229
001038,SNEAD STATE COMMUNITY COLLEGE                                    ,220 NORTH WALNUT STREET                           ,BOAZ                ,AL,ALABAMA                                                     ,35957
001040,SOUTHERN UNION STATE COMMUNITY COLLEGE                           ,750 ROBERTS STREET                                ,WADLEY              ,AL,ALABAMA                                                     ,36276
001041,SPRING HILL COLLEGE                                              ,4000 DAUPHIN STREET                               ,MOBILE              ,AL,ALABAMA                                                     ,36608
001044,STILLMAN COLLEGE                                                 ,3601 STILLMAN BOULEVARD                           ,TUSCALOOSA          ,AL,ALABAMA                                                     ,35401
001046,TALLADEGA COLLEGE                                                ,627 WEST BATTLE STREET                            ,TALLADEGA           ,AL,ALABAMA                                                     ,35160
001047,TROY UNIVERSITY                                                  ,UNIVERSITY AVENUE                  ADAMS ADMINISTR,TROY                ,AL,ALABAMA                                                     ,36082
001050,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,TUSKEGEE INSTITUTE  ,AL,ALABAMA                                                     ,36088
001051,UNIVERSITY OF ALABAMA                                            ,801 UNIVERSITY BOULEVARD           ROSE ADMINISTRA,TUSCALOOSA          ,AL,ALABAMA                                                     ,35487
001052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,BIRMINGHAM          ,AL,ALABAMA                                                     ,35294
001055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,212 UNIVERSITY CENTER                             ,HUNTSVILLE          ,AL,ALABAMA                                                     ,35899
001057,UNIVERSITY OF SOUTH ALABAMA                                      ,307 UNIVERSITY BOULEVARD NORTH                    ,MOBILE              ,AL,ALABAMA                                                     ,36688
001060,COASTAL ALABAMA COMMUNITY COLLEGE                                ,1900 HIGHWAY 31 SOUTH                             ,BAY MINETTE         ,AL,ALABAMA                                                     ,36507
