OPEID,State,Type,Num,Denom,Drate,Region
001002,AL,1,378,1902,19.8,04
001003,AL,2,180,1471,12.2,04
001004,AL,1,72,784,9.1,04
001005,AL,1,466,2208,21.1,04
001007,AL,1,131,579,22.6,04
001008,AL,1,66,924,7.1,04
001009,AL,1,114,3750,3.0,04
001012,AL,2,15,227,6.6,04
001013,AL,1,433,2489,17.3,04
001015,AL,1,79,377,20.9,04
001016,AL,1,149,1547,9.6,04
001019,AL,2,39,360,10.8,04
001020,AL,1,292,2454,11.8,04
001022,AL,1,205,1568,13.0,04
001023,AL,2,21,132,15.9,04
001024,AL,1,149,1889,7.8,04
001026,AL,1,22,204,10.7,04
001028,AL,2,87,774,11.2,04
001029,AL,2,39,574,6.7,04
001031,AL,1,50,330,15.1,04
001033,AL,2,85,616,13.7,04
001036,AL,2,18,914,1.9,04
001038,AL,1,102,394,25.8,04
001040,AL,1,153,915,16.7,04
001041,AL,2,23,369,6.2,04
001044,AL,2,93,406,22.9,04
001046,AL,2,80,250,32.0,04
001047,AL,1,747,7139,10.4,04
001050,AL,2,101,876,11.5,04
001051,AL,1,306,5814,5.2,04
001052,AL,1,253,4250,5.9,04
001055,AL,1,111,1491,7.4,04
001057,AL,1,333,3955,8.4,04
001060,AL,1,250,1345,18.5,04
001061,AK,2,15,192,7.8,10
001063,AK,1,164,1341,12.2,10
001065,AK,1,50,400,12.5,10
001071,AZ,1,79,355,22.2,09
001072,AZ,1,21,293,7.1,09
001074,AZ,3,1841,29753,6.1,09
001076,AZ,1,551,2857,19.2,09
001077,AZ,1,790,4152,19.0,09
001078,AZ,1,519,2434,21.3,09
001079,AZ,1,172,842,20.4,09
001081,AZ,1,1210,18571,6.5,09
001082,AZ,1,527,7067,7.4,09
001083,AZ,1,414,7084,5.8,09
001085,AR,1,220,1234,17.8,06
001086,AR,1,136,959,14.1,06
001087,AR,2,174,523,33.2,06
001088,AR,2,15,194,7.7,06
001089,AR,1,295,2731,10.8,06
001090,AR,1,297,4507,6.5,06
001091,AR,1,57,436,13.0,06
001092,AR,1,228,2796,8.1,06
001093,AR,2,19,248,7.6,06
001094,AR,2,18,141,12.7,06
001095,AR,2,6,59,10.1,06
001097,AR,2,60,1353,4.4,06
001098,AR,1,95,1134,8.3,06
001099,AR,2,12,250,4.8,06
001100,AR,2,20,631,3.1,06
001101,AR,1,320,3280,9.7,06
001102,AR,2,16,301,5.3,06
001103,AR,2,48,238,20.1,06
001104,AR,1,4,35,11.4,06
001105,AR,2,77,276,27.8,06
001106,AR,2,9,184,4.8,06
001107,AR,1,147,932,15.7,06
001108,AR,1,235,4279,5.4,06
001109,AR,1,15,718,2.0,06
001110,AR,1,241,1576,15.2,06
001111,CA,1,43,190,22.6,09
001113,CA,1,442,1638,26.9,09
001116,CA,2,21,415,5.0,09
001117,CA,2,123,3593,3.4,09
001118,CA,1,87,386,22.5,09
001120,CA,2,1,47,2.1,09
001122,CA,2,39,1311,2.9,09
001124,CA,1,57,347,16.4,09
001125,CA,2,95,2381,3.9,09
001127,CA,2,19,467,4.0,09
001131,CA,2,1,30,3.3,09
001132,CA,2,25,392,6.3,09
001133,CA,2,37,1193,3.1,09
001134,CA,1,10,262,3.8,09
001137,CA,1,230,5872,3.9,09
001138,CA,1,189,3180,5.9,09
001139,CA,1,241,6658,3.6,09
001140,CA,1,244,4471,5.4,09
001141,CA,1,260,3377,7.6,09
001142,CA,1,226,3812,5.9,09
001143,CA,1,45,2989,1.5,09
001144,CA,1,134,3538,3.7,09
