,Course Number,Professor,Meeting Days,Start Time,End Time,Credits,Class Type
20,CS1501,Maxwell Patek,Mo,780,830,1 ,Lecture
55,CS3240,Mark Sherriff,Mo,840,915,0 ,Laboratory
56,CS3240,Mark Sherriff,Mo,930,1005,0 ,Laboratory
31,CS2110,Nada Basit,Mo,1020,1125,0 ,Laboratory
33,CS2110,Nada Basit,Mo,1020,1125,0 ,Laboratory
57,CS3240,Mark Sherriff,Mo,1020,1095,0 ,Laboratory
29,CS2110,Nada Basit,Mo,1140,1245,0 ,Laboratory
84,CS4730,Mark Floryan,MoWe,660,710,3 ,Lecture
17,CS1111,Nathan Brunelle,MoWe,840,915,3 ,Lecture
62,CS3330,Ashish Venkat,MoWe,840,915,3 ,Lecture
68,CS4102,John Hott,MoWe,840,915,3 ,Lecture
0,CS1010,Craig Dill,MoWe,930,1005,3 ,Lecture
69,CS4102,Tom Horton,MoWe,930,1005,3 ,Lecture
80,CS4630,Yuan Tian,MoWe,930,1005,3 ,Lecture
89,CS4750,Upsorn Praphamontripong,MoWe,930,1005,3 ,Lecture
70,CS4102,John Hott,MoWe,1020,1095,3 ,Lecture
67,CS3710,Ronald Williams,MoWeFr,540,590,3 ,Lecture
90,CS4760,Ahmed Ibrahim,MoWeFr,540,590,3 ,Lecture
3,CS1110,Craig Dill,MoWeFr,600,650,3 ,Lecture
25,CS2102,Luther Tychonievich,MoWeFr,600,650,3 ,Lecture
34,CS2150,Aaron Bloomfield,MoWeFr,600,650,3 ,Lecture
83,CS4720,Daniel Graham,MoWeFr,600,650,3 ,Lecture
27,CS2110,Panagiotis Apostolellis,MoWeFr,660,710,3 ,Lecture
49,CS2910,Rich Nguyen,MoWeFr,660,710,1 ,PRA
4,CS1110,Craig Dill,MoWeFr,780,830,3 ,Lecture
28,CS2110,Nada Basit,MoWeFr,780,830,3 ,Lecture
35,CS2150,Aaron Bloomfield,MoWeFr,780,830,3 ,Lecture
78,CS4501,Seongkook Heo,MoWeFr,780,830,3 ,Lecture
92,CS4774,Rich Nguyen,MoWeFr,780,830,3 ,Lecture
