"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","Index.1","Index.2","Index.3","Index.4","Index.5","Index.6","Index.7","Index.8","Index.9","Index.10","Index.11","Index.12","Index.13","Index.14","Index.15","Index.16","Index.17","Index.18","Index.19","Index.20","quality"
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,0.749215459627506,-0.262603373389419,0.147284373616108,1.08007048043164,-1.0403483191058,-1.14672027453851,0.576006319753073,0.576588324784335,0.00863975295280654,2.04372726385362,-0.354634430283738,-1.02191610780132,0.158498012411564,-0.65796502474877,1.42050539098222,-0.188467966817465,0.5209513356841,-1.37636564118564,0.580619000980727,0.924782441231536,7
7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,0.738510548844121,-1.05035423300949,0.165451356022051,-0.906626801828358,-1.5934444649144,-0.746149911842601,-1.14901396177702,0.0863770597318877,-2.1324288162482,1.01518448085297,-2.1590841581054,0.577812611268231,0.221138223800088,0.782629062347168,1.0174949123685,2.21288097914605,1.8768338485665,-1.45946674599343,0.705501868851159,0.323338573079921,6
6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,-0.218370881882568,-0.474242098449727,-0.786148723214952,1.07157265554939,0.672907583153952,-1.30399492684239,-0.527103869449371,1.16513283878284,0.584128188759097,0.847100703734918,-1.39424489749805,0.160040989091206,-0.396023398367477,-0.126917519240541,-0.933260842084596,-1.42618660538037,-0.0371094661524161,0.870557877301644,1.17352708458037,1.50629699756173,5
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,-0.0613514246528549,-0.895152693577561,-0.550340196101726,-0.305254992404213,0.36873217574536,-0.73731923962726,0.489366284627636,0.388318686436392,0.460804401386433,-1.53466109478412,-1.07882366284354,1.25831657690014,-0.219277180507819,0.0150369137693004,1.28360110839105,-0.908917949847473,1.38021565991436,-1.2108258690998,1.40653762030644,-0.647820566288059,7
5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,-0.18599748058031,0.906553033343036,-0.551129303247574,0.2652273520398,0.156773801527488,0.59414442184572,0.18973869185108,-0.596869697659649,0.413468387555862,0.715817792737066,-0.473375838162124,-1.41559437987563,0.180526507779402,-0.0132255352304584,-2.39555767172785,-0.00187820060230195,0.65288027020613,-0.872945863886256,0.329306005700213,-0.535954244693745,6
5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,-0.933620573739937,-0.0226153270590487,0.197355792616828,-0.563933997839406,-0.13503410164135,-0.246157020539568,1.36801501412544,1.54741839147777,0.00551457866475981,-0.500560012836768,0.248050078391558,-0.430547266006046,-0.692466219053659,1.32457006804809,0.925263954381417,1.51715791749485,-1.14402034873429,1.66287851922168,0.520809122885351,-0.177507300514498,6
5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,0.165664501473421,0.389934339269075,1.33646731217961,0.323329364245352,0.755527438615366,-1.25960332627624,-0.736711116486395,1.01479139775822,0.260936046274408,0.654936153833821,0.133293105686894,-0.0514234921599526,1.26114099355833,-0.399067302767603,-0.924304697412626,0.8107780127031,-0.826470038043386,1.15799298751586,-0.751365392250599,0.458417196680161,5
6.4,0.25,0.37,4.5,0.039,41,147,0.9921,3.18,0.4,11.1,0.814631843445533,0.141972280224652,-0.696791134609648,0.0321159535999766,0.0687314606567668,-1.05217522719898,-1.05642389631659,0.80345363063072,0.318508911432131,0.663635650337579,1.0041967589153,-2.16970452340262,-0.205590311024603,-0.0106314090306975,0.232463248416148,1.51005304081367,2.0768666788042,0.207666701789249,-1.1311595466536,-0.331633380630094,7
7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,0.070901439566989,-1.76425709052854,0.613215091455321,0.367493602532394,0.318413607424164,0.0775303364905915,0.356422483638944,-0.926685145829424,-2.12439828073161,-0.0703202168635759,-0.234996716904659,-0.489956945343687,-0.531295030135707,-0.486564824375403,-0.418609757139643,0.43125337806657,1.52233538950293,-0.624869214048193,0.779891704713163,0.472165736777407,6
7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,-0.975892759210329,-0.432769331807047,1.49065929269654,0.466518340711843,-1.03411602421207,-0.397008446478729,-1.13504921239662,-0.0709641469854594,-0.977312703472194,0.337949352706916,-1.50712322825996,-1.84469619594535,-0.0362884960968031,-0.377373824391709,-0.535496849390242,1.66760427839876,-0.656125401208395,0.695336633570296,0.381378827549194,1.13461415557408,5
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,0.233071817193861,0.601928008388825,0.0824278492749823,-0.196688955453887,2.68085484344867,0.231187568707808,0.134085453702918,1.14816371832029,-1.16075825813423,0.842957668033221,-0.466155200897092,-0.103967439226893,0.506650010933206,-1.78654495750717,-0.740473081942906,0.0941091735976263,0.0969918910318893,-0.486688459842658,0.409911161570328,-1.71987192455717,7
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,-0.212329901792038,1.36010852212882,-0.382632143987474,0.890860657653146,-1.54993755488512,-0.723958184092,-0.186158125393018,0.517346277572643,1.31996056721076,0.186533641380511,-1.23365803954774,0.87830478075635,-1.23692874521964,0.0331658286650014,0.620173285468053,0.67569426225528,0.477042764727217,-1.0205909580985,1.11861701233521,0.241944241852437,5
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,-0.274072530019613,1.38482669529086,-0.719931463220955,1.1388089874874,-0.313064444013423,-0.495762543947791,-0.65804802669792,-0.405137355114624,0.790549283035725,1.68484874130644,0.793675970136759,0.178434992815996,1.67932320544105,0.0104978736654143,-0.721119332251584,0.0867458470607691,-0.214892880262195,-0.372630904343096,-1.59234218638026,-0.282514549724499,7
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,0.132808487929052,0.0586921612403523,0.557430145162809,0.545860147231339,-0.66799043456,1.02948128638203,-0.773345175882162,0.908340318068433,0.343076554181595,0.11174783930903,0.572719537410687,-0.695527623682263,0.125969331870709,-1.26873355014418,2.76875231212191,-1.95051687859461,0.304046463192195,-0.862929300179194,-0.766007371213224,0.551744000793931,6
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,1.32488491431105,0.130885514315509,-0.441396977708923,-0.292678883567499,0.760704117205671,-0.967807491246345,0.0954169294063064,2.44142367967656,0.387552918892408,1.92139811515945,0.879789049227795,-1.96161739892151,1.84668616017534,-0.817370346330451,-0.306031679113462,0.323880839669402,-0.24769634586022,-0.321053399344517,1.26441705040369,0.783159265207286,5
5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,-0.109649229778423,1.34607365715534,0.569406551339689,-2.59974513945591,0.208995305661155,0.620923558015298,-0.528933615418857,-2.03074249865682,0.00263561469677353,-0.951617316837544,-0.339740859544526,-0.61493924235368,-0.937126349294455,0.808296868238597,-0.237924007235278,0.207244038901765,0.572928356486942,-0.655713460584683,-1.06027770007117,-0.64107441438185,6
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,0.296180021205872,-0.568021416062199,-0.514194620156169,-0.781374686427898,0.886585409655258,0.732577594342054,-0.66180787093968,0.535719642329611,-0.694033485517465,1.11001410000268,1.21300044283208,0.04629454529613,-1.01116778181985,-1.23566752848837,-0.614212266962959,-0.913591464661596,-1.69675728227334,-0.177127002672501,-0.687745673035851,-0.359652170936529,6
5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,0.429551421031428,-0.0184382459802328,1.33859087136649,-0.172499476607027,-0.0227692009667213,0.105517129938383,-0.0265702138314647,-0.675350564306045,0.0838804330401054,2.35257033481132,0.158261155789068,-0.063569958073502,0.0432646284821503,0.0191021529056086,-0.608226268043591,0.225312193814522,-0.959127588316427,-0.800373599056127,1.07663974016775,0.317230382227871,8
6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,0.168317410190733,0.207055305640178,2.08223136555883,1.13105445551194,-0.686838349160638,0.0539698456271011,-1.08828030030963,1.0381945344088,0.809795343216073,-0.981253490270243,0.961958235763573,-0.175916056926736,-2.20864936500381,0.271968939472446,-0.926480336655197,-0.238824516365558,0.963916466919246,1.21712385247799,0.0573514075786103,-1.31342983461664,7
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,0.0381954793106994,0.876621820249826,0.347196997306958,-0.432817150946557,0.309939632478577,-0.86506587767158,0.716919016004863,0.223019302978618,1.88909936707381,0.388323637246232,0.462843704404448,-0.763656301346584,1.23546967661647,1.56009138582904,0.681780920820586,-0.440202538513121,-0.137840389008383,0.319307629196576,0.591681509998601,0.771061367256986,7
5.9,0.28,0.34,3.6,0.04,50,194,0.9912,3.31,0.52,11.6,-0.881118089688345,0.869923800214392,1.37472898769823,2.57786922202749,-0.310246252839584,0.862080378949517,1.79558039888001,0.759354083973547,-0.677492433937921,0.545085490829452,0.565108229394649,-2.38924236995652,1.22346357778253,0.125329094540533,-0.0977765303916786,-0.31032023430699,1.40874594291422,-0.793276876987085,0.108547820623023,-1.22167027106518,6
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,1.69782031281814,0.309504110628083,-0.602004990590575,-0.189154395272982,0.80220538470544,0.506958785431113,-0.82110847685461,-1.33694601346375,-0.809956722135532,0.318595806883302,0.147455078016328,1.07197292875223,0.0626320403662372,-0.574935261720721,-1.95181834872628,-0.103337901716958,-0.731944704244013,-1.37957359506957,0.773893455551148,0.755888751087363,5
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,0.278044933887375,-0.934296890142473,-0.112221338577528,1.23604936840561,-0.884851597019963,-1.62764102847555,-0.365490342451785,-1.17284924713566,0.520392071008937,0.910149290076953,-0.0273525291835059,0.353069216401108,-1.10097189495998,-0.631598272265186,-0.173198375018281,0.269718110827311,0.382851752553542,0.130294408241268,1.26332481347209,-0.939373863984651,6
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,-0.0289414259210883,0.410698680610033,0.847830658497544,0.693572581412757,0.00724980636523226,0.208612080806115,-0.783452119080566,-0.720958128293647,-0.329102033198678,-0.685255746600297,-1.08574761985621,-1.48195712746952,-1.18893285917342,-1.34630434092236,-0.178584339852338,0.902665685209492,-1.84876611159253,0.265734471042558,-0.450212125540108,-0.285211702987482,5
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,0.116470283801183,0.545449371978129,0.420280291527264,0.782425738029983,1.08105308272001,0.0916653073252803,1.65211544695892,1.01765205989309,0.434556947085562,-0.83562354257712,-0.627232835656669,1.08782012469991,0.28474071476335,1.17013353294349,0.675986275456944,-0.133644194241858,-0.565299776334999,-0.0348780315734806,1.14078394766895,-1.00544432360151,4
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,0.207101610617669,0.416825592445576,0.532549137574715,0.208416644623945,0.398108636370651,-1.10914279833097,0.72456466890385,1.94960578601601,4.0114050506812,-0.90926704617361,-2.12892332706987,-0.00503663188210636,1.03296663287904,0.0650947594176226,0.119298236364715,1.8152887574008,-2.01474870860523,0.452808905710541,0.984068878343613,-0.276193232642815,8
