"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-12-31",36.509998,36.900002,35.98,36.23,1979500,35.10241
"2014-12-30",36,36.599998,35.950001,36.330002,1535000,35.199299
"2014-12-29",35.720001,36.18,35.66,36.139999,1155700,35.015211
"2014-12-26",35.509998,36.029999,35.450001,35.880001,946300,34.763304
"2014-12-24",35.380001,35.689999,35.07,35.380001,587500,34.278866
"2014-12-23",35.66,36.41,35.099998,35.27,2355900,34.172289
"2014-12-22",34.549999,35.119999,34.400002,35.029999,1911200,33.939757
"2014-12-19",33.57,35.349998,33.57,34.549999,4572600,33.474696
"2014-12-18",32.450001,33.689999,32.369999,33.689999,3079300,32.641461
"2014-12-17",31.450001,32.18,31.209999,32.060001,2527900,31.062195
"2014-12-16",30.709999,32.369999,30.52,31.440001,3265300,30.46149
"2014-12-15",30.6,31.07,30.450001,30.709999,2440200,29.754209
"2014-12-12",31.049999,31.290001,30.49,30.51,4194500,29.560434
"2014-12-11",32,32.490002,31.440001,31.450001,2810600,30.471179
"2014-12-10",32.540001,32.599998,31.76,31.940001,2595600,30.945929
"2014-12-09",31.76,32.740002,31.719999,32.700001,2603800,31.682275
"2014-12-08",34.400002,34.43,31.9,32.540001,5296300,31.527255
"2014-12-05",34.459999,34.950001,34.34,34.82,1474400,33.736293
"2014-12-04",34.900002,35.060001,34.240002,34.369999,1127300,33.300298
"2014-12-03",34.700001,35.330002,34.299999,34.75,1847600,33.668472
"2014-12-02",34.150002,34.689999,34.110001,34.490002,1808200,33.416566
"2014-12-01",34.779999,34.869999,33.419998,34,3688800,32.941815
"2014-11-28",35.82,35.82,34.860001,34.939999,1343800,33.852557
"2014-11-26",36.32,36.32,35.709999,35.830002,1404600,34.714861
"2014-11-25",36.299999,36.369999,35.990002,36.290001,1030400,35.160544
"2014-11-24",36.369999,36.43,35.23,36.259998,1823600,35.131475
"2014-11-21",36.049999,36.560001,35.939999,36.32,2018300,35.189609
"2014-11-20",35.27,35.82,35.07,35.650002,1102900,34.540463
"2014-11-19",35.349998,35.52,35,35.369999,1216800,34.269175
"2014-11-18",35.48,35.549999,35.16,35.369999,1490300,34.269175
"2014-11-17",35.799999,35.799999,35.130001,35.400002,1392100,34.298244
"2014-11-14",34.919998,35.990002,34.599998,35.98,2225800,34.86019
"2014-11-13",36.759998,37.029999,34.549999,35.02,4283000,33.930069
"2014-11-12",37.52,37.790001,36.380001,36.77,4877000,35.625604
"2014-11-11",36.889999,36.900002,35.389999,35.650002,3734800,34.540463
"2014-11-10",36.259998,36.869999,36.18,36.84,2623500,35.693425
"2014-11-07",36.080002,36.290001,35.849998,36.200001,1336400,35.073344
"2014-11-06",35.900002,36.119999,35.75,36.07,1018600,34.947389
"2014-11-05",35.68,35.990002,35.369999,35.959999,1101500,34.840812
"2014-11-04",35.130001,35.689999,35.02,35.490002,825300,34.385443
"2014-11-03",35.810001,35.990002,35.27,35.32,1305200,34.220732
"2014-10-31",35.77,35.860001,35.459999,35.84,1319400,34.724548
"2014-10-30",34.700001,35.34,34.66,35.189999,1201900,34.094777
"2014-10-29",35.060001,35.560001,34.5,34.919998,1359000,33.83318
"2014-10-28",34.32,35.169998,34.150002,35.07,1301900,33.978513
"2014-10-27",34.200001,34.200001,33.66,34.099998,662600,33.038701
"2014-10-24",34.02,34.540001,33.950001,34.5,750600,33.232478
"2014-10-23",34.040001,34.41,33.880001,34.119999,1468400,32.866438
"2014-10-22",33.82,34.130001,33.73,33.73,2278400,32.490767
"2014-10-21",33,33.830002,33,33.799999,1416700,32.558195
"2014-10-20",32.619999,32.939999,32.43,32.93,1451900,31.72016
"2014-10-17",32.25,33.650002,32.25,32.830002,2697000,31.623835
"2014-10-16",31.959999,32.619999,31.889999,31.959999,2697300,30.785796
"2014-10-15",31.709999,32.580002,31.51,32.459999,2733600,31.267426
"2014-10-14",32.02,32.360001,31.9,32.209999,2047900,31.026611
"2014-10-13",32.189999,32.630001,31.709999,31.879999,2148500,30.708735
"2014-10-10",33.029999,33.209999,32.119999,32.139999,2453800,30.959183
"2014-10-09",33.91,34.029999,33.029999,33.07,2192000,31.855016
"2014-10-08",33.23,33.950001,32.470001,33.900002,3837000,32.654523
"2014-10-07",34.549999,34.630001,33.18,33.27,2689100,32.047668
"2014-10-06",35.029999,35.119999,34.459999,34.779999,1657300,33.50219
"2014-10-03",34.48,35.029999,34.18,34.919998,1677300,33.637046
"2014-10-02",34.66,34.830002,33.650002,34.34,2324400,33.078357
