"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-02-28",49.310001,50.200001,49.200001,49.77,11428800,48.073455
"2014-02-27",48.700001,49.360001,48.459999,49.310001,9634600,47.629136
"2014-02-26",48.990002,49.009998,48.279999,48.720001,13389700,47.059248
"2014-02-25",49.450001,49.459999,48.810001,49.009998,9343400,47.339359
"2014-02-24",49.099998,49.799999,49,49.450001,10042200,47.764363
"2014-02-21",49.23,49.299999,48.98,48.98,10718800,47.310383
"2014-02-20",49.200001,49.470001,48.91,49.220001,9824800,47.542204
"2014-02-19",49.959999,50.23,49.18,49.25,10267300,47.57118
"2014-02-18",49.150002,50.43,49,50.169998,14941000,48.459817
"2014-02-14",48.900002,49.23,48,48.98,26846200,47.310383
"2014-02-13",48.75,49.740002,48.299999,49.59,11815500,47.89959
"2014-02-12",49.25,49.720001,48.830002,49.040001,10448900,47.368339
"2014-02-11",48.900002,49.310001,48.259998,49,10560200,47.329702
"2014-02-10",49.02,49.259998,48.619999,48.880001,5927900,47.213793
"2014-02-07",48.150002,49.049999,47.639999,49.009998,9367800,47.339359
"2014-02-06",47.82,48.279999,47.560001,47.720001,9026300,46.093335
"2014-02-05",47.279999,47.889999,47.02,47.639999,8655000,46.016061
"2014-02-04",46.869999,48.09,46.849998,47.619999,9050700,45.996742
"2014-02-03",48,48.240002,46.799999,46.880001,12990400,45.281969
"2014-01-31",48.009998,48.59,47.77,47.959999,12707000,46.325152
"2014-01-30",48.450001,49.09,48.439999,48.880001,7203300,47.213793
"2014-01-29",48.119999,48.529999,47.799999,47.950001,9845100,46.315495
"2014-01-28",48.560001,49.130001,48.099998,48.459999,13377900,46.808108
"2014-01-27",48.02,48.59,46.810001,47.290001,17878200,45.677993
"2014-01-24",48.779999,49.150002,47.849998,47.860001,11843000,46.228562
"2014-01-23",50.02,50.02,48.709999,49.209999,10797000,47.532543
"2014-01-22",50.799999,51.07,50.110001,50.290001,9958500,48.57573
"2014-01-21",51.169998,51.419998,50.18,50.580002,8217200,48.855845
"2014-01-17",51.400002,51.549999,50.799999,50.889999,7156400,49.155275
"2014-01-16",52.07,52.099998,51.32,51.5,6213600,49.744483
"2014-01-15",52.02,52.34,51,52.110001,5928600,50.33369
"2014-01-14",51.66,51.959999,51.330002,51.759998,5626300,49.995618
"2014-01-13",52.07,52.470001,51.400002,51.459999,9258500,49.705845
"2014-01-10",52.209999,52.34,51.68,52.220001,8603600,50.439941
"2014-01-09",51.880001,52.290001,51.709999,52.110001,8165200,50.33369
"2014-01-08",51.23,51.93,51.02,51.810001,9960600,50.043917
"2014-01-07",50.669998,51.369999,50.610001,51.209999,9061100,49.464367
"2014-01-06",51.549999,51.580002,50.48,50.52,9264200,48.797889
"2014-01-03",50.669998,51.23,50.610001,50.919998,7277400,49.184252
"2014-01-02",50.810001,51.299999,50.470001,50.709999,9196100,48.981411
"2013-12-31",51.209999,51.34,50.91,51.049999,4956300,49.309821
"2013-12-30",51.099998,51.310001,51.02,51.110001,4159600,49.367777
"2013-12-27",50.990002,51.330002,50.900002,51.18,4297500,49.435391
"2013-12-26",51.299999,51.380001,50.93,51,4185100,49.261526
"2013-12-24",51.23,51.310001,50.98,51.279999,2338000,49.531981
"2013-12-23",51.419998,51.470001,51.080002,51.240002,5408800,49.493347
"2013-12-20",50.330002,51.110001,50.259998,51.029999,10954900,49.290503
"2013-12-19",50,50.619999,49.860001,50.360001,9069900,48.643343
"2013-12-18",49.330002,50.27,49,50.25,15302100,48.537092
"2013-12-17",50.029999,50.099998,49.240002,49.360001,14939500,47.677431
"2013-12-16",50.860001,51.049999,50.169998,50.279999,15584100,48.566068
"2013-12-13",49.439999,49.959999,49.189999,49.73,8262500,48.034817
"2013-12-12",48.560001,49.970001,48.419998,49.419998,14566800,47.735383
"2013-12-11",49.139999,49.259998,48.59,48.700001,8684900,47.039929
"2013-12-10",49.459999,49.720001,49.18,49.299999,9262500,47.619475
"2013-12-09",49.689999,50.209999,49.450001,49.560001,6949400,47.870614
"2013-12-06",48.740002,49.709999,48.610001,49.549999,9826800,47.860953
"2013-12-05",48.700001,48.84,48.029999,48.189999,9131500,46.547312
"2013-12-04",48.450001,49.220001,48.299999,48.939999,8267000,47.271746
"2013-12-03",49.43,49.549999,48.470001,48.650002,12229800,46.991634
"2013-12-02",49.77,50.25,49.610001,49.709999,8425600,47.918907
"2013-11-29",49.740002,50.150002,49.540001,49.75,4413400,47.957466
"2013-11-27",49.389999,49.709999,49.110001,49.650002,6177500,47.861071
"2013-11-26",50.02,50.049999,49.349998,49.389999,6384300,47.610437
"2013-11-25",49.59,50.400002,49.560001,49.799999,8023700,48.005664
"2013-11-22",48.970001,49.669998,48.919998,49.59,9173300,47.803231
"2013-11-21",48.470001,49.110001,48.450001,48.919998,9811700,47.15737
"2013-11-20",48.869999,48.900002,48.029999,48.259998,10474100,46.521151
"2013-11-19",48.810001,49.130001,48.509998,48.779999,7254200,47.022415
"2013-11-18",49.470001,49.52,48.799999,48.959999,7130900,47.19593
"2013-11-15",49.200001,49.59,49.009998,49.299999,10091900,47.523679
"2013-11-14",48.740002,49.330002,48.400002,49.310001,10289700,47.533321
"2013-11-13",48.130001,48.66,47.900002,48.580002,12084300,46.829624
"2013-11-12",48.709999,48.959999,48.009998,48.189999,10822200,46.453673
"2013-11-11",48.459999,49.060001,48.389999,48.84,7471400,47.080254
"2013-11-08",47.59,48.939999,47.5,48.540001,15671400,46.791064
"2013-11-07",47.700001,48.139999,47.110001,47.299999,17749200,45.595741
"2013-11-06",48.5,48.580002,47.48,47.59,19388800,45.875293
"2013-11-05",49.009998,49.099998,48.27,48.290001,13164900,46.550072
"2013-11-04",48.470001,49.169998,48.360001,49.080002,18396900,47.311609
"2013-11-01",48.669998,49.099998,48.02,48.279999,51746100,46.54043
"2013-10-30",52.419998,52.5,51.5,51.970001,7883000,50.097479
"2013-10-29",51.59,52.279999,51.43,52.25,8085500,50.367389
"2013-10-28",51.830002,51.919998,51.220001,51.43,6891300,49.576935
"2013-10-25",51.889999,52.27,51.650002,51.849998,5735200,49.9818
"2013-10-24",51.990002,52.150002,51.34,51.799999,7613100,49.933602
"2013-10-23",52.139999,52.220001,51.459999,51.860001,6277100,49.991442
