"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-06-01",38.849998,38.880001,38.540001,38.869999,2206200,37.951298
"2015-05-29",38.610001,38.790001,38.41,38.610001,2548700,37.697445
"2015-05-28",38.57,38.759998,38.5,38.700001,1961900,37.785318
"2015-05-27",38.59,38.740002,38.400002,38.700001,1362400,37.785318
"2015-05-26",38.849998,39.040001,38.389999,38.439999,2564800,37.531461
"2015-05-22",38.77,38.98,38.650002,38.849998,2255700,37.931771
"2015-05-21",38.779999,38.98,38.709999,38.880001,3065500,37.961064
"2015-05-20",38.52,38.939999,38.34,38.900002,3106300,37.980592
"2015-05-19",38.66,38.66,38.380001,38.529999,2438100,37.619334
"2015-05-18",38.360001,38.77,38.209999,38.52,2913000,37.609572
"2015-05-15",37.98,38.52,37.970001,38.490002,2704000,37.580282
"2015-05-14",37.689999,37.939999,37.59,37.93,1703700,37.033517
"2015-05-13",37.709999,37.919998,37.380001,37.459999,1398400,36.574624
"2015-05-12",37.25,37.740002,37.119999,37.68,1824100,36.789426
"2015-05-11",37.400002,37.599998,37.27,37.369999,1818100,36.486751
"2015-05-08",37.580002,37.959999,37.48,37.509998,1850400,36.623442
"2015-05-07",37.029999,37.560001,36.959999,37.360001,2280500,36.476989
"2015-05-06",37.169998,37.220001,36.68,37.200001,3381400,36.320771
"2015-05-05",37.150002,37.18,36.849998,37.009998,3597600,36.135259
"2015-05-04",36.580002,37.240002,36.459999,37.119999,2214100,36.24266
"2015-05-01",36.099998,36.580002,36.080002,36.560001,1746300,35.695898
"2015-04-30",36.360001,36.369999,35.98,36.150002,2386500,35.295589
"2015-04-29",36.939999,36.98,36.32,36.41,2122100,35.549442
"2015-04-28",36.849998,37.099998,36.73,36.990002,1547700,36.115735
"2015-04-27",37.509998,37.66,37.200001,37.349998,1708100,36.223133
"2015-04-24",37.549999,37.759998,37.380001,37.52,1703900,36.388006
"2015-04-23",37.400002,37.810001,37.400002,37.509998,1654900,36.378305
"2015-04-22",37.580002,37.73,37.27,37.52,2393700,36.388006
"2015-04-21",37.650002,37.889999,37.5,37.610001,2204300,36.47529
"2015-04-20",37.380001,37.939999,37.299999,37.650002,2347100,36.514084
"2015-04-17",37.23,37.349998,36.959999,37.299999,2233200,36.174642
"2015-04-16",37.650002,37.66,37.360001,37.380001,1828900,36.25223
"2015-04-15",37.82,37.990002,37.48,37.57,1945100,36.436496
"2015-04-14",37.650002,37.990002,37.540001,37.790001,1845800,36.64986
"2015-04-13",37.73,37.970001,37.57,37.599998,1659900,36.46559
"2015-04-10",37.939999,38.080002,37.779999,37.849998,2040900,36.708047
"2015-04-09",37.919998,38.07,37.59,37.889999,3692000,36.746841
"2015-04-08",37.799999,38.080002,37.73,37.919998,2233200,36.775935
"2015-04-07",38.060001,38.259998,37.869999,37.959999,3581500,36.814729
"2015-04-06",37.619999,38.41,37.529999,38.040001,4106300,36.892317
"2015-04-02",36.990002,37.919998,36.790001,37.82,5023400,36.678954
"2015-04-01",36.509998,36.93,35.939999,36.860001,4478200,35.747918
"2015-03-31",36.849998,37.119999,36.509998,36.529999,3964800,35.427873
"2015-03-30",36.740002,36.98,36.310001,36.900002,4046900,35.786712
"2015-03-27",34.849998,36.869999,34.759998,36.759998,6659200,35.650933
"2015-03-26",35.529999,35.549999,33.919998,34.75,5306500,33.701577
"2015-03-25",34.919998,35.27,34.77,34.939999,4437500,33.885843
"2015-03-24",35.119999,35.18,34.610001,34.630001,1504700,33.585199
"2015-03-23",34.919998,35.330002,34.880001,35.049999,1487000,33.992525
"2015-03-20",34.52,35.220001,34.470001,34.959999,3134800,33.905241
"2015-03-19",34.509998,34.59,34.299999,34.360001,1497100,33.323344
"2015-03-18",34.400002,34.689999,33.860001,34.549999,2922100,33.507611
"2015-03-17",34.299999,34.599998,34.169998,34.490002,1705300,33.449423
"2015-03-16",34.07,34.439999,34.009998,34.43,1741700,33.391232
"2015-03-13",34.060001,34.110001,33.650002,33.939999,1768600,32.916014
"2015-03-12",33.68,34.209999,33.650002,34.169998,1649500,33.139074
"2015-03-11",33.860001,33.900002,33.450001,33.580002,1785700,32.566878
"2015-03-10",34.27,34.34,33.91,33.91,1754800,32.88692
"2015-03-09",34.330002,34.450001,34.16,34.34,1167200,33.303947
"2015-03-06",34.619999,34.619999,34.07,34.259998,2578200,33.226359
"2015-03-05",34.650002,34.919998,34.360001,34.860001,1927700,33.808259
"2015-03-04",34.830002,35.580002,34.310001,34.52,4231300,33.478517
"2015-03-03",35.02,35.09,34.669998,34.959999,2072000,33.905241
"2015-03-02",34.98,35.130001,34.740002,35.099998,1633600,34.041016
"2015-02-27",34.689999,35.07,34.66,34.98,2841400,33.924638
"2015-02-26",34.790001,34.889999,34.639999,34.669998,1611000,33.623989
"2015-02-25",34.740002,34.860001,34.540001,34.740002,2088100,33.691881
"2015-02-24",34.400002,34.790001,34.290001,34.709999,2831000,33.662783
"2015-02-23",34.560001,34.669998,34.380001,34.529999,1859700,33.488213
"2015-02-20",34.439999,34.59,34.080002,34.52,2769300,33.478517
"2015-02-19",33.669998,34.610001,33.619999,34.470001,4992500,33.430026
"2015-02-18",33.650002,33.889999,33.450001,33.57,6944600,32.557178
"2015-02-17",34.619999,34.619999,33.639999,33.759998,7358700,32.741444
"2015-02-13",35.360001,35.400002,34.560001,34.830002,6902800,33.779165
"2015-02-12",36.009998,36.419998,35.959999,36.419998,1741600,35.321191
"2015-02-11",36.48,36.68,35.869999,36.169998,1980900,35.078733
"2015-02-10",36.25,36.48,36.009998,36.43,2042400,35.330891
"2015-02-09",36.240002,36.5,36.09,36.16,1449900,35.069037
"2015-02-06",36.400002,36.709999,36.119999,36.439999,1518600,35.340588
"2015-02-05",36.259998,36.470001,36.029999,36.450001,1774300,35.350288
"2015-02-04",35.98,36.509998,35.93,36.259998,2381200,35.166018
"2015-02-03",35.849998,36.139999,35.66,35.98,2017200,34.894467
"2015-02-02",35.419998,35.779999,34.970001,35.75,2617800,34.671407
"2015-01-30",36.189999,36.310001,35.369999,35.43,3135100,34.361062
"2015-01-29",36.419998,36.560001,36.09,36.470001,3033600,35.369685
"2015-01-28",36.560001,36.849998,36.389999,36.529999,4099000,35.427873
"2015-01-27",36.57,36.77,36.43,36.66,1959300,35.311494
"2015-01-26",36.720001,36.959999,36.540001,36.939999,2496300,35.581194
"2015-01-23",36.98,37.040001,36.720001,36.759998,1941300,35.407814
"2015-01-22",36.369999,37.18,36.220001,37.169998,2878700,35.802733
"2015-01-21",36.209999,36.439999,35.970001,36.240002,2594600,34.906945
"2015-01-20",36.279999,36.41,35.900002,36.27,2417900,34.935841
"2015-01-16",36.279999,36.560001,36.029999,36.23,3021100,34.897311
"2015-01-15",35.599998,36.650002,35.560001,36.34,6039100,35.003266
"2015-01-14",35.580002,35.669998,35.240002,35.509998,2490400,34.203795
"2015-01-13",35.869999,36.18,35.540001,35.82,2388200,34.502393
"2015-01-12",35.91,36.200001,35.610001,35.68,2042800,34.367543
