"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-01",66.18,66.809998,65.800003,66.010002,18969500,66.010002
"2016-03-31",67.629997,68.110001,67,67.050003,4275000,67.050003
"2016-03-30",67.129997,67.830002,66.860001,67.68,2708400,67.68
"2016-03-29",65.779999,66.730003,65.470001,66.57,3912000,66.57
"2016-03-28",66.5,66.639999,65.93,66.459999,3944400,66.459999
"2016-03-24",65.540001,66.07,65.209999,66,1996900,66
"2016-03-23",66.379997,66.629997,65.989998,66.220001,2214900,66.220001
"2016-03-22",67.419998,67.830002,66.610001,66.720001,1863800,66.720001
"2016-03-21",65.949997,67.739998,65.519997,67.650002,1845400,67.650002
"2016-03-18",67.75,67.75,66.239998,66.419998,2333800,66.419998
"2016-03-17",66.970001,67.709999,66.650002,67.32,1494400,67.32
"2016-03-16",66.769997,66.940002,65.720001,66.540001,992000,66.540001
"2016-03-15",65.910004,66.480003,65.540001,66.440002,873000,66.440002
"2016-03-14",67.099998,67.290001,66.309998,66.550003,1376000,66.550003
"2016-03-11",67.050003,67.860001,66.480003,67.769997,1886300,67.769997
"2016-03-10",66.190002,66.529999,65.620003,66.410004,1908200,66.410004
"2016-03-09",66.970001,67.010002,65.959999,66.120003,2819600,66.120003
"2016-03-08",68.410004,68.410004,66.190002,66.239998,1609000,66.239998
"2016-03-07",67.529999,68.790001,66.68,68.790001,1651300,68.790001
"2016-03-04",68.169998,68.550003,67,67.790001,2545600,67.790001
"2016-03-03",67.269997,67.889999,66.989998,67.82,2037700,67.82
"2016-03-02",66.75,67.540001,66.019997,67.540001,1995300,67.540001
"2016-03-01",65.980003,67.18,65.720001,67.150002,2010100,67.150002
"2016-02-29",66.279999,66.779999,65.519997,65.559998,1954800,65.559998
"2016-02-26",66.75,67.019997,65.809998,66.099998,1196100,66.099998
"2016-02-25",65.709999,65.970001,64.699997,65.910004,884000,65.910004
"2016-02-24",64.900002,65.900002,64.529999,65.769997,1458700,65.769997
"2016-02-23",67,67.620003,65.589996,65.699997,955200,65.699997
"2016-02-22",66.720001,67.480003,66.720001,67.370003,1620100,67.370003
"2016-02-19",65.529999,66.360001,65.330002,66.330002,1875900,66.330002
"2016-02-18",66.889999,66.949997,65.849998,66.110001,1439800,66.110001
"2016-02-17",65.940002,66.93,65.769997,66.279999,2045700,66.279999
"2016-02-16",65.209999,65.849998,64.5,65.610001,1635800,65.610001
"2016-02-12",63.549999,64.709999,63.139999,64.360001,1578000,64.360001
"2016-02-11",60.889999,63.299999,60.889999,62.93,2655300,62.93
"2016-02-10",61.799999,63.02,61.790001,62.040001,2234400,62.040001
"2016-02-09",62.970001,63.560001,61.630001,62.119999,2877700,62.119999
"2016-02-08",62.150002,63.990002,61.84,63.639999,2412000,63.639999
"2016-02-05",63.77,64.080002,62.369999,62.91,11523900,62.91
"2016-02-04",65.099998,66.059998,64.129997,64.309998,3978300,64.309998
"2016-02-03",64.199997,64.709999,62.330002,64.690002,3199100,64.690002
"2016-02-02",63.93,64.07,62.880001,63.189999,4778800,63.189999
"2016-02-01",64.980003,65.269997,64.089996,65.089996,2998300,65.089996
"2016-01-29",63.869999,65.779999,63.73,65.660004,3477000,65.660004
"2016-01-28",62.889999,63.779999,62.049999,63.720001,3142900,63.720001
"2016-01-27",60.34,61.959999,60.16,60.810001,4351200,60.810001
"2016-01-26",60.639999,60.950001,59.360001,60.740002,4411000,60.740002
"2016-01-25",59.650002,61.290001,59.049999,59.110001,2834200,59.110001
"2016-01-22",59.490002,61.189999,58.860001,60.580002,2747900,60.580002
"2016-01-21",57.040001,58.970001,56.720001,57.799999,2332400,57.799999
"2016-01-20",57.68,57.939999,56.16,57.16,2677700,57.16
"2016-01-19",58.919998,59.540001,57.860001,58.330002,2126700,58.330002
"2016-01-15",57.66,59.169998,57.619999,58.57,3079400,58.57
"2016-01-14",59.439999,60.290001,57.740002,59.91,2020500,59.91
"2016-01-12",60.560001,60.970001,58.650002,59.709999,2651900,59.709999
"2016-01-11",60.09,60.220001,59.029999,59.84,1992300,59.84
"2016-01-08",60.950001,61.189999,59.75,59.93,2048200,59.93
"2016-01-07",60.709999,61.970001,60.459999,60.73,2685800,60.73
"2016-01-06",61.93,63.189999,61.759998,61.919998,2521200,61.919998
"2016-01-05",63.189999,63.43,62.150002,63.200001,2255900,63.200001
"2016-01-04",63.040001,63.5,62.02,62.93,2488000,62.93
"2015-12-31",62.82,63.669998,62.73,63.200001,1016100,63.200001
"2015-12-30",63,63.720001,62.849998,63.130001,1115100,63.130001
"2015-12-29",64.57,64.709999,63.299999,63.759998,1840800,63.759998
"2015-12-28",62.860001,63.700001,62.669998,63.66,964200,63.66
"2015-12-24",64.190002,64.730003,63.610001,63.740002,603900,63.740002
"2015-12-23",64.089996,64.269997,63.209999,64.25,1271400,64.25
"2015-12-22",62.16,63.080002,61.970001,62.82,1399900,62.82
"2015-12-21",61.450001,62.110001,61.150002,61.810001,1401100,61.810001
"2015-12-18",62.209999,62.810001,61.25,61.32,3744700,61.32
"2015-12-17",64.129997,64.290001,62.560001,62.560001,1812900,62.560001
