"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",74.050003,74.580002,73.720001,74.489998,3040700,74.489998
"2016-07-08",73.769997,74.269997,73.419998,74.25,2898900,74.25
"2016-07-07",73.279999,73.709999,73.080002,73.400002,2782200,73.400002
"2016-07-06",73.32,73.449997,72.779999,73.279999,2549200,73.279999
"2016-07-05",72.690002,73.690002,72.629997,73.279999,3116100,73.279999
"2016-07-01",73.199997,73.419998,72.860001,72.949997,2642800,72.949997
"2016-06-30",71.900002,73.199997,71.860001,73.199997,3793000,73.199997
"2016-06-29",71.360001,71.93,71.32,71.860001,2254000,71.860001
"2016-06-28",70.370003,71.150002,70.029999,71.129997,2840100,71.129997
"2016-06-27",70.139999,70.230003,69.709999,69.989998,3421800,69.989998
"2016-06-24",71.110001,71.800003,70.150002,70.580002,10237700,70.580002
"2016-06-23",72.639999,72.730003,72.339996,72.669998,2002900,72.669998
"2016-06-22",71.980003,72.5,71.879997,72.25,3564600,72.25
"2016-06-21",72.029999,72.139999,71.730003,71.800003,3072000,71.800003
"2016-06-20",71.900002,72.400002,71.610001,71.639999,2557400,71.639999
"2016-06-17",71.870003,72.080002,70.970001,71.440002,4025100,71.440002
"2016-06-16",71.559998,72.07,71.360001,72,2161200,72
"2016-06-15",72.190002,72.290001,71.620003,71.720001,2146000,71.720001
"2016-06-14",71.480003,72.169998,71.220001,72.089996,2482900,72.089996
"2016-06-13",72.150002,72.449997,71.660004,71.669998,2882000,71.669998
"2016-06-10",72,72.230003,71.739998,72.120003,2227200,72.120003
"2016-06-09",71.849998,72.410004,71.739998,72.339996,1943200,72.339996
"2016-06-08",71.459999,72.099998,71.349998,72,1907000,72
"2016-06-07",71.900002,72.019997,71.470001,71.589996,2101800,71.589996
"2016-06-06",71.599998,72.07,71.410004,71.839996,2287900,71.839996
"2016-06-03",71.419998,71.790001,71.25,71.599998,2288900,71.599998
"2016-06-02",71.019997,71.419998,70.870003,71.419998,2241500,71.419998
"2016-06-01",70.410004,71.220001,70.169998,71.199997,3013600,71.199997
"2016-05-31",70.760002,70.959999,70.099998,70.410004,3357800,70.410004
"2016-05-27",70.540001,70.809998,70.309998,70.589996,2326600,70.589996
"2016-05-26",70.68,70.949997,70.349998,70.489998,6207000,70.489998
"2016-05-25",70.959999,71.150002,70.639999,70.669998,2098500,70.669998
"2016-05-24",70.43,71.080002,70.330002,70.870003,2515500,70.870003
"2016-05-23",70.050003,70.239998,69.830002,70.080002,2068000,70.080002
"2016-05-20",70.790001,70.790001,69.919998,70.019997,2978000,70.019997
"2016-05-19",69.959999,70.449997,69.529999,70.43,2697200,70.43
"2016-05-18",70.690002,70.690002,69.730003,70.129997,3426500,70.129997
"2016-05-17",71.959999,71.970001,70.459999,70.849998,3460700,70.849998
"2016-05-16",71.589996,72.220001,71.470001,72.019997,2134600,72.019997
"2016-05-13",72.580002,72.580002,71.529999,71.669998,2620200,71.669998
"2016-05-12",72.290001,72.720001,71.919998,72.650002,2781800,72.650002
"2016-05-11",72.25,72.389999,71.809998,71.980003,3009100,71.980003
"2016-05-10",71.860001,72.25,71.760002,72.199997,2710900,72.199997
"2016-05-09",71.980003,72.25,71.580002,71.760002,2326600,71.760002
"2016-05-06",71.489998,71.849998,71.190002,71.82,2467600,71.82
"2016-05-05",71.660004,72.309998,71.190002,71.470001,3003000,71.470001
"2016-05-04",71.550003,72,71.110001,71.879997,3307400,71.879997
"2016-05-03",72,72.449997,71.610001,71.849998,3596600,71.849998
"2016-05-02",71.470001,72.389999,71.419998,72.370003,4686500,72.370003
"2016-04-29",71.029999,71.589996,70.43,70.919998,4888500,70.919998
"2016-04-28",69.400002,71.589996,69.389999,71.160004,6253600,71.160004
"2016-04-27",69.110001,69.739998,68.870003,69.309998,4462300,69.309998
"2016-04-26",69.739998,69.75,68.779999,68.959999,2913400,68.959999
"2016-04-25",68.870003,69.519997,68.580002,69.419998,3038600,69.419998
"2016-04-22",68.760002,69.089996,68.239998,69.059998,3228600,69.059998
"2016-04-21",70.199997,70.32,68.809998,68.980003,4127600,68.980003
"2016-04-20",71.339996,71.529999,70.300003,70.309998,3467800,70.309998
"2016-04-19",71.470001,71.790001,71.050003,71.660004,3609900,71.270003
"2016-04-18",70.900002,71.470001,70.779999,71.32,2152700,70.931849
"2016-04-15",70.830002,71.459999,70.720001,71.25,2799700,70.86223
"2016-04-14",70.809998,71.190002,70.709999,70.800003,2744900,70.414682
"2016-04-13",71.330002,71.5,70.580002,70.830002,2600000,70.444518
"2016-04-12",70.830002,71.370003,70.769997,71.230003,2549000,70.842343
"2016-04-11",71.120003,71.400002,70.800003,70.940002,2996300,70.55392
"2016-04-08",71.089996,71.150002,70.5,71.07,2816000,70.68321
"2016-04-07",70.900002,70.949997,70.279999,70.639999,2995100,70.25555
"2016-04-06",71.110001,71.419998,70.870003,71.410004,3442000,71.021363
"2016-04-05",71.129997,71.470001,70.989998,71.139999,3870600,70.752828
"2016-04-04",70.870003,71.269997,70.589996,71.160004,2641100,70.772724
"2016-04-01",70.209999,71.269997,70.089996,71.199997,3257300,70.812499
"2016-03-31",70.720001,71,70.510002,70.650002,2944600,70.265497
"2016-03-30",70.510002,71.25,70.18,70.720001,4354100,70.335116
"2016-03-29",70,70.669998,69.550003,70.510002,3217100,70.12626
"2016-03-28",69.980003,70.389999,69.739998,69.910004,1926200,69.529527
"2016-03-24",69.540001,69.959999,69.379997,69.910004,3806000,69.529527
"2016-03-23",69.599998,70.080002,69.540001,69.800003,2296900,69.420125
"2016-03-22",70,70.300003,69.279999,69.559998,3637400,69.181426
"2016-03-21",70.07,70.870003,69.800003,70.43,4128700,70.046693
"2016-03-18",69.980003,70.5,69.660004,70.480003,7731800,70.096424
"2016-03-17",68.760002,69.989998,68.580002,69.860001,4243300,69.479796
"2016-03-16",68.410004,68.82,67.860001,68.68,2603300,68.306218
"2016-03-15",67.830002,68.75,67.699997,68.589996,2474800,68.216703
"2016-03-14",68.339996,68.589996,67.830002,68.239998,2280100,67.86861
"2016-03-11",68.279999,68.489998,67.949997,68.370003,3186900,67.997907
"2016-03-10",68.110001,68.449997,67.529999,68.230003,2454300,67.85867
"2016-03-09",67.879997,68.580002,67.300003,67.980003,2711800,67.61003
"2016-03-08",67.209999,67.93,66.860001,67.529999,2253000,67.162475
"2016-03-07",67.800003,67.940002,67.370003,67.57,2764100,67.202258
"2016-03-04",67.419998,68.32,67.279999,68.160004,2827300,67.789051
"2016-03-03",66.860001,67.610001,66.709999,67.610001,2415000,67.242041
"2016-03-02",67.059998,67.419998,66.389999,67.080002,2546900,66.714927
"2016-03-01",66.059998,67.389999,65.93,67.330002,3629600,66.963566
"2016-02-29",66.440002,66.699997,65.610001,65.639999,3625900,65.282762
"2016-02-26",67.199997,67.529999,66.07,66.279999,3273400,65.919278
"2016-02-25",66.610001,67.449997,66.330002,67.419998,3008400,67.053073
"2016-02-24",66.940002,66.989998,66.029999,66.32,5260200,65.959061
"2016-02-23",67.389999,67.709999,67.019997,67.199997,2083200,66.834269
"2016-02-22",67.459999,68.389999,67.389999,67.610001,2900800,67.242041
"2016-02-19",67.199997,67.480003,66.360001,67.459999,3373200,67.092856
"2016-02-18",66.900002,67.339996,66.629997,67.220001,2470100,66.854164
"2016-02-17",66.120003,67.199997,65.959999,67.059998,3112400,66.695032
"2016-02-16",66.519997,66.699997,65.519997,65.809998,3481200,65.451834
"2016-02-12",64.779999,65.75,64.540001,65.699997,2579100,65.342433
"2016-02-11",64.709999,65.300003,64,64.440002,4744300,64.089295
"2016-02-10",66.389999,66.830002,65.709999,65.809998,3117500,65.451834
"2016-02-09",65.480003,66.309998,64.93,65.879997,4423900,65.521453
"2016-02-08",65.650002,66.290001,65.239998,66.07,4029200,65.710422
"2016-02-05",65.989998,66.32,65.410004,66.190002,3899900,65.829771
"2016-02-04",65.900002,66.230003,65.5,65.989998,3078800,65.630855
"2016-02-03",65.839996,66.260002,65,66.029999,4037600,65.670638
"2016-02-02",65.620003,66.080002,65.169998,65.360001,3717000,65.004287
"2016-02-01",66.93,67.080002,65.889999,66.199997,4897600,65.839711
"2016-01-29",64.989998,67.650002,64.349998,67.529999,9512900,67.162475
"2016-01-28",64.559998,65.550003,64.32,65.019997,5576500,64.666133
"2016-01-27",64.290001,65.099998,63.880001,64.300003,3265900,63.950058
"2016-01-26",64.010002,64.809998,63.98,64.330002,3658900,63.979893
"2016-01-25",64.330002,64.610001,63.759998,63.93,3728100,63.582069
"2016-01-22",64.330002,64.910004,63.869999,64.610001,4360100,64.258368
"2016-01-21",62.32,63.959999,61.91,63.650002,5645300,63.303594
"2016-01-20",63.459999,63.68,61.400002,62.450001,8221500,61.732194
"2016-01-19",63.790001,64.519997,63.700001,64.290001,5106800,63.551045
"2016-01-15",62.369999,63.919998,62.32,63.349998,6703000,62.621847
"2016-01-14",63.029999,64.139999,62.98,63.529999,3894200,62.799779
"2016-01-13",63.599998,63.939999,62.799999,62.91,3575600,62.186906
