"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",24.6,24.93,24.200001,24.41,1510400,24.41
"2016-07-08",24.309999,24.91,24.16,24.5,1486300,24.5
"2016-07-07",24.41,25.120001,23.75,24.02,2118500,24.02
"2016-07-06",24.309999,24.43,23.65,24.139999,2949900,24.139999
"2016-07-01",24.139999,25.459999,24.139999,25.42,2255700,25.42
"2016-06-30",24.15,24.34,23.690001,24.33,1665900,24.33
"2016-06-29",24.33,24.559999,23.889999,24.27,2360100,24.27
"2016-06-28",24.07,24.48,23.690001,23.98,1901900,23.98
"2016-06-27",24.01,24.24,23.280001,23.43,2031700,23.43
"2016-06-24",24.299999,25.040001,24.299999,24.6,2475000,24.6
"2016-06-23",25.76,26.18,25.559999,25.860001,2044000,25.860001
"2016-06-22",25.4,25.93,25.18,25.52,1828900,25.52
"2016-06-21",24.5,25.43,24.110001,25.200001,1451400,25.200001
"2016-06-20",25.110001,25.389999,24.540001,24.540001,1971000,24.540001
"2016-06-17",24.17,24.940001,24.01,24.75,1725400,24.75
"2016-06-16",24.25,24.25,23.41,23.84,2062800,23.84
"2016-06-15",24.450001,25.040001,24.290001,24.559999,2139800,24.559999
"2016-06-14",24.07,24.690001,24.01,24.68,2016400,24.68
"2016-06-13",24.129999,24.790001,23.870001,24.280001,1899400,24.280001
"2016-06-10",25.110001,25.139999,24.27,24.32,1668000,24.32
"2016-06-09",25.110001,25.65,24.860001,25.48,2485200,25.48
"2016-06-08",26.360001,26.719999,25.59,25.59,2170200,25.59
"2016-06-07",25.59,26.15,25.26,26.040001,2346500,26.040001
"2016-06-06",24.08,25.629999,24.08,25.58,2107300,25.58
"2016-06-03",24.370001,24.559999,23.620001,23.879999,2475600,23.879999
"2016-06-02",24.969999,25.030001,24.219999,24.299999,2714500,24.299999
"2016-06-01",25.290001,25.469999,24.67,25.309999,2069700,25.309999
"2016-05-31",25.51,26.370001,25.33,25.82,2388200,25.82
"2016-05-27",25.15,25.17,24.5,25.120001,2124900,25.120001
"2016-05-25",24.309999,25.540001,24.17,25.450001,2309600,25.450001
"2016-05-24",23.870001,24.33,23.5,24.190001,1859500,24.190001
"2016-05-23",23.93,24.049999,23.309999,23.75,1999900,23.75
"2016-05-20",23.610001,24.34,23.5,24.18,1421400,24.18
"2016-05-19",23.25,23.83,22.99,23.57,1569400,23.57
"2016-05-18",24.290001,24.6,23.34,23.549999,1805400,23.549999
"2016-05-17",23.82,24.959999,23.77,24.389999,1636800,24.389999
"2016-05-16",23.799999,24.370001,23.700001,23.879999,1826300,23.879999
"2016-05-13",24.07,24.59,23.48,23.5,1522600,23.5
"2016-05-12",24.32,24.690001,23.66,24.18,2258400,24.18
"2016-05-11",23.51,24.23,23.280001,23.98,2029600,23.98
"2016-05-10",23.440001,24.1,23.4,23.6,1671100,23.6
"2016-05-06",23.4,25.059999,23.290001,24.799999,2635700,24.799999
"2016-05-05",24.25,24.440001,23.370001,23.67,2839600,23.67
"2016-05-04",24,24.639999,23.139999,23.610001,2725000,23.610001
"2016-05-03",24.34,24.48,23.440001,23.9,2848000,23.9
"2016-05-02",24.969999,25.200001,23.309999,24.540001,4369600,24.540001
"2016-04-29",24.49,25.129999,23.59,24.26,3699700,24.26
"2016-04-28",24.49,25.120001,24.209999,24.290001,2147200,24.290001
"2016-04-27",23.889999,24.969999,23.889999,24.629999,2459500,24.629999
"2016-04-26",23.25,23.719999,22.83,23.65,1499300,23.65
"2016-04-25",23.629999,23.879999,23.01,23.139999,1957200,23.139999
"2016-04-22",23.18,24.57,23.030001,23.9,1556400,23.9
"2016-04-21",24,24.299999,23,23.200001,1855300,23.200001
"2016-04-20",23.709999,24.34,23.299999,23.879999,1975200,23.879999
"2016-04-19",22.629999,23.799999,22.6,23.76,2245900,23.76
"2016-04-18",21.389999,22.559999,20.85,22.35,1716100,22.35
"2016-04-15",22.09,22.389999,21.43,22.129999,2326200,22.129999
"2016-04-14",22.719999,22.83,21.959999,22.27,1892900,22.27
"2016-04-13",22.299999,22.9,22.209999,22.549999,1880000,22.549999
"2016-04-12",21.629999,22.5,21.129999,22.25,2738800,22.25
"2016-04-11",21.08,21.73,21.030001,21.26,1550800,21.26
"2016-04-07",20.879999,21.190001,20.08,20.280001,3063100,20.280001
"2016-04-06",21.209999,21.549999,20.65,21.02,2246000,21.02
"2016-04-04",20.98,21.24,20.530001,20.99,2059500,20.99
"2016-04-01",21.17,21.379999,20.67,20.969999,2365000,20.969999
"2016-03-31",21.370001,21.82,21.25,21.73,2309700,21.73
"2016-03-30",21.76,21.870001,21.02,21.379999,2620600,21.379999
"2016-03-29",21.82,22,20.58,21.459999,3347500,21.459999
"2016-03-28",22,22.639999,21.82,22.6,2270000,22.6
"2016-03-24",21.309999,22.459999,21.26,21.959999,3919700,21.959999
