"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-08-01",55.200001,56.540001,55.200001,55.939999,3219600,52.971733
"2014-07-31",55.380001,55.869999,54.720001,54.799999,1855300,51.892223
"2014-07-30",57.169998,57.189999,55.580002,55.779999,1684000,52.820223
"2014-07-29",57.470001,57.869999,57.009998,57.02,1701600,53.994428
"2014-07-28",56.599998,57.630001,56.459999,57.470001,1142600,54.420551
"2014-07-25",57.290001,57.880001,56.560001,56.619999,1349400,53.615651
"2014-07-24",56.759998,57.189999,56.580002,56.959999,977100,53.93761
"2014-07-23",56.93,57.09,56.580002,56.650002,939400,53.644062
"2014-07-22",57.200001,57.259998,56.950001,56.959999,1008100,53.93761
"2014-07-21",56.98,57.279999,56.689999,57,1066300,53.975489
"2014-07-18",56.779999,57.130001,56.369999,57.110001,1241300,54.079652
"2014-07-17",56.880001,57.119999,56.509998,56.549999,1834400,53.549366
"2014-07-16",56.630001,56.810001,56.290001,56.799999,1550300,53.7861
"2014-07-15",55.990002,56.77,55.990002,56.549999,1935600,53.549366
"2014-07-14",56.790001,56.799999,55.869999,55.959999,2225000,52.990672
"2014-07-11",56.950001,57.029999,56.380001,56.619999,1317000,53.615651
"2014-07-10",56.290001,57.16,56.290001,56.990002,1344700,53.966021
"2014-07-09",56.700001,56.779999,56.119999,56.439999,1425900,53.445202
"2014-07-08",56.32,56.889999,56.240002,56.720001,2224200,53.710347
"2014-07-07",55.849998,56.220001,55.77,55.889999,1714200,52.924386
"2014-07-03",56.169998,56.200001,55.330002,55.82,1127500,52.858101
"2014-07-02",57.349998,57.48,56.209999,56.419998,1712300,53.426263
"2014-07-01",58.02,58.110001,57.48,57.529999,2156500,54.477365
"2014-06-30",57.610001,58.240002,57.48,58.110001,1821300,55.026591
"2014-06-27",57.470001,57.91,57.32,57.369999,1899100,54.325855
"2014-06-26",57.32,57.740002,57.099998,57.599998,1456800,54.54365
"2014-06-25",57.549999,58.139999,57.540001,57.91,1287100,54.501041
"2014-06-24",57.41,57.810001,57.279999,57.68,1565900,54.284581
"2014-06-23",57.549999,57.91,56.959999,57.57,2066700,54.181055
"2014-06-20",57.759998,58.099998,57.549999,57.59,1652000,54.199878
"2014-06-19",57.119999,57.849998,56.950001,57.84,2753100,54.435162
"2014-06-18",55.540001,57.16,55.389999,57.110001,2204700,53.748135
"2014-06-17",55.380001,55.639999,55.099998,55.610001,1268100,52.336434
"2014-06-16",54.98,55.98,54.799999,55.610001,2118600,52.336434
"2014-06-13",54.669998,55.07,54.290001,54.889999,1530200,51.658817
"2014-06-12",54.700001,54.950001,53.779999,54.77,2364600,51.545882
"2014-06-11",55.57,55.669998,54.869999,54.889999,1465000,51.658817
"2014-06-10",55.650002,55.849998,55.400002,55.52,978700,52.251732
"2014-06-09",56.009998,56.279999,55.560001,55.720001,1395000,52.43996
"2014-06-06",56.759998,56.919998,56,56.060001,1106600,52.759945
"2014-06-05",56.080002,56.950001,55.860001,56.52,1242900,53.192866
"2014-06-04",56,56.080002,55.73,56.02,2447200,52.722299
"2014-06-03",55.650002,56.470001,55.650002,56.209999,1937800,52.901113
"2014-06-02",55.040001,55.869999,54.700001,55.669998,2128400,52.3929
"2014-05-30",54.580002,55.18,54.360001,55.139999,1671100,51.894101
"2014-05-28",54.130001,54.52,54.02,54.360001,1260500,51.160018
"2014-05-27",54.5,54.669998,54.029999,54.09,1615100,50.905911
"2014-05-23",54.290001,54.419998,53.950001,54.02,1168900,50.840032
"2014-05-22",53.799999,54.619999,53.73,54.360001,1145100,51.160018
"2014-05-21",54.110001,54.23,53.630001,53.73,1452500,50.567102
"2014-05-20",53.950001,54.419998,53.77,54.029999,1875900,50.849442
"2014-05-19",55.18,55.18,53.98,54.040001,2091800,50.858855
"2014-05-16",55.299999,55.43,54.869999,55.279999,1258800,52.025859
"2014-05-15",55.200001,55.669998,55.029999,55.240002,1563600,51.988216
"2014-05-14",54.970001,55.43,54.849998,55.099998,1423000,51.856454
"2014-05-13",54.84,55.139999,54.689999,54.950001,1292200,51.715286
"2014-05-12",55.5,55.560001,54.759998,54.82,1256700,51.592938
"2014-05-09",56.16,56.240002,55.240002,55.290001,1710300,52.035272
"2014-05-08",57.060001,57.220001,56.040001,56.09,1831200,52.788178
"2014-05-07",56.139999,57.18,56.130001,57.099998,2626700,53.738721
"2014-05-06",55.869999,56.189999,55.75,56.009998,1914100,52.712886
"2014-05-05",55.279999,55.950001,55.240002,55.939999,1740700,52.647007
"2014-05-01",56.77,56.860001,55.98,56.700001,1557300,53.36227
"2014-04-30",55.860001,57.700001,55.860001,56.560001,3416200,53.230512
"2014-04-29",57.130001,57.150002,56,56.689999,3020400,53.352857
"2014-04-28",57.07,57.330002,56.650002,57,2997900,53.644609
"2014-04-25",56.790001,57.060001,56.5,56.93,2202400,53.57873
"2014-04-24",56.41,57,56.23,56.740002,2148300,53.399916
"2014-04-23",56.43,57.259998,56.259998,56.34,2205700,53.023461
"2014-04-22",56.360001,56.48,55.970001,56.259998,1897900,52.948169
"2014-04-21",56.380001,56.939999,56.040001,56.349998,2174300,53.032871
"2014-04-17",57.09,57.619999,56.310001,56.380001,3057700,53.061108
"2014-04-16",57.09,57.09,56.509998,56.889999,2904500,53.541084
"2014-04-15",56.580002,57.02,56.25,56.950001,2242100,53.597553
"2014-04-14",56.470001,56.830002,56.18,56.610001,1891400,53.277568
"2014-04-11",56.25,56.709999,56.139999,56.32,2281800,53.004638
"2014-04-10",56.630001,56.93,56.330002,56.560001,2569000,53.230512
"2014-04-09",56.259998,56.669998,55.720001,56.639999,2797900,53.305801
"2014-04-08",55.759998,56.529999,55.580002,56.349998,3302500,53.032871
"2014-04-07",55.93,56.59,55.849998,55.91,3119300,52.618774
"2014-04-04",56.5,56.880001,55.759998,55.93,3483400,52.637597
"2014-04-03",56.139999,56.720001,55.970001,56.470001,2342700,53.14581
"2014-04-02",56.049999,56.16,55.650002,55.959999,2755700,52.66583
"2014-04-01",56.619999,56.740002,55.759998,56.619999,3120100,53.286978
"2014-03-31",55.830002,56.610001,55.59,56.610001,4097000,53.277568
"2014-03-28",54.349998,55.439999,54.310001,55.290001,3619900,52.035272
"2014-03-27",53.459999,54.130001,53.02,53.889999,2362500,50.717684
"2014-03-26",54.389999,54.52,53.779999,53.810001,1935800,50.308291
"2014-03-25",54.439999,54.52,53.68,54.360001,1966700,50.822499
"2014-03-24",53.759998,54.43,53.759998,54.290001,4961800,50.757054
"2014-03-21",52.209999,54.349998,51.900002,53.869999,5739700,50.364384
"2014-03-20",51.68,52.040001,51.139999,52.02,1866000,48.634775
"2014-03-19",51.459999,53.029999,51.459999,51.779999,2526700,48.410392
"2014-03-18",52.5,52.700001,52.32,52.619999,1527600,49.195728
"2014-03-17",52.099998,52.459999,51.849998,52.400002,1963400,48.990047
"2014-03-14",51.919998,52.490002,51.650002,52.060001,2746700,48.672173
"2014-03-13",51.380001,51.970001,51.380001,51.77,3429300,48.401044
"2014-03-12",50.939999,51.700001,50.75,51.700001,1994800,48.3356
"2014-03-11",51.110001,51.299999,50.549999,50.759998,2421400,47.456768
"2014-03-10",51.310001,51.400002,50.950001,51.18,1625800,47.849438
"2014-03-07",50.98,51.419998,50.799999,51.419998,1640900,48.073818
"2014-03-06",51.66,51.849998,50.900002,51.169998,2036200,47.840087
"2014-03-05",52.18,52.209999,51.470001,51.549999,1603700,48.195359
"2014-03-04",52.34,52.48,52.09,52.209999,1671800,48.81241
"2014-03-03",52.200001,52.43,51.880001,51.900002,1530800,48.522585
"2014-02-28",52.119999,52.799999,52.099998,52.369999,1978600,48.961997
"2014-02-27",52,52.139999,51.419998,52.07,3183000,48.681521
"2014-02-26",51.689999,52.66,51.689999,52,2975100,48.616076
"2014-02-25",51.57,52,50.900002,51.240002,2656900,47.905535
"2014-02-24",51.299999,52.07,51.240002,51.5,2824700,48.148614
"2014-02-21",51.25,51.759998,51.110001,51.360001,2131700,48.017725
"2014-02-20",50.799999,51.360001,50.57,51.220001,1135500,47.886836
"2014-02-19",50.889999,51.290001,50.540001,50.700001,1826700,47.400675
"2014-02-18",50.470001,51.09,50.419998,50.98,1556800,47.662453
"2014-02-14",50.169998,50.560001,49.970001,50.540001,1260700,47.251087
"2014-02-13",49.25,50.220001,49.220001,50.189999,1736200,46.923862
"2014-02-12",49.27,49.779999,49.18,49.630001,1455400,46.400306
"2014-02-11",48.84,49.599998,48.630001,49.439999,1332500,46.222668
"2014-02-10",48.5,48.919998,48.110001,48.799999,1667200,45.624317
"2014-02-07",48.68,48.82,48.380001,48.709999,1630800,45.540174
"2014-02-06",47.98,48.740002,47.790001,48.669998,1624200,45.502776
"2014-02-05",47.669998,48.07,47.27,47.959999,1925000,44.83898
"2014-02-04",48.419998,48.529999,47.209999,47.91,2630900,44.792235
"2014-02-03",48.389999,49.139999,48.099998,48.189999,2886900,45.054012
"2014-01-31",47.52,48.419998,47.290001,48.16,1768400,45.025966
"2014-01-30",47.150002,48.080002,47.150002,47.950001,1320200,44.829633
"2014-01-29",47.299999,47.549999,47.07,47.119999,1653600,44.053643
"2014-01-28",47.25,47.599998,47.040001,47.400002,1544300,44.315425
"2014-01-27",47,47.580002,46.869999,47.189999,2498600,44.119088
"2014-01-24",47.57,47.689999,46.919998,46.919998,2714700,43.866658
"2014-01-23",47.689999,48.139999,47.57,47.650002,2740600,44.549156
"2014-01-22",47.470001,48.02,47.34,47.799999,2320500,44.689392
"2014-01-21",47.150002,47.700001,47.060001,47.700001,3183600,44.595901
"2014-01-17",47.080002,47.380001,46.759998,46.900002,1802500,43.847962
"2014-01-16",46.400002,46.93,46.150002,46.93,2628300,43.876009
"2014-01-15",46.360001,46.77,46.130001,46.369999,2201000,43.35245
"2014-01-14",45.77,46.330002,45.639999,46.27,2785700,43.258959
"2014-01-13",45.619999,45.759998,45.259998,45.48,2597200,42.520368
"2014-01-10",45.470001,46.150002,45.389999,45.509998,2407700,42.548414
"2014-01-09",45.16,45.290001,44.740002,45.139999,2518900,42.202493
"2014-01-08",45.34,45.52,44.950001,45.07,2822300,42.137049
"2014-01-07",45.43,45.669998,45.43,45.48,2487100,42.520368
"2014-01-06",45.639999,45.639999,45.349998,45.41,2094300,42.454923
"2014-01-03",45.549999,45.709999,45.290001,45.439999,2218100,42.48297
"2014-01-02",46.060001,46.490002,45.41,45.43,2415000,42.473622
"2013-12-31",46.240002,46.509998,46.139999,46.299999,1140700,43.287006
"2013-12-30",45.919998,46.330002,45.919998,46.290001,1909600,43.277658
"2013-12-27",45.810001,46.200001,45.720001,45.970001,816900,42.978482
"2013-12-26",46.540001,46.650002,46.009998,46.16,915300,42.824219
"2013-12-24",46.029999,46.75,45.93,46.529999,629400,43.167479
"2013-12-23",46.689999,46.82,46.09,46.139999,1765500,42.805663
"2013-12-20",46.25,46.98,46.220001,46.580002,3111000,43.213869
"2013-12-19",46.009998,46.189999,45.41,46.119999,2140100,42.787108
"2013-12-18",45.57,46.119999,45.16,46.080002,2693900,42.750002
"2013-12-17",45.849998,46.009998,45.450001,45.630001,1595700,42.332521
"2013-12-16",45.810001,46.25,45.799999,45.959999,1410200,42.638671
"2013-12-13",45.59,45.849998,45.450001,45.68,1487500,42.378907
"2013-12-12",45.310001,45.779999,45.09,45.450001,2391200,42.165528
"2013-12-11",45.580002,45.630001,44.970001,45.23,2632300,41.961425
"2013-12-10",46.119999,46.220001,45.400002,45.490002,2850400,42.202638
"2013-12-09",45.900002,46.330002,45.869999,46.220001,1792900,42.879884
"2013-12-06",45.689999,46.07,45.529999,45.889999,3734100,42.57373
"2013-12-05",45.84,45.860001,45.209999,45.400002,2160300,42.119142
"2013-12-04",45.740002,46.279999,45.630001,46.029999,1292200,42.703612
"2013-12-03",46.029999,46.220001,45.720001,46.02,2191500,42.694336
"2013-12-02",46.209999,46.509998,46,46.110001,3088000,42.777833
"2013-11-29",45.73,46.349998,45.73,46.209999,1418300,42.870605
"2013-11-27",45.439999,46.029999,45.419998,45.830002,3083700,42.518068
"2013-11-26",45.619999,45.779999,45.27,45.41,3877000,42.128418
"2013-11-25",46.130001,46.23,45.509998,45.529999,4881900,42.239745
"2013-11-22",47.110001,47.110001,45.939999,46,7138500,42.675781
"2013-11-21",47.59,47.720001,47.18,47.310001,2669300,43.891115
"2013-11-20",48.48,48.529999,47.470001,47.52,1447700,44.085938
"2013-11-19",48.889999,48.98,48.330002,48.380001,2071800,44.88379
"2013-11-18",49.189999,49.200001,48.700001,48.889999,1285100,45.356933
