"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",68.779999,69.760002,68.660004,69.099998,1157800,69.099998
"2016-07-08",67.919998,69.949997,67.769997,68.519997,1334700,68.519997
"2016-07-07",66.410004,67.510002,66.220001,66.989998,1783600,66.989998
"2016-07-06",65.32,66.120003,64.190002,66.080002,2704600,66.080002
"2016-07-05",67.720001,68.010002,65.449997,65.629997,2208900,65.629997
"2016-07-01",68.029999,69.279999,67.919998,68.160004,1621000,68.160004
"2016-06-30",67.599998,67.910004,66.620003,67.900002,2829100,67.900002
"2016-06-29",67.470001,67.699997,66.470001,67.309998,2469400,67.309998
"2016-06-28",66.690002,66.93,65.510002,66.510002,1545800,66.510002
"2016-06-27",67.370003,67.529999,65.190002,65.809998,2148900,65.809998
"2016-06-24",69.699997,70.800003,68.330002,68.410004,3050900,68.410004
"2016-06-23",72.339996,73.010002,72.25,73.010002,666400,73.010002
"2016-06-22",72.239998,72.650002,71.5,71.580002,525100,71.580002
"2016-06-21",72.209999,72.260002,71.239998,72.07,1146100,72.07
"2016-06-20",72.32,73.339996,71.919998,71.970001,1307700,71.970001
"2016-06-17",71.779999,72.510002,71.139999,71.389999,2480900,71.389999
"2016-06-16",70.839996,71.769997,70.089996,71.699997,1092200,71.699997
"2016-06-15",71.620003,72.68,71.510002,71.669998,1121400,71.669998
"2016-06-14",72.169998,72.93,70.760002,71.43,1150900,71.43
"2016-06-13",72.260002,74.150002,71.800003,72.559998,1686000,72.559998
"2016-06-10",71.190002,73.07,71,72.900002,1982000,72.440004
"2016-06-09",72.599998,72.709999,71.510002,71.779999,1780700,71.327068
"2016-06-08",74.830002,75.129997,73.529999,73.620003,1450200,73.155462
"2016-06-07",73.910004,74.980003,73.830002,74.559998,957100,74.089525
"2016-06-06",73.120003,74.230003,72.940002,73.919998,1125000,73.453564
"2016-06-03",73.629997,73.709999,72.220001,72.769997,986300,72.310819
"2016-06-02",73.610001,73.949997,72.82,73.709999,860800,73.24489
"2016-06-01",73.010002,73.970001,72.550003,73.919998,790300,73.453564
"2016-05-31",73.730003,74.199997,73.089996,73.360001,869400,72.8971
"2016-05-27",73.629997,74.269997,73.339996,73.760002,614900,73.294578
