"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-03-01",57.689999,58.580002,57.040001,58.060001,3732400,56.971165
"2016-02-29",57.43,57.759998,56.68,56.709999,4059500,55.64648
"2016-02-26",57.540001,57.98,57.060001,57.27,2385000,56.195979
"2016-02-25",56.75,57.34,56.09,57.279999,2418100,56.20579
"2016-02-24",55.810001,56.919998,54.91,56.799999,2784600,55.734792
"2016-02-23",57.400002,57.93,56.41,56.549999,2522700,55.48948
"2016-02-22",56.009998,57.91,56.009998,57.68,4353300,56.59829
"2016-02-19",55.860001,56.150002,54.919998,56.009998,2669700,54.959607
"2016-02-18",56.16,56.490002,55.869999,56.200001,2727800,55.146046
"2016-02-17",55.41,56.77,55.099998,56.009998,3586700,54.959607
"2016-02-16",54.18,54.91,53.509998,54.82,3512400,53.791925
"2016-02-12",53.91,54.509998,53.049999,54.200001,4027000,53.183553
"2016-02-11",52.59,53.720001,52.349998,53.099998,4928200,52.10418
"2016-02-10",54.599998,54.959999,53.639999,53.700001,3496500,52.69293
"2016-02-09",53.759998,55.25,53.759998,54.48,5233800,53.458301
"2016-02-08",54,55.299999,53.139999,55.110001,6236700,54.076487
"2016-02-05",53.970001,55.25,53.75,54.66,4270900,53.634925
"2016-02-04",52.470001,55.259998,52.470001,54.360001,6098100,53.340552
"2016-02-03",51.950001,52.619999,50.310001,52.48,7387400,51.495808
"2016-02-02",49.610001,50.080002,48.610001,49,5797600,48.081071
"2016-02-01",50.040001,50.450001,49.27,50.220001,3902600,49.278193
"2016-01-29",48.599998,50.509998,47.75,50.509998,8031300,49.562752
"2016-01-28",50.299999,50.700001,49.5,50.189999,3825800,49.248753
"2016-01-27",48.990002,50.709999,48.32,49.439999,4581500,48.512818
"2016-01-26",48.27,49.139999,47.459999,49.02,3406900,48.100697
"2016-01-25",48.23,48.560001,47.150002,47.27,2506000,46.383516
"2016-01-22",48.869999,49.470001,47.689999,48.509998,3436800,47.600259
"2016-01-21",47.57,48.689999,46.779999,47.779999,3767200,46.88395
"2016-01-20",47.23,47.950001,46.189999,47.509998,4127000,46.619013
"2016-01-19",48.599998,48.740002,47.450001,48.09,3473400,47.188137
"2016-01-14",48.709999,48.709999,47.150002,48.32,4650700,47.413823
"2016-01-13",50.110001,50.59,48.349998,48.43,3562300,47.521761
"2016-01-12",49.73,50.09,48.849998,49.950001,3416100,49.013256
"2016-01-11",49.639999,49.810001,48.580002,49.150002,3176000,48.22826
"2016-01-08",50.049999,50.41,49.060001,49.169998,3448200,48.247881
"2016-01-07",49.950001,50.259998,49.380001,49.73,4586600,48.797381
"2016-01-06",50.82,51.290001,50.360001,50.919998,2873000,49.965062
"2016-01-05",52.220001,52.34,51.259998,51.849998,2102300,50.877622
"2016-01-04",52.040001,52.259998,50.779999,52.220001,3840100,51.240686
"2015-12-31",52.41,52.790001,52.02,52.040001,2164400,51.064061
"2015-12-30",52.889999,53.299999,52.509998,52.59,1842700,51.603746
"2015-12-29",53.029999,53.459999,52.709999,53.080002,2587300,52.084558
"2015-12-28",53.099998,53.209999,52.25,52.59,1913400,51.603746
"2015-12-24",53.200001,53.5,53.009998,53.25,985900,52.251368
