"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-07-01",34.259998,35.450001,34.169998,35.299999,9850500,34.641495
"2014-06-30",35.310001,35.610001,35.119999,35.150002,11021600,34.494295
"2014-06-27",35.07,35.549999,34.599998,35.25,15120600,34.592428
"2014-06-26",34.779999,35.27,34.52,35.150002,10378200,34.494295
"2014-06-25",34.209999,35.060001,33.990002,34.880001,27264300,34.229331
"2014-06-24",34.330002,34.599998,34.130001,34.209999,12755900,33.571828
"2014-06-23",34.599998,34.779999,34.34,34.34,9490300,33.699404
"2014-06-20",35.279999,35.349998,34.48,34.540001,21913100,33.895674
"2014-06-19",35.5,35.630001,35.139999,35.369999,8012300,34.710188
"2014-06-18",35.610001,35.610001,35.240002,35.369999,12601800,34.710188
"2014-06-17",35.549999,35.91,35.470001,35.509998,9384100,34.847576
"2014-06-16",35.259998,35.98,35.02,35.73,10469300,35.063473
"2014-06-13",35.439999,35.639999,34.970001,35.52,9801200,34.857392
"2014-06-12",36.009998,36.060001,35.290001,35.41,13747200,34.749443
"2014-06-11",35.900002,36.220001,35.889999,36.119999,12274800,35.446197
"2014-06-10",36.040001,36.209999,35.830002,36.080002,15010600,35.406947
"2014-06-09",36.049999,36.43,36.040001,36.209999,8810200,35.534519
"2014-06-06",36.32,36.32,35.810001,36.040001,7271500,35.367692
"2014-06-05",35.610001,36.110001,35.369999,36.09,9458200,35.416758
"2014-06-04",35.349998,35.639999,35.189999,35.5,8688000,34.837764
"2014-06-03",35.349998,35.599998,35.27,35.389999,7620600,34.729816
"2014-06-02",35.380001,35.59,35.32,35.540001,7432400,34.877019
"2014-05-30",35.639999,35.639999,35.310001,35.41,12805700,34.749443
"2014-05-29",35.150002,35.509998,35.09,35.509998,13876200,34.847576
"2014-05-28",34.860001,35.209999,34.59,35.16,9157700,34.504107
"2014-05-27",35.049999,35.23,34.619999,34.779999,9437400,34.131194
"2014-05-23",34.5,34.98,34.439999,34.950001,7054200,34.298025
"2014-05-22",34.5,34.759998,34.369999,34.529999,7294700,33.885858
"2014-05-21",34.119999,34.66,34.119999,34.549999,6896700,33.905485
"2014-05-20",34.299999,34.439999,33.950001,34.09,10011700,33.454067
"2014-05-19",33.889999,34.27,33.849998,34.119999,6774900,33.483507
"2014-05-16",34.060001,34.279999,33.580002,34.07,9684700,33.43444
"2014-05-15",34.220001,34.279999,33.279999,34.02,19434900,33.385373
"2014-05-14",34.77,34.880001,34.209999,34.279999,8352000,33.640522
"2014-05-13",35.189999,35.299999,34.799999,34.900002,10517200,34.248959
"2014-05-12",34.48,35.59,34.299999,35.189999,20714200,34.533546
"2014-05-09",34.240002,34.240002,33.419998,34.150002,16088700,33.512949
"2014-05-08",32.990002,34.580002,32.849998,34.220001,28312000,33.581643
"2014-05-07",32.150002,32.580002,31.83,32.119999,16791100,31.520816
"2014-05-06",32.669998,32.869999,32.32,32.41,7885400,31.805407
"2014-05-05",32.400002,32.869999,32.110001,32.82,6244300,32.207758
"2014-05-02",32.630001,32.689999,32.220001,32.52,7603200,31.913355
"2014-05-01",32.080002,32.709999,31.9,32.470001,12006300,31.864289
"2014-04-30",31.969999,32.32,31.559999,32.02,16338600,31.422683
"2014-04-29",32.009998,32.080002,31.59,32.009998,10361100,31.412867
"2014-04-28",32.700001,32.889999,31.4,31.780001,17278400,31.18716
"2014-04-25",32.689999,32.84,32.529999,32.639999,11021900,32.031116
"2014-04-24",32.849998,32.950001,32.57,32.880001,9815400,32.26664
"2014-04-23",32.75,32.990002,32.549999,32.720001,12060900,32.109625
"2014-04-22",32.599998,33.130001,32.599998,32.799999,11829300,32.188131
"2014-04-21",32.73,32.75,32.169998,32.59,7500200,31.982049
"2014-04-17",32.150002,32.689999,31.99,32.52,14956000,31.913355
"2014-04-16",31.84,32.279999,31.790001,32.279999,11856900,31.677831
"2014-04-15",31.93,32.080002,31.190001,31.65,13080500,31.059584
"2014-04-14",32.099998,32.200001,31.66,31.889999,12410600,31.295107
"2014-04-11",32.150002,32.299999,31.6,31.91,17041600,31.314734
"2014-04-10",33.130001,33.240002,32.27,32.43,17692800,31.825034
"2014-04-09",32.369999,33.169998,32.290001,33.119999,15465800,32.502161
"2014-04-08",31.75,32.560001,31.549999,32.360001,13206300,31.75634
"2014-04-07",32.740002,32.830002,31.389999,32,27255000,31.403055
"2014-04-04",34.009998,34.09,32.830002,32.869999,18400900,32.256825
"2014-04-03",33.75,34.150002,33.459999,33.740002,17763200,33.110598
"2014-04-01",32.169998,33.07,32.099998,33.040001,19746700,32.423655
"2014-03-31",31.67,32.150002,31.67,31.969999,10982000,31.373614
"2014-03-28",31.82,31.9,31.33,31.610001,14526200,31.020331
"2014-03-27",31.98,32.220001,31.57,31.67,15958900,31.079211
"2014-03-26",32.529999,32.91,32.060001,32.07,13369300,31.471749
"2014-03-25",32.32,32.709999,32.200001,32.509998,12714800,31.90354
"2014-03-24",32.709999,32.810001,32.119999,32.27,9884500,31.668019
"2014-03-21",33.34,33.490002,32.599998,32.73,19977700,32.119437
"2014-03-20",32.669998,33.009998,32.540001,32.75,12111700,32.139064
"2014-03-19",32.790001,33.209999,32.77,33,11203200,32.384401
"2014-03-18",32.540001,33.139999,32.25,33.060001,11626700,32.443283
"2014-03-17",32.599998,32.75,32.330002,32.389999,10386100,31.785779
"2014-03-14",31.99,32.419998,31.98,32.290001,7336700,31.687646
"2014-03-13",32.700001,32.869999,32.009998,32.110001,12232800,31.511004
"2014-03-12",33,33.07,32.59,32.689999,12339100,32.080182
"2014-03-11",33.669998,33.720001,32.82,32.970001,12122900,32.354961
"2014-03-10",33.82,33.950001,33.450001,33.689999,5967200,33.061528
"2014-03-07",34.560001,34.700001,33.84,33.91,10780900,33.154757
"2014-03-06",34.080002,34.650002,33.93,34.34,17528700,33.57518
"2014-03-05",34,34.32,33.740002,33.939999,10654300,33.184087
"2014-03-03",33.360001,33.529999,32.849998,33.060001,7449000,32.323689
"2014-02-27",32.700001,33.119999,32.68,33.040001,6826700,32.304134
"2014-02-26",33.16,33.32,32.77,32.830002,9073900,32.098812
"2014-02-25",33.189999,33.470001,33.080002,33.189999,7500900,32.450791
"2014-02-24",32.93,33.610001,32.93,33.169998,12046100,32.431236
"2014-02-21",32.639999,33.040001,32.560001,32.939999,8929800,32.206359
"2014-02-20",32.93,32.93,32.580002,32.669998,9602400,31.942372
"2014-02-19",32.849998,33.080002,32.740002,32.77,9525600,32.040147
"2014-02-18",32.639999,33.23,32.639999,33.029999,12903500,32.294355
"2014-02-14",31.809999,32.779999,31.809999,32.59,9127600,31.864156
"2014-02-13",32.470001,32.82,32.209999,32.240002,12655000,31.521953
"2014-02-12",32.049999,32.669998,32.049999,32.57,18143300,31.844601
"2014-02-11",31.93,32.34,31.91,32.150002,10069200,31.433957
"2014-02-10",32.150002,32.32,31.889999,32.150002,10191600,31.433957
"2014-02-07",32.310001,32.450001,31.879999,32.240002,12374200,31.521953
"2014-02-06",31.280001,32.950001,31.25,32.150002,18462100,31.433957
"2014-02-05",31.040001,31.860001,30.83,31.719999,17585100,31.013532
"2014-02-04",31.110001,31.860001,31,31.559999,25115900,30.857095
"2014-02-03",31.799999,32.02,30.690001,30.879999,17686400,30.19224
"2014-01-31",31.41,32.16,31.389999,31.82,15747300,31.111305
"2014-01-30",31.059999,32.349998,30.92,32.02,16954400,31.306851
"2014-01-29",30.98,31.33,30.67,30.73,19159900,30.045581
"2014-01-28",31.139999,31.530001,31.02,31.27,12628100,30.573555
"2014-01-24",31.51,31.59,31.18,31.27,14916500,30.573555
