"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-06-01",27.26,27.34,27.07,27.280001,33322400,26.201104
"2015-05-29",27.5,27.5,27.27,27.27,41661000,26.191499
"2015-05-28",27.5,27.629999,27.299999,27.629999,26418300,26.537261
"2015-05-27",27.57,27.620001,27.459999,27.52,25326800,26.431612
"2015-05-26",27.52,27.58,27.379999,27.52,47465200,26.431612
"2015-05-22",27.690001,27.780001,27.620001,27.68,23289300,26.585284
"2015-05-21",27.68,27.790001,27.549999,27.719999,40311100,26.623701
"2015-05-20",27.34,27.700001,27.200001,27.639999,40173600,26.546865
"2015-05-19",27.27,27.389999,27.209999,27.35,29150800,26.268335
"2015-05-18",27.209999,27.389999,27.209999,27.309999,22489500,26.229916
"2015-05-15",27.379999,27.440001,27.25,27.27,35768700,26.191499
"2015-05-14",27.32,27.43,27.15,27.41,26976100,26.325962
"2015-05-13",27.02,27.24,26.92,27.209999,37170400,26.133871
"2015-05-11",27.25,27.299999,26.860001,26.92,32453400,25.855341
"2015-05-08",27.25,27.49,27.219999,27.360001,37221500,26.27794
"2015-05-07",26.780001,27.120001,26.66,27.040001,31038200,25.970596
"2015-05-06",27,27.18,26.610001,26.809999,27761000,25.749691
"2015-05-05",27.25,27.360001,26.85,26.92,30347300,25.855341
"2015-05-04",27.360001,27.610001,27.25,27.27,26201700,26.191499
"2015-05-01",27.09,27.32,26.99,27.309999,28303300,26.229916
"2015-04-30",27.059999,27.35,26.969999,27.08,42985000,26.009013
"2015-04-29",26.950001,27.25,26.9,27.09,37154000,26.018618
"2015-04-28",26.950001,27.16,26.639999,27.120001,38426600,26.047432
"2015-04-27",26.959999,27,26.809999,26.879999,36217700,25.816922
"2015-04-24",26.879999,26.940001,26.700001,26.799999,27714000,25.740086
"2015-04-23",26.780001,27.07,26.709999,26.85,38165800,25.78811
"2015-04-22",26.700001,27.02,26.6,26.91,47056100,25.845736
"2015-04-21",27.030001,27.059999,26.549999,26.620001,76872300,25.567207
"2015-04-20",27.32,27.440001,27.01,27.02,61687000,25.951387
"2015-04-17",27.4,27.700001,26.92,27.25,87794500,26.17229
"2015-04-16",27.309999,27.5,27.18,27.280001,62363100,26.201104
"2015-04-15",27.690001,27.85,27.43,27.459999,56420100,26.373984
"2015-04-14",27.48,27.84,27.379999,27.73,55777200,26.633306
"2015-04-13",28.059999,28.190001,27.5,27.629999,153984900,26.537261
"2015-04-10",27.129999,28.68,27,28.51,352701900,27.382458
"2015-04-09",25.09,25.83,24.92,25.73,60149900,24.712404
"2015-04-08",25.049999,25.120001,24.870001,25.01,22439200,24.02088
"2015-04-07",25.17,25.280001,25,25.02,21261600,24.030485
"2015-04-06",24.9,25.41,24.790001,25.18,33445100,24.184157
"2015-04-02",24.809999,25,24.700001,24.940001,29213100,23.953649
"2015-04-01",24.719999,24.92,24.57,24.84,38749500,23.857603
"2015-03-31",25.09,25.09,24.809999,24.809999,34940900,23.828789
"2015-03-30",24.98,25.200001,24.969999,25.120001,27281400,24.12653
"2015-03-27",24.92,24.92,24.709999,24.860001,28320600,23.876813
"2015-03-26",24.799999,24.92,24.67,24.799999,32504400,23.819184
"2015-03-25",25.23,25.33,24.91,24.91,34897400,23.924834
