"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-01",9.51,9.56,9.38,9.56,11356200,9.48941
"2016-03-31",9.56,9.64,9.44,9.54,12343000,9.469557
"2016-03-30",9.58,9.7,9.5,9.59,9984100,9.519188
"2016-03-29",9.48,9.54,9.35,9.53,12676300,9.459631
"2016-03-28",9.6,9.66,9.48,9.53,9123300,9.459631
"2016-03-24",9.53,9.61,9.43,9.59,7322300,9.519188
"2016-03-23",9.68,9.72,9.6,9.63,9943800,9.558893
"2016-03-22",9.61,9.81,9.55,9.7,9901400,9.628376
"2016-03-21",9.65,9.79,9.6,9.69,10847500,9.618449
"2016-03-18",9.6,9.82,9.52,9.67,14802000,9.598597
"2016-03-17",9.47,9.59,9.31,9.55,12791700,9.479484
"2016-03-16",9.59,9.73,9.4,9.48,10726400,9.41
"2016-03-15",9.6,9.71,9.58,9.66,8134100,9.519187
"2016-03-14",9.81,9.86,9.66,9.74,8847300,9.598021
"2016-03-11",9.64,9.83,9.58,9.82,13975900,9.676855
"2016-03-10",9.45,9.62,9.3,9.54,14057400,9.400937
"2016-03-09",9.44,9.47,9.3,9.34,12721900,9.203852
"2016-03-08",9.45,9.56,9.29,9.35,10898700,9.213707
"2016-03-07",9.57,9.71,9.55,9.58,9095900,9.440354
"2016-03-04",9.63,9.77,9.58,9.67,13057800,9.529042
"2016-03-03",9.33,9.63,9.29,9.6,18045100,9.460063
"2016-03-02",9.16,9.33,9.16,9.29,15788100,9.154581
"2016-03-01",8.85,9.2,8.8,9.18,14364200,9.046185
"2016-02-29",8.87,8.92,8.69,8.75,14167300,8.622453
"2016-02-26",8.71,8.99,8.71,8.95,14643400,8.819537
"2016-02-25",8.59,8.68,8.53,8.64,13806600,8.514056
"2016-02-24",8.45,8.61,8.37,8.54,20932500,8.415514
"2016-02-23",8.87,8.89,8.55,8.61,8187300,8.484493
"2016-02-22",8.76,8.86,8.72,8.84,10291900,8.711141
"2016-02-19",8.48,8.68,8.41,8.67,14307400,8.543619
"2016-02-18",8.78,8.82,8.41,8.52,23689100,8.395806
"2016-02-17",8.89,8.99,8.72,8.77,12723700,8.642161
"2016-02-16",8.6,8.88,8.49,8.74,15702600,8.612598
"2016-02-12",8.16,8.51,8.16,8.44,13330900,8.316971
"2016-02-11",8.18,8.18,7.95,8.01,18762400,7.89324
"2016-02-10",8.52,8.6,8.33,8.37,12602000,8.247992
"2016-02-09",8.29,8.55,8.27,8.45,16447500,8.326825
"2016-02-08",8.5,8.52,8.25,8.41,13434500,8.287409
"2016-02-05",8.69,8.8,8.53,8.58,15985600,8.454931
"2016-02-04",8.48,8.79,8.48,8.67,20033700,8.543619
"2016-02-03",8.46,8.57,8.12,8.52,22003800,8.395806
"2016-02-02",8.54,8.54,8.35,8.41,21717900,8.287409
"2016-02-01",8.56,8.73,8.46,8.64,18784500,8.514056
"2016-01-29",8.5,8.58,8.42,8.58,16369200,8.454931
"2016-01-28",8.35,8.54,8.28,8.48,27980100,8.356388
"2016-01-27",8.11,8.5,8.04,8.26,37448900,8.139595
"2016-01-26",8.23,8.38,7.83,8.05,88356100,7.932657
"2016-01-25",9.09,9.15,8.79,8.8,71293800,8.671724
"2016-01-22",9.09,9.23,9.06,9.15,12855800,9.016621
"2016-01-21",8.74,9.37,8.57,9,21720100,8.868808
"2016-01-20",9.26,9.32,9.02,9.26,25958500,9.125019
"2016-01-19",9.78,9.78,9.42,9.48,10383500,9.341811
"2016-01-15",9.55,9.61,9.38,9.58,14389000,9.440354
"2016-01-14",9.82,9.92,9.55,9.85,13622400,9.706418
"2016-01-13",10.22,10.25,9.72,9.75,15425600,9.607876
"2016-01-12",10.18,10.21,9.97,10.18,11974700,10.031608
"2016-01-11",10.14,10.19,9.98,10.1,12756200,9.952774
"2016-01-08",10.4,10.4,10.02,10.05,12049200,9.903503
"2016-01-07",10.32,10.44,10.18,10.23,13056000,10.080878
"2016-01-06",10.51,10.65,10.48,10.55,7561600,10.396214
"2016-01-05",10.76,10.81,10.65,10.72,9529200,10.563736
"2016-01-04",10.76,10.81,10.58,10.7,14209900,10.544027
"2015-12-31",11.09,11.19,11.02,11.06,5767700,10.89878
"2015-12-30",11.24,11.34,11.15,11.17,4590500,11.007177
"2015-12-29",11.12,11.33,11.12,11.3,4702700,11.135282
"2015-12-28",11.13,11.18,10.99,11.15,6511500,10.987468
"2015-12-24",11.17,11.28,11.06,11.21,3705800,11.046594
"2015-12-23",11.03,11.15,11,11.15,4773000,10.987468
"2015-12-22",10.98,11.02,10.78,10.99,7280400,10.8298
"2015-12-21",10.94,11,10.76,10.85,7718600,10.691842
"2015-12-18",11.08,11.09,10.82,10.82,25292000,10.662278
"2015-12-17",11.32,11.36,11.11,11.12,10936000,10.957905
"2015-12-16",11.3,11.39,11.06,11.33,12701100,11.095865
"2015-12-15",11.01,11.29,10.97,11.23,11043900,10.997931
"2015-12-14",10.88,10.96,10.68,10.84,13299700,10.615991
"2015-12-11",10.96,11.07,10.76,10.82,10566700,10.596404
"2015-12-10",10.94,11.22,10.91,11.09,12857500,10.860825
"2015-12-09",11.21,11.33,10.98,11.06,11645800,10.831445
"2015-12-08",11.47,11.51,11.2,11.23,14829300,10.997931
"2015-12-07",11.69,11.75,11.52,11.56,12361800,11.321112
"2015-12-04",11.51,11.78,11.43,11.75,15299300,11.507186
"2015-12-03",11.7,11.8,11.39,11.43,10719100,11.193799
"2015-12-02",11.85,11.87,11.66,11.67,7848600,11.428839
"2015-12-01",11.75,11.85,11.66,11.8,7448900,11.556153
"2015-11-30",11.76,11.79,11.62,11.69,8485000,11.448425
"2015-11-27",11.66,11.76,11.6,11.76,4225000,11.516979
"2015-11-25",11.7,11.75,11.61,11.66,4402800,11.419045
"2015-11-24",11.57,11.7,11.54,11.66,6624000,11.419045
"2015-11-23",11.68,11.76,11.61,11.65,5793500,11.409252
"2015-11-20",11.77,11.79,11.6,11.67,7611100,11.428839
"2015-11-19",11.73,11.75,11.62,11.73,6810300,11.487599
"2015-11-18",11.52,11.72,11.47,11.71,9609400,11.468012
"2015-11-17",11.47,11.6,11.37,11.47,8573900,11.232972
"2015-11-16",11.19,11.42,11.17,11.42,7790500,11.184005
"2015-11-13",11.38,11.41,11.2,11.22,8240200,10.988138
"2015-11-12",11.49,11.55,11.32,11.32,8441900,11.086071
"2015-11-11",11.68,11.69,11.52,11.55,6584300,11.311319
"2015-11-10",11.54,11.65,11.47,11.61,4780400,11.370078
"2015-11-09",11.69,11.73,11.48,11.57,7652900,11.330905
"2015-11-06",11.52,11.75,11.5,11.65,11338600,11.409252
"2015-11-05",11.21,11.42,11.21,11.33,8479900,11.095865
"2015-11-04",11.16,11.26,11.12,11.2,5944800,10.968551
"2015-11-03",11.06,11.24,11.05,11.13,7410600,10.899998
"2015-11-02",11.04,11.16,11,11.11,8979600,10.880411
"2015-10-30",11.31,11.32,10.92,10.97,10364500,10.743305
"2015-10-29",11.32,11.44,11.25,11.3,10117000,11.066485
"2015-10-28",10.96,11.35,10.91,11.35,10597100,11.115452
"2015-10-27",10.91,11.03,10.84,10.9,10118400,10.674751
"2015-10-26",11.09,11.13,10.87,10.97,9644400,10.743305
"2015-10-23",10.97,11.14,10.92,11.13,12389600,10.899998
"2015-10-22",10.5,11.04,10.48,10.87,14853100,10.645371
"2015-10-21",10.84,10.93,10.57,10.62,12486100,10.400537
"2015-10-20",10.74,10.86,10.67,10.82,7953900,10.596404
"2015-10-19",10.65,10.77,10.65,10.7,6545100,10.478884
"2015-10-16",10.77,10.8,10.65,10.7,8520500,10.478884
"2015-10-15",10.62,10.74,10.54,10.72,10919000,10.498471
"2015-10-14",10.66,10.78,10.48,10.53,9011800,10.312397
"2015-10-13",10.83,10.87,10.73,10.74,5441100,10.518057
"2015-10-12",10.79,10.87,10.73,10.86,3605200,10.635577
"2015-10-09",10.87,10.99,10.75,10.79,4400600,10.567024
"2015-10-08",10.84,10.96,10.8,10.92,7009100,10.694338
"2015-10-07",10.86,10.96,10.76,10.9,7448100,10.674751
"2015-10-06",10.73,10.82,10.69,10.77,6130100,10.547438
"2015-10-05",10.64,10.81,10.64,10.78,6747900,10.557231
"2015-10-02",10.42,10.58,10.21,10.58,11686800,10.361364
"2015-10-01",10.62,10.7,10.53,10.69,10751800,10.46909
"2015-09-30",10.5,10.61,10.4,10.6,10269700,10.380951
"2015-09-29",10.28,10.45,10.21,10.44,14830800,10.224256
"2015-09-28",10.47,10.49,10.26,10.29,7364600,10.077357
"2015-09-25",10.45,10.55,10.41,10.49,7981600,10.273223
"2015-09-24",10.27,10.34,10.16,10.32,7808300,10.106736
"2015-09-23",10.32,10.46,10.28,10.36,8464100,10.14591
"2015-09-22",10.34,10.42,10.25,10.33,6864600,10.11653
"2015-09-21",10.42,10.56,10.4,10.52,9817400,10.302604
"2015-09-18",10.55,10.59,10.34,10.36,14841100,10.14591
"2015-09-17",11.02,11.05,10.65,10.69,15629200,10.46909
"2015-09-15",10.83,10.96,10.81,10.94,5694500,10.713924
"2015-09-14",10.79,10.9,10.74,10.86,6779800,10.576817
"2015-09-11",10.74,10.81,10.67,10.81,6583200,10.528121
"2015-09-10",10.7,10.89,10.64,10.82,7077900,10.53786
"2015-09-09",10.99,10.99,10.67,10.71,8412900,10.430728
"2015-09-08",10.78,10.85,10.65,10.84,6747100,10.557339
"2015-09-04",10.6,10.65,10.45,10.55,6631000,10.274901
"2015-09-03",10.61,10.82,10.58,10.71,6348700,10.430728
"2015-09-02",10.6,10.66,10.42,10.59,7884100,10.313858
"2015-09-01",10.7,10.73,10.41,10.45,9841500,10.177508
"2015-08-31",10.84,10.95,10.77,10.91,6308500,10.625513
"2015-08-28",10.85,10.95,10.77,10.91,9609000,10.625513
"2015-08-26",10.45,10.59,10.25,10.58,12418600,10.304118
"2015-08-25",10.73,10.76,10.21,10.21,14236900,9.943766
"2015-08-24",10.44,10.79,10,10.44,17275200,10.167768
"2015-08-21",11.2,11.25,11,11,12415200,10.713166
"2015-08-20",11.51,11.54,11.32,11.32,7810400,11.024822
"2015-08-19",11.83,11.84,11.64,11.64,10887600,11.336478
"2015-08-18",11.76,11.86,11.76,11.84,7234900,11.531263
"2015-08-17",11.69,11.88,11.61,11.79,8604000,11.482567
"2015-08-14",11.66,11.82,11.61,11.8,6390400,11.492306
"2015-08-13",11.49,11.65,11.45,11.62,7866800,11.316999
"2015-08-12",11.6,11.67,11.33,11.51,9865000,11.209868
"2015-08-11",11.8,11.84,11.59,11.64,10487300,11.336478
"2015-08-10",11.62,11.83,11.62,11.83,7147900,11.521523
"2015-08-07",11.71,11.79,11.53,11.6,9609600,11.297521
"2015-08-06",11.82,11.84,11.68,11.73,5621100,11.424131
"2015-08-05",11.7,11.84,11.68,11.77,8733600,11.463089
"2015-08-04",11.73,11.83,11.66,11.67,7781700,11.365696
"2015-08-03",11.7,11.71,11.58,11.7,8219700,11.394913
"2015-07-31",11.78,11.78,11.65,11.67,8886500,11.365696
"2015-07-30",11.68,11.77,11.65,11.77,8228800,11.463089
"2015-07-29",11.7,11.77,11.63,11.73,9866300,11.424131
"2015-07-28",11.7,11.73,11.59,11.69,7266800,11.385174
"2015-07-27",11.7,11.73,11.58,11.6,7186500,11.297521
"2015-07-24",11.79,11.84,11.69,11.76,9155000,11.453349
"2015-07-23",11.78,11.9,11.65,11.73,12861200,11.424131
"2015-07-22",11.61,11.69,11.55,11.6,13232300,11.297521
"2015-07-21",11.67,11.72,11.54,11.58,7876900,11.278042
"2015-07-20",11.55,11.65,11.53,11.62,8143200,11.316999
"2015-07-17",11.54,11.55,11.41,11.54,6951800,11.239085
"2015-07-16",11.59,11.65,11.55,11.58,5939600,11.278042
"2015-07-15",11.5,11.61,11.42,11.53,8976300,11.229346
"2015-07-14",11.33,11.46,11.26,11.44,6445900,11.141693
"2015-07-13",11.31,11.37,11.26,11.36,5779300,11.063779
"2015-07-10",11.23,11.28,11.12,11.21,6750400,10.917691
"2015-07-09",11.19,11.22,11.06,11.12,7771500,10.830037
"2015-07-08",11.04,11.16,11.01,11.05,9572300,10.761863
"2015-07-07",11.31,11.35,11.08,11.22,8670600,10.92743
"2015-07-06",11.21,11.39,11.14,11.34,7086400,11.044301
"2015-07-02",11.47,11.48,11.27,11.35,6485500,11.05404
"2015-06-30",11.32,11.41,11.2,11.31,10193600,11.015083
"2015-06-29",11.29,11.41,11.18,11.2,8400400,10.907951
"2015-06-26",11.49,11.52,11.43,11.46,11165400,11.161172
"2015-06-25",11.63,11.68,11.42,11.43,13886300,11.131954
"2015-06-24",11.67,11.72,11.55,11.58,5867200,11.278042
"2015-06-23",11.6,11.71,11.6,11.68,5379000,11.375435
"2015-06-22",11.45,11.58,11.43,11.57,8566200,11.268303
"2015-06-19",11.47,11.52,11.36,11.36,11370400,11.063779
"2015-06-18",11.35,11.54,11.32,11.51,13679200,11.209868
"2015-06-17",11.53,11.54,11.36,11.36,7698000,11.063779
"2015-06-16",11.37,11.5,11.36,11.49,5430000,11.190389
"2015-06-15",11.39,11.5,11.32,11.41,7606500,11.112475
"2015-06-12",11.48,11.54,11.45,11.52,7523300,11.161173
"2015-06-11",11.44,11.54,11.4,11.48,6570400,11.122418
"2015-06-10",11.43,11.55,11.41,11.44,12088000,11.083664
"2015-06-09",11.29,11.45,11.24,11.39,11778600,11.035222
"2015-06-08",11.32,11.4,11.26,11.27,13668100,10.91896
"2015-06-05",11.27,11.34,11.18,11.34,9324600,10.986779
"2015-06-04",11.24,11.29,11.14,11.16,8946000,10.812385
"2015-06-03",11.18,11.27,11.15,11.27,9604800,10.91896
"2015-06-02",11.04,11.2,11.02,11.17,7446100,10.822074
"2015-06-01",11.15,11.21,10.94,11.04,12028800,10.696123
"2015-05-29",11.3,11.31,11.12,11.13,12263500,10.78332
"2015-05-28",11.24,11.32,11.21,11.28,9811400,10.928647
"2015-05-27",11.14,11.3,11.12,11.27,10991400,10.91896
"2015-05-22",11.34,11.4,11.26,11.26,4964200,10.909271
"2015-05-21",11.31,11.41,11.29,11.34,6637800,10.986779
"2015-05-20",11.44,11.45,11.33,11.35,5443200,10.996468
"2015-05-19",11.28,11.49,11.28,11.45,10554000,11.093352
"2015-05-18",11.08,11.3,11.07,11.26,6830100,10.909271
"2015-05-15",11.26,11.27,11,11.08,5403500,10.734877
"2015-05-14",11.25,11.25,11.13,11.23,6011800,10.880205
"2015-05-13",11.07,11.24,11.03,11.2,8314600,10.851139
"2015-05-11",11,11.15,10.95,11.09,7250800,10.744566
"2015-05-08",10.91,11,10.88,11,4963800,10.657369
"2015-05-07",10.87,10.95,10.83,10.91,7402200,10.570172
"2015-05-06",11.01,11.04,10.81,10.88,8042900,10.541107
"2015-05-05",10.97,11.07,10.95,10.98,10847900,10.637992
"2015-05-04",10.92,11.06,10.89,11.05,7564200,10.705812
"2015-05-01",10.96,10.97,10.81,10.89,4677500,10.550796
"2015-04-30",10.89,11.01,10.84,10.86,11572800,10.52173
"2015-04-29",10.71,10.96,10.71,10.89,11457300,10.550796
"2015-04-28",10.73,10.84,10.67,10.79,13316500,10.45391
"2015-04-27",10.86,10.94,10.69,10.71,12057300,10.376402
"2015-04-24",10.81,10.89,10.75,10.79,10552700,10.45391
"2015-04-23",11,11.01,10.91,10.94,8657500,10.599238
"2015-04-22",10.97,11.12,10.89,11.03,17110200,10.686434
"2015-04-21",11.2,11.26,11.14,11.17,7263200,10.822074
"2015-04-20",11.15,11.2,11.06,11.15,6826300,10.802697
"2015-04-17",11.19,11.25,11.06,11.11,7235500,10.763943
"2015-04-16",11.26,11.32,11.16,11.27,5137300,10.91896
"2015-04-15",11.15,11.32,11.15,11.27,9684900,10.91896
"2015-04-14",11.27,11.29,11.11,11.15,10587500,10.802697
"2015-04-13",11.05,11.3,11.05,11.28,8117500,10.928647
"2015-04-10",11.13,11.15,11.01,11.05,8593000,10.705812
"2015-04-09",11.09,11.13,10.98,11.09,10253800,10.744566
"2015-04-08",11.14,11.18,11.03,11.06,10078500,10.715501
"2015-04-07",11.07,11.18,11.04,11.1,6852700,10.754255
"2015-04-06",10.91,11.12,10.84,11.06,6547100,10.715501
"2015-04-02",11,11.08,10.97,11.04,5585400,10.696123
"2015-04-01",11.03,11.06,10.9,11,7324700,10.657369
"2015-03-31",10.92,11.12,10.89,11.05,8764400,10.705812
"2015-03-30",10.92,11.02,10.89,11.01,4342800,10.667058
"2015-03-27",10.85,10.88,10.76,10.83,4486100,10.492664
"2015-03-26",10.82,10.91,10.68,10.88,8535300,10.541107
"2015-03-25",11.03,11.09,10.82,10.82,7805200,10.482976
"2015-03-24",11.11,11.11,10.99,11.02,10379300,10.676747
"2015-03-23",11.27,11.3,11.15,11.15,4899100,10.802697
"2015-03-20",11.2,11.3,11.07,11.27,10078200,10.91896
"2015-03-19",11.16,11.22,10.99,11.1,8434100,10.754255
"2015-03-18",11.2,11.3,11.05,11.17,8961300,10.822074
