"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-09-01",54.790001,55.43,54.27,54.650002,2150300,53.064693
"2015-08-31",56.150002,56.580002,55.860001,56.049999,1983700,54.424079
"2015-08-28",56.52,56.740002,56.169998,56.639999,1767600,54.996964
"2015-08-27",55.669998,56.610001,55.41,56.580002,1980100,54.938707
"2015-08-26",54.68,55,53.669998,54.889999,2359200,53.297729
"2015-08-25",55.549999,55.869999,53.200001,53.209999,3148400,51.666463
"2015-08-24",52.5,56.029999,50.639999,54.290001,5348300,52.715135
"2015-08-21",58,58.349998,56.139999,56.290001,3846200,54.657119
"2015-08-20",59.130001,59.59,58.529999,58.540001,3177500,56.84185
"2015-08-19",59.32,60.330002,59.200001,59.84,2050800,58.104138
"2015-08-18",59.82,59.98,59.459999,59.790001,1666200,58.055589
"2015-08-17",59.169998,59.98,58.880001,59.880001,1782500,58.142979
"2015-08-14",58.790001,59.59,58.529999,59.23,1457400,57.511833
"2015-08-13",58.360001,59.349998,58.209999,58.900002,1351600,57.191407
"2015-08-12",59.080002,59.189999,58.060001,58.66,2003300,56.958368
"2015-08-11",59.669998,60.02,59.369999,59.720001,2349300,57.98762
"2015-08-10",58.93,60.669998,58.91,60.41,3062700,58.657603
"2015-08-07",58.450001,59.389999,58.27,58.75,1917400,57.045757
"2015-08-06",58.099998,58.720001,57.959999,58.450001,1912400,56.75446
"2015-08-05",58.220001,58.639999,58,58.110001,1548300,56.424323
"2015-08-04",57.66,58.5,57.52,57.950001,1018600,56.268965
"2015-08-03",58.5,58.619999,57.799999,58,1379400,56.317513
"2015-07-31",58.77,58.82,58.110001,58.299999,1631200,56.60881
"2015-07-30",58.25,58.869999,58.25,58.59,1513200,56.890399
"2015-07-29",58.330002,58.779999,58.130001,58.650002,1738500,56.948659
"2015-07-28",58.220001,58.5,57.77,58.18,1861800,56.492292
"2015-07-27",57.380001,58.02,57.25,57.799999,2113300,56.123314
"2015-07-24",58.73,58.73,57.470001,57.57,2608900,55.899987
"2015-07-23",58.810001,59.290001,58.029999,58.25,2205300,56.560261
"2015-07-22",57.459999,59.330002,57.459999,58.610001,4753300,56.909819
"2015-07-21",57.490002,58.049999,56.43,57.669998,6184400,55.997084
"2015-07-20",55.029999,55.349998,54.66,54.939999,2759600,53.346278
"2015-07-17",55.509998,55.599998,54.740002,54.959999,2345000,53.365698
"2015-07-16",56.32,56.439999,55.32,55.68,2241900,54.064813
"2015-07-14",56.939999,58.220001,56.939999,57.610001,3136100,55.938827
"2015-07-13",56.23,56.66,56.029999,56.529999,2064600,54.890155
"2015-07-10",55.43,55.830002,55.27,55.68,1462100,54.064813
"2015-07-09",55.259998,55.380001,54.560001,54.700001,1257900,53.113242
"2015-07-08",55.700001,55.849998,54.27,54.700001,3173100,53.113242
"2015-07-07",56.450001,56.790001,55.349998,56.66,1770700,55.016385
"2015-07-06",56.299999,56.790001,55.779999,56.450001,2430100,54.812477
"2015-07-02",56.59,56.610001,55.650002,56.029999,1362200,54.404659
"2015-07-01",56.91,56.950001,55.939999,56.099998,1927800,54.472628
"2015-06-30",56.59,56.720001,55.849998,56.349998,1894700,54.715376
"2015-06-29",56.509998,56.639999,55.869999,55.93,2197300,54.307561
"2015-06-26",57.700001,57.700001,56.860001,56.91,3588800,55.259132
"2015-06-25",57.880001,57.889999,57.279999,57.419998,1099000,55.754337
"2015-06-24",58.310001,58.540001,57.57,57.849998,1788000,56.171863
"2015-06-23",58.619999,59.040001,58.18,58.200001,2271300,56.511713
