"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",13.17,13.3,13.03,13.16,9729600,13.16
"2016-07-08",13.05,13.16,12.95,13.08,8603600,13.08
"2016-07-07",12.66,12.88,12.59,12.85,13625700,12.85
"2016-07-06",12.26,12.62,12.04,12.6,12005100,12.6
"2016-07-05",12.62,12.71,12.26,12.36,9277500,12.36
"2016-07-01",12.55,12.76,12.51,12.73,10889200,12.73
"2016-06-30",12.27,12.55,12.14,12.55,14463700,12.55
"2016-06-29",11.97,12.23,11.84,12.18,14196400,12.18
"2016-06-28",11.67,11.8,11.51,11.79,15332900,11.79
"2016-06-27",12.11,12.12,11.48,11.55,15065900,11.55
"2016-06-24",12.41,12.63,12.15,12.26,19822700,12.26
"2016-06-23",12.83,12.97,12.79,12.95,13354200,12.95
"2016-06-22",12.81,12.97,12.6,12.61,18255600,12.61
"2016-06-21",13.13,13.36,13.06,13.33,13198700,13.33
"2016-06-20",13.28,13.38,13.06,13.07,12433400,13.07
"2016-06-17",12.98,13.18,12.96,13.12,14437800,13.12
"2016-06-16",12.94,13.02,12.71,12.98,8609900,12.98
"2016-06-15",13.09,13.2,12.96,13,9813000,13
"2016-06-14",13.01,13.2,12.89,13.05,11584300,13.05
"2016-06-13",13.27,13.29,13.02,13.03,13612100,13.03
"2016-06-10",13.71,13.72,13.39,13.5,10148000,13.376
"2016-06-09",13.78,13.89,13.62,13.84,9412000,13.712877
"2016-06-07",13.7,13.8,13.61,13.69,9551200,13.564254
"2016-06-06",13.43,13.7,13.43,13.67,8693900,13.544438
"2016-06-03",13.47,13.53,13.32,13.44,10880000,13.316551
"2016-06-02",13.39,13.65,13.38,13.54,13659200,13.415632
"2016-06-01",13.32,13.49,13.21,13.44,15232000,13.316551
"2016-05-31",13.12,13.38,13.07,13.38,22009800,13.257102
"2016-05-27",13.02,13.31,12.96,13.17,18881900,13.049031
"2016-05-26",12.5,13.15,12.45,13.04,29850900,12.920225
"2016-05-25",12.24,12.34,12.11,12.2,15239800,12.08794
"2016-05-24",11.68,11.93,11.62,11.91,8904000,11.800604
"2016-05-23",11.66,11.87,11.62,11.67,9392300,11.562809
"2016-05-20",11.48,11.68,11.4,11.66,10409100,11.5529
"2016-05-19",11.47,11.55,11.31,11.44,10828700,11.334921
"2016-05-18",11.58,11.68,11.47,11.57,7045400,11.463727
"2016-05-17",11.59,11.79,11.48,11.53,9530700,11.424094
"2016-05-16",11.53,11.68,11.49,11.64,6107900,11.533085
"2016-05-13",11.53,11.69,11.43,11.5,7605500,11.39437
"2016-05-12",11.78,11.8,11.45,11.56,12098300,11.45382
"2016-05-11",11.62,11.76,11.53,11.69,14228900,11.582625
"2016-05-10",11.48,11.72,11.41,11.61,14925500,11.50336
"2016-05-09",11.58,11.63,11.38,11.43,9548400,11.325014
"2016-05-06",11.4,11.64,11.37,11.59,8438300,11.483544
"2016-05-05",11.67,11.74,11.4,11.45,8975400,11.344829
"2016-05-04",11.65,11.8,11.52,11.59,8674600,11.483544
"2016-05-03",12.05,12.11,11.61,11.71,16316500,11.602441
"2016-05-02",12.26,12.33,12.02,12.12,12284000,12.008675
"2016-04-29",12.49,12.51,12.13,12.27,13491900,12.157298
"2016-04-28",12.74,12.8,12.52,12.57,8041100,12.454542
"2016-04-27",12.66,12.79,12.49,12.76,10530700,12.642797
