"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-12-01",100.239998,101.099998,99.860001,100.199997,1465500,96.5736
"2014-11-28",98.989998,100.449997,98.510002,100.279999,931300,96.650707
"2014-11-26",96.989998,98.68,96.989998,98.580002,1511000,95.012236
"2014-11-25",96.379997,97.459999,96.230003,96.93,1771900,93.42195
"2014-11-24",96.449997,96.639999,95.989998,96.510002,1016200,93.017152
"2014-11-21",95.440002,96.300003,95.269997,96.290001,1318500,92.805113
"2014-11-20",95.800003,96.139999,95.190002,95.290001,961300,91.325665
"2014-11-19",96.209999,96.5,95.300003,96.040001,1314500,92.044463
"2014-11-18",96.550003,96.809998,96,96.510002,626100,92.494911
"2014-11-17",96.059998,96.839996,96.050003,96.699997,642300,92.677001
"2014-11-14",96.629997,96.699997,95.620003,96.059998,622300,92.063628
"2014-11-13",96.650002,97.419998,96.110001,96.639999,956500,92.6195
"2014-11-12",96.07,96.730003,95.739998,96.599998,723000,92.581163
"2014-11-11",96.580002,96.989998,96.220001,96.470001,520400,92.456574
"2014-11-10",96.5,97,96.370003,96.580002,733000,92.561999
"2014-11-07",96.470001,96.699997,96.019997,96.43,921500,92.418237
"2014-11-06",95.870003,96.900002,95.790001,96.82,1103700,92.792012
"2014-11-05",96.099998,96.150002,94.949997,95.550003,1243300,91.574851
"2014-11-04",96.360001,96.470001,95.18,95.239998,992600,91.277743
"2014-11-03",96,96.68,95.870003,96.330002,1419200,92.322399
"2014-10-31",95.510002,96,95.199997,95.910004,1501900,91.919874
"2014-10-30",93.470001,95,92.900002,94.82,997600,90.875217
"2014-10-29",93.290001,94.290001,92.050003,94.059998,2558100,90.146834
"2014-10-28",94.690002,95.550003,94.639999,95.529999,1170400,91.555679
"2014-10-27",94.300003,95.099998,94.129997,94.839996,793000,90.894382
"2014-10-24",94.18,94.370003,93.669998,94.129997,906300,90.213921
"2014-10-23",94.660004,94.949997,93.699997,93.849998,658700,89.945571
"2014-10-22",94.440002,95.32,94.07,94.190002,787000,90.27143
"2014-10-21",93.239998,94.480003,93.040001,94.260002,912100,90.338517
"2014-10-20",92,93.370003,91.620003,93.220001,682200,89.341783
"2014-10-17",91.489998,92.349998,90.849998,92.010002,956900,88.182124
"2014-10-16",91.370003,91.449997,89.669998,91.089996,2058800,87.300393
"2014-10-15",92.040001,92.900002,91,92.57,1305900,88.718824
"2014-10-14",92.519997,93.160004,92.330002,92.629997,718800,88.776325
"2014-10-13",93.199997,93.489998,92.220001,92.239998,1031200,88.402551
"2014-10-10",93.529999,94.389999,93.209999,93.220001,1086300,89.341783
"2014-10-09",93.830002,94.82,92.989998,93.43,916600,89.543046
"2014-10-08",92.68,94.129997,92.540001,94.099998,882500,90.18517
"2014-10-07",92.959999,93.400002,92.550003,92.610001,890800,88.757161
"2014-10-06",93.849998,94.279999,92.800003,93.5,908800,89.610134
"2014-10-03",94.089996,94.089996,93.639999,93.690002,1322700,89.792231
"2014-10-02",94.400002,94.480003,93.379997,93.910004,1022300,90.00308
"2014-10-01",95.07,95.389999,94.209999,94.330002,1517800,90.405605
"2014-09-30",94.849998,95.650002,94.5,95.43,1379800,91.45984
"2014-09-29",92.809998,94.690002,92.739998,94.5,1169000,90.568531
"2014-09-26",92.709999,93.260002,92.400002,93.209999,766100,89.332197
"2014-09-25",93.730003,93.800003,92.709999,92.93,916600,89.063847
"2014-09-24",92.459999,94.309998,92.459999,94.209999,1062000,90.290595
"2014-09-23",93.010002,93.260002,92.339996,92.459999,656600,88.6134
"2014-09-22",93.93,93.959999,93.07,93.339996,602600,89.456786
"2014-09-19",94.489998,94.5,93.639999,93.860001,924900,89.955157
"2014-09-18",94,94.239998,93.610001,94.169998,749100,90.252258
"2014-09-17",93.75,94.129997,93.290001,93.760002,1337100,89.859319
"2014-09-16",92.849998,94.410004,92.849998,93.989998,2036500,90.079746
"2014-09-15",92.739998,92.800003,92.089996,92.620003,838400,88.766747
"2014-09-12",92.349998,92.739998,92.029999,92.669998,1375300,88.814662
