"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-01",103.769997,104.779999,103.519997,104.690002,844900,104.117145
"2016-03-31",102.75,104.510002,102.470001,104.010002,2232400,103.440865
"2016-03-30",103,103.400002,102.510002,103.18,969700,102.615405
"2016-03-29",101.589996,102.93,101.190002,102.57,938000,102.008742
"2016-03-28",101.870003,102.309998,101.540001,102.050003,997800,101.491591
"2016-03-24",101.379997,102.120003,100.690002,101.889999,1331800,101.332463
"2016-03-23",101.669998,102.050003,101.059998,101.699997,1630600,101.1435
"2016-03-22",101.669998,102.519997,101.290001,102.150002,1165400,101.591042
"2016-03-21",101.459999,102.010002,100.93,102.010002,968800,101.451809
"2016-03-18",101.339996,102.290001,100.029999,102.010002,3012400,101.451809
"2016-03-17",100.110001,101.220001,99.599998,100.830002,1384700,100.278266
"2016-03-16",99.400002,100.540001,98.739998,100.290001,1221900,99.74122
"2016-03-15",99.139999,99.690002,98.709999,99.330002,1012300,98.786474
"2016-03-14",99.610001,100.169998,99.209999,99.43,1181400,98.885925
"2016-03-11",98.779999,100.279999,98.050003,99.959999,1544200,99.413023
"2016-03-10",99.550003,100.269997,96.849998,98.019997,1677900,97.483637
"2016-03-09",99.389999,100.010002,98.910004,99.470001,1548800,98.925707
"2016-03-08",98.639999,100.25,98.400002,99.269997,2051400,98.726797
"2016-03-07",98.150002,99.75,97.589996,99.379997,1996800,98.836195
"2016-03-04",98.110001,99.260002,97.050003,99.18,1904500,98.637293
"2016-03-03",98.059998,98.480003,96.389999,97.709999,1851500,97.175335
"2016-03-02",98.529999,99.639999,98.059998,98.629997,1607900,98.090299
"2016-03-01",97.669998,98.860001,96.580002,98.860001,2194700,98.319044
"2016-02-29",95.370003,97.32,94.959999,96.639999,2671300,96.111191
"2016-02-26",100.910004,101,94.099998,95.75,3809500,95.226061
"2016-02-25",99.099998,100.160004,97.940002,100.07,2335500,99.522422
"2016-02-24",96.349998,98.980003,95.410004,98.830002,2177200,98.28921
"2016-02-23",97.540001,98.120003,96.239998,97.360001,1859300,96.827252
"2016-02-22",98.18,98.709999,97,98.25,1620700,97.712381
"2016-02-19",96.519997,97.610001,95.309998,97.190002,1901300,96.658184
"2016-02-18",97.790001,98.660004,96.099998,96.470001,1768500,95.942123
"2016-02-17",95.82,98.68,95.410004,98.360001,1726100,97.82178
"2016-02-16",93.699997,95.809998,93.68,95.360001,2240200,94.838196
"2016-02-12",92.970001,94.699997,91.5,94.559998,2177700,94.04257
"2016-02-11",88.169998,92.07,88.169998,91.410004,1991700,90.909813
"2016-02-10",91.279999,92.410004,89.949997,90.260002,1897700,89.766104
"2016-02-09",90.080002,92.139999,89.489998,90.129997,1922800,89.636811
"2016-02-08",90.910004,91.230003,88.879997,90.919998,2744500,90.422489
"2016-02-05",96.089996,96.25,91.239998,91.790001,2911100,91.287731
"2016-02-04",95.779999,96.93,94.849998,96.75,1653000,96.220589
"2016-02-03",95,96.410004,94,95.889999,1864200,95.365295
"2016-02-02",95.309998,95.660004,93.970001,94.150002,2436000,93.634818
"2016-02-01",95.279999,96.970001,94.360001,96.370003,1325700,95.842671
"2016-01-29",92.720001,95.629997,92.089996,95.510002,2120500,94.987377
"2016-01-28",91.730003,92.220001,90.699997,92.029999,1141600,91.526416
"2016-01-27",92.410004,93.260002,90.449997,90.769997,944100,90.273308
"2016-01-26",91.940002,92.709999,91.029999,92.639999,1139700,92.133078
"2016-01-25",93.470001,93.660004,91.589996,91.730003,1310200,91.228062
"2016-01-22",93.07,94,92.199997,93.610001,1076500,93.097772
"2016-01-21",92.800003,93.669998,91.209999,91.949997,1461700,91.446852
"2016-01-20",89.529999,92.879997,88.660004,91.989998,2904400,91.486634
"2016-01-19",92.839996,93.139999,90.040001,90.879997,2468100,90.382707
"2016-01-15",91.43,92.93,90.580002,91.489998,2774800,90.98937
