"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-29",45.459999,45.459999,44.060001,44.299999,2045400,43.71787
"2016-04-28",45.52,46.18,45.419998,45.509998,1196700,44.911969
"2016-04-27",45.689999,46.189999,45.16,45.98,1836000,45.375794
"2016-04-26",45,45.77,44.639999,45.759998,1760900,45.158684
"2016-04-25",45.240002,45.540001,44.419998,44.959999,2004300,44.369197
"2016-04-22",45.27,46.049999,45.220001,45.459999,1269200,44.862627
"2016-04-21",46.200001,46.5,45.240002,45.43,2015500,44.833022
"2016-04-20",45,46.259998,44.990002,46.130001,3552800,45.523824
"2016-04-19",44.139999,44.919998,44.119999,44.849998,3148500,44.260642
"2016-04-18",43,44.09,43,44.09,2690800,43.51063
"2016-04-15",42.900002,43.400002,42.650002,43.369999,2409900,42.80009
"2016-04-14",43.25,43.400002,42.5,42.900002,2043800,42.336269
"2016-04-13",42.860001,43.450001,42.59,43.25,2515200,42.681668
"2016-04-12",42.439999,42.990002,41.720001,42.68,2323400,42.119159
"2016-04-11",43.439999,43.689999,42.5,42.540001,3285900,41.980999
"2016-04-08",44.02,44.290001,43.060001,43.369999,2638300,42.80009
"2016-04-07",44.580002,44.860001,43.68,43.990002,2840800,43.411946
"2016-04-06",45.209999,45.220001,44.139999,44.860001,2338900,44.270512
"2016-04-05",44.950001,45.220001,44.41,44.91,1889400,44.319855
"2016-04-04",45.919998,46.41,44.98,45.099998,1583300,44.507357
"2016-04-01",46.470001,46.689999,45.48,45.740002,2180200,45.13895
"2016-03-31",45.849998,46.700001,45.299999,46.610001,2353600,45.997516
"2016-03-30",46.490002,46.759998,45.759998,46.049999,2309900,45.444874
"2016-03-29",46.990002,47.02,46.110001,46.549999,2266900,45.938303
"2016-03-28",46.049999,47.310001,46,46.790001,1946400,46.175151
"2016-03-24",46.259998,46.310001,45.57,45.93,2909400,45.326452
"2016-03-23",46.84,47.119999,46.490002,46.709999,1928800,46.096201
"2016-03-22",47.880001,48.080002,46.380001,47.07,2689100,46.451471
"2016-03-21",48.310001,48.490002,47.91,47.91,1888500,47.280433
"2016-03-18",48.41,48.950001,47.799999,48.169998,3686700,47.537015
"2016-03-17",47.860001,48.459999,47.59,48.25,2577600,47.615965
"2016-03-16",47.73,48.02,47.419998,47.73,2217100,47.102798
"2016-03-15",49.150002,49.68,47.349998,47.700001,3420200,47.073193
"2016-03-14",48.869999,49.75,48.799999,49.459999,1518100,48.810064
"2016-03-11",49.959999,49.959999,48.77,49.080002,2252100,48.43506
"2016-03-10",49.529999,49.75,48.73,49.459999,2431900,48.810064
"2016-03-09",49.02,49.82,48.740002,49.07,3411400,48.42519
"2016-03-08",48.650002,49.110001,48.169998,48.700001,3122700,48.060053
"2016-03-07",47.32,49.18,47,48.59,3589100,47.951497
"2016-03-04",46.75,47.639999,46.119999,47.48,3607300,46.362653
"2016-03-03",46.400002,46.98,46.040001,46.740002,3029400,45.64007
"2016-03-02",46.400002,47.23,46.279999,46.639999,3187000,45.542421
"2016-03-01",46.900002,47.25,45.73,46.509998,2335600,45.415479
"2016-02-29",46.41,46.900002,45.82,46.669998,3976200,45.571714
"2016-02-26",47.07,47.400002,46.150002,46.82,3838700,45.718185
"2016-02-25",47.009998,47.209999,44.200001,46.669998,5732600,45.571714
"2016-02-24",44.790001,45.650002,43.939999,45.459999,3543800,44.39019
"2016-02-23",45.349998,45.490002,44.73,44.939999,2514200,43.882426
"2016-02-22",44.470001,45.5,44.470001,44.950001,2416500,43.892193
"2016-02-19",44.290001,44.860001,43.34,44.380001,2591900,43.335607
"2016-02-18",43.84,45.029999,43.209999,44.82,3053300,43.765251
"2016-02-17",42.82,44.130001,42.599998,43.900002,3344100,42.866903
"2016-02-16",41.52,42.82,41.189999,42.619999,2526600,41.617023
"2016-02-12",39.91,40.880001,39.450001,40.810001,1967800,39.84962
"2016-02-11",39.720001,40.5,39.23,39.689999,2284100,38.755974
"2016-02-10",41.490002,41.529999,39.439999,40.09,4275900,39.146563
"2016-02-09",42.34,42.990002,41.110001,41.400002,3555800,40.425736
"2016-02-08",41.509998,43.799999,41.48,42.610001,5216300,41.60726
"2016-02-05",41.029999,42.880001,40.939999,42.060001,6693200,41.070204
"2016-02-04",51.130001,51.130001,40.950001,41.52,22573600,40.542911
"2016-02-03",50.470001,51.389999,49.259998,51.130001,3346300,49.926759
"2016-02-02",49.68,50.560001,48.849998,50.380001,5546600,49.194409
"2016-02-01",49.07,49.400002,47.41,49.080002,4462800,47.925003
"2016-01-29",48.400002,49.880001,48.09,49.75,2644200,48.579234
"2016-01-28",48.98,49.09,47.189999,47.990002,2985400,46.860654
"2016-01-27",48.619999,49.709999,48.459999,48.709999,2937600,47.563707
"2016-01-26",47.560001,48.98,47.34,48.59,2125000,47.446532
"2016-01-25",48.189999,48.369999,47.23,47.360001,1943800,46.245478
"2016-01-22",47.16,48.220001,47.16,48.16,2278200,47.026651
"2016-01-21",45.740002,47.48,45.459999,46.990002,2807400,45.884187
"2016-01-20",45.439999,45.950001,44.189999,45.650002,3993100,44.575721
"2016-01-19",48.66,48.66,45.959999,46.380001,4562800,45.288541
"2016-01-15",48.169998,48.560001,47.259998,48.150002,3712400,47.016888
"2016-01-14",50.080002,50.549999,48.709999,49.200001,4464000,48.042178
"2016-01-13",49.48,50.709999,48.900002,49.98,3879200,48.803821
"2016-01-12",50.389999,51.630001,49.439999,50.23,4542700,49.047938
"2016-01-11",49.290001,50.75,48.41,50.080002,9715200,48.90147
"2016-01-08",50.82,51.299999,47.549999,47.880001,6493700,46.753242
"2016-01-07",49.400002,52.060001,49.25,50.860001,7691600,49.663113
"2016-01-06",49.02,50.18,48.91,50.049999,4830100,48.872173
"2016-01-05",49.740002,50.23,49.349998,49.779999,5212000,48.608527
"2016-01-04",46.91,49.560001,46.349998,49.549999,5207100,48.38394
"2015-12-31",48.16,48.77,47.619999,47.630001,1874200,46.509125
"2015-12-30",48.669998,49.330002,48.209999,48.389999,2616600,47.251238
"2015-12-29",47.650002,49.529999,47.639999,48.810001,3381600,47.661356
"2015-12-24",47.290001,47.709999,47.099998,47.130001,1050400,46.020891
"2015-12-23",47.240002,47.939999,46.98,47.400002,1902900,46.284538
"2015-12-22",45.919998,47.360001,45.650002,47.07,2890700,45.962302
"2015-12-21",45.02,45.790001,44.310001,45.709999,4544900,44.634306
"2015-12-18",44.25,44.880001,44.060001,44.41,7588400,43.3649
"2015-12-17",46.099998,46.189999,44.060001,44.450001,4146500,43.403959
"2015-12-16",46.419998,47.16,45.32,45.970001,4248500,44.88819
"2015-12-15",46.869999,47.639999,46.09,46.209999,3919300,45.12254
"2015-12-14",46.419998,47.900002,46.32,46.759998,4301800,45.659596
"2015-12-11",47.709999,48.049999,46.09,46.240002,4618500,45.151836
"2015-12-10",47.450001,48.669998,47.310001,48.18,4576000,47.046181
"2015-12-09",46.860001,47.990002,46.599998,47.130001,2547600,46.020891
"2015-12-08",46.900002,47.849998,46.77,47.200001,2929000,46.089244
"2015-12-07",47.360001,47.77,46.650002,47.450001,4103800,46.333361
"2015-12-04",47.18,48.119999,46.860001,48.080002,4279000,46.509127
"2015-12-03",46.619999,47.419998,45.91,47.389999,5760200,45.841668
"2015-12-02",47.419998,47.720001,46.18,46.419998,3128800,44.903359
"2015-12-01",47.27,47.91,46.950001,47.220001,3636700,45.677224
"2015-11-30",48.220001,48.439999,46.57,47.130001,4785800,45.590165
"2015-11-27",48.82,49,47.66,48.07,1315800,46.499452
"2015-11-25",48.470001,48.93,48.150002,48.5,2688400,46.915403
"2015-11-24",47.349998,49.060001,47.32,48.529999,3262600,46.944421
"2015-11-23",47.310001,47.970001,47.200001,47.639999,3518700,46.0835
"2015-11-20",45.59,47.09,45.580002,47.040001,5070800,45.503105
"2015-11-19",45.389999,45.77,44.990002,45.18,2767800,43.703874
"2015-11-18",44.279999,45.310001,43.720001,45.150002,4506300,43.674856
"2015-11-17",44.299999,45.169998,43.450001,44.049999,4433900,42.610793
"2015-11-16",42.689999,43.990002,42.57,43.939999,4144200,42.504386
"2015-11-13",44.669998,44.669998,41.860001,42.849998,9982600,41.449999
"2015-11-12",45.43,47.240002,45,45.790001,19188600,44.293945
"2015-11-11",44,44.040001,42.189999,43.16,9828300,41.749872
"2015-11-10",43.630001,45.75,43.509998,45.599998,6824800,44.11015
"2015-11-09",46.009998,46.200001,43.66,43.98,6119500,42.54308
"2015-11-06",46.540001,47.200001,46.200001,46.57,4085500,45.04846
"2015-11-05",46.32,46.759998,45.849998,46.66,2924500,45.135519
"2015-11-04",47.439999,47.59,45.82,46.209999,2590800,44.700221
"2015-11-03",46.720001,48.16,46.720001,47.369999,3273800,45.822321
"2015-11-02",46.139999,46.779999,44.52,46.709999,3946000,45.183885
"2015-10-30",44.779999,46.619999,44.75,46.119999,3353700,44.613161
"2015-10-29",45.66,45.73,44.049999,44.580002,2830800,43.123479
"2015-10-28",45.779999,46.009998,45.16,45.700001,2539500,44.206885
"2015-10-27",45.330002,45.869999,45.02,45.759998,5365900,44.264923
"2015-10-26",43.939999,45.720001,43.650002,45.330002,3462500,43.848975
"2015-10-23",45.48,45.48,43.450001,44.060001,3495400,42.620468
"2015-10-22",45.75,45.990002,44.970001,45.419998,2478200,43.936031
"2015-10-21",46.380001,46.630001,45.599998,45.650002,1890200,44.15852
"2015-10-20",45.709999,46.34,45.48,46.310001,2481500,44.796956
"2015-10-19",45.91,46.299999,45.25,45.669998,2714300,44.177863
"2015-10-16",45.299999,45.970001,45.040001,45.93,2468200,44.42937
"2015-10-14",45.790001,46.09,44.580002,45.009998,3016700,43.539427
"2015-10-13",46.369999,46.779999,45.59,45.610001,1675000,44.119826
"2015-10-12",47.25,47.25,46.299999,46.5,1656600,44.980747
"2015-10-09",46.599998,47.380001,46.43,47.27,3782800,45.72559
"2015-10-08",46.18,47,46.040001,46.650002,2865000,45.125848
"2015-10-07",46.619999,47.139999,45.73,46.150002,2158100,44.642184
"2015-10-06",46.419998,46.630001,45.650002,46.490002,3664300,44.971075
"2015-10-05",45.790001,47.080002,45.700001,46.830002,3281100,45.299967
"2015-10-02",44.689999,45.400002,44.040001,45.400002,4266100,43.916688
"2015-10-01",47.18,47.52,44.759998,45.060001,4683000,43.587796
"2015-09-30",46.52,46.810001,46.09,46.310001,3076400,44.796956
"2015-09-29",46.299999,47.529999,45.619999,46.27,5367000,44.758262
"2015-09-28",47.580002,47.93,46.09,46.110001,2849500,44.60349
"2015-09-25",48.330002,48.34,47.560001,47.700001,2947000,46.141541
"2015-09-24",48.169998,48.32,47.619999,47.84,2608500,46.276967
"2015-09-23",49.080002,49.23,48.110001,48.52,2180700,46.93475
"2015-09-22",48.91,49.049999,48.32,48.900002,1805400,47.302335
"2015-09-21",49.669998,50.110001,49.080002,49.189999,3369100,47.582858
"2015-09-18",50.130001,50.57,49.009998,49.209999,6375700,47.602205
"2015-09-17",51.790001,52.220001,50.560001,50.669998,3213300,49.014503
