"Date","Open","High","Low","Close","Volume","Adj Close"
"2013-12-31",79.650002,80.330002,79.32,80.279999,1618600,74.50633
"2013-12-30",79.589996,79.769997,78.860001,79.449997,3309700,73.736021
"2013-12-27",79.349998,79.57,79.110001,79.43,1035100,73.717463
"2013-12-26",79.300003,79.669998,78.949997,79.330002,1633500,73.624656
"2013-12-24",78.209999,79.269997,78.089996,79.169998,1168100,73.47616
"2013-12-23",79,79.099998,77.629997,78.080002,2684100,72.464555
"2013-12-20",77.949997,78.709999,77.68,78.599998,4287600,72.947154
"2013-12-19",78.349998,78.949997,77.510002,77.959999,3258600,72.353183
"2013-12-18",78.019997,78.519997,76.599998,78.440002,4491300,72.798665
"2013-12-17",76.709999,77.82,76.639999,77.629997,3256100,72.046914
"2013-12-16",77.190002,77.830002,76.910004,77,2859000,71.462226
"2013-12-13",76.709999,76.839996,76,76.190002,2229000,70.710483
"2013-12-12",76.5,78.260002,76.029999,76.5,3057900,70.998186
"2013-12-11",77.300003,77.599998,75.290001,75.550003,2503000,70.116512
"2013-12-10",76.830002,77.169998,76.629997,76.870003,1897300,71.341578
"2013-12-09",77,77.550003,76.339996,76.800003,3342000,71.276613
"2013-12-06",76.220001,76.959999,75.760002,76.550003,2320400,71.044592
"2013-12-05",76.199997,76.360001,74.510002,75.150002,4283400,69.745278
"2013-12-04",76.93,77.010002,75.5,76.559998,4103900,71.053868
"2013-12-03",77.449997,78,76.760002,77.120003,3398500,71.573598
"2013-12-02",77.440002,78.010002,76.769997,77.849998,2775600,72.251093
"2013-11-29",77.75,78.190002,77.040001,77.18,1780100,71.629281
"2013-11-27",76.739998,77.82,76.599998,77.459999,2782300,71.889142
"2013-11-26",76.800003,77.559998,76.300003,76.339996,3745600,70.849689
"2013-11-25",78.419998,78.519997,76.260002,76.550003,7441600,71.044592
"2013-11-22",77.980003,79.339996,77.709999,79.290001,2354500,73.587532
"2013-11-21",77.080002,78.220001,77.080002,77.760002,2569900,72.167569
"2013-11-20",77.629997,78.110001,77.019997,77.510002,2700500,71.378701
"2013-11-19",78.389999,78.620003,77.459999,77.650002,2947900,71.507626
"2013-11-18",78.639999,79.290001,78.239998,78.470001,2095500,72.262761
"2013-11-15",78.239998,78.870003,78.169998,78.57,2660300,72.354849
"2013-11-14",76.889999,78.470001,76.660004,78.260002,3362400,72.069374
"2013-11-13",75.300003,76.57,75.220001,76.519997,3490600,70.467009
"2013-11-12",75.599998,75.900002,75.269997,75.330002,2408500,69.371146
"2013-11-11",75.400002,75.82,75.089996,75.620003,3104800,69.638207
"2013-11-08",74.940002,75.5,74.629997,75.389999,3882000,69.426398
"2013-11-07",75.519997,76.010002,74.510002,74.809998,4737700,68.892276
"2013-11-06",74.709999,75.370003,74.550003,75.169998,2712400,69.223799
"2013-11-05",74.239998,74.629997,73.720001,74.300003,2836200,68.422624
"2013-11-04",74.160004,74.529999,73.690002,74.489998,3461700,68.597589
"2013-11-01",74.260002,74.300003,73.599998,73.93,6373600,68.08189
"2013-10-31",75.290001,76.099998,74.599998,74.599998,3089700,68.698889
"2013-10-30",75.959999,77.059998,75.029999,75.300003,2821100,69.343521
"2013-10-29",73.029999,75.639999,72.529999,75.559998,6004000,69.582949
"2013-10-28",77.190002,77.32,75.32,75.510002,4249300,69.536908
"2013-10-25",78.080002,78.150002,75.639999,77.099998,3630700,71.00113
"2013-10-24",78.860001,79.080002,77.889999,78.050003,2580800,71.875986
"2013-10-23",78.540001,79.339996,78,78.669998,2738600,72.446938
"2013-10-22",78.220001,79.169998,78.07,78.760002,2174800,72.529822
"2013-10-21",78.129997,78.5,77.730003,78.360001,2250300,72.161462
"2013-10-18",77.639999,78.5,77.150002,77.910004,3210200,71.747061
"2013-10-17",76.169998,77.739998,76.169998,77.57,1882000,71.433953
"2013-10-16",75.75,76.540001,75.209999,76.5,2543900,70.448594
"2013-10-15",75.669998,76.040001,75.089996,75.190002,2472400,69.242221
"2013-10-14",75.559998,76.080002,75.089996,75.709999,1990400,69.721084
"2013-10-11",75.150002,76.129997,74.879997,75.970001,1822800,69.96052
"2013-10-10",74.629997,75.309998,73.779999,75.089996,2726500,69.150126
"2013-10-09",73.290001,73.339996,72.269997,72.730003,2939800,66.976816
"2013-10-08",74.400002,74.449997,72.800003,73.169998,3140300,67.382006
"2013-10-07",74.75,75.57,74.349998,74.580002,1764400,68.680474
"2013-10-04",73.860001,75.470001,73.650002,75.389999,2933400,69.426398
"2013-10-03",73.940002,74.209999,72.57,73.980003,3364200,68.127937
"2013-10-02",73.760002,74.150002,72.919998,74.040001,2122700,68.183189
"2013-10-01",73.290001,74.110001,73.25,74.110001,1805000,68.247651
"2013-09-30",72.370003,73.589996,72.099998,73.230003,2032900,67.437265
"2013-09-27",73.699997,74.220001,73.300003,73.389999,2364100,67.584605
"2013-09-26",73.389999,74.230003,73.110001,74.010002,3188800,68.155563
"2013-09-25",72.470001,73.400002,72.089996,72.919998,2448500,67.151782
"2013-09-24",72.660004,72.970001,72.309998,72.419998,2537000,66.691334
"2013-09-23",72.599998,72.949997,71.779999,72.629997,3255100,66.884721
"2013-09-20",73.889999,74.220001,72.93,73.029999,12059100,67.253081
"2013-09-19",73.459999,75.669998,73,73.790001,5150700,67.952965
"2013-09-18",72.879997,73.519997,72.510002,73.370003,4927700,67.105741
"2013-09-17",71.639999,72.900002,71.410004,72.68,2937200,66.47465
"2013-09-16",71.959999,72.169998,71.160004,71.389999,4312500,65.294788
"2013-09-13",70.480003,71.230003,70.389999,71,3647000,64.938086
"2013-09-12",70.739998,70.949997,70.080002,70.190002,4248800,64.197246
"2013-09-11",71.089996,71.089996,70.260002,70.730003,3891700,64.691142
"2013-09-10",71.309998,71.669998,70.82,70.900002,4361000,64.846626
"2013-09-09",70.349998,70.889999,70.260002,70.739998,2886600,64.700283
"2013-09-06",70.629997,71,69.980003,70.32,3255000,64.316144
"2013-09-05",69.400002,70.629997,69.239998,70.339996,4686800,64.334433
"2013-09-04",69.230003,69.669998,68.940002,69.459999,6404900,63.529569
"2013-09-03",71.190002,71.889999,69.800003,70.470001,4316300,64.453338
"2013-08-30",70.43,70.669998,69.779999,70.150002,2800100,64.16066
"2013-08-29",69.25,70.669998,69.040001,70.300003,2661700,64.297855
"2013-08-28",68.870003,69.699997,68.32,69.480003,2049400,63.547866
"2013-08-27",69.199997,69.620003,68.529999,68.790001,3209500,62.916775
"2013-08-26",70.300003,71.040001,70.089996,70.120003,3131400,64.133223
"2013-08-23",69.699997,70.190002,69.300003,70.120003,2065300,64.133223
"2013-08-22",67.889999,69.959999,67.75,69.5,2325200,63.566155
"2013-08-21",68.18,68.400002,67.669998,67.75,2283300,61.965568
"2013-08-20",68.519997,68.599998,67.519997,68.239998,2535800,62.413731
"2013-08-19",68.510002,69.300003,68.349998,68.519997,2247000,62.669823
"2013-08-16",68.07,69,67.739998,68.870003,2948200,62.989946
"2013-08-15",69.349998,69.519997,68.18,68.339996,4126500,62.505191
"2013-08-14",70.169998,70.529999,69.550003,69.580002,2854600,63.639326
"2013-08-13",68.480003,70.400002,68.120003,70.080002,3925700,64.096637
"2013-08-12",68.419998,68.800003,68.050003,68.300003,3386100,62.468613
"2013-08-09",68.769997,69.510002,68.139999,68.699997,2596500,62.834456
"2013-08-08",68.75,69,68.239998,68.589996,3046500,62.733847
"2013-08-07",68.389999,68.559998,67.959999,67.989998,3351900,62.185075
"2013-08-06",69.370003,69.519997,68.370003,68.580002,4236700,62.724705
"2013-08-05",68.940002,69.709999,68.919998,69.470001,3867000,63.538718
"2013-08-02",68,69.239998,67.739998,68.949997,4138500,63.063111
"2013-08-01",68.300003,68.93,67.860001,67.989998,9263800,62.185075
"2013-07-31",68.889999,69.470001,68.25,68.709999,2319400,62.843604
"2013-07-30",67.650002,69.470001,67.019997,68.919998,3626300,63.035673
"2013-07-29",67.400002,68.029999,66.349998,67.720001,2935300,61.938131
"2013-07-26",69.830002,70.269997,66.5,67.400002,3382500,61.645452
"2013-07-25",67.410004,68.279999,67.389999,68.050003,2231400,62.239957
"2013-07-24",68,68.269997,67.230003,67.419998,2020600,61.663742
"2013-07-23",69.050003,69.260002,67.849998,67.900002,2511000,62.102763
"2013-07-22",68.610001,69.050003,68.349998,68.459999,1821100,62.614948
"2013-07-19",67.519997,68.879997,67.199997,68.410004,3750100,62.569222
"2013-07-18",68.300003,68.620003,67.529999,67.540001,4580900,61.773499
"2013-07-17",69.730003,70.019997,67.839996,67.940002,4318400,62.139349
"2013-07-16",71.260002,71.279999,68.739998,69.260002,3074300,63.346648
"2013-07-15",70.440002,71.330002,69.889999,70.889999,3633100,64.837478
"2013-07-12",69.389999,70.18,68.779999,70,2900900,64.023466
"2013-07-11",70.610001,70.639999,69.110001,69.389999,3655800,63.465546
"2013-07-10",68.629997,69.919998,68.580002,69.809998,3841600,63.849685
"2013-07-09",69,69.489998,68,68.970001,2485700,63.081407
"2013-07-08",68.330002,68.620003,67.769997,68.300003,2207100,62.468613
"2013-07-05",67.330002,67.690002,66.709999,67.68,2870300,61.901545
"2013-07-03",64.959999,66.610001,64.739998,66.5,1988000,60.822292
"2013-07-02",66.309998,66.699997,64.940002,65.410004,5823100,59.825359
"2013-07-01",67,68.379997,66.07,66.279999,6962200,60.621075
"2013-06-28",67.449997,67.75,66.260002,66.260002,9611400,60.602785
"2013-06-27",67.699997,68.019997,67.07,67.5,4610100,61.736913
"2013-06-26",66.949997,67.230003,65.580002,66.980003,3619100,61.261313
"2013-06-25",65.690002,66.889999,65.690002,66.459999,3535800,60.785707
"2013-06-24",65.059998,65.75,63.889999,65.029999,4875000,59.477798
"2013-06-21",67.540001,67.690002,65.230003,66.75,5077300,61.050947
"2013-06-20",67.449997,68.160004,66.699997,67,3979700,61.279603
"2013-06-19",68.970001,69.419998,68.489998,68.610001,2692200,62.752143
"2013-06-18",68.480003,69.449997,68.389999,68.809998,3209500,62.935064
"2013-06-17",68.099998,68.529999,67.449997,68.139999,3489500,62.32227
"2013-06-14",66.480003,68.110001,66.300003,67.419998,4428000,61.663742
"2013-06-13",64.050003,66.900002,64,66.589996,7208400,60.904605
"2013-06-12",65.040001,65.290001,64.029999,64.120003,2382100,58.645497
"2013-06-11",64.230003,65.220001,63.669998,64.190002,3285900,58.70952
"2013-06-10",65.059998,65.839996,64.769997,65,3366200,59.450361
"2013-06-07",65.489998,65.599998,64.620003,64.870003,7591100,59.331463
"2013-06-06",65.559998,66.580002,65.300003,66.400002,4045600,60.730832
"2013-06-05",67.410004,67.639999,65.400002,65.68,4468500,60.072303
"2013-06-04",67.089996,68.459999,67.089996,67.68,4081400,61.901545
"2013-06-03",66.82,67.370003,65.220001,67.309998,4076400,61.563133
"2013-05-31",66.610001,68.07,66.010002,66.650002,6467400,60.959487
"2013-05-30",66.25,67.589996,65.839996,66.790001,3137600,61.087533
"2013-05-29",66.540001,67.080002,65.720001,66.279999,3045700,60.163765
"2013-05-28",66.739998,68.089996,66.32,67.18,4458900,60.980716
"2013-05-24",65.260002,65.919998,64.849998,65.720001,2250300,59.655444
"2013-05-23",64.800003,66.220001,62.709999,65.830002,4929900,59.755294
"2013-05-22",65.589996,67.050003,64.639999,65.07,3481700,59.065423
"2013-05-21",66.919998,67.279999,65.809998,65.849998,4137800,59.773445
"2013-05-20",67.269997,67.449997,66.800003,66.949997,2870000,60.771937
"2013-05-17",66.339996,67.32,65.739998,67.32,5283700,61.107796
"2013-05-16",64.349998,66.199997,64.279999,66.110001,5269500,60.009454
"2013-05-15",64.419998,65.360001,64.360001,64.68,3677600,58.711413
"2013-05-14",62.07,64.989998,61.990002,64.639999,6491800,58.675103
"2013-05-13",62.5,62.779999,61.34,62.299999,5771000,56.551035
"2013-05-10",61.110001,61.610001,60.41,61.549999,4563000,55.870244
