"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-02-27",229.149994,231.139999,228.350006,228.699997,657000,227.054692
"2015-02-26",228.960007,231.229996,228.5,229.460007,1379000,227.809234
"2015-02-25",230.649994,231.550003,229.509995,229.600006,840000,227.709953
"2015-02-24",229.820007,231.029999,229.160004,230.199997,867800,228.305005
"2015-02-23",229.5,230.320007,228.559998,229.820007,860000,227.928143
"2015-02-20",224.940002,229.300003,224.600006,229.160004,825900,227.273573
"2015-02-19",225.270004,227.029999,224.25,225.350006,650400,223.494939
"2015-02-18",225.839996,226.490005,224.009995,225.639999,630200,223.782545
"2015-02-17",224.710007,226.789993,224.330002,226.050003,1048400,224.189173
"2015-02-13",223.759995,224.979996,222.580002,224.889999,583900,223.038719
"2015-02-12",225,225,222.949997,224.770004,680600,222.919712
"2015-02-11",221.630005,225,221.330002,223.729996,1032000,221.888264
"2015-02-10",220.080002,222.910004,218.979996,222.449997,1234100,220.618802
"2015-02-09",221.020004,221.220001,215.779999,218.259995,1764900,216.463292
"2015-02-06",220.979996,225.059998,218.75,222.759995,2086500,220.926248
"2015-02-05",212.470001,217.289993,212.339996,215.860001,2398800,214.083054
"2015-02-04",212.429993,213.779999,210.660004,210.839996,1683800,209.104375
"2015-02-03",215.25,216.110001,209,213.130005,1707300,211.375532
"2015-02-02",212.830002,214.899994,210.630005,214.830002,1069900,213.061535
"2015-01-30",218.649994,219.139999,212.220001,212.649994,1352300,210.899472
"2015-01-29",217.550003,219.75,216.350006,219.529999,1112600,217.722841
"2015-01-28",219.059998,222.929993,217.610001,217.940002,1910500,216.145934
"2015-01-27",217.649994,219.070007,215.699997,217.710007,749100,215.917831
"2015-01-26",217.110001,219.050003,215.759995,218.940002,690300,217.137702
"2015-01-23",218.860001,219.679993,217.470001,217.669998,613900,215.878152
"2015-01-22",215,219,213.190002,218.889999,942600,217.088111
"2015-01-21",213.759995,216.169998,213.440002,215.229996,751400,213.458236
"2015-01-20",216.059998,216.059998,212.139999,214.869995,862000,213.101199
"2015-01-16",210.520004,214.229996,209.119995,213.979996,921900,212.218526
"2015-01-15",213.529999,214.309998,211.210007,211.300003,973300,209.560595
"2015-01-14",213.139999,215.320007,212.5,213.529999,730200,211.772233
"2015-01-13",217.179993,218.240005,213,214.649994,900100,212.883008
"2015-01-12",217.75,217.929993,213.850006,214.660004,720800,212.892936
"2015-01-09",217.479996,218.139999,216.259995,216.669998,741000,214.886384
"2015-01-08",216.199997,218.050003,215.009995,217.199997,1665200,215.41202
"2015-01-07",210.210007,215.190002,209.449997,214.75,1163200,212.982191
"2015-01-06",209,212,206.830002,208.419998,1195400,206.704298
"2015-01-05",206.350006,210.229996,206.050003,208.899994,1260800,207.180342
"2015-01-02",209.059998,209.929993,205.720001,207.199997,787500,205.494339
"2014-12-31",210.529999,211.350006,207.389999,207.580002,684200,205.871216
"2014-12-30",210.300003,211.380005,209.440002,209.610001,669200,207.884504
"2014-12-29",209.210007,211.199997,209.169998,210.179993,476900,208.449804
"2014-12-26",210,211.479996,209.910004,210.149994,336600,208.420052
"2014-12-24",209.440002,210.820007,208.839996,209.789993,325900,208.063015
"2014-12-22",211.470001,213.190002,210.320007,211.600006,714700,209.858128
"2014-12-19",213.130005,214.25,209.669998,211.119995,1533700,209.382068
"2014-12-18",207.75,211.970001,207.080002,211.970001,1062600,210.225077
"2014-12-17",202.240005,206.429993,202.009995,205.279999,1058900,203.590147
"2014-12-16",205.410004,208.100006,201.309998,201.419998,1248200,199.761921
"2014-12-15",205.800003,208.110001,204.800003,206.399994,957100,204.700922
"2014-12-12",208.850006,209.580002,205.300003,205.330002,840600,203.639738
"2014-12-11",209.440002,212.110001,209.009995,209.589996,730200,207.864665
"2014-12-10",210.759995,211.389999,207.929993,208.119995,908400,206.406764
"2014-12-09",210.070007,212.779999,208.360001,210.289993,1645900,208.558899
"2014-12-08",212.720001,214.369995,211.470001,212.779999,1007400,211.028407
"2014-12-05",212,212.899994,210.899994,212.630005,557000,210.879648
"2014-12-04",211.729996,212.75,209.899994,211.820007,597600,210.076318
"2014-12-03",210.610001,211.919998,209.789993,211.5,711400,209.758945
"2014-12-02",208.539993,211.330002,208.5,210.710007,953200,208.975455
"2014-12-01",210.360001,210.360001,207.740005,208.800003,855500,207.081174
"2014-11-28",208.380005,211.25,208.279999,210.759995,490000,209.025031
"2014-11-26",208.940002,209.300003,207.050003,208.240005,714200,206.525787
"2014-11-25",209.380005,209.449997,207.690002,208.940002,779500,206.982004
"2014-11-24",205.570007,209.839996,205.559998,209.720001,1198400,207.754694
"2014-11-21",206.429993,207.820007,204.089996,205.169998,768500,203.247329
"2014-11-20",204.720001,207.149994,203.639999,205,854300,203.078924
"2014-11-19",207.029999,208,204.929993,206.270004,899400,204.337027
"2014-11-18",204.380005,208,203.529999,207.990005,1297300,206.04091
"2014-11-17",204.050003,205.839996,203.300003,204.380005,901200,202.464739
"2014-11-14",204.139999,205.320007,203.160004,205.25,995200,203.326581
"2014-11-13",202.669998,205,202.669998,204.820007,867400,202.900618
"2014-11-12",202.350006,203.759995,201.460007,203.130005,894900,201.226453
"2014-11-11",201.330002,203.149994,200.160004,203.119995,895400,201.216537
"2014-11-10",199.960007,201.699997,198.160004,201.279999,712100,199.393783
"2014-11-07",202.050003,202.169998,198.190002,199.320007,931700,197.452159
"2014-11-06",202.089996,203.169998,200.449997,202.660004,669000,200.760856
"2014-11-05",204.979996,205.949997,200.490005,201.600006,1182400,199.710792
"2014-11-04",203.449997,204.529999,201.649994,203.350006,697700,201.444392
"2014-11-03",204,204.949997,202.679993,203.389999,848300,201.484011
"2014-10-31",206.589996,206.910004,203.190002,203.410004,1446000,201.503828
"2014-10-30",198.690002,204.289993,197.820007,203.479996,1262900,201.573164
"2014-10-29",196.029999,201.830002,195,198.449997,2307400,196.590302
"2014-10-28",202.509995,204.830002,198.759995,201.199997,2016600,199.314531
"2014-10-27",201.410004,203.360001,200.830002,202.699997,1576000,200.800475
"2014-10-24",198.600006,201.350006,198.029999,200.830002,775400,198.948003
"2014-10-23",198.149994,199.929993,197.300003,198.75,984900,196.887494
"2014-10-22",197.399994,197.889999,195.369995,195.570007,793300,193.737301
"2014-10-21",194.75,198.050003,194.75,196.929993,1405100,195.084542
"2014-10-20",190.309998,193.259995,190.309998,193.089996,917900,191.28053
"2014-10-17",188.130005,192.289993,187.509995,191.229996,1290700,189.43796
"2014-10-16",181.660004,187.389999,181.559998,185.320007,1616400,183.583355
"2014-10-15",186.410004,187.089996,178.279999,185.020004,2306400,183.286163
"2014-10-14",189.990005,190.970001,185.889999,188.619995,1369000,186.852418
"2014-10-13",194.020004,194.020004,189.610001,189.669998,1191200,187.892581
"2014-10-10",195.919998,198.240005,193.949997,193.970001,1401400,192.152289
"2014-10-09",199.589996,199.970001,195.759995,195.820007,1235000,193.984958
"2014-10-08",194.880005,199.820007,194.350006,199.729996,1128100,197.858306
"2014-10-07",195.050003,195.979996,193.619995,193.660004,767900,191.845196
"2014-10-06",200.050003,200.300003,196.029999,196.619995,1069600,194.777449
"2014-10-03",196.330002,200.919998,195.520004,199.600006,1231100,197.729534
"2014-10-02",192.789993,196.220001,192.410004,194.850006,954400,193.024047
"2014-10-01",194.919998,194.990005,191.949997,192.570007,734800,190.765414
"2014-09-30",196.5,197.339996,194.350006,194.669998,812200,192.845726
"2014-09-29",193.910004,196.839996,193.619995,196.520004,1024200,194.678395
"2014-09-26",194.160004,195.320007,193.160004,194.800003,640800,192.974512
"2014-09-25",196.520004,196.75,193.550003,194.009995,625200,192.191907
"2014-09-24",195.100006,197.460007,194.660004,197.289993,1032600,195.441169
"2014-09-23",196.050003,196.050003,193.210007,194.690002,850900,192.865543
"2014-09-22",194.839996,195.300003,193.25,194.309998,631900,192.489099
"2014-09-19",197.339996,197.600006,195.679993,195.789993,991700,193.955225
"2014-09-18",195.610001,197,195.009995,196,562600,194.163264
"2014-09-17",195.300003,196.179993,193.949997,195.539993,723800,193.707568
"2014-09-16",191.479996,195.460007,190.300003,195.300003,1047100,193.469827
"2014-09-15",193.100006,193.240005,191.009995,191.779999,636900,189.982809
"2014-09-12",194,194.380005,191.949997,192.460007,1113000,190.656444
"2014-09-11",195.149994,195.550003,193.020004,193.669998,1034400,191.855097
"2014-09-10",197.240005,197.240005,195.179993,195.529999,699000,193.697667
"2014-09-09",199.600006,199.979996,196.279999,196.490005,903500,194.648678
"2014-09-08",198.399994,200,198.25,199.630005,864100,197.759252
"2014-09-05",195.550003,198.339996,195.119995,198.339996,997100,196.481332
"2014-09-04",195.399994,197,194.830002,195.660004,988600,193.826454
"2014-09-03",196.880005,197.130005,194.279999,194.979996,619300,193.152818
"2014-09-02",195,195.320007,193.020004,195.309998,839300,193.479728
"2014-08-29",193.990005,195.110001,192.970001,195.029999,807300,193.202353
"2014-08-28",191.330002,193.380005,191.330002,193.050003,590500,191.240912
"2014-08-27",194.110001,194.110001,191.419998,192.039993,622900,190.002612
"2014-08-26",193.809998,194.25,193.009995,193.770004,564600,191.714269
"2014-08-25",193.110001,194.699997,192.070007,193.910004,697100,191.852783
"2014-08-22",193.559998,193.940002,191.630005,192,963400,189.963043
"2014-08-21",193.860001,194.419998,192.949997,193.449997,693800,191.397657
"2014-08-20",193.699997,194.5,193,193.589996,481800,191.536171
"2014-08-19",192.179993,194.580002,192.039993,194.190002,722900,192.129812
"2014-08-18",191.580002,192.550003,190.690002,192.119995,591200,190.081765
"2014-08-15",192.740005,193.490005,189.779999,191.149994,855400,189.122055
"2014-08-14",190.419998,192.309998,190.419998,192.139999,810000,190.101557
"2014-08-13",189.529999,190.580002,188.820007,189.75,824200,187.736914
"2014-08-12",190.020004,191.259995,187.880005,188.169998,1264200,186.173674
"2014-08-11",190.119995,192.559998,190.110001,191.289993,900000,189.260569
"2014-08-08",186.860001,189.979996,186.330002,189.830002,964100,187.816067
"2014-08-07",190.75,190.970001,185.839996,186.580002,1437200,184.600547
"2014-08-06",191.070007,192.979996,189.820007,190.440002,1022700,188.419596
"2014-08-05",192.100006,193.5,190.990005,191.809998,1080900,189.775057
"2014-08-04",196.039993,196.440002,191.699997,193.669998,1339900,191.615324
"2014-08-01",193.009995,195.529999,190.240005,195.429993,2218300,193.356647
"2014-07-30",191.570007,192.389999,190.380005,191.25,1093900,189.221
"2014-07-29",191.660004,192.610001,190.539993,191.089996,741600,189.062694
"2014-07-28",191.820007,191.990005,189.770004,191.419998,609400,189.389195
"2014-07-25",193.199997,195.199997,191.490005,191.800003,632200,189.765168
"2014-07-24",193.520004,194.800003,191.660004,193.580002,1446600,191.526283
"2014-07-23",190.699997,191.470001,189.779999,190.679993,652500,188.65704
"2014-07-22",188.770004,191.050003,188.699997,190.800003,681200,188.775777
"2014-07-21",191.229996,191.229996,188.050003,188.449997,1021700,186.450703
"2014-07-18",188.919998,191.520004,188.199997,191.449997,1372500,189.418875
"2014-07-17",188.279999,190.490005,188.020004,188.710007,1127600,186.707954
"2014-07-16",189.600006,189.600006,187.179993,188.419998,817700,186.421022
"2014-07-15",189.960007,190.350006,188.009995,188.770004,958800,186.767315
"2014-07-14",190,190.660004,188.919998,190.410004,745800,188.389915
"2014-07-11",188.990005,189.279999,187.570007,188.970001,494900,186.96519
"2014-07-10",188.190002,189.830002,187.25,188.990005,842300,186.984982
"2014-07-09",188.339996,190.009995,187.279999,189.699997,1070700,187.687441
"2014-07-08",189.110001,189.990005,185.660004,188,1199600,186.00548
"2014-07-07",189.929993,190.729996,188.839996,189.610001,893500,187.5984
"2014-07-03",189.410004,190.240005,188.460007,190,486100,187.984262
"2014-07-02",189,190.710007,188.830002,189.440002,922900,187.430205
"2014-07-01",186.5,190.149994,185.929993,189.460007,1448000,187.449997
"2014-06-30",189,189.050003,185.770004,186.210007,1342900,184.234477
"2014-06-27",188.220001,189.259995,187.869995,188.919998,1036400,186.915718
"2014-06-26",187.479996,188.949997,187.410004,188.089996,1031400,186.094521
"2014-06-25",184.490005,187.970001,183.389999,187.350006,971500,185.362382
"2014-06-24",181.699997,186.710007,181.699997,184.429993,934400,182.473347
"2014-06-20",185.460007,186.479996,184,185.490005,1399900,183.522114
"2014-06-19",185.960007,186.880005,183.979996,185.289993,900000,183.324224
"2014-06-18",184.550003,185.699997,182.479996,185.25,1002000,183.284655
"2014-06-17",181.789993,185.039993,181.279999,184.660004,1030600,182.700918
"2014-06-16",182.720001,183.470001,181.740005,182.550003,948100,180.613303
"2014-06-13",183.339996,184.050003,182.009995,182.610001,863700,180.672664
"2014-06-12",186.279999,186.830002,182.330002,183.270004,1249800,181.325665
"2014-06-11",184.990005,187.479996,184.020004,187.160004,1131100,185.174395
"2014-06-10",185.960007,187.080002,184.529999,185.589996,1085400,183.621044
"2014-06-09",188.570007,189.449997,186.630005,186.690002,865700,184.70938
"2014-06-06",189.5,189.649994,188.100006,188.729996,1262300,186.727731
"2014-06-05",190.279999,190.589996,188.520004,188.660004,1230900,186.658481
"2014-06-04",191.130005,191.5,188.539993,189.75,1290500,187.499461
"2014-06-03",190,192.029999,189.149994,191.630005,1795500,189.357168
"2014-06-02",189.839996,190.259995,188.809998,189.830002,1085000,187.578514
"2014-05-30",188.440002,189.740005,187.399994,189.639999,1273000,187.390765
"2014-05-29",183.110001,188.770004,182.619995,188.570007,1844100,186.333463
