"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-01",60.639999,61.459999,60.560001,61.369999,1634000,60.745904
"2016-03-31",60.740002,60.959999,60.369999,60.790001,1491900,60.171804
"2016-03-30",60.830002,60.950001,60.459999,60.740002,1121600,60.122313
"2016-03-29",60,60.59,59.779999,60.560001,1500600,59.944143
"2016-03-28",59.830002,60.25,59.77,60.040001,1568700,59.429431
"2016-03-24",59.279999,59.860001,59.110001,59.799999,1648800,59.19187
"2016-03-23",59.720001,59.880001,59.450001,59.540001,1397000,58.934516
"2016-03-22",59.400002,60.220001,59.200001,59.73,1751300,59.122582
"2016-03-21",60,60,59.52,59.77,1090300,59.162176
"2016-03-18",59.919998,60.110001,59.57,59.799999,3755500,59.19187
"2016-03-17",59,60.130001,58.790001,59.849998,2450200,59.241361
"2016-03-16",58.799999,59.25,58.709999,58.919998,1857400,58.320818
"2016-03-15",58.360001,59.139999,58.209999,59.139999,1863600,58.538582
"2016-03-14",58.48,58.959999,58.41,58.830002,1994000,58.231737
"2016-03-11",58.200001,58.77,57.830002,58.740002,1472800,58.142652
"2016-03-10",57.91,58.299999,57.23,57.73,1756000,57.142921
"2016-03-09",57.380001,57.880001,57.110001,57.709999,1366700,57.123124
"2016-03-08",57.369999,58.16,57.290001,57.439999,2471900,56.855869
"2016-03-07",57.48,57.970001,56.98,57.689999,2449600,57.103327
"2016-03-04",58,58.099998,57.369999,58.009998,3078200,57.420072
"2016-03-03",57.639999,57.849998,57.240002,57.75,2438200,57.162718
"2016-03-02",57.82,58.060001,57.610001,57.84,2718700,57.251803
"2016-03-01",57.459999,58.119999,57.27,58.09,1805700,57.49926
"2016-02-29",57.5,57.650002,57.02,57.049999,2682100,56.469836
"2016-02-26",58,58.169998,57.48,57.5,2009900,56.91526
"2016-02-25",57.59,57.77,57.27,57.759998,2351100,57.172615
"2016-02-24",56.700001,57.650002,56.509998,57.450001,2365100,56.865769
"2016-02-23",57.34,57.68,57.009998,57.09,1855400,56.50943
"2016-02-22",57.540001,57.880001,57.369999,57.549999,1795400,56.964751
"2016-02-19",57.240002,57.560001,57.099998,57.310001,2640800,56.727194
"2016-02-18",57.23,57.610001,57.139999,57.5,2626800,56.91526
"2016-02-17",56.77,57.459999,56.77,57.369999,2619400,56.786581
"2016-02-16",56.459999,56.77,56.259998,56.5,2286500,55.92543
"2016-02-12",55.790001,56.169998,55.529999,56.080002,2243600,55.509703
"2016-02-11",54.330002,55.290001,54.32,54.950001,2233500,54.391193
"2016-02-10",55.560001,56.68,55.459999,55.509998,2047700,54.945496
"2016-02-09",54.639999,55.630001,54.610001,55.279999,3180300,54.717835
"2016-02-08",53.98,55.330002,53.970001,55,3573200,54.440684
"2016-02-05",54.189999,54.73,54.110001,54.650002,3949400,54.094245
"2016-02-04",53.34,54.66,52.950001,54.169998,4376100,53.619123
"2016-02-03",52.599998,52.91,51.25,52.84,3009800,52.30265
"2016-02-02",52.630001,52.650002,52.110001,52.349998,2003200,51.817631
"2016-02-01",53.209999,53.48,52.82,53.27,1693700,52.728277
"2016-01-29",52.209999,53.369999,52.080002,53.330002,2452900,52.787668
"2016-01-28",51.939999,52.060001,51.450001,51.799999,1886800,51.273225
"2016-01-27",51.900002,52.43,51.32,51.619999,2120800,51.095055
"2016-01-26",51.869999,52.330002,51.759998,51.93,1431000,51.401904
"2016-01-22",52.029999,52.48,51.860001,52.290001,1577300,51.758244
"2016-01-21",51.66,51.779999,50.990002,51.290001,2652700,50.768413
"2016-01-20",51.02,52.07,50.810001,51.540001,2960800,50.709025
"2016-01-19",52.759998,52.830002,51.869999,52.150002,2668600,51.30919
"2016-01-15",52.009998,53.040001,51.84,52.209999,4145400,51.368221
"2016-01-14",52.400002,54.02,52.209999,53.57,3215200,52.706294
"2016-01-13",53.43,53.560001,52.080002,52.23,2683800,51.387899
"2016-01-12",52.540001,52.740002,51.860001,52.669998,3105600,51.820803
