"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",40.650002,41.09,40.369999,41.060001,6724400,41.060001
"2016-07-08",40.720001,41.389999,40.209999,41.139999,10810200,41.139999
"2016-07-07",40.790001,41.27,40.240002,40.959999,9383500,40.959999
"2016-07-06",41.02,41.459999,40.52,41.419998,10745100,41.419998
"2016-07-05",40.98,40.990002,39.540001,40.380001,8247600,40.380001
"2016-07-01",39.860001,40.490002,39.470001,40.34,9937000,40.34
"2016-06-30",38.23,39.240002,37.77,39.119999,8520000,39.119999
"2016-06-29",37.650002,37.959999,37.5,37.689999,7937000,37.689999
"2016-06-28",36.919998,37.77,36.779999,37.169998,7983900,37.169998
"2016-06-27",37.689999,38.450001,36.849998,37.689999,10227300,37.689999
"2016-06-24",38.5,38.68,36.639999,37.189999,13572700,37.189999
"2016-06-23",35.41,35.869999,35.09,35.389999,5107600,35.389999
"2016-06-22",34.759998,35.82,34.490002,35.720001,6754300,35.720001
"2016-06-21",34.580002,35.220001,34.290001,34.830002,6361700,34.830002
"2016-06-20",34.689999,35.490002,34.540001,35.330002,8017100,35.330002
"2016-06-17",36.110001,36.290001,35.139999,35.650002,16488600,35.650002
"2016-06-16",37.330002,37.389999,35.349998,35.610001,9763000,35.610001
"2016-06-15",35.209999,36.709999,35.09,36.240002,8275700,36.240002
"2016-06-14",36.029999,36.060001,34.77,35.150002,7210700,35.150002
"2016-06-13",36.830002,37,35.529999,35.889999,7233000,35.889999
"2016-06-10",35.990002,36.82,35.41,35.790001,7896100,35.790001
"2016-06-09",35.48,35.970001,35.299999,35.900002,6228000,35.900002
"2016-06-08",36.110001,36.41,35.279999,35.380001,8405200,35.380001
"2016-06-07",35.07,35.369999,34.799999,34.950001,6454900,34.950001
"2016-06-03",33.869999,35.459999,33.740002,35.400002,11521200,35.375023
"2016-06-02",32.27,32.689999,31.68,32.349998,7453300,32.327172
"2016-06-01",32.52,32.970001,32.060001,32.66,8143300,32.636955
"2016-05-31",31.83,33.060001,31.620001,32.41,18533500,32.387131
"2016-05-27",32.240002,32.950001,31.690001,31.959999,8676800,31.937448
"2016-05-26",32.790001,33.080002,32.080002,32.450001,7888900,32.427104
"2016-05-25",31.58,32.66,30.860001,32.380001,10562300,32.357154
"2016-05-24",33.07,33.23,31.700001,31.74,11535400,31.717604
