"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-02-28",50.310001,50.599998,49.849998,50.240002,1181000,46.374958
"2014-02-27",49.639999,50.439999,49.639999,50.360001,1184300,46.485725
"2014-02-26",49.360001,49.849998,49.209999,49.560001,1250400,45.747271
"2014-02-25",49.540001,49.669998,48.66,49.240002,2132900,45.45189
"2014-02-24",50.52,50.52,49.689999,49.700001,1852800,45.8765
"2014-02-21",51.18,51.23,50.380001,50.419998,1933200,46.541107
"2014-02-20",50.639999,51.150002,50.459999,51.09,1425800,47.159565
"2014-02-19",51.049999,51.490002,50.630001,50.669998,2038100,46.771874
"2014-02-18",51.299999,51.549999,51.040001,51.330002,1828300,47.381103
"2014-02-14",50.540001,51.400002,50.450001,51.330002,1592600,47.381103
"2014-02-13",49.759998,50.580002,49.73,50.549999,1619400,46.661107
"2014-02-12",49.119999,50.5,49.119999,50.23,3051600,46.365726
"2014-02-11",48.290001,49.07,48.18,48.900002,4272200,45.138046
"2014-02-10",48.459999,48.5,48.029999,48.209999,1848100,44.501127
"2014-02-07",48.59,48.77,47.830002,48.450001,2212200,44.722665
"2014-02-06",47.209999,48.419998,47.16,48.32,3527700,44.602665
"2014-02-05",46.830002,47.32,46.650002,47.189999,2135100,43.559597
"2014-02-04",46.950001,47.07,46.389999,46.779999,2315100,43.181139
"2014-02-03",48.25,48.459999,46.549999,46.619999,2358200,43.033448
"2014-01-31",48.18,48.84,47.77,48.349998,1873300,44.630356
"2014-01-30",48.669998,48.799999,47.84,48.59,1976600,44.851894
"2014-01-29",48.360001,48.860001,47.82,48.43,3126400,44.704203
"2014-01-28",49,50.959999,48.25,48.990002,3535900,45.221123
"2014-01-27",48.779999,49.080002,48.029999,48.419998,2667100,44.69497
"2014-01-24",49.790001,49.810001,48.619999,48.759998,3209600,45.008814
"2014-01-23",50.540001,50.610001,49.93,50.16,1848000,46.301111
"2014-01-22",50.900002,51.080002,50.389999,50.700001,2034300,46.799569
"2014-01-21",51.57,51.580002,50.419998,50.75,2351700,46.845722
"2014-01-17",51.919998,52.099998,51.299999,51.380001,3290300,47.427256
"2014-01-16",51.630001,51.950001,51.490002,51.82,1501500,47.833404
"2014-01-15",51.529999,51.880001,51.290001,51.540001,1576800,47.574946
"2014-01-14",51.459999,51.720001,50.82,51.57,2686400,47.602637
"2014-01-13",52.779999,53.049999,51.43,51.540001,2298700,47.574946
"2014-01-10",52.880001,52.990002,52.380001,52.950001,1410700,48.876473
"2014-01-09",53.32,53.360001,52.52,52.740002,1684200,48.682629
"2014-01-08",52.77,53.400002,52.439999,53.07,2121300,48.98724
"2014-01-07",52.619999,53.119999,52.59,52.790001,1725500,48.728782
"2014-01-06",52.919998,53,52.200001,52.529999,1459600,48.488782
"2014-01-03",52.75,52.939999,52.509998,52.779999,849000,48.719549
"2014-01-02",53.290001,53.380001,52.509998,52.73,1604200,48.673397
"2013-12-31",53.490002,53.810001,53.189999,53.380001,1210900,49.273392
"2013-12-30",53.880001,54.169998,53.41,53.490002,1167200,49.37493
"2013-12-27",53.549999,54.130001,53.41,54,1850700,49.845694
"2013-12-26",53.419998,53.82,53.34,53.650002,1089500,49.181088
"2013-12-24",52.59,53.490002,52.43,53.32,856700,48.878574
"2013-12-23",52.32,52.59,52.040001,52.419998,1394500,48.053541
"2013-12-20",52.560001,52.75,51.950001,51.990002,2018500,47.659362
"2013-12-19",51.610001,52.669998,51.5,52.389999,1617300,48.026041
"2013-12-18",51.709999,51.759998,50.389999,51.639999,1961000,47.338514
"2013-12-17",51.950001,52.049999,50.939999,51.509998,1979700,47.219342
"2013-12-16",51.700001,52.23,51.5,52.049999,1827100,47.714362
"2013-12-13",51.279999,51.720001,51.259998,51.59,1094800,47.29268
"2013-12-12",51.279999,51.5,51.009998,51.220001,1077500,46.953501
"2013-12-11",52.869999,52.869999,51.380001,51.450001,1767600,47.164342
"2013-12-10",52.59,52.990002,52.32,52.869999,1591300,48.466058
"2013-12-09",52.189999,52.66,52.189999,52.509998,1068400,48.136044
"2013-12-06",52.310001,52.599998,51.91,52.209999,1288700,47.861034
"2013-12-05",51.470001,52.049999,51.34,51.860001,1860300,47.54019
"2013-12-04",50.57,51.990002,50.470001,51.470001,2124600,47.182676
"2013-12-03",50.669998,51.310001,50.330002,50.549999,1715600,46.339308
"2013-12-02",51.150002,51.150002,50.549999,50.610001,1307900,46.394312
"2013-11-29",51.259998,51.419998,50.419998,51.060001,1012400,46.806828
"2013-11-27",51.560001,51.779999,50.919998,50.970001,1273700,46.724325
"2013-11-26",51.529999,51.650002,51.169998,51.380001,1494300,47.100173
"2013-11-25",51.959999,51.970001,51.470001,51.66,1113700,47.356848
"2013-11-22",52.389999,52.560001,51.48,51.970001,1652800,47.641027
"2013-11-21",52.939999,53.099998,52.52,53.049999,994400,48.631064
"2013-11-20",53.310001,53.610001,52.529999,52.700001,1235500,48.31022
"2013-11-19",52.970001,53.639999,52.880001,53.209999,1236300,48.777736
"2013-11-18",53.189999,53.52,52.73,53.009998,1231900,48.594395
"2013-11-15",53.220001,53.810001,53.07,53.610001,1268100,49.144419
"2013-11-14",52.599998,53.330002,52.080002,53.099998,2436500,48.676899
"2013-11-13",52.82,52.959999,52.029999,52.389999,4295900,48.026041
"2013-11-12",54.310001,54.310001,53.330002,53.779999,1177700,49.300257
"2013-11-11",54.630001,54.630001,54.220001,54.470001,1013500,49.932784
"2013-11-08",53.509998,54.73,53.32,54.619999,1543800,50.070287
"2013-11-07",54.259998,54.299999,53.41,53.509998,1731700,49.052747
"2013-11-06",53.709999,54.18,53.560001,54.09,1553900,49.584436
"2013-11-05",53.009998,53.740002,52.560001,53.52,1743100,49.061916
"2013-11-04",53.040001,53.59,53.040001,53.299999,1869400,48.86024
"2013-11-01",51.889999,53.189999,51.799999,52.75,2349900,48.356054
"2013-10-31",51.299999,52.27,51.16,51.77,1818700,47.457686
"2013-10-30",51.490002,51.650002,51.060001,51.380001,1257800,47.100173
"2013-10-29",51.290001,51.599998,51.029999,51.549999,1566900,47.256011
"2013-10-28",51.25,51.509998,50.93,51.130001,919900,46.870997
"2013-10-25",51.349998,51.439999,51.099998,51.400002,1352400,47.118507
"2013-10-24",51.439999,51.799999,51.259998,51.349998,1206200,47.072669
"2013-10-23",51.009998,51.380001,50.419998,51.18,1177800,46.916832
"2013-10-22",50.900002,51.630001,50.830002,51.419998,1632000,47.136838
"2013-10-21",51.189999,51.490002,50.380001,50.73,1831200,46.504315
"2013-10-18",50.990002,51.25,50.5,51.09,2703400,46.834328
"2013-10-17",49.970001,50.939999,49.299999,50.790001,2564900,46.559318
"2013-10-16",50.060001,50.330002,49.5,49.82,1904200,45.670116
"2013-10-15",49.240002,50.290001,49.240002,49.48,2339200,45.358437
"2013-10-14",48.59,49.48,48.580002,49.279999,1302600,45.175096
"2013-10-11",48.349998,49.09,48.299999,48.93,1259000,44.854251
"2013-10-10",47.950001,48.41,47.91,48.380001,1976800,44.350065
"2013-10-09",48.200001,48.200001,47.369999,47.580002,1678600,43.616704
"2013-10-08",48.57,48.75,47.880001,48.02,1334200,44.020052
"2013-10-07",48.290001,48.830002,48,48.540001,1151100,44.496738
"2013-10-04",48.439999,48.880001,48.200001,48.779999,1360900,44.716744
"2013-10-03",48.830002,49.110001,48.18,48.439999,1947400,44.405065
"2013-10-02",48.66,49.09,48.59,48.830002,2198500,44.762582
"2013-10-01",48.889999,49.610001,48.740002,48.959999,1399900,44.881751
"2013-09-30",48.259998,49.41,48.09,49.02,1755900,44.936754
"2013-09-27",48.970001,49.02,48.360001,48.799999,1399000,44.735079
"2013-09-26",49.540001,49.810001,48.84,49.32,1721800,45.211765
"2013-09-25",50.07,50.09,49.48,49.48,1735400,45.358437
"2013-09-24",49.91,50.470001,49.799999,50.299999,2684800,45.772785
"2013-09-23",50.209999,50.529999,49.869999,49.880001,3727300,45.390588
"2013-09-20",50.189999,50.540001,50.119999,50.369999,2995000,45.836484
"2013-09-19",50.990002,51.25,50.200001,50.200001,2707200,45.681787
"2013-09-18",49.490002,51.07,49.23,50.869999,3559400,46.291482
"2013-09-17",49.16,50.130001,49.119999,49.470001,2738500,45.01749
"2013-09-16",49.009998,49.169998,48.830002,49.09,3050000,44.671691
