"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-10-30",33.939999,34.48,33.82,34.400002,5514800,33.328323
"2015-10-29",33.799999,33.93,33,33.790001,7157700,32.737326
"2015-10-28",34.34,34.470001,33.130001,33.419998,7043500,32.37885
"2015-10-27",34.189999,34.349998,34.07,34.299999,2963700,33.231436
"2015-10-26",34.240002,34.330002,33.900002,34.330002,3262700,33.260504
"2015-10-23",34.669998,34.689999,34.049999,34.18,3130600,33.115176
"2015-10-22",34.34,34.919998,34.290001,34.75,3655900,33.667418
"2015-10-21",34.43,34.57,34.169998,34.25,2871300,33.182995
"2015-10-20",34.169998,34.439999,34.02,34.279999,3590700,33.212059
"2015-10-19",34.23,34.459999,34.009998,34.290001,4629700,33.221749
"2015-10-16",34.369999,34.549999,34.18,34.459999,4364400,33.386452
"2015-10-15",33.810001,34.310001,33.639999,34.189999,4655500,33.124863
"2015-10-14",33.459999,33.810001,33.389999,33.68,3915800,32.630752
"2015-10-13",33.349998,33.57,33.18,33.43,5841800,32.388541
"2015-10-12",33.029999,33.490002,33.029999,33.419998,4200800,32.37885
"2015-10-09",33.029999,33.16,32.91,33.029999,5295800,32.001001
"2015-10-08",32.560001,33.130001,32.43,33.09,6386500,32.059133
"2015-10-07",33.07,33.150002,32.490002,32.630001,7000500,31.613464
"2015-10-06",33.470001,33.5,32.900002,33.060001,5045000,32.030069
"2015-10-05",33.18,33.540001,33,33.48,5862000,32.436982
"2015-10-02",32.77,33.119999,32.529999,33.040001,7273600,32.010691
"2015-10-01",33,33,32.220001,32.599998,8029000,31.584396
"2015-09-30",32.349998,32.91,32.279999,32.889999,5785000,31.865363
"2015-09-29",31.950001,32.310001,31.91,32.209999,6507500,31.206547
"2015-09-28",32.060001,32.23,31.809999,31.9,7474400,30.906205
"2015-09-25",31.610001,32.18,31.42,31.969999,4284100,30.974024
"2015-09-24",30.959999,31.700001,30.92,31.58,5739800,30.596174
"2015-09-22",31.190001,31.33,30.790001,31.040001,6594400,30.072998
"2015-09-21",31.059999,31.34,31.01,31.33,4777400,30.353963
"2015-09-18",30.66,31.23,30.66,30.959999,7144000,29.995489
"2015-09-17",30.360001,31.139999,30.27,30.799999,4979800,29.840473
"2015-09-16",30.129999,30.459999,30.1,30.33,3729500,29.385116
"2015-09-15",29.91,30.120001,29.68,30.08,3395400,29.142904
"2015-09-14",29.709999,30.09,29.690001,29.85,4727000,28.92007
"2015-09-11",29.389999,29.67,29.18,29.67,3738300,28.745677
