"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-03-01",46.060001,46.619999,45.110001,46.360001,1573000,46.070725
"2016-02-29",46.290001,46.610001,45.720001,45.73,1860700,45.444655
"2016-02-26",46.490002,46.59,46.02,46.27,1500700,45.981286
"2016-02-25",45.599998,46.389999,45.259998,46.360001,2080500,46.070725
"2016-02-24",43.720001,45.610001,43.470001,45.540001,2312300,45.255842
"2016-02-23",44.610001,44.830002,43.91,44.07,1782100,43.795013
"2016-02-22",43.290001,44.889999,43.290001,44.860001,2090100,44.580084
"2016-02-19",44.200001,44.490002,43.049999,43.290001,2297000,43.019881
"2016-02-18",42.360001,43.470001,42.150002,43.130001,1583400,42.86088
"2016-02-17",43.599998,43.740002,42.889999,43.099998,1485600,42.831064
"2016-02-16",43.619999,43.889999,42.66,43.43,2238900,43.159007
"2016-02-12",43.110001,44.080002,42.5,43.240002,2058400,42.970194
"2016-02-11",42.619999,42.84,41.75,42.299999,2839800,42.036057
"2016-02-10",45.540001,46,41.650002,43.630001,4272300,43.35776
"2016-02-09",38.98,40.73,38.959999,40.43,2744800,40.177726
"2016-02-08",40.209999,40.279999,38.900002,39.450001,1630600,39.203842
"2016-02-05",41.630001,41.720001,40.450001,40.66,1375100,40.406291
"2016-02-04",41.849998,42.529999,40.950001,41.639999,3343900,41.380175
"2016-02-03",40.91,42.060001,40.279999,42.040001,2969200,41.777681
"2016-02-02",40.759998,40.869999,39.849998,40.419998,2490300,40.167787
"2016-02-01",40.25,41.470001,39.849998,41.290001,1771400,41.032361
"2016-01-29",38.619999,40.529999,38.619999,40.529999,2462400,40.277101
"2016-01-28",39.950001,40.189999,38.02,38.360001,2873400,38.120643
"2016-01-27",39.900002,40.599998,39.529999,39.799999,1325800,39.551656
"2016-01-26",39.119999,40.169998,38.970001,39.970001,2153400,39.720598
"2016-01-25",40.880001,40.93,38.869999,38.970001,1778600,38.726837
"2016-01-22",40.459999,40.990002,40.049999,40.959999,1164000,40.704418
"2016-01-21",39.959999,40.73,39.77,39.82,1174300,39.571532
