"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-02-27",39.16,39.439999,38.959999,38.990002,4243400,37.301766
"2015-02-26",39.470001,39.529999,39.099998,39.139999,4417500,37.445269
"2015-02-25",39.720001,39.779999,39.330002,39.470001,2123000,37.760982
"2015-02-24",39.48,39.630001,39.25,39.540001,3188800,37.827951
"2015-02-23",39.700001,39.830002,39.5,39.599998,4582500,37.88535
"2015-02-20",38.470001,39.700001,38.41,39.66,12301200,37.942754
"2015-02-19",39.82,39.849998,38.490002,38.560001,9784400,36.890384
"2015-02-18",39.610001,40.130001,39.5,39.91,5376700,38.181929
"2015-02-17",39.360001,39.66,39.09,39.57,2842900,37.85665
"2015-02-13",39.529999,39.639999,39.380001,39.540001,2609200,37.827951
"2015-02-12",38.93,39.779999,38.919998,39.66,6681600,37.942754
"2015-02-11",39.810001,39.959999,38.669998,38.919998,11706700,37.234793
"2015-02-10",40.23,40.419998,39.740002,39.799999,5001000,38.076691
"2015-02-09",40.34,40.48,39.990002,40.099998,4322000,38.363701
"2015-02-06",39.759998,40.310001,39.700001,40.25,5019500,38.507207
"2015-02-05",39.91,40.220001,39.77,39.869999,3796500,38.14366
"2015-02-04",39.5,40.25,39.5,39.860001,4728700,38.134095
"2015-02-03",38.73,39.639999,38.689999,39.540001,7456900,37.827951
"2015-02-02",39.34,39.560001,38.02,38.43,9498600,36.766012
"2015-01-30",39.66,39.810001,39.139999,39.169998,5121900,37.473969
"2015-01-29",39.93,40.119999,39.650002,39.900002,4653300,38.172363
"2015-01-28",40.880001,41.09,40.009998,40.099998,3069100,38.363701
"2015-01-27",40.57,40.880001,40.299999,40.700001,2969600,38.937723
"2015-01-26",40.900002,41.07,40.709999,40.93,2546200,39.157764
"2015-01-23",40.740002,41.240002,40.57,40.98,3494200,39.205598
"2015-01-22",40.560001,40.91,40.27,40.689999,4210600,38.928154
"2015-01-21",39.5,40.400002,39.450001,40.290001,5527900,38.545476
"2015-01-20",40.09,40.34,39.419998,39.560001,6785700,37.847085
"2015-01-16",40.150002,40.540001,39.98,40.02,6454100,38.287167
"2015-01-15",40.27,40.599998,40.18,40.259998,3347900,38.516773
