"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-08-01",32.740002,32.970001,32.529999,32.880001,1608500,31.406823
"2014-07-31",33.189999,33.720001,32.700001,32.720001,2630400,31.253992
"2014-07-30",33.48,33.700001,33.389999,33.529999,2188900,32.027698
"2014-07-29",33.470001,34.080002,33.380001,33.380001,2488500,31.88442
"2014-07-28",33.16,33.73,33.060001,33.66,2080500,32.151874
"2014-07-25",33.34,33.459999,33.169998,33.209999,1018200,31.722035
"2014-07-24",33.279999,33.529999,33.18,33.470001,1292700,31.970388
"2014-07-23",33.279999,33.349998,32.860001,33.16,2078300,31.674276
"2014-07-22",31.85,33.279999,31.4,33.25,4044400,31.760244
"2014-07-21",31.709999,31.870001,31.540001,31.719999,1768500,30.298795
"2014-07-18",31.66,31.91,31.59,31.82,1842200,30.394314
"2014-07-17",31.790001,31.98,31.43,31.48,2051300,30.069548
"2014-07-16",31.77,32.080002,31.77,32.009998,2168000,30.5758
"2014-07-15",31.389999,31.870001,31.34,31.82,1928400,30.394314
"2014-07-14",31.959999,32,31.549999,31.6,2477300,30.184172
"2014-07-11",31.83,32.009998,31.530001,31.700001,1306900,30.279692
"2014-07-10",31.610001,32.080002,31.549999,31.790001,2414300,30.36566
"2014-07-09",31.690001,32.169998,31.59,32.110001,2415500,30.671322
"2014-07-08",31.76,31.780001,31.26,31.549999,2822200,30.136411
"2014-07-07",32.099998,32.16,31.76,31.879999,2730600,30.451626
"2014-07-03",31.969999,32.459999,31.969999,32.200001,1279800,30.75729
"2014-07-02",31.780001,32.290001,31.73,31.969999,3200900,30.537593
"2014-07-01",31.379999,31.780001,31.290001,31.74,2890300,30.317899
"2014-06-30",30.870001,31.43,30.74,31.309999,4258700,29.907165
"2014-06-27",30.450001,30.9,30.360001,30.75,3995500,29.372256
"2014-06-26",30.68,30.98,30.389999,30.52,5409300,29.152561
"2014-06-25",29.139999,30.719999,29.09,30.67,3570600,29.29584
"2014-06-24",29.24,29.549999,29.139999,29.190001,959700,27.882152
"2014-06-23",29.389999,29.49,29.17,29.34,1001200,28.02543
"2014-06-20",29.549999,29.67,29.07,29.360001,2085900,28.044535
"2014-06-19",29.35,29.6,29.24,29.49,1443300,28.168709
"2014-06-18",29.02,29.42,28.780001,29.35,1500600,28.034983
"2014-06-17",28.68,29.040001,28.559999,29.01,1386900,27.710216
"2014-06-16",28.66,28.809999,28.549999,28.719999,746100,27.433209
"2014-06-13",28.790001,28.9,28.549999,28.73,1090200,27.442761
"2014-06-12",29.25,29.299999,28.540001,28.799999,1283400,27.509624
"2014-06-11",29.15,29.379999,29.09,29.299999,1177500,27.987222
"2014-06-10",29.379999,29.440001,28.99,29.299999,928900,27.987222
"2014-06-09",29.059999,29.629999,29,29.469999,1327800,28.149605
"2014-06-06",29.41,29.559999,28.92,29.1,1510100,27.796184
"2014-06-05",29.110001,29.4,28.690001,29.32,1386000,28.006326
"2014-06-04",28.74,29.120001,28.66,29,1648700,27.700664
"2014-06-03",28.75,29.110001,28.68,29.08,1801900,27.58604
"2014-06-02",28.459999,28.91,28.26,28.889999,2481600,27.405801
"2014-05-30",27.85,28.01,27.639999,27.790001,1290900,26.362314
"2014-05-29",28,28.09,27.639999,27.879999,873200,26.447688
"2014-05-28",27.870001,28.040001,27.639999,27.9,716700,26.466661
"2014-05-27",28.129999,28.16,27.700001,27.9,1255800,26.466661
"2014-05-23",27.73,28.049999,27.58,28.030001,734100,26.589984
"2014-05-22",27.59,27.809999,27.5,27.73,1180700,26.305395
"2014-05-21",27.23,27.620001,27.190001,27.6,1005000,26.182074
"2014-05-20",27.48,27.51,27,27.07,1756200,25.679302
"2014-05-19",27.360001,27.75,27.25,27.52,1340400,26.106184
"2014-05-16",27.1,27.459999,26.77,27.41,1680000,26.001835
"2014-05-15",27.049999,27.110001,26.200001,27.059999,2780700,25.669815
"2014-05-14",27.6,27.700001,27.17,27.219999,1387500,25.821595
"2014-05-13",27.780001,27.879999,27.25,27.700001,2423500,26.276937
"2014-05-12",27.27,27.92,27.27,27.799999,1265700,26.371798
"2014-05-09",26.860001,27.25,26.76,27.219999,1431800,25.821595
"2014-05-08",26.99,27.42,26.790001,26.879999,1658500,25.499062
"2014-05-07",27.049999,27.68,26.76,27.08,3184900,25.688788
"2014-05-06",27.049999,27.27,26.940001,26.99,1667300,25.603412
"2014-05-05",27.030001,27.25,27.01,27.09,1405300,25.698275
"2014-05-02",27.25,27.6,27.059999,27.280001,1676500,25.878514
"2014-05-01",27.190001,27.370001,27,27.23,1410000,25.831082
"2014-04-30",27.030001,27.280001,26.83,27.17,1575800,25.774165
"2014-04-29",27.120001,27.18,26.84,27.030001,1640100,25.641358
"2014-04-28",27.440001,27.52,26.700001,27.059999,2203400,25.669815
"2014-04-25",27.299999,27.389999,27.120001,27.32,2452200,25.916458
"2014-04-24",27.200001,27.41,27.030001,27.4,3204000,25.992348
"2014-04-23",27.200001,27.25,26.809999,27.1,3393700,25.707761
"2014-04-22",27.09,27.24,26.92,27.15,3003200,25.755192
"2014-04-21",26.99,27.01,26.209999,27.01,2003200,25.622385
"2014-04-17",26.58,27.139999,26.549999,26.870001,4083200,25.489578
"2014-04-16",26.25,26.66,25.99,26.639999,2636300,25.271392
"2014-04-15",26.41,26.5,25.530001,25.950001,3053700,24.616842
"2014-04-14",26.4,26.559999,26.16,26.379999,1721900,25.024749
"2014-04-11",27.17,27.17,26.08,26.16,2240600,24.816052
"2014-04-10",27.85,28,26.9,26.9,1908800,25.518035
"2014-04-09",27.52,27.940001,27.33,27.9,2033600,26.466661
"2014-04-08",27.08,27.459999,26.889999,27.389999,1519800,25.982862
"2014-04-07",27.469999,27.620001,26.82,27.129999,2109200,25.736219
"2014-04-04",27.98,28.129999,27.450001,27.530001,1167800,26.115671
"2014-04-03",28.17,28.32,27.610001,27.76,1882800,26.333854
"2014-04-02",28.1,28.440001,28.030001,28.07,1658200,26.627928
"2014-04-01",27.75,28.15,27.75,28.02,1506500,26.580497
"2014-03-31",27.34,27.73,27.17,27.6,2118900,26.182074
"2014-03-28",26.92,27.459999,26.92,27.110001,1163000,25.717248
"2014-03-27",27.26,27.379999,26.85,26.889999,1739200,25.508549
"2014-03-26",27.879999,27.950001,27.299999,27.309999,1759700,25.906972
"2014-03-25",28.209999,28.4,27.68,27.77,1947700,26.343341
"2014-03-24",29.049999,29.1,28.09,28.110001,2147500,26.665874
"2014-03-21",29.07,29.59,28.889999,28.969999,3244900,27.481691
"2014-03-20",28.6,28.790001,28.42,28.51,1437600,27.045324
"2014-03-19",28.43,28.889999,28.43,28.74,2462100,27.263507
"2014-03-18",27.91,28.290001,27.74,28.18,2283600,26.732277
"2014-03-17",28.209999,28.209999,27.780001,27.91,1407500,26.476148
