"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-10-31",62.25,62.369999,61.439999,61.82,4231400,58.69528
"2014-10-30",60.810001,61.959999,60.549999,61.779999,2294300,58.657301
"2014-10-29",60.720001,60.959999,60.369999,60.889999,2992200,57.812287
"2014-10-28",61.25,61.32,60.290001,60.650002,4976500,57.58442
"2014-10-27",61.549999,61.75,61.029999,61.560001,3630500,58.448423
"2014-10-24",61.950001,62.02,61.200001,61.57,3984500,58.457916
"2014-10-23",61.790001,62.5,61.689999,62.029999,3412700,58.894664
"2014-10-22",61.77,62.43,61.27,61.330002,3790600,58.230049
"2014-10-21",60.689999,61.939999,60.41,61.639999,4790200,58.524378
"2014-10-20",58.959999,60.310001,58.959999,60.290001,4302200,57.242615
"2014-10-17",59.93,60.060001,58.900002,59.07,6502300,56.08428
"2014-10-15",60.860001,61.240002,59.290001,59.98,7773900,56.948283
"2014-10-14",60.959999,61.82,60.740002,61.689999,4542600,58.57185
"2014-10-13",60.549999,61.57,60.029999,60.439999,5330000,57.385031
"2014-10-10",61.68,62.439999,60.549999,60.59,6201900,57.527451
"2014-10-09",62.75,63.09,61.419998,61.599998,4349000,58.486399
"2014-10-08",61.68,62.959999,61.52,62.810001,3951200,59.635241
"2014-10-07",62.02,62.080002,61.330002,61.540001,3661900,58.429434
"2014-10-06",63.029999,63.34,62.189999,62.279999,2481300,59.132028
"2014-10-03",63.09,63.450001,62.77,63.07,2606500,59.882098
"2014-10-02",62.139999,62.700001,61.610001,62.57,3199800,59.407371
"2014-10-01",62.68,62.900002,62.029999,62.07,3876400,58.932643
"2014-09-30",62.860001,63.09,62.52,62.68,2557700,59.511811
"2014-09-29",62.57,63.16,62.529999,63.040001,2170300,59.853615
"2014-09-26",63.200001,63.279999,62.639999,63.150002,2336200,59.958056
"2014-09-25",63.630001,63.759998,62.75,62.880001,2840900,59.701703
"2014-09-24",63,63.93,62.990002,63.880001,3249400,60.651157
"2014-09-23",63.32,63.599998,63.07,63.080002,3995300,59.891594
"2014-09-22",63.540001,63.77,63.130001,63.360001,3078100,60.157441
"2014-09-19",64.230003,64.360001,63.610001,63.810001,4918900,60.584696
"2014-09-18",63.23,64.650002,63.200001,63.93,7343500,60.698629
"2014-09-17",62.869999,63.09,62.48,62.869999,3275900,59.692206
"2014-09-16",62.07,63.259998,62.060001,62.860001,4552400,59.682713
"2014-09-15",62.43,62.610001,62.07,62.209999,3694100,59.065566
"2014-09-12",62.540001,62.650002,61.98,62.529999,4427400,59.369392
"2014-09-11",61.830002,62.68,61.610001,62.59,5599800,59.42636
"2014-09-10",61.009998,62.34,60.869999,61.950001,8681600,58.81871
"2014-09-09",60.470001,60.91,60.18,60.880001,4237200,57.802794
"2014-09-08",60.900002,61.200001,60.27,60.560001,3191300,57.498969
"2014-09-05",61,61.150002,60.5,61.080002,3401800,57.992685
"2014-09-04",60.380001,61.209999,60.200001,61.029999,4363300,57.94521
"2014-09-03",60.529999,60.57,59.98,60.389999,3553500,57.337559
"2014-09-02",60.279999,60.5,59.98,60.189999,2602700,57.147668
"2014-08-29",60.720001,60.720001,60.049999,60.07,4008100,57.033734
"2014-08-28",60.48,60.59,60.07,60.349998,4221300,57.29958
"2014-08-27",60.73,60.959999,60.639999,60.790001,2797700,57.717343
"2014-08-26",61.049999,61.200001,60.59,60.700001,3224800,57.631892
"2014-08-25",61.299999,61.5,60.720001,60.98,4368200,57.897738
"2014-08-22",61.139999,61.459999,60.779999,61.049999,4566200,57.964199
"2014-08-21",60.400002,61.09,59.82,61.07,6562000,57.983189
"2014-08-20",58.5,60.790001,58.25,60.330002,12835000,57.280594
"2014-08-19",58.84,59.41,58.599998,59.25,4807300,56.255182
"2014-08-18",58.049999,58.689999,57.75,58.549999,4016700,55.590563
"2014-08-15",58.740002,58.77,57.84,58.200001,4186700,54.764538
"2014-08-14",58.200001,58.77,58.09,58.740002,3144900,55.272664
"2014-08-13",58.43,58.48,57.75,58.259998,3661300,54.820994
"2014-08-12",58.349998,58.540001,58.02,58.459999,2946000,55.009189
"2014-08-11",58.599998,58.669998,58.150002,58.360001,2788100,54.915093
"2014-08-08",57.889999,58.59,57.619999,58.540001,4710700,55.084469
"2014-08-07",58.259998,58.360001,57.27,57.5,4917200,54.105857
"2014-08-06",57.48,58.240002,57.259998,57.970001,7262700,54.548115
"2014-08-05",58.450001,59.41,57.810001,58.029999,14982100,54.604571
"2014-08-04",60.169998,61,59.919998,60.700001,4232000,57.116967
"2014-08-01",59.32,60,59.200001,59.849998,4011800,56.317139
"2014-07-31",61,61,59.580002,59.59,7067900,56.072488
"2014-07-30",61.310001,61.630001,61.139999,61.380001,3677000,57.756828
"2014-07-29",60.349998,61.32,60.299999,61.099998,3807200,57.493353
"2014-07-28",60.400002,60.580002,59.990002,60.299999,4011200,56.740577
"2014-07-25",60.759998,60.889999,60.290001,60.389999,2629200,56.825264
"2014-07-24",60.740002,61.07,60.419998,60.990002,3491900,57.389849
"2014-07-23",59.450001,60.84,59.369999,60.73,6167200,57.145195
"2014-07-22",59.419998,59.52,59.139999,59.380001,3548400,55.874885
"2014-07-21",59.98,60.02,59.040001,59.299999,4122900,55.799605
"2014-07-18",59.82,60.040001,59.5,60.009998,4735900,56.467694
"2014-07-17",59.990002,60.200001,59.57,59.720001,4559400,56.194815
"2014-07-16",60.740002,60.740002,59.82,60.139999,6987700,56.590021
"2014-07-15",60.549999,60.720001,60.23,60.709999,5722100,57.126375
"2014-07-14",60.139999,60.189999,59.950001,60.18,3809200,56.627661
"2014-07-11",59.959999,60.049999,59.650002,60,3109100,56.458286
"2014-07-10",59.459999,59.98,59.459999,59.93,3799900,56.392418
"2014-07-09",59.57,60.189999,59.57,60.049999,4276700,56.505334
"2014-07-08",59.75,59.939999,59.380001,59.799999,4582200,56.270091
"2014-07-07",59.360001,60.049999,59.23,59.990002,4917300,56.448878
"2014-07-03",59.119999,59.529999,58.939999,59.509998,3014400,55.997208
"2014-07-02",58.5,59.099998,58.400002,58.77,3061400,55.300892
"2014-07-01",58.389999,58.450001,57.950001,58.369999,3768500,54.924502
"2014-06-30",58.09,58.5,57.84,57.950001,4864300,54.529295
"2014-06-27",57.77,58.32,57.75,58.119999,8466000,54.689259
"2014-06-26",58.07,58.099998,57.630001,57.869999,3548000,54.454016
"2014-06-25",58.509998,58.509998,57.919998,58.060001,5998500,54.632803
"2014-06-24",58.18,58.860001,58.02,58.700001,4374500,55.235024
"2014-06-23",58.119999,58.450001,58.060001,58.419998,3749100,54.971549
"2014-06-20",58.709999,58.810001,58.099998,58.290001,5189000,54.849226
"2014-06-19",58.720001,59.32,58.700001,58.740002,3900500,55.272664
"2014-06-18",58.299999,58.740002,58.119999,58.700001,3748900,55.235024
"2014-06-17",57.599998,58.619999,57.509998,58.169998,6618700,54.736307
"2014-06-16",57.23,57.790001,57.060001,57.740002,5342600,54.331692
"2014-06-13",57.349998,57.470001,57.049999,57.23,3718800,53.851795
"2014-06-12",57.139999,57.360001,57.110001,57.240002,5457900,53.861206
"2014-06-11",56.709999,57.32,56.610001,57.080002,5344900,53.710651
"2014-06-10",57.580002,57.580002,56.669998,56.860001,6609800,53.503636
"2014-06-09",57.779999,58.220001,57.470001,57.599998,4424800,54.199953
"2014-06-06",57.5,57.799999,57.490002,57.68,3571500,54.275233
"2014-06-05",57.259998,57.790001,57.09,57.490002,4506100,54.096449
"2014-06-04",56.630001,57.200001,56.5,57.18,3633000,53.804747
"2014-06-03",56.529999,56.959999,56.290001,56.790001,4517600,53.437769
"2014-06-02",56.900002,57.040001,56.450001,56.490002,3747500,53.155478
"2014-05-30",55.919998,56.919998,55.889999,56.759998,6305300,53.409537
"2014-05-29",55.400002,55.959999,55.299999,55.880001,4829700,52.581485
"2014-05-28",56,56,55.25,55.34,5822700,52.073359
"2014-05-27",55.889999,55.950001,55.41,55.77,5639700,52.477977
"2014-05-23",56.150002,56.220001,55.66,55.689999,7575800,52.402698
"2014-05-22",57.07,57.099998,55.619999,55.990002,12411400,52.684992
"2014-05-21",56.990002,57.450001,56.130001,57.200001,14802300,53.823567
"2014-05-20",57.919998,57.939999,56.529999,56.610001,9392600,53.268393
"2014-05-19",58.169998,58.490002,58.040001,58.290001,3674200,54.849226
"2014-05-16",58.290001,58.830002,58.119999,58.639999,6409200,54.773944
"2014-05-15",58.59,58.669998,57.799999,58.18,8249000,54.344272
"2014-05-14",59.560001,59.799999,59.080002,59.27,4275200,55.36241
"2014-05-13",59.619999,59.860001,59.16,59.560001,4900300,55.633292
"2014-05-12",59.290001,59.709999,59.27,59.639999,3719600,55.708015
"2014-05-09",58.290001,59.25,58.290001,59.130001,6254800,55.231641
"2014-05-08",58.290001,58.759998,57.98,58.32,6808800,54.475042
"2014-05-07",57.860001,58.25,57.66,58.130001,6424400,54.297569
"2014-05-06",59.23,59.290001,57.599998,57.639999,13323400,53.839873
"2014-05-05",61.02,61.599998,59.619999,59.869999,16189500,55.922851
"2014-05-02",61.860001,62.639999,61.73,62.009998,3423800,57.921764
"2014-05-01",61.849998,61.869999,61.330002,61.740002,3611600,57.669567
"2014-04-30",61.830002,61.91,61.400002,61.75,4526900,57.678907
"2014-04-29",62.299999,62.34,61.82,61.970001,4176400,57.884403
"2014-04-28",60.98,62.48,60.98,62.18,4895200,58.080558
"2014-04-25",60.990002,61.310001,60.450001,61.259998,5164600,57.22121
"2014-04-24",60.849998,61.459999,60.75,61.450001,3671000,57.398686
"2014-04-23",60.32,60.82,60.32,60.740002,2969900,56.735496
"2014-04-22",59.82,60.669998,59.77,60.32,4834600,56.343184
"2014-04-21",59.869999,59.950001,59.52,59.759998,3704100,55.820103
"2014-04-17",59.709999,60.040001,59.650002,60,3634700,56.044282
"2014-04-16",59.869999,60,59.52,59.91,3539600,55.960215
"2014-04-15",59.650002,59.779999,59.139999,59.48,3717000,55.558564
"2014-04-14",59.25,59.490002,58.939999,59.419998,4065900,55.502519
"2014-04-11",59.599998,59.709999,58.580002,58.900002,5330700,55.016805
"2014-04-09",61.77,61.77,61,61.209999,4689100,57.174507
"2014-04-08",60.330002,61.599998,60.099998,61.5,4527800,57.445389
"2014-04-07",61.060001,61.060001,60.5,60.5,4199100,56.511317
"2014-04-04",61.93,62.259998,61.099998,61.139999,3823500,57.109123
"2014-04-03",61.299999,61.880001,60.68,61.720001,4565300,57.650886
"2014-04-02",60.5,61.139999,60.450001,60.889999,3970400,56.875605
"2014-04-01",60.740002,60.810001,60.299999,60.57,4246000,56.576702
"2014-03-31",60.240002,60.779999,59.950001,60.509998,4255900,56.520657
"2014-03-28",59.740002,60.119999,59.700001,59.98,3063900,56.0256
"2014-03-27",59.57,60.139999,59.02,59.740002,4416400,55.801425
"2014-03-26",59.220001,59.990002,59.060001,59.200001,4438900,55.297025
"2014-03-25",59.59,59.599998,58.599998,59.060001,5216800,55.166256
"2014-03-24",59.880001,60.040001,59.16,59.459999,4543700,55.539882
"2014-03-21",60.119999,60.18,59.360001,59.450001,5995400,55.530543
"2014-03-20",59.529999,59.900002,59.259998,59.700001,3332100,55.764061
"2014-03-18",59.799999,59.939999,59.560001,59.720001,3129000,55.782743
"2014-03-17",59.59,59.959999,59.299999,59.669998,3424500,55.736036
"2014-03-14",59.599998,59.990002,59.27,59.360001,5631200,55.446477
"2014-03-13",61.080002,61.619999,59.709999,59.73,6142600,55.792082
"2014-03-12",60.540001,61.220001,60.52,61.099998,3851500,57.071759
"2014-03-11",61.25,61.52,60.869999,60.939999,4485100,56.922308
"2014-03-10",60.82,61.240002,60.700001,61.16,3663700,57.127804
"2014-03-07",60.84,60.98,60.57,60.75,3817500,56.744835
"2014-03-06",60.610001,61.09,60.52,60.740002,4835100,56.735496
"2014-03-05",61.650002,61.66,60.360001,60.599998,7421100,56.604723
"2014-03-04",62.509998,62.549999,61.25,61.330002,6400100,57.286598
"2014-03-03",61.939999,62.41,61.700001,61.959999,6813300,57.875061
"2014-02-28",60.610001,62.880001,60.400002,62.540001,14246300,58.416824
"2014-02-27",60.419998,60.779999,59.75,60.66,9453700,56.660769
"2014-02-25",55.959999,56.610001,55.810001,56.509998,8030600,52.784371
"2014-02-24",56.189999,56.639999,55.439999,56.139999,9151600,52.438766
"2014-02-20",57.400002,57.400002,56.41,56.619999,8790200,52.88712
"2014-02-19",56.360001,57.82,56.32,57.310001,8838300,53.531631
"2014-02-18",56.419998,56.639999,56.169998,56.389999,6094900,52.672284
"2014-02-14",56.66,56.689999,55.759998,56.060001,8586200,52.364042
"2014-02-13",56.970001,57.360001,56.450001,56.860001,7564500,52.70965
"2014-02-12",57.169998,57.169998,56.619999,56.950001,7010800,52.793081
"2014-02-11",56.66,57.380001,56.549999,57.139999,8170900,52.969211
"2014-02-10",56.34,56.689999,56.169998,56.509998,6017900,52.385195
"2014-02-07",56.110001,56.41,55.540001,56.330002,6344700,52.218337
"2014-02-06",55.130001,56,55.09,55.860001,8886800,51.782643
"2014-02-05",55.060001,55.189999,54.66,55.07,8176000,51.050306
"2014-02-04",55.869999,55.869999,55.099998,55.119999,5969600,51.096655
"2014-02-03",56.860001,56.869999,55.279999,55.41,6733600,51.365489
"2014-01-31",56.41,56.98,55.959999,56.639999,6326300,52.505707
"2014-01-30",57.110001,57.200001,56.650002,56.669998,6207900,52.533516
"2014-01-29",57.669998,57.860001,56.830002,56.889999,5928000,52.737459
"2014-01-28",57.849998,58.290001,57.759998,57.889999,4907300,53.664467
"2014-01-27",57.73,57.959999,57.380001,57.709999,6013100,53.497605
"2014-01-24",58.560001,58.599998,57.689999,57.720001,7467500,53.506877
"2014-01-23",58.5,58.720001,58.259998,58.650002,7029900,54.368995
"2014-01-22",59.779999,59.82,58.75,58.98,7185100,54.674905
"2014-01-21",59.799999,59.810001,58.799999,59.200001,10595500,54.878848
"2014-01-17",60.93,60.93,59.869999,60.240002,8132100,55.842937
"2014-01-16",61.439999,61.549999,60.599998,60.810001,5288400,56.371331
"2014-01-15",61.860001,61.869999,61.5,61.560001,4233700,57.066586
"2014-01-14",61.509998,61.759998,61.27,61.709999,5519900,57.205635
"2014-01-13",62.119999,62.23,61.490002,61.5,8031200,57.010965
"2014-01-10",62.889999,63.630001,62.16,62.619999,12949700,58.049212
"2014-01-09",62.889999,63.59,62.77,63.34,7264600,58.716659
"2014-01-08",62.810001,62.82,62.43,62.689999,5529900,58.114102
"2014-01-07",63.029999,63.290001,62.599998,62.91,5398300,58.318045
"2014-01-06",63.68,63.689999,62.669998,63.060001,4609600,58.457098
"2014-01-03",63.619999,63.889999,63.400002,63.490002,4589400,58.855711
"2014-01-02",63.529999,64.169998,63.139999,63.18,7400100,58.568338
"2013-12-31",62.57,63.799999,62.5,63.27,6783400,58.651768
"2013-12-30",62.450001,62.5,61.91,62.470001,3683000,57.910163
"2013-12-27",62.790001,62.790001,61.990002,62.150002,3260100,57.613521
"2013-12-24",61.599998,61.75,61.259998,61.709999,3356300,57.205635
"2013-12-23",62,62.150002,61.529999,61.880001,5720200,57.363229
"2013-12-20",62.119999,62.66,62.02,62.490002,6869100,57.928704
"2013-12-19",62.220001,62.889999,61.98,62.150002,7901900,57.613521
"2013-12-18",62.52,63.59,62.43,63.549999,8304600,58.911329
"2013-12-17",62.119999,62.150002,61.439999,61.650002,5310800,57.150017
"2013-12-16",62.439999,62.509998,61.73,62.169998,4768700,57.632058
"2013-12-13",63.23,63.240002,62.290001,62.360001,4751000,57.808192
"2013-12-12",62.939999,63.240002,62.75,62.889999,4029200,58.299505
