"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-08-29",94.470001,94.760002,93.959999,94.709999,1376000,90.503443
"2014-08-28",94.360001,94.769997,94.18,94.339996,1221400,90.149874
"2014-08-27",94.150002,94.769997,94.07,94.760002,1223000,90.551226
"2014-08-26",94.519997,94.660004,94.110001,94.199997,1053300,90.016093
"2014-08-25",94.080002,94.519997,93.870003,94.290001,1335500,90.1021
"2014-08-22",93.879997,94.129997,93.5,93.75,1401300,89.586083
"2014-08-21",93.010002,94.18,92.900002,93.940002,1348100,89.767646
"2014-08-20",92.620003,93.160004,92.330002,93.110001,1023000,88.974509
"2014-08-19",92.870003,93.059998,92.720001,92.910004,973000,88.783395
"2014-08-18",92.419998,93.059998,92.379997,92.989998,1193900,88.859836
"2014-08-15",92.339996,92.93,91.480003,92.129997,1343000,88.038033
"2014-08-14",91.370003,92.25,91.330002,92.220001,1076300,88.124039
"2014-08-13",91.480003,91.580002,90.989998,91.269997,1405600,87.216229
"2014-08-12",90.599998,91.220001,90.43,91.089996,1290100,87.044224
"2014-08-11",90.589996,90.959999,90.510002,90.660004,1595700,86.633329
"2014-08-08",89.839996,90.629997,89.629997,90.480003,1803900,86.461323
"2014-08-07",89.839996,90.260002,89.660004,89.900002,1877200,85.907083
"2014-08-06",88.93,89.919998,88.809998,89.699997,1400900,85.715961
"2014-08-05",89.669998,89.870003,88.82,89.120003,2218300,85.161727
"2014-08-04",89.669998,90.019997,89.110001,89.900002,2167800,85.907083
"2014-08-01",89.470001,90.029999,89.07,89.610001,2234100,85.629962
"2014-07-31",90.75,91.199997,89.550003,89.559998,2646900,85.58218
"2014-07-30",91.220001,91.589996,90.82,90.940002,2069400,86.900892
"2014-07-29",92.089996,92.470001,91.089996,91.120003,2265100,87.072897
"2014-07-28",91.699997,92.099998,91.019997,91.879997,2490100,87.799136
"2014-07-25",92.910004,92.959999,91.790001,92.099998,1907800,88.009366
"2014-07-24",92.089996,93.089996,91.910004,92.879997,2410400,88.754721
