"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-08-29",97.760002,97.93,97.110001,97.330002,2339100,92.544319
"2014-08-28",96.989998,97.529999,96.940002,97.440002,1946200,92.648911
"2014-08-27",97.389999,97.699997,96.989998,97.379997,2690800,92.591856
"2014-08-26",97.919998,97.970001,97.379997,97.419998,2053200,92.62989
"2014-08-25",98.279999,98.309998,97.720001,97.900002,1785500,93.086292
"2014-08-22",98.309998,98.489998,97.529999,97.769997,2569600,92.962679
"2014-08-21",98.860001,99.160004,98.300003,98.410004,2411400,93.571217
"2014-08-20",98.139999,99.080002,98.139999,98.800003,2629700,93.942041
"2014-08-19",98.019997,98.559998,97.800003,98.269997,2640100,93.438094
"2014-08-18",97.300003,97.790001,97.169998,97.620003,2913200,92.82006
"2014-08-15",96.760002,97.029999,96.059998,96.849998,4873500,92.087917
"2014-08-14",96.279999,96.309998,95.720001,96.07,2277700,91.346271
"2014-08-13",96.550003,97.050003,96.400002,96.620003,2930400,91.232175
"2014-08-12",96.07,96.739998,95.989998,96.410004,2356800,91.033886
"2014-08-11",96.410004,96.57,95.989998,96.07,2971100,90.712842
"2014-08-08",95.349998,96.050003,94.870003,95.940002,3450800,90.590094
"2014-08-07",95.809998,96.400002,94.919998,95.050003,3779000,89.749723
"2014-08-05",96.860001,97.5,96.129997,96.510002,2973200,91.128309
"2014-08-04",97.25,97.610001,96.400002,97.18,2882900,91.760946
"2014-08-01",96.669998,97.389999,96.120003,97.029999,3345700,91.619309
"2014-07-31",98.419998,98.860001,97.019997,97.089996,3853400,91.67596
"2014-07-30",99.25,99.760002,98.190002,99.349998,3948900,93.809938
"2014-07-29",99.580002,99.75,98.849998,98.860001,8905800,93.347264
"2014-07-28",103.410004,103.440002,102,102.660004,2521000,96.935367
"2014-07-25",103.760002,104.25,103.440002,103.57,1192100,97.794619
"2014-07-24",104.199997,104.559998,103.849998,104.089996,1274500,98.285619
"2014-07-23",104.529999,104.790001,104.260002,104.339996,1138300,98.521678
"2014-07-21",103.550003,104.470001,103.400002,104.059998,1766800,98.257293
"2014-07-18",102.989998,103.82,102.839996,103.82,1943700,98.030678
"2014-07-17",103.980003,104.230003,102.529999,102.650002,2842600,96.925923
"2014-07-16",104.449997,105.089996,104.25,104.519997,2309200,98.691641
"2014-07-15",103.470001,104.370003,103.230003,104.290001,2201800,98.474471
"2014-07-14",102.900002,103.720001,102.839996,103.449997,2054900,97.681308
"2014-07-11",102.110001,102.900002,102.050003,102.529999,1559100,96.812612
"2014-07-10",102.160004,102.449997,101.940002,102.089996,1597300,96.397145
"2014-07-09",103.279999,103.32,102.519997,102.980003,1188800,97.237523
"2014-07-08",103.120003,103.120003,102.07,102.900002,2299300,97.161982
"2014-07-07",103.940002,103.949997,102.949997,103.239998,1700200,97.483019
"2014-07-03",103.720001,103.959999,103.550003,103.879997,1269200,98.08733
"2014-07-02",102.699997,103.559998,102.699997,103.550003,2175100,97.775737
"2014-06-30",102.559998,102.889999,102.129997,102.660004,2069400,96.935367
"2014-06-27",102.559998,102.900002,102.300003,102.709999,2370200,96.982575
"2014-06-26",102.290001,102.75,101.629997,102.639999,1557900,96.916478
"2014-06-25",101.68,102.57,101.510002,102.410004,1575500,96.699308
"2014-06-24",102.120003,102.790001,101.709999,101.730003,1685000,96.057226
"2014-06-23",102.730003,102.879997,101.639999,102.459999,1768300,96.746515
"2014-06-20",102.419998,102.830002,102.339996,102.5,3193900,96.784286
"2014-06-19",102.709999,102.970001,102.139999,102.370003,2159300,96.661538
"2014-06-18",102.620003,102.980003,101.699997,102.790001,4459900,97.058115
"2014-06-17",101.010002,101.699997,100.519997,101.610001,2057800,95.943915
"2014-06-16",100.900002,101.32,100.529999,101.18,1918400,95.537893
"2014-06-13",100.989998,101.510002,100.800003,101.029999,1942300,95.396256
"2014-06-12",102.440002,102.529999,100.839996,100.889999,3116800,95.264064
"2014-06-11",102.580002,103.029999,102.300003,102.5,2106000,96.784286
"2014-06-10",103.150002,103.349998,102.599998,102.910004,2578100,97.171426
"2014-06-09",103.400002,104.029999,103.339996,103.489998,3199000,97.719078
"2014-06-06",103.739998,103.849998,103.43,103.589996,2103700,97.813501
"2014-06-05",103.330002,103.639999,102.970001,103.620003,2514900,97.841834
"2014-06-04",103.389999,103.5,102.599998,102.970001,2822100,97.228078
"2014-06-03",103.910004,104.160004,103.07,103.43,2319200,97.662426
"2014-06-02",104.129997,104.300003,103.599998,104.080002,2914100,98.276182
"2014-05-30",104,104.150002,103.720001,103.879997,2627800,98.08733
"2014-05-29",103.93,104.18,103.43,104.059998,1890700,98.257293
"2014-05-28",103.470001,103.769997,103.239998,103.410004,1866200,97.643545
"2014-05-27",102.959999,103.480003,102.93,103.169998,1982500,97.416923
"2014-05-23",101.639999,102.940002,101.559998,102.730003,1867600,97.001463
"2014-05-22",101.629997,101.779999,101.330002,101.660004,2316600,95.99113
"2014-05-21",100.690002,101.769997,100.690002,101.739998,2017500,96.066664
"2014-05-20",101.330002,101.580002,100.209999,100.529999,2090000,94.924138
"2014-05-19",101.059998,101.610001,101.050003,101.389999,1455500,95.736182
"2014-05-16",100.620003,101.400002,100.480003,101.330002,2278100,95.67953
"2014-05-15",101.339996,101.599998,100.199997,100.459999,4405800,94.858042
"2014-05-14",102.389999,102.389999,101.43,102.040001,3410500,95.717294
"2014-05-13",101.75,102.720001,101.660004,102.510002,3687500,96.158173
"2014-05-12",100,101.510002,99.940002,101.510002,2861300,95.220136
"2014-05-09",99.07,99.989998,98.870003,99.760002,2340500,93.578571
"2014-05-08",98.800003,99.449997,98.650002,98.989998,2246500,92.856278
"2014-05-07",97.809998,98.879997,97.599998,98.830002,1922900,92.706196
"2014-05-06",97.699997,97.93,97.339996,97.379997,1876200,91.346038
"2014-05-05",98.269997,98.290001,97.599998,97.949997,2390200,91.880719
"2014-05-02",98.080002,99.18,98.019997,98.559998,2280300,92.452922
"2014-05-01",98.5,98.599998,97.849998,98.110001,2383600,92.030809
"2014-04-30",98.169998,98.800003,97.919998,98.5,2546500,92.396642
"2014-04-29",98.32,98.709999,97.940002,98.010002,2803100,91.937006
"2014-04-28",97.800003,98.480003,97.440002,98.260002,3387400,92.171515
"2014-04-25",98.339996,98.739998,97.199997,97.400002,2708900,91.364803
"2014-04-24",99.099998,99.790001,98.5,98.639999,3568400,92.527967
"2014-04-23",98.989998,99.849998,98.779999,99.239998,3132800,93.090788
