"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-10-01",60.259998,62.349998,59.720001,62.240002,6856100,60.545301
"2015-09-30",59.549999,60.68,59.150002,60.099998,6383400,58.463567
"2015-09-29",58.32,60.09,58.209999,58.740002,6885600,57.140601
"2015-09-28",60.34,61.290001,57.639999,57.880001,6749900,56.304017
"2015-09-25",60.169998,61.27,59.470001,60.810001,6660000,59.154238
"2015-09-24",59.349998,60.639999,58.619999,59.799999,5785000,58.171736
"2015-09-22",58.970001,59.939999,58.669998,59.220001,5451900,57.607531
"2015-09-21",60.419998,61.080002,59.5,59.689999,5210400,58.064731
"2015-09-18",59.709999,60.939999,59.59,59.91,8796400,58.278742
"2015-09-17",59.98,61.610001,59.32,60.59,6079400,58.940227
"2015-09-16",61.450001,61.48,59.209999,60.299999,10914500,58.658122
"2015-09-15",60.799999,61.720001,60.040001,61.439999,5840500,59.767081
"2015-09-14",62.689999,62.689999,60.619999,60.73,5835100,59.076414
"2015-09-11",62.5,63.23,61.889999,62.91,5347200,61.197057
"2015-09-10",61.639999,63.59,61.599998,62.950001,7188100,61.235968
"2015-09-09",61.200001,62.900002,61.060001,61.639999,8970700,59.961636
"2015-09-08",59.59,61.189999,59.349998,60.830002,7428200,59.173694
"2015-09-04",58.580002,59.689999,57.869999,58.459999,6323200,56.868222
"2015-09-03",59.060001,60.5,59.060001,59.400002,7003100,57.78263
"2015-09-02",58.27,59.040001,57.049999,59.009998,7724000,57.403246
"2015-09-01",58.029999,58.299999,56.650002,57.400002,9612300,55.837087
"2015-08-31",58.689999,60.880001,58.209999,59.34,9326100,57.724262
"2015-08-28",58.84,59.790001,58.290001,59,7686600,57.39352
"2015-08-27",60.619999,60.709999,56.66,58.349998,11148900,56.761217
"2015-08-26",58.970001,59.119999,56.439999,58.849998,9098900,57.247603
"2015-08-25",60.73,61,57.549999,57.610001,9937500,56.041368
"2015-08-24",55.709999,60.450001,51.68,58.52,10953700,56.92659
"2015-08-21",65,65.129997,61.099998,61.139999,12583900,59.47525
"2015-08-20",67.599998,68.540001,67.099998,67.25,5956300,65.418885
"2015-08-19",69.349998,69.370003,67.339996,67.870003,6032800,66.022006
"2015-08-18",69.629997,70,68.650002,69.470001,3978500,67.578439
"2015-08-17",67.699997,69.860001,67.57,69.720001,4713700,67.821632
"2015-08-14",69.389999,69.690002,67.779999,68.120003,6132400,66.265199
"2015-08-13",70.290001,71.5,69.169998,69.68,8978500,67.78272
"2015-08-12",70.010002,70.779999,68.559998,70.190002,8399900,68.278836
"2015-08-11",68.120003,70.629997,67.599998,70.43,7584800,68.512299
"2015-08-10",65.970001,69.040001,65.769997,69,8464200,67.121235
"2015-08-07",65.120003,65.699997,64.449997,65.419998,3951100,63.638711
"2015-08-06",64.510002,65.93,64,65.68,5103000,63.891634
"2015-08-05",65.370003,66,64.139999,64.82,7818700,63.05505
"2015-08-04",64.739998,65.120003,63.669998,64.43,5994600,62.67567
"2015-08-03",65.550003,66.330002,64.5,64.660004,5330700,62.89941
"2015-07-31",64.160004,66.239998,63.970001,65.599998,7003300,63.813811
"2015-07-30",64.849998,64.849998,62.790001,64.230003,9201500,62.092007
"2015-07-29",64.970001,66.160004,63.799999,66.040001,7179000,63.841756
"2015-07-28",64.419998,65.239998,63.509998,65.07,4990500,62.904042
"2015-07-27",65.230003,65.230003,63.759998,64.379997,5845200,62.237008
"2015-07-24",66.129997,66.480003,65.150002,65.699997,5714600,63.513069
"2015-07-23",66.779999,66.980003,65.449997,65.720001,5477600,63.532408
"2015-07-22",66.300003,68.160004,65.790001,66.669998,6134500,64.450783
"2015-07-21",66.550003,67.330002,66.019997,66.32,4126700,64.112434
"2015-07-20",67.720001,68.129997,66.510002,66.57,5195900,64.354113
"2015-07-17",67.260002,67.989998,66.739998,67.940002,5326200,65.678513
"2015-07-16",65.699997,68.150002,65.660004,67.459999,7226400,65.214487
"2015-07-15",66.010002,66.449997,64.769997,65.190002,6265400,63.020051
"2015-07-14",67.870003,68.269997,66.110001,66.309998,8369600,64.102765
"2015-07-13",66.610001,67.849998,65.730003,66.870003,9443800,64.64413
"2015-07-10",64.5,66.080002,64.470001,65.849998,6043500,63.658078
"2015-07-09",64.550003,64.800003,63.849998,64.110001,5979400,61.975998
"2015-07-08",64.059998,65.480003,63.360001,63.98,7221100,61.850325
"2015-07-07",65.370003,66.139999,63.849998,64.650002,11268900,62.498025
"2015-07-06",64.139999,65.699997,63.599998,65.339996,7291300,63.165052
"2015-07-02",64.68,65.68,64.279999,64.720001,6007700,62.565694
"2015-07-01",63.09,64.970001,62.799999,64.470001,9035100,62.324016
"2015-06-30",61.119999,63.169998,61.060001,62.599998,10430300,60.516259
"2015-06-29",60.279999,61.18,60.119999,60.560001,5457400,58.544167
"2015-06-26",60.299999,61.43,60.130001,60.900002,7884600,58.872849
"2015-06-25",60.57,60.810001,60.029999,60.310001,3915100,58.302488
"2015-06-24",60.900002,61.360001,60.25,60.610001,6005300,58.592501
"2015-06-23",60.349998,61.34,59.900002,61.150002,7956500,59.114528
"2015-06-22",60.650002,60.700001,59.610001,59.919998,5859300,57.925467
"2015-06-19",60,60.790001,59.970001,60.330002,6110000,58.321823
"2015-06-18",59.68,60.41,59.619999,60.27,5864400,58.263819
"2015-06-17",59.52,60.610001,59.07,59.610001,6264500,57.625788
"2015-06-16",58.360001,58.950001,58.27,58.919998,2900400,56.958753
"2015-06-15",58.369999,58.779999,57.950001,58.470001,4832400,56.523735
"2015-06-12",59.299999,59.360001,58.52,58.849998,4692500,56.891084
"2015-06-11",58.450001,60.189999,58.259998,59.650002,6697400,57.664457
"2015-06-10",57.560001,58.68,57.43,58.209999,5756900,56.272388
"2015-06-09",57.84,58.139999,57.150002,57.150002,4248300,55.247674
"2015-06-08",57.630001,58.09,57.299999,57.619999,3787200,55.702027
"2015-06-05",56.869999,58.240002,56.860001,57.740002,5390400,55.818035
"2015-06-04",57.349998,57.82,56.759998,56.880001,5025600,54.986661
"2015-06-03",58.150002,58.279999,57.43,57.759998,5002600,55.837366
"2015-06-02",58.73,58.849998,57.84,58.509998,5107900,56.562401
"2015-06-01",59.209999,59.939999,58.700001,58.779999,5574200,56.823414
"2015-05-29",58.799999,60.48,58.18,59.240002,7824500,57.268105
"2015-05-28",59.049999,59.790001,58.599998,58.919998,4678700,56.958753
"2015-05-27",59.84,60,58.889999,59.150002,6799900,57.181101
"2015-05-26",60.5,60.599998,59.110001,59.529999,7054400,57.548449
"2015-05-22",60.200001,61.25,60.200001,60.990002,3562500,58.959854
"2015-05-20",59.93,60.57,59.630001,60.23,4324100,58.225149
"2015-05-19",60.200001,60.720001,59.77,59.880001,4911600,57.886801
"2015-05-18",59.560001,60.560001,59.259998,60.41,3805600,58.399158
"2015-05-15",59.68,60.139999,59.02,59.619999,4768500,57.635454
"2015-05-14",58.57,59.919998,58.48,59.790001,5104600,57.799797
"2015-05-13",58.150002,58.669998,57.73,58.279999,4495200,56.340057
"2015-05-12",58.259998,58.27,57.290001,57.529999,4417500,55.615022
"2015-05-11",58.669998,58.799999,57.400002,58.27,5689900,56.330392
"2015-05-08",58.16,59.220001,57.470001,59.09,5542700,56.736412
