"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-12-31",15.85,16.030001,15.77,15.79,8842400,15.515961
"2014-12-30",15.73,15.93,15.63,15.85,9262100,15.57492
"2014-12-29",15.84,15.96,15.73,15.82,7087800,15.54544
"2014-12-26",15.88,15.93,15.78,15.82,6355200,15.54544
"2014-12-24",15.77,15.84,15.56,15.77,4944200,15.496309
"2014-12-23",15.8,15.98,15.67,15.73,10533100,15.457002
"2014-12-22",15.97,15.99,15.48,15.74,17146800,15.466829
"2014-12-19",15.78,16.040001,15.73,15.94,20169800,15.663358
"2014-12-18",15.48,15.79,15.36,15.78,29453400,15.506135
"2014-12-17",14.58,15.07,14.49,15.05,26490100,14.788804
"2014-12-16",15.04,15.21,14.41,14.43,29374200,14.179565
"2014-12-15",15.06,15.29,14.9,14.93,25730200,14.670887
"2014-12-12",15.02,15.29,14.85,14.87,19144700,14.611928
"2014-12-11",15.63,15.73,15.11,15.16,20294600,14.896895
"2014-12-10",15.98,16.17,15.58,15.63,18394900,15.358738
"2014-12-09",15.92,16.18,15.75,16.040001,22649300,15.761623
"2014-12-08",16.9,16.959999,16.23,16.290001,21994200,16.007285
"2014-12-05",17.360001,17.389999,16.91,16.950001,16320500,16.65583
"2014-12-04",17.33,17.450001,17.15,17.24,13714700,16.940796
"2014-12-03",17.309999,17.41,17.16,17.209999,16259400,16.911316
"2014-12-02",17.120001,17.370001,17.059999,17.299999,13498600,16.999754
"2014-12-01",17.4,17.42,17,17.139999,13324600,16.842531
"2014-11-28",17.58,17.59,17.16,17.290001,8815900,16.989929
"2014-11-26",17.459999,17.6,17.25,17.6,9140400,17.294549
"2014-11-25",17.299999,17.66,17.27,17.370001,14535000,17.068541
"2014-11-24",17.5,17.610001,17.16,17.219999,12943900,16.921143
"2014-11-21",17.52,17.75,17.33,17.450001,20683800,17.147152
"2014-11-20",16.57,17.18,16.530001,17.120001,13583500,16.82288
"2014-11-19",17.129999,17.129999,16.620001,16.690001,15860300,16.400342
"2014-11-18",16.82,17.209999,16.82,17.16,14723500,16.862185
"2014-11-17",16.91,16.950001,16.75,16.83,7663200,16.537912
"2014-11-14",16.74,16.98,16.610001,16.940001,8832300,16.646003
"2014-11-13",16.91,16.99,16.67,16.74,12458100,16.449474
"2014-11-12",16.42,16.92,16.34,16.879999,15861900,16.587043
"2014-11-11",16.290001,16.48,16.200001,16.450001,6971300,16.164508
"2014-11-10",16.27,16.459999,16.16,16.32,10721300,16.036763
"2014-11-07",16.469999,16.49,16.24,16.33,13507500,16.046589
"2014-11-06",16.370001,16.42,16.15,16.370001,14223200,16.085896
"2014-11-05",16.68,16.690001,16.17,16.26,18204400,15.977805
"2014-11-04",16.85,16.870001,16.43,16.559999,13214200,16.243118
"2014-11-03",16.780001,17.030001,16.65,16.93,15965400,16.606039
"2014-10-31",16.43,16.76,16.24,16.76,18621400,16.439292
"2014-10-30",16.17,16.360001,15.83,16.219999,17857100,15.909624
"2014-10-29",16.58,16.700001,16.049999,16.27,31173500,15.958668
"2014-10-28",16.5,16.65,16.41,16.6,12307200,16.282353
"2014-10-27",16.559999,16.57,16.309999,16.379999,15444000,16.066562
"2014-10-24",16.33,16.57,16.219999,16.549999,12853900,16.233309
"2014-10-23",16.35,16.469999,16.120001,16.24,17226500,15.929242
"2014-10-22",16.41,16.52,16.049999,16.120001,27457700,15.811539
"2014-10-21",15.85,16.43,15.83,16.35,23004300,16.037137
"2014-10-20",15.54,15.71,15.44,15.69,15217700,15.389766
"2014-10-16",14.07,14.65,14.01,14.6,26493500,14.320624
"2014-10-15",14,14.57,13.71,14.5,36785500,14.222537
"2014-10-14",14.65,14.73,14.06,14.29,36096200,14.016556
"2014-10-13",14.89,15.26,14.45,14.49,25045400,14.212728
"2014-10-10",15.23,15.35,14.62,14.71,39728300,14.428519
"2014-10-09",16.35,16.43,15.17,15.39,55796900,15.095507
"2014-10-08",15.99,16.07,15.49,16.07,34309000,15.762495
"2014-10-07",15.94,16.219999,15.81,15.95,26113500,15.644791
"2014-10-06",15.76,16.049999,15.68,15.99,23779300,15.684025
"2014-10-03",15.46,15.78,15.39,15.6,20305000,15.301489
"2014-10-02",15.72,15.74,14.89,15.36,25180500,15.066081
"2014-10-01",16.129999,16.139999,15.63,15.7,21735700,15.399575
"2014-09-30",16.23,16.34,15.98,16.09,21787000,15.782112
"2014-09-29",15.93,16.09,15.75,15.93,17355700,15.625174
"2014-09-26",15.7,16.23,15.65,16.190001,19717000,15.880199
"2014-09-25",15.88,15.94,15.53,15.63,19279400,15.330914
"2014-09-24",15.77,15.95,15.65,15.9,12841700,15.595747
