"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-04-01",99.300003,99.529999,98.480003,99.080002,1361600,97.293301
"2014-03-31",98.660004,99.110001,98.510002,99.059998,1222400,97.273658
"2014-03-28",98.07,98.209999,97.57,97.889999,935400,96.124758
"2014-03-27",97.57,97.82,97.139999,97.589996,1571000,95.830165
"2014-03-26",95,99.099998,95,97.690002,1176200,95.928368
"2014-03-25",99.339996,99.559998,98.889999,99.129997,1273600,96.723758
"2014-03-24",99.550003,99.75,98.629997,99.07,1793200,96.665217
"2014-03-21",98.620003,100.589996,98,99.260002,2472600,96.850607
"2014-03-20",97.919998,98.580002,97.419998,98.410004,1861800,96.021241
"2014-03-19",99.260002,99.57,97.809998,98.169998,1273100,95.787061
"2014-03-18",98.93,99.230003,98.620003,99.199997,1433000,96.792058
"2014-03-17",98.18,98.879997,97.910004,98.779999,1269900,96.382255
"2014-03-14",97.370003,98.019997,97.220001,97.779999,1647900,95.406529
"2014-03-13",97.93,97.93,97,97.550003,2275600,95.182116
"2014-03-12",97.059998,97.610001,96.610001,97.510002,1149100,95.143086
"2014-03-11",98.099998,98.32,97.169998,97.339996,814400,94.977207
"2014-03-10",97.489998,98.110001,97.370003,97.800003,1744400,95.426047
"2014-03-07",98.440002,98.760002,97.550003,97.769997,1789800,95.396769
"2014-03-06",97.779999,98.57,97.480003,98.150002,1331100,95.76755
"2014-03-05",97.529999,97.93,97.160004,97.660004,1172400,95.289446
"2014-03-04",97.440002,97.599998,97.050003,97.470001,1918600,95.104056
"2014-03-03",96.720001,97.010002,95.849998,96.419998,1376200,94.07954
"2014-02-28",97,98.099998,96.849998,97.870003,1780000,95.494348
"2014-02-27",96.019997,96.980003,95.959999,96.760002,1250200,94.411291
"2014-02-26",96.379997,96.800003,95.970001,96.099998,1126600,93.767308
"2014-02-25",96.730003,96.910004,96.339996,96.529999,1268500,94.186871
"2014-02-24",97.099998,97.860001,96.779999,96.790001,1409700,94.440562
"2014-02-21",97.080002,97.849998,96.669998,97.190002,1264100,94.830854
"2014-02-20",96.599998,97.279999,95.889999,96.779999,1579200,94.430802
"2014-02-19",97.269997,97.870003,96.639999,96.669998,1517300,94.323472
"2014-02-18",97.099998,97.599998,96.839996,97.459999,1450400,95.094297
"2014-02-14",96.139999,96.989998,96,96.970001,1426200,94.616193
"2014-02-13",95,96.199997,94.949997,96.139999,1339900,93.806338
"2014-02-12",96.199997,96.559998,95.620003,95.709999,1676800,93.386775
"2014-02-11",95.330002,96.849998,95.220001,96.809998,2353900,94.460073
"2014-02-10",94.190002,95.029999,93.93,95.029999,1712500,92.723281
"2014-02-07",94.080002,94.650002,93.650002,94.599998,2124700,92.303718
"2014-02-06",93.389999,94.190002,93.029999,93.489998,2986500,91.220661
"2014-02-05",92.540001,93.57,92.519997,93.25,2561300,90.986489
"2014-02-04",93.209999,93.629997,92.589996,92.839996,2569000,90.586438
"2014-02-03",93.440002,93.879997,92.260002,92.599998,3813700,90.352266
"2014-01-31",93.739998,94.449997,93.519997,93.809998,2871400,91.532894
"2014-01-30",94.639999,95.370003,94.040001,95.139999,2339300,92.830612
"2014-01-29",93.889999,94.529999,92.889999,94.029999,3466700,91.747555
"2014-01-28",93.190002,94.849998,93.110001,94.57,2603200,92.274448
"2014-01-27",92.019997,93.800003,92,93.050003,3022500,90.791347
"2014-01-24",94.18,94.18,92.190002,92.190002,2526500,89.952222
"2014-01-23",96.239998,96.239998,94.010002,94.18,2879500,91.893915
"2014-01-22",96.610001,96.989998,95.970001,96.010002,1615500,93.679496
"2014-01-21",97.279999,97.559998,96.010002,96.370003,2649000,94.030758
"2014-01-17",97.32,97.720001,96.839996,97.099998,4253700,94.743034
"2014-01-16",97.790001,98.160004,97.150002,97.300003,1564900,94.938184
"2014-01-15",98.139999,98.610001,97.660004,97.989998,1583900,95.61143
"2014-01-14",96.870003,98.050003,96.730003,97.699997,1878300,95.328469
"2014-01-13",98.339996,98.68,96.709999,96.919998,2459200,94.567403
"2014-01-10",99.190002,99.269997,97.849998,98.669998,2760900,95.660217
"2014-01-09",99.32,99.459999,98.150002,98.900002,2097000,95.883204
"2014-01-08",100.110001,100.360001,98.529999,99.029999,2781700,96.009236
"2014-01-07",101.010002,101.360001,100.169998,100.269997,2214100,97.21141
"2014-01-06",102.419998,102.519997,100.739998,101.089996,1304100,98.006396
"2014-01-03",101.910004,102.150002,101.230003,101.440002,1120800,98.345726
"2014-01-02",102.779999,103.389999,101.330002,101.699997,1112600,98.59779
"2013-12-31",103.160004,103.760002,103.059998,103.529999,686400,100.37197
"2013-12-27",102.879997,102.879997,102.32,102.620003,527700,99.489732
