"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-08-01",46.330002,46.75,46.119999,46.57,3256300,44.245266
"2014-07-31",46.48,46.860001,46.189999,46.400002,3677400,44.083754
"2014-07-30",47.68,47.849998,46.599998,46.740002,4206300,44.406782
"2014-07-29",48.080002,48.299999,47.540001,47.57,2460300,45.195347
"2014-07-28",48.23,48.400002,47.959999,48.07,1882900,45.670387
"2014-07-25",48.290001,48.490002,47.889999,48.119999,2040300,45.717891
"2014-07-24",48.360001,48.84,48.349998,48.43,2213500,46.012417
"2014-07-23",48.18,48.389999,48.09,48.290001,2250600,45.879406
"2014-07-22",48.060001,48.380001,47.939999,48.200001,2598900,45.793899
"2014-07-21",47.880001,48.200001,47.75,48.080002,2357900,45.67989
"2014-07-18",47.490002,48.200001,47.43,48.099998,2395000,45.698888
"2014-07-17",47.75,47.900002,47.310001,47.32,2564800,44.957827
"2014-07-16",47.869999,47.970001,47.68,47.759998,2747500,45.375861
"2014-07-15",47.959999,48.220001,47.490002,47.540001,4049300,45.166846
"2014-07-14",48.060001,48.330002,47.900002,48.07,3462900,45.670387
"2014-07-11",47.150002,48.040001,46.84,47.849998,4814900,45.461368
"2014-07-10",45.740002,47.5,45.68,47.349998,5795200,44.986328
"2014-07-09",46,46.599998,45.959999,46.150002,3883800,43.846234
"2014-07-08",46.540001,46.650002,45.939999,45.939999,6029500,43.646714
"2014-07-07",45.259998,46.720001,45.259998,46.5,4669900,44.178761
"2014-07-03",45.349998,45.950001,45.290001,45.77,3146700,43.485202
"2014-07-02",44.93,45.349998,44.810001,45.32,2638200,43.057665
"2014-07-01",44.290001,44.939999,44.150002,44.849998,2765200,42.611126
"2014-06-30",43.77,44.330002,43.689999,44.110001,4049600,41.908068
"2014-06-26",43.889999,44.110001,43.740002,43.93,1833600,41.737053
"2014-06-25",44.139999,44.32,43.799999,43.889999,2431500,41.699049
"2014-06-24",44.860001,44.919998,44.23,44.279999,2156200,42.06958
"2014-06-23",44.98,45.16,44.82,44.98,2032600,42.734637
"2014-06-20",45.209999,45.380001,44.77,44.869999,3058700,42.630128
"2014-06-19",44.540001,45.209999,44.34,45.119999,3026300,42.867648
"2014-06-18",44.25,44.5,43.720001,44.43,3327000,42.212093
"2014-06-17",44.310001,44.52,44.099998,44.41,2311200,42.193091
"2014-06-16",43.759998,44.32,43.68,44.220001,2667800,42.012577
"2014-06-13",43.529999,43.880001,43.43,43.84,2274400,41.651546
"2014-06-12",44.540001,44.650002,43.41,43.470001,3651300,41.300017
"2014-06-11",44.84,45,44.619999,44.66,2230100,42.430612
"2014-06-10",44.950001,45.18,44.740002,45.139999,2077900,42.88665
"2014-06-09",45.009998,45.290001,45,45.139999,1872500,42.88665
"2014-06-06",44.830002,45.369999,44.830002,45.18,2460100,42.924654
"2014-06-05",44.310001,45,44.220001,44.970001,2506400,42.725138
"2014-06-04",44.369999,44.540001,44.130001,44.310001,2287700,42.098085
"2014-06-03",44.73,44.939999,44.290001,44.349998,2483000,42.136085
"2014-06-02",44.889999,45.049999,44.759998,44.849998,2295300,42.611126
"2014-05-30",44.560001,44.98,44.560001,44.939999,2011300,42.696633
"2014-05-29",44.389999,44.689999,44.349998,44.639999,1727300,42.41161
"2014-05-28",44.32,44.549999,44.209999,44.290001,1851400,42.079083
"2014-05-27",43.650002,44.360001,43.619999,44.32,2400300,42.107584
"2014-05-23",43.700001,43.869999,43.380001,43.560001,2034400,41.385524
"2014-05-22",42.93,44.02,42.900002,43.650002,1657200,41.471031
"2014-05-21",43.41,43.900002,43.41,43.860001,2293800,41.670548
"2014-05-20",43.849998,43.889999,43.169998,43.330002,2167700,41.167006
"2014-05-19",43.82,43.959999,43.689999,43.889999,2018400,41.699049
"2014-05-16",43.529999,43.880001,43.490002,43.82,1935700,41.632544
"2014-05-15",43.799999,43.880001,43.43,43.529999,2654000,41.357019
"2014-05-14",44.330002,44.400002,43.830002,43.849998,2218800,41.661045
"2014-05-13",44.439999,44.66,44.259998,44.310001,2285200,42.098085
"2014-05-12",44.599998,44.740002,44.34,44.669998,2405200,42.212094
"2014-05-09",44.09,44.52,44.09,44.389999,2209400,41.947501
"2014-05-08",44.18,44.52,43.869999,44.07,3364500,41.645109
"2014-05-07",43.169998,44.34,43.169998,44.27,4257100,41.834105
"2014-05-06",43.240002,43.389999,43.02,43.139999,3461700,40.766281
"2014-05-05",43.299999,43.52,43.02,43.41,2288300,41.021425
"2014-05-02",43.310001,43.759998,43.040001,43.549999,3059500,41.153721
"2014-05-01",43.740002,43.779999,43.18,43.240002,3122100,40.860781
"2014-04-30",43.169998,43.889999,42.950001,43.73,5913800,41.323817
"2014-04-29",43.119999,43.639999,42.66,43.23,7794600,40.851329
"2014-04-28",44.599998,44.630001,44.060001,44.380001,4317500,41.938053
"2014-04-25",44.599998,44.720001,44.240002,44.419998,2286900,41.975849
"2014-04-24",44.82,44.93,44.459999,44.630001,2124000,42.174297
"2014-04-23",44.68,44.959999,44.68,44.73,2640200,42.268793
"2014-04-22",44.849998,44.950001,44.560001,44.610001,2594100,42.155397
"2014-04-21",45.02,45.400002,44.82,44.889999,2221300,42.41999
"2014-04-17",44.860001,45.34,44.799999,45.040001,4119900,42.561737
"2014-04-16",44.540001,45.02,44.439999,45.02,2761700,42.542837
"2014-04-15",44.709999,44.73,43.869999,44.27,4402000,41.834105
"2014-04-14",44.549999,44.810001,44.360001,44.689999,4174900,42.230994
"2014-04-11",44.259998,44.450001,44.080002,44.41,5346500,41.966401
"2014-04-10",44.450001,44.740002,44.040001,44.169998,5185200,41.739605
"2014-04-09",43.560001,44.459999,43.360001,44.380001,4604900,41.938053
"2014-04-08",43.540001,43.799999,43.169998,43.529999,4164200,41.134821
"2014-04-07",43.029999,43.75,43.02,43.599998,4277000,41.200969
"2014-04-04",43.59,43.66,43.029999,43.049999,4416000,40.681233
"2014-04-03",43.470001,43.580002,42.830002,43.150002,4171500,40.775733
"2014-04-02",42.619999,43.52,41.720001,43.43,3279100,41.040325
"2014-04-01",43.419998,43.740002,43.220001,43.43,3014200,41.040325
"2014-03-31",43.240002,43.57,43.07,43.389999,3295000,41.002525
"2014-03-28",43.279999,43.599998,42.939999,43.209999,2773300,40.832429
"2014-03-27",42.799999,43.16,42.610001,43.099998,3247200,40.728481
"2014-03-26",42.48,43.049999,42.43,42.700001,3909400,40.350493
"2014-03-25",42.540001,42.639999,42.220001,42.41,3605800,40.076449
"2014-03-24",42.82,42.990002,42.18,42.299999,2586800,39.972501
"2014-03-21",43.080002,43.09,42.43,42.669998,8359100,40.322141
"2014-03-20",42.580002,42.790001,42.279999,42.700001,2430300,40.350493
"2014-03-19",42.93,43.220001,42.310001,42.66,3514300,40.312693
"2014-03-18",42.689999,43,42.509998,42.93,2202200,40.567837
"2014-03-17",42.779999,43.080002,42.439999,42.560001,4392500,40.218196
"2014-03-14",42.259998,42.709999,42.189999,42.509998,3792400,40.170945
"2014-03-13",43.029999,43.209999,42.380001,42.400002,3983900,40.067
"2014-03-12",42.139999,43.18,42.09,42.93,5485300,40.567837
"2014-03-11",42.52,42.77,42.32,42.450001,4258500,40.114248
"2014-03-10",41.610001,42.450001,41.610001,42.450001,5695100,40.114248
"2014-03-07",41.139999,41.540001,40.990002,41.330002,3008400,39.055876
"2014-03-06",40.700001,41.099998,40.599998,40.939999,3845100,38.687332
"2014-03-05",40.66,40.880001,40.369999,40.669998,2790700,38.432188
"2014-03-04",40.290001,40.93,40.290001,40.700001,3666300,38.46054
"2014-03-03",40.139999,40.189999,39.529999,39.880001,5021600,37.685659
"2014-02-28",39.900002,40.799999,39.869999,40.599998,4379800,38.36604
"2014-02-27",40.32,40.540001,39.790001,39.889999,5100100,37.695108
"2014-02-26",40.490002,40.669998,40.279999,40.389999,2649300,38.167596
"2014-02-25",40.25,40.75,40.150002,40.389999,3407200,38.167596
"2014-02-24",40.099998,40.669998,39.990002,40.16,3499000,37.950252
"2014-02-21",40.110001,40.169998,39.779999,39.990002,3919600,37.789607
"2014-02-20",39.950001,40.259998,39.860001,40.119999,3709600,37.912452
"2014-02-19",40.5,40.529999,39.889999,39.950001,4449300,37.751807
"2014-02-18",40.66,40.91,40.470001,40.529999,4295900,38.299892
"2014-02-14",40.709999,40.970001,40.509998,40.779999,3791300,38.309342
"2014-02-13",40.5,40.900002,40.220001,40.669998,3070900,38.206005
"2014-02-12",40.43,40.830002,40.279999,40.650002,7035400,38.18722
"2014-02-11",40.119999,40.549999,39.759998,40.529999,6508400,38.074488
"2014-02-10",39.810001,40.25,39.509998,40.110001,6795700,37.679935
"2014-02-07",39.599998,39.98,39.150002,39.889999,6597500,37.473263
"2014-02-06",38.82,39.259998,38.740002,39.110001,5759000,36.74052
"2014-02-05",38.75,38.830002,37.919998,38.66,8798900,36.317783
"2014-02-04",39.810001,39.84,38.060001,38.23,7340600,35.913834
"2014-02-03",39.279999,39.82,38.77,38.91,7878300,36.552637
"2014-01-31",39.09,39.73,39.02,39.48,4334000,37.088103
"2014-01-30",39.59,39.689999,39.169998,39.509998,3987000,37.116284
"2014-01-29",39.619999,39.849998,38.959999,39.220001,5240800,36.843857
"2014-01-28",39.470001,40.139999,39.43,40.07,4097000,37.642358
"2014-01-27",39.880001,40.169998,39.279999,39.360001,5665800,36.975374
"2014-01-24",40.599998,40.84,39.529999,39.57,5738000,37.17265
"2014-01-23",41.91,42.009998,40.82,40.84,5519500,38.365708
"2014-01-22",41.509998,42.349998,41.439999,42.25,5183200,39.690283
"2014-01-21",41.279999,41.490002,41.009998,41.369999,4209100,38.863597
"2014-01-17",41.299999,41.43,40.939999,41.009998,6667200,38.525407
"2014-01-16",42.509998,42.630001,41.23,41.25,7134200,38.750868
"2014-01-15",42.43,42.82,42.099998,42.450001,4656000,39.878167
"2014-01-14",41.73,42.389999,41.57,42.330002,7294000,39.765438
"2014-01-13",42.009998,42.099998,41.439999,41.529999,6368800,39.013903
"2014-01-10",42.41,42.560001,41.93,41.98,5537300,39.43664
"2014-01-09",42.509998,42.560001,41.66,42.16,4444300,39.605735
"2014-01-08",42.759998,42.869999,42.209999,42.360001,4462200,39.793619
"2014-01-07",43.369999,43.369999,42.41,42.849998,4542500,40.25393
"2014-01-06",43.419998,43.580002,43.119999,43.279999,4182900,40.657879
"2014-01-03",43.099998,43.380001,42.880001,43.189999,2275500,40.573332
"2014-01-02",43.220001,43.290001,42.790001,42.990002,2753700,40.385451
"2013-12-31",43.77,43.91,43.240002,43.400002,2203500,40.770611
"2013-12-30",43.900002,43.990002,43.43,43.689999,2454500,41.043039
"2013-12-27",43.66,43.959999,43.509998,43.759998,2516700,41.108798
"2013-12-26",43.32,43.799999,43.240002,43.650002,2370600,41.005465
"2013-12-24",43.16,43.490002,43.07,43.27,1083900,40.648487
"2013-12-23",43.540001,43.759998,42.860001,43.040001,3777300,40.432422
"2013-12-20",43.82,43.939999,43.189999,43.360001,7136300,40.733034
"2013-12-19",43.02,43.830002,42.77,43.790001,6515400,41.136983
"2013-12-18",41.669998,43.16,41.439999,43.139999,7328500,40.526362
"2013-12-17",40.75,41.610001,40.720001,41.48,5928100,38.966933
"2013-12-16",40.439999,41.380001,40.349998,40.66,6404700,38.196613
"2013-12-13",40.639999,40.689999,40.150002,40.34,3998700,37.896
