"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-07-31",143.229996,144.110001,141.429993,142.509995,2348900,139.012917
"2015-07-30",142.5,144,140.5,142.339996,3569700,138.847091
"2015-07-29",132.5,134.600006,131.619995,134.139999,1712800,130.848315
"2015-07-28",129.509995,133.789993,128.509995,132.820007,1862300,129.560714
"2015-07-27",129.009995,129.669998,128.389999,128.820007,1615600,125.658871
"2015-07-24",132.380005,132.710007,129.440002,130.059998,1541600,126.868433
"2015-07-23",132.970001,132.970001,131.220001,132.710007,1951500,129.453413
"2015-07-22",133.240005,134.070007,132.619995,132.800003,1576400,129.541201
"2015-07-21",135.460007,135.649994,132.710007,133.440002,897000,130.165495
"2015-07-20",136.080002,136.160004,135.050003,135.240005,728300,131.921328
"2015-07-17",137.070007,137.080002,135.460007,136.210007,670400,132.867526
"2015-07-16",137.820007,138.130005,136.339996,137.070007,2509900,133.706423
"2015-07-15",136.979996,138.429993,136.520004,137.5,1130600,134.125864
"2015-07-14",136.360001,137.839996,136.229996,137.190002,773300,133.823473
"2015-07-13",137.050003,137.490005,136.089996,136.490005,720600,133.140654
"2015-07-10",134.020004,136.289993,133.649994,135.929993,1034200,132.594383
"2015-07-09",134.589996,135.309998,132.220001,132.259995,1638700,129.014444
"2015-07-08",135.470001,136.029999,132.940002,132.990005,1549900,129.726541
"2015-07-07",136.179993,137.259995,134.919998,136.919998,1134200,133.560095
"2015-07-06",136.119995,137.179993,135.5,136.110001,861400,132.769974
"2015-07-02",139.210007,139.389999,136.169998,137.380005,1360900,134.008813
"2015-07-01",137.039993,138.679993,137.039993,138.520004,1166800,135.120838
"2015-06-30",137.869995,138.429993,136.690002,136.830002,1190800,133.472307
"2015-06-29",140.610001,141.100006,136.899994,137.130005,1752900,133.764948
"2015-06-26",143.160004,143.610001,141.479996,142.080002,2587700,137.803353
"2015-06-25",144.449997,144.789993,142.179993,142.830002,857600,138.530778
"2015-06-24",144.300003,144.350006,142.940002,143.720001,866900,139.393988
"2015-06-23",145.789993,146.580002,144.610001,144.869995,1015800,140.509367
"2015-06-22",145.960007,146.600006,145.130005,145.850006,897100,141.459879
"2015-06-19",146.559998,147.110001,145.080002,145.169998,841900,140.80034
"2015-06-18",146.899994,147.710007,146.610001,146.940002,895500,142.517066
"2015-06-17",146.240005,146.770004,145.220001,146.169998,755900,141.770239
"2015-06-16",144.199997,146.110001,144.199997,145.710007,646900,141.324094
"2015-06-15",144.160004,145.169998,143.139999,144.130005,779100,139.791651
"2015-06-12",145.679993,146.399994,144.699997,144.949997,605400,140.586961
"2015-06-11",146.149994,147.490005,145.979996,146.199997,655000,141.799335
"2015-06-10",145.470001,146.350006,144.940002,145.940002,658900,141.547167
"2015-06-09",145.119995,145.580002,143.660004,144.429993,925800,140.082609
