"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-10-01",50.860001,51.02,49.48,50.029999,1735900,49.656996
"2015-09-30",50.549999,51.060001,50.099998,50.959999,1564600,50.580062
"2015-09-29",49.5,49.959999,49.34,49.720001,973700,49.349309
"2015-09-28",50.200001,50.380001,49.259998,49.470001,1283300,49.101173
"2015-09-25",50.549999,51.060001,50.34,50.619999,960900,50.242597
"2015-09-24",49.98,50.220001,49.299999,50.060001,1356800,49.686775
"2015-09-23",50.619999,50.939999,50.18,50.48,722500,50.103641
"2015-09-22",51.139999,51.41,50.48,50.689999,1028000,50.312075
"2015-09-21",52.080002,52.509998,51.57,52.009998,899900,51.622233
"2015-09-18",52.099998,52.599998,51.82,51.939999,2115800,51.552755
"2015-09-17",52.790001,53.740002,52.689999,52.849998,1572400,52.455971
"2015-09-16",52.139999,52.759998,51.990002,52.709999,1287400,52.317015
"2015-09-15",51.889999,52.48,51.610001,52.279999,1201900,51.890221
"2015-09-14",51.59,51.790001,51.16,51.509998,1355500,51.125961
"2015-09-11",51,51.560001,50.939999,51.549999,1718900,51.165664
"2015-09-10",50.310001,51.73,50.119999,51.400002,1697900,51.016784
"2015-09-09",52.169998,52.34,50.48,50.610001,1845300,50.232673
"2015-09-08",51.610001,52.009998,51.049999,51.610001,1956000,51.225218
"2015-09-04",51.259998,51.369999,50.41,50.75,1320400,50.371629
"2015-09-03",51.98,52.740002,51.790001,51.98,1345300,51.453502
"2015-09-02",51.060001,51.939999,50.540001,51.939999,1669000,51.413906
"2015-09-01",51.099998,51.400002,50.130001,50.380001,2216500,49.869709
"2015-08-31",52.560001,53.130001,52.240002,52.360001,1079600,51.829654
"2015-08-28",53.029999,53.650002,52.509998,52.880001,1550000,52.344387
"2015-08-27",51.200001,53.23,51.110001,53.220001,2675800,52.680944
"2015-08-26",50.959999,51.119999,48.91,50.59,1823300,50.077581
"2015-08-25",50.779999,51.09,49.560001,49.59,3373500,49.08771
"2015-08-24",48.759998,54.139999,47.439999,49.060001,2208600,48.56308
"2015-08-21",53.68,53.77,51.810001,51.84,1714800,51.31492
"2015-08-20",54.700001,55.07,54.119999,54.119999,1135100,53.571825
"2015-08-19",54.84,55.360001,54.360001,55.23,943300,54.670583
"2015-08-18",55.790001,55.869999,55.110001,55.200001,545800,54.640888
