"Date","Open","High","Low","Close","Volume","Adj Close"
"2013-12-31",80.269997,80.540001,79.860001,80.300003,675300,80.065539
"2013-12-30",79.68,80.260002,79.059998,80.129997,882800,79.896029
"2013-12-27",79.879997,79.989998,79.150002,79.32,694400,79.088397
"2013-12-26",78.779999,79.959999,78.779999,79.529999,1035800,79.297783
"2013-12-24",78.32,79.339996,78.18,78.650002,784200,78.420355
"2013-12-23",78.07,78.709999,77.550003,78.419998,988300,78.191023
"2013-12-20",77.330002,78.220001,76.610001,77.410004,3680800,77.183978
"2013-12-19",78.089996,78.330002,76.779999,77.519997,2294700,77.29365
"2013-12-18",77.349998,78.599998,76.980003,78.459999,1715800,78.230907
"2013-12-17",76.910004,77.400002,76.099998,76.949997,1272900,76.725314
"2013-12-16",76.540001,77.550003,76.540001,76.809998,1245800,76.585724
"2013-12-13",77.389999,77.980003,76.449997,76.519997,1106100,76.29657
"2013-12-12",76.910004,77.339996,76.230003,76.519997,1086500,76.29657
"2013-12-11",77.989998,78.440002,77.199997,77.239998,1152700,77.014468
"2013-12-10",77.220001,78.610001,77.220001,78.010002,1556900,77.782224
"2013-12-09",78.120003,78.459999,77.589996,77.68,1478800,77.453186
"2013-12-06",77.959999,78.269997,77.309998,78.129997,1027000,77.901869
"2013-12-05",77.019997,77.629997,77.019997,77.190002,1220100,76.964619
"2013-12-04",77.43,78.449997,76.57,77.029999,2033600,76.805083
"2013-12-03",77.410004,78.199997,77.120003,78.139999,1798100,77.911842
"2013-12-02",78.230003,78.709999,77.610001,78,1353400,77.772251
"2013-11-29",78.449997,78.870003,77.699997,78.029999,480700,77.802163
"2013-11-27",78.370003,78.879997,77.879997,78.300003,1111600,78.071379
"2013-11-26",77.739998,78.879997,77.559998,78.580002,1527000,78.35056
"2013-11-25",78.300003,78.410004,77.440002,77.720001,1458500,77.49307
"2013-11-22",76.839996,77.580002,76.400002,77.459999,1313400,77.233827
"2013-11-21",76.790001,77.300003,76.059998,76.839996,1160100,76.615635
"2013-11-20",77.669998,77.669998,76.220001,76.370003,996500,76.147014
"2013-11-19",76.889999,77.760002,76.589996,77.190002,998300,76.964619
"2013-11-18",78.279999,78.279999,76.910004,77.18,1205300,76.954646
"2013-11-15",77.919998,78.300003,77.580002,78.160004,1218800,77.931788
"2013-11-14",78.400002,78.540001,77.699997,78.099998,1077400,77.871958
"2013-11-13",76.330002,78.940002,76.139999,78.160004,1972300,77.931788
"2013-11-12",76.519997,77.239998,76.139999,76.419998,1150200,76.196863
