"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-04-01",60.52,60.75,59.5,60.09,1809800,59.135331
"2015-03-31",60.700001,61.220001,60.459999,60.48,1237600,59.519134
"2015-03-30",60.009998,61.32,59.93,61.099998,1295800,60.129283
"2015-03-27",59.27,59.849998,58.950001,59.389999,1389100,58.446451
"2015-03-26",58.810001,59.450001,58.720001,59.130001,2323500,58.190584
"2015-03-25",59.990002,60.23,59.02,59.040001,1932900,58.102014
"2015-03-24",60.310001,60.68,59.98,59.990002,1116000,59.036921
"2015-03-23",60.459999,60.810001,60.279999,60.529999,835100,59.568339
"2015-03-20",60.419998,61.34,60.419998,60.459999,1604600,59.499452
"2015-03-19",60.27,60.310001,59.759998,60.139999,1128400,59.184536
"2015-03-18",58.900002,60.98,58.509998,60.689999,1654000,59.725797
"2015-03-17",59.720001,60.09,59.360001,59.43,1229600,58.485817
"2015-03-16",59.240002,60.189999,59.150002,60.18,1602000,59.223901
"2015-03-13",59.779999,59.959999,58.330002,58.799999,1350400,57.865825
"2015-03-12",58.860001,60.130001,58.759998,60.080002,1514500,59.125492
"2015-03-11",59.259998,59.459999,58.560001,58.619999,1759800,57.688684
"2015-03-10",60.139999,60.369999,59.41,59.41,1510000,58.466134
"2015-03-09",60.639999,61.09,60.580002,60.73,1339500,59.765163
"2015-03-06",61.84,61.91,60.27,60.66,2164500,59.696275
"2015-03-05",62.27,62.68,61.93,62.040001,1893800,61.054352
"2015-03-04",62.970001,63.150002,61.990002,62.169998,2541800,61.182284
"2015-03-03",62.669998,63.23,62.43,62.970001,2648000,61.969577
"2015-02-27",61.419998,61.759998,60.990002,61.459999,1361000,60.483564
"2015-02-26",61.66,61.790001,61.25,61.549999,1388700,60.572135
"2015-02-25",61.23,61.91,61.02,61.790001,1313200,60.680388
"2015-02-24",61.259998,61.389999,60.93,61.060001,1018000,59.963498
"2015-02-23",61,61.459999,60.82,61.220001,1055300,60.120624
"2015-02-20",60.580002,61.369999,59.810001,61.299999,1190900,60.199186
"2015-02-19",60.07,60.639999,59.66,60.59,1203600,59.501937
"2015-02-18",60.299999,60.419998,59.689999,60.299999,1471400,59.217144
"2015-02-17",60.360001,60.709999,60.139999,60.560001,1813400,59.472477
"2015-02-13",60.509998,60.75,59.450001,60.169998,2446800,59.089477
"2015-02-12",59.259998,61.439999,58.869999,61.380001,2739400,60.277751
"2015-02-11",57.860001,58.16,57.52,58.02,1535200,56.978089
"2015-02-10",57.790001,58.040001,57.09,57.900002,1254600,56.860244
