"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-02-28",52.369999,52.400002,51.619999,51.860001,1823100,48.884773
"2014-02-27",52.41,52.549999,52.040001,52.360001,1491300,49.356088
"2014-02-26",52.470001,52.77,52.25,52.52,1460500,49.506909
"2014-02-25",53.110001,53.529999,52.200001,52.419998,2602900,49.412644
"2014-02-24",54.189999,54.48,53.330002,53.34,1957500,50.279865
"2014-02-21",54.27,54.669998,54.099998,54.119999,1539300,51.015115
"2014-02-20",53.720001,54.360001,53.450001,54.16,1463600,51.052821
"2014-02-19",54.400002,54.860001,53.689999,53.77,1640400,50.685196
"2014-02-18",54.720001,55.169998,54.330002,54.419998,1736000,51.297903
"2014-02-14",53.889999,54.68,53.84,54.639999,1366400,51.505283
"2014-02-13",53.59,54.080002,53.5,54.029999,1572800,50.930278
"2014-02-12",53.939999,54.540001,53.669998,53.790001,1666000,50.704049
"2014-02-11",52.84,54.009998,52.73,53.869999,2225300,50.779457
"2014-02-10",52.380001,53.43,52.299999,52.93,2233700,49.893387
"2014-02-07",52.91,53.150002,52.009998,52.389999,2922600,49.384366
"2014-02-06",53.060001,53.150002,52.040001,52.48,3896100,49.469203
"2014-02-05",53.470001,54.5,52.5,53.16,10199900,50.110191
"2014-02-04",58.110001,58.880001,57.459999,58.639999,3252400,55.275801
"2014-02-03",57.91,58.540001,57.110001,57.73,2807400,54.418008
"2014-01-31",57.529999,58.91,57.529999,58.540001,2069000,55.18154
"2014-01-30",57.939999,58.68,57.689999,58.279999,1655100,54.936454
"2014-01-28",56.919998,57.490002,56.84,57.450001,1784500,54.154073
"2014-01-27",57.360001,57.860001,56.52,57,1431900,53.729889
"2014-01-24",58.869999,58.919998,57.18,57.209999,2039400,53.927841
"2014-01-23",59.27,59.73,58.209999,59.049999,2290000,55.662279
"2014-01-22",59.84,60.310001,59.73,60.23,1738200,56.774583
"2014-01-21",59.490002,59.700001,58.799999,59.66,1728600,56.237284
"2014-01-17",59.110001,59.490002,58.740002,59.130001,1448900,55.737691
"2014-01-16",58.349998,59.689999,58.349998,59.52,1567000,56.105316
"2014-01-15",57.970001,59.450001,57.740002,59.34,3266200,55.935643
"2014-01-14",57.669998,57.990002,57.029999,57.740002,1013300,54.427437
"2014-01-13",57.450001,58.139999,57.349998,57.450001,1771000,54.154073
"2014-01-10",56.619999,58.27,56.599998,57.700001,2561500,54.389731
"2014-01-09",56.470001,56.700001,56.119999,56.549999,1133300,53.305705
"2014-01-08",56.689999,56.740002,56.099998,56.27,1516900,53.04177
"2014-01-07",56.639999,57,56.389999,56.68,1309800,53.428248
"2014-01-06",57.650002,57.759998,56.52,56.610001,2063900,53.362264
"2014-01-03",58.009998,58.049999,57.07,57.279999,1319600,53.993824
"2014-01-02",58.209999,58.48,57.610001,57.82,1501000,54.502845
"2013-12-31",58.240002,58.549999,58.09,58.349998,953900,55.002438
"2013-12-30",57.18,58.43,57.18,58.220001,1267500,54.879899
"2013-12-27",57.099998,57.779999,56.919998,57.720001,1412800,54.408584
"2013-12-26",57.259998,57.32,56.91,57.130001,1938400,53.852432
"2013-12-24",57.220001,57.27,56.799999,57.040001,999500,53.767595
"2013-12-20",56.400002,57.099998,56.349998,56.540001,5227500,53.29628
"2013-12-19",56.470001,56.73,56.279999,56.48,1630000,53.239721
"2013-12-18",56.389999,56.610001,55.93,56.490002,2085900,53.24915
"2013-12-17",56.189999,56.490002,55.950001,56.369999,1795400,53.136032
"2013-12-16",56.639999,56.759998,55.919998,56.200001,1995900,52.975786
"2013-12-13",56.93,57.139999,56.110001,56.400002,2896800,53.164313
"2013-12-12",57.34,57.560001,57.009998,57.130001,2123100,53.522511
"2013-12-11",57.560001,57.82,57.130001,57.369999,1867500,53.747354
"2013-12-10",57.970001,58.119999,57.52,57.720001,1464800,54.075256
"2013-12-09",58.080002,58.360001,57.75,57.91,1365200,54.253257
"2013-12-06",58.48,58.48,57.34,57.889999,2457300,54.234519
"2013-12-05",58.189999,58.450001,58.049999,58.27,1264400,54.590525
"2013-12-04",57.869999,58.380001,57.470001,58.25,2174700,54.571787
"2013-12-03",58.220001,58.470001,57.860001,58.139999,1639600,54.468733
"2013-12-02",58.810001,59.110001,58.27,58.48,1614000,54.787264
"2013-11-29",58.779999,59.169998,58.59,58.650002,569500,54.946531
"2013-11-27",58.709999,58.939999,58.48,58.700001,1153700,54.993373
"2013-11-26",58.799999,59.09,58.450001,58.529999,1961400,54.834106
"2013-11-25",58.939999,59.009998,58.52,58.790001,1072900,55.07769
"2013-11-22",58.240002,58.889999,58.16,58.68,1345800,54.974635
"2013-11-21",57.720001,58.290001,57.389999,58.110001,1417200,54.440628
"2013-11-20",57.84,58.459999,57.48,57.66,3949800,54.019043
"2013-11-19",59.959999,59.959999,58.529999,58.950001,3040300,55.227586
"2013-11-18",60.080002,60.650002,59.950001,60.080002,1949400,56.286233
"2013-11-15",60.25,60.439999,59.689999,59.98,2131900,56.192546
"2013-11-14",59.970001,60.139999,59.700001,59.919998,1390100,56.136333
"2013-11-13",58.720001,59.880001,58.540001,59.700001,1881300,55.930228
"2013-11-12",59.16,59.34,58.900002,58.919998,2187100,55.199478
"2013-11-11",59.509998,59.959999,58.959999,59.310001,2224700,55.564855
"2013-11-08",59.5,59.759998,59.279999,59.66,1440500,55.892752
"2013-11-07",60.360001,60.380001,59.439999,59.599998,2042800,55.83654
"2013-11-06",59,60.970001,58.880001,60.099998,3286600,56.304967
"2013-11-05",61.32,61.75,60.75,60.93,2871800,57.082558
"2013-11-04",60.68,61.939999,60.07,61.73,2904100,57.832041
"2013-11-01",60.049999,60.68,59.5,59.939999,2066600,56.155071
"2013-10-31",60.32,60.330002,59.5,59.740002,2419500,55.967703
"2013-10-30",60.880001,61.049999,60.09,60.27,1545800,56.464234
"2013-10-29",60.939999,61,60.189999,60.91,1199800,57.063821
"2013-10-28",60.880001,61.259998,60.52,60.799999,1214200,56.960766
"2013-10-25",61.400002,61.400002,60.119999,60.759998,2152900,56.923291
"2013-10-24",60.75,61.669998,59.880001,61.119999,1826200,57.260559
"2013-10-23",60.560001,61.02,60.509998,60.900002,786100,57.054454
"2013-10-22",60.68,61.09,60.240002,60.720001,1109100,56.88582
"2013-10-21",60.330002,60.610001,60.049999,60.560001,933200,56.735923
"2013-10-18",59.580002,60.5,59.5,60.209999,1534000,56.408022
"2013-10-17",58.919998,59.77,58.66,59.509998,1250300,55.752223
"2013-10-16",58.880001,59.900002,58.779999,58.990002,1324500,55.265062
"2013-10-15",59.029999,59.43,58.450001,58.77,1546000,55.058952
"2013-10-14",58.75,59.610001,58.700001,59.459999,824200,55.705381
"2013-10-11",58.27,58.970001,58.220001,58.900002,928400,55.180744
"2013-10-10",58.419998,58.810001,57.93,58.549999,1331100,54.852843
"2013-10-09",57.759998,58.130001,57.369999,58,1316400,54.337574
"2013-10-08",58.110001,58.169998,57.68,57.779999,1357700,54.131465
"2013-10-07",57.470001,58.610001,57.099998,58.290001,1730300,54.609262
"2013-10-04",57.830002,58.549999,57.509998,58.48,1090600,54.787264
"2013-10-03",58.82,58.98,57.349998,57.759998,2116200,54.112727
"2013-10-02",59.439999,59.540001,58.860001,59.119999,1613800,55.38685
"2013-10-01",59.709999,60.119999,59.48,59.860001,1329900,56.080124
"2013-09-30",59.560001,59.849998,58.700001,59.59,2057200,55.827173
