"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-01-30",26.290001,26.889999,26.09,26.5,7169600,26.391147
"2015-01-29",27.209999,27.299999,26.32,26.58,8114100,26.470818
"2015-01-28",27.9,28.02,26.01,27.07,17691600,26.958805
"2015-01-27",28.559999,28.98,28.34,28.48,5440800,28.343096
"2015-01-26",28.49,28.91,28.43,28.709999,4529000,28.57199
"2015-01-23",28.76,29.24,28.450001,28.48,6014300,28.343096
"2015-01-22",29.09,29.09,27.870001,28.58,8969100,28.442616
"2015-01-21",29.139999,29.34,28.75,29.02,6897900,28.880501
"2015-01-20",28.75,28.889999,28.07,28.82,5686600,28.681462
"2015-01-16",28.85,29.09,28.25,29.040001,8665200,28.900406
"2015-01-15",29.51,30.1,28.629999,28.780001,6729700,28.641655
"2015-01-14",29.559999,29.93,28.84,29.51,8299800,29.368146
"2015-01-13",29.6,29.9,29,29.66,7748000,29.517424
"2015-01-12",29.530001,29.84,29.190001,29.360001,6364900,29.218867
"2015-01-09",28.84,30.389999,28.84,30.049999,9221000,29.905549
"2015-01-08",28.280001,28.9,27.870001,28.860001,6670100,28.721271
"2015-01-07",28.49,28.59,27.91,28.290001,5403900,28.154011
"2015-01-06",28.32,28.719999,27.52,28.049999,8000600,27.915163
"2015-01-05",29.540001,29.92,28.42,28.450001,7466900,28.313242
"2015-01-02",29.469999,30.379999,29.41,30.1,4087500,29.95531
"2014-12-31",29.43,30.040001,29.4,29.610001,3881100,29.467665
"2014-12-30",29.690001,30.02,29.18,29.77,4083200,29.626896
"2014-12-29",30.110001,30.4,29.559999,29.860001,7004100,29.716464
"2014-12-26",30.469999,30.74,29.809999,29.879999,4494300,29.736366
"2014-12-24",30.450001,30.85,30.120001,30.209999,4158100,30.06478
"2014-12-23",30.74,31.120001,30.25,30.6,7300600,30.452906
"2014-12-22",30.879999,31.33,30.1,30.530001,7416100,30.383243
"2014-12-18",32.830002,33.080002,31.209999,32.439999,8923900,32.28406
"2014-12-17",30.51,32.099998,30.35,31.66,8595100,31.50781
"2014-12-16",29.360001,31.42,29.309999,30.219999,7685900,30.074732
"2014-12-15",30.23,30.66,29.780001,29.799999,6575000,29.656751
"2014-12-12",29.049999,30.459999,29.040001,30.09,7591500,29.945358
"2014-12-11",29.41,30,29.32,29.530001,5684700,29.38805
"2014-12-10",29.85,29.879999,29.209999,29.51,7025000,29.368146
"2014-12-09",29.66,30.809999,29.65,30.360001,6254600,30.21406
"2014-12-08",30.26,30.610001,29.870001,30.15,7507800,30.005069
"2014-12-05",31.16,31.25,30.23,30.809999,5959300,30.661896
"2014-12-04",31.07,31.68,30.799999,31.1,6723500,30.950503
"2014-12-03",31.889999,32.150002,31.15,31.360001,5999900,31.209253
"2014-12-02",32.900002,33.310001,31.309999,31.42,11060100,31.268964
"2014-12-01",32.779999,33.57,32.330002,33.200001,8718300,33.040409
"2014-11-26",33.970001,33.98,33.290001,33.419998,3879600,33.259348
"2014-11-25",34.599998,34.849998,33.889999,34.200001,6004900,34.035602
"2014-11-24",34.23,34.709999,34.02,34.619999,5535800,34.453581
"2014-11-21",35.23,35.240002,34.240002,34.439999,6510500,34.274446
"2014-11-20",33.990002,35.040001,33.990002,34.709999,6128400,34.543148
"2014-11-19",33.669998,34.5,33.450001,34.040001,5757200,33.876371
"2014-11-18",33.43,34.040001,33.099998,33.27,4193700,33.110072
"2014-11-17",33.580002,34.110001,33.419998,33.529999,5250200,33.36882
"2014-11-14",32.919998,33.849998,32.759998,33.619999,5194700,33.458388
"2014-11-13",32.970001,33.25,32.240002,32.700001,6188000,32.542812
"2014-11-12",33.279999,33.810001,33.060001,33.470001,4091600,33.309111
"2014-11-10",33.799999,34.200001,32.98,33.200001,6531100,33.040409
"2014-11-06",31.51,32.709999,31.360001,32.700001,5200900,32.542812
"2014-11-05",31.17,31.950001,30.98,31.73,5916900,31.577474
"2014-11-04",30.41,30.91,29.870001,30.73,5129800,30.582281
"2014-11-03",31.440001,31.75,30.67,30.809999,4491400,30.641993
"2014-10-31",30.66,31.120001,30.129999,31.1,6340000,30.930412
"2014-10-30",31.41,31.450001,30.209999,30.389999,8546700,30.224283
"2014-10-29",31.91,32.380001,31.26,31.6,7421100,31.427686
"2014-10-28",30.73,31.77,30.379999,31.629999,4669800,31.457521
"2014-10-27",30.48,30.969999,29.959999,30.549999,5075900,30.38341
"2014-10-24",32.02,32.790001,30.049999,31.23,8483200,31.059703
"2014-10-23",30.67,31.73,30.620001,31.440001,6190700,31.268559
"2014-10-22",31.639999,31.799999,30.440001,30.49,6633200,30.323738
"2014-10-21",31.379999,31.6,30.709999,31.48,5896200,31.308339
"2014-10-20",30.83,31.469999,30.629999,30.82,5874100,30.651939
"2014-10-17",31.709999,31.969999,30.379999,30.950001,8662500,30.781231
"2014-10-16",29.67,31.370001,29.610001,31.18,10318400,31.009976
"2014-10-15",27.950001,30.459999,27.75,30.299999,11243700,30.134774
"2014-10-14",28.75,29.370001,28.15,28.48,9415200,28.324698
"2014-10-13",29.25,29.77,28.49,28.530001,7004700,28.374427
"2014-10-09",31.01,31.07,29.700001,29.84,9324900,29.677283
"2014-10-08",30.959999,31.35,30.27,31.32,7275700,31.149212
"2014-10-07",31.120001,31.68,30.889999,31.129999,5753900,30.960248
"2014-10-06",31.16,31.440001,30.93,31.24,4397100,31.069648
"2014-10-03",31.52,31.530001,30.99,31.280001,5122600,31.109431
"2014-10-02",31.540001,31.84,31.16,31.52,8422300,31.348122
"2014-10-01",32.639999,32.98,31.780001,31.809999,6957900,31.63654
"2014-09-30",32.900002,33.330002,32.419998,32.689999,6874900,32.51174
"2014-09-29",31.969999,33.02,31.83,33.009998,8497700,32.829995
"2014-09-26",31.370001,32.209999,31.360001,32.150002,6595100,31.974688
"2014-09-25",31.950001,32.049999,31.290001,31.43,8049600,31.258613
"2014-09-24",30.969999,32.240002,30.75,32.099998,13538600,31.924957
"2014-09-23",32.490002,32.580002,31.58,31.59,8045600,31.41774
"2014-09-22",32.959999,33,32.200001,32.509998,4470900,32.332722
"2014-09-19",33.310001,33.450001,32.91,32.970001,4207700,32.790216
"2014-09-18",33.830002,33.830002,33,33.200001,5851000,33.018961
"2014-09-17",33.900002,34.139999,33.669998,33.759998,3171500,33.575905
"2014-09-16",33.16,33.990002,33.150002,33.75,3231700,33.565962
"2014-09-15",32.959999,33.450001,32.810001,33.220001,3507800,33.038853
"2014-09-12",33.279999,33.41,32.799999,33.009998,4262200,32.829995
"2014-09-11",33.459999,33.52,33.080002,33.450001,4824800,33.267598
"2014-09-10",33.549999,33.919998,33.18,33.84,2900800,33.655471
"2014-09-09",33.610001,34.080002,33.5,33.75,3312200,33.565962
"2014-09-08",33.869999,33.919998,33.169998,33.450001,3852200,33.267598
"2014-09-05",33.490002,34.220001,33.439999,34.049999,4818500,33.864325
"2014-09-04",33.84,34.16,33.630001,33.810001,7500000,33.625636
"2014-09-03",33.490002,33.889999,33.209999,33.759998,4376100,33.575905
"2014-09-02",33.91,33.91,33.049999,33.349998,4151400,33.168141
"2014-08-29",33.310001,33.549999,33.110001,33.540001,3706800,33.357108
"2014-08-28",32.880001,33.400002,32.82,33.369999,2989300,33.188033
"2014-08-27",33.34,33.360001,32.779999,32.91,3934800,32.730542
"2014-08-26",33.669998,33.84,33.27,33.279999,2556900,33.098523
"2014-08-25",33.119999,33.619999,33.040001,33.490002,2801800,33.307381
"2014-08-22",33.169998,33.25,32.77,33,4107100,32.820051
"2014-08-21",33.369999,33.66,32.98,33.5,3492800,33.317325
"2014-08-20",32.830002,33.439999,32.599998,33.349998,4348800,33.168141
"2014-08-19",33.34,33.459999,32.93,32.990002,5398400,32.810108
"2014-08-18",33.150002,33.349998,32.700001,33.189999,5538800,33.009014
