"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-02-28",21.969999,22.110001,21.700001,21.799999,40863200,20.127393
"2014-02-27",21.879999,22.049999,21.860001,21.92,25804000,20.238187
"2014-02-26",21.84,22.02,21.549999,21.93,43574600,20.24742
"2014-02-25",22.15,22.219999,21.76,21.84,45303600,20.164325
"2014-02-24",22.190001,22.34,22,22.120001,41858000,20.422842
"2014-02-21",22.370001,22.450001,22.129999,22.129999,31483000,20.432074
"2014-02-19",22.33,22.559999,22.219999,22.280001,29309100,20.570566
"2014-02-18",22.49,22.540001,22.33,22.41,31014400,20.690591
"2014-02-14",22.219999,22.77,22.200001,22.559999,64513500,20.829082
"2014-02-13",21.99,22.27,21.68,22.27,153739400,20.561333
"2014-02-12",22.610001,22.92,22.52,22.85,69832400,21.096833
"2014-02-11",22.780001,22.879999,22.67,22.709999,45804800,20.967573
"2014-02-10",22.639999,22.879999,22.559999,22.83,45300500,21.078367
"2014-02-07",22.52,22.719999,22.299999,22.67,54109200,20.930643
"2014-02-06",22.040001,22.58,21.969999,22.49,49584300,20.764453
"2014-02-05",21.690001,22.07,21.58,21.98,46291400,20.293583
"2014-02-04",21.58,21.82,21.4,21.799999,46626500,20.127393
"2014-02-03",21.93,21.950001,21.459999,21.549999,60693300,19.896574
"2014-01-31",21.610001,21.99,21.610001,21.91,43325300,20.228954
"2014-01-30",21.77,21.99,21.629999,21.98,42883000,20.293583
"2014-01-29",21.620001,21.84,21.6,21.65,35406500,19.988902
"2014-01-28",21.879999,22,21.700001,21.75,41431800,20.08123
"2014-01-27",21.77,22.110001,21.76,22,60510000,20.312049
"2014-01-24",22.4,22.540001,22.17,22.200001,40917300,20.496704
"2014-01-23",22.690001,22.85,22.459999,22.559999,37013600,20.829082
"2014-01-22",22.91,22.950001,22.780001,22.84,30700100,21.0876
"2014-01-21",22.91,22.950001,22.639999,22.83,33423000,21.078367
"2014-01-16",22.85,22.91,22.629999,22.780001,38918100,21.032204
"2014-01-15",22.5,23,22.42,22.780001,61767800,21.032204
"2014-01-14",22.33,22.52,22.200001,22.41,44300800,20.690591
"2014-01-13",22.389999,22.82,22.139999,22.190001,59600000,20.487471
"2014-01-10",22.23,22.280001,21.99,22.219999,30318600,20.515168
"2014-01-09",22.290001,22.309999,21.92,22.09,31794000,20.395143
"2014-01-08",22.290001,22.360001,22.15,22.290001,38362700,20.579799
"2014-01-07",22.26,22.41,22.15,22.309999,37368800,20.598263
"2014-01-06",21.959999,22.23,21.93,22.01,34150300,20.321282
"2014-01-03",22.09,22.120001,21.83,21.98,36328200,20.293583
"2014-01-02",22.17,22.290001,21.91,22,44377000,20.312049
"2013-12-31",22.25,22.469999,22.15,22.43,33240500,20.5521
"2013-12-30",22,22.33,22,22.25,27711600,20.38717
"2013-12-27",21.790001,22.049999,21.780001,22.02,24098500,20.176426
"2013-12-26",21.719999,21.879999,21.719999,21.799999,17064400,19.974844
"2013-12-24",21.459999,21.76,21.440001,21.690001,18372000,19.874055
"2013-12-23",21.25,21.629999,21.219999,21.57,41245900,19.764101
"2013-12-20",21.059999,21.25,20.959999,21.129999,64140500,19.360938
"2013-12-19",21.07,21.08,20.77,21.07,36678100,19.305962
"2013-12-18",20.879999,21.040001,20.52,21,55495300,19.241823
"2013-12-17",20.74,21.129999,20.68,20.92,45343300,19.168521
"2013-12-16",20.35,20.75,20.25,20.68,54485600,18.948615
"2013-12-13",20.58,20.58,20.219999,20.24,51883000,18.545452
"2013-12-12",20.82,20.83,20.26,20.51,69575100,18.792847
"2013-12-11",20.99,21.01,20.65,20.879999,66075000,19.131869
"2013-12-10",21.26,21.34,21.15,21.209999,45957600,19.43424
"2013-12-09",21.299999,21.33,21.200001,21.219999,41430000,19.443403
"2013-12-06",21.120001,21.32,21.07,21.280001,51266300,19.498381
"2013-12-05",21.200001,21.299999,20.889999,20.91,61782100,19.159358
"2013-12-04",21.09,21.35,21.07,21.25,44535000,19.470892
"2013-12-03",21.049999,21.26,21.02,21.26,52496700,19.480055
"2013-12-02",21.290001,21.299999,21.059999,21.09,35385200,19.324288
"2013-11-29",21.389999,21.440001,21.200001,21.25,25043700,19.470892
"2013-11-27",21.290001,21.35,21.15,21.27,40021100,19.489218
"2013-11-26",21.299999,21.41,21.08,21.209999,48629300,19.43424
"2013-11-25",21.450001,21.52,21.27,21.27,37566000,19.489218
"2013-11-22",21.41,21.5,21.309999,21.459999,41105000,19.66331
"2013-11-21",21.360001,21.49,21.25,21.469999,40695500,19.672473
"2013-11-20",21.469999,21.469999,21.219999,21.23,44299700,19.452566
"2013-11-19",21.309999,21.540001,21.120001,21.42,57309700,19.62666
"2013-11-18",21.6,21.719999,21.200001,21.290001,66008900,19.507544
"2013-11-15",21.459999,21.690001,21.26,21.540001,85506000,19.736614
"2013-11-14",20.940001,21.440001,20.77,21.370001,243255400,19.580846
"2013-11-13",23.6,24,23.51,24,75234900,21.990655
"2013-11-12",23.43,23.84,23.43,23.73,38031100,21.74326
"2013-11-11",23.5,23.58,23.4,23.450001,22694900,21.486703
"2013-11-08",23.280001,23.52,23.09,23.51,30884100,21.541679
