"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-07-11",10.25,10.49,9.82,9.88,6800700,9.88
"2016-07-08",10.03,10.65,10.03,10.18,10487100,10.18
"2016-07-07",10,10.75,9.77,9.89,8338100,9.89
"2016-07-06",9.66,9.88,9.41,9.86,8346500,9.86
"2016-07-05",10.33,10.43,9.48,9.81,7116800,9.81
"2016-07-01",9.63,10.74,9.56,10.67,7729300,10.67
"2016-06-30",9.84,9.89,9.32,9.71,12436100,9.71
"2016-06-29",9.84,10.12,9.62,9.92,10797300,9.92
"2016-06-28",9.43,9.9,9.43,9.63,8081600,9.63
"2016-06-27",9.75,9.76,9,9.07,9394900,9.07
"2016-06-24",10.06,10.49,9.87,9.94,8024900,9.94
"2016-06-23",10.64,10.89,10.49,10.78,7841200,10.78
"2016-06-22",10.74,10.98,10.34,10.37,5844200,10.37
"2016-06-21",10.37,10.71,10.06,10.57,6912000,10.57
"2016-06-20",10.56,10.65,10.18,10.37,5466700,10.37
"2016-06-17",9.99,10.62,9.98,10.3,16782000,10.3
"2016-06-16",10.14,10.17,9.66,9.94,5979000,9.94
"2016-06-15",10.29,10.82,10.14,10.32,6149400,10.32
"2016-06-13",10.39,10.81,10.24,10.46,4242400,10.46
"2016-06-10",10.91,11.01,10.52,10.53,5077600,10.53
"2016-06-09",11.05,11.28,10.9,11.24,7127500,11.24
"2016-06-08",11.16,11.43,11.01,11.23,8075000,11.23
"2016-06-07",10.6,11.08,10.48,10.93,8602800,10.93
"2016-06-06",9.48,10.66,9.43,10.6,9824800,10.6
"2016-06-03",9.38,9.48,9.14,9.34,5013100,9.34
"2016-06-02",9.54,9.64,9.18,9.38,6468200,9.38
"2016-06-01",9.7,9.74,9.07,9.65,7017700,9.639999
"2016-05-31",9.77,10.13,9.73,9.89,7194500,9.879751
"2016-05-27",9.36,9.76,9.32,9.73,7233600,9.719916
"2016-05-26",10.25,10.28,9.42,9.43,6599300,9.420228
"2016-05-25",9.67,10.14,9.64,10.04,9932800,10.029596
"2016-05-24",9.84,9.84,9.48,9.57,6039000,9.560082
"2016-05-23",10.04,10.1,9.55,9.72,8478800,9.709928
"2016-05-20",9.78,10.2,9.62,10.16,7944500,10.149471
"2016-05-19",9.9,10.12,9.64,9.73,9485900,9.719916
"2016-05-18",10.78,11.03,10.01,10.12,8075200,10.109513
"2016-05-17",10.63,11.2,10.51,10.78,6441400,10.768829
"2016-05-16",10.55,11.07,10.52,10.64,5569000,10.628974
"2016-05-13",10.37,10.67,10.2,10.28,7426300,10.269347
"2016-05-12",10.75,10.95,10.28,10.46,8390100,10.44916
"2016-05-11",10.51,10.85,10.25,10.58,8095400,10.569036
"2016-05-10",10.36,10.64,10.26,10.53,6141900,10.519088
"2016-05-09",10.54,10.61,9.9,10.23,8497000,10.219398
"2016-05-06",10.14,11.02,10.12,10.78,9167000,10.768829
"2016-05-05",10.83,10.97,10.15,10.29,8658600,10.279337
"2016-05-04",10.85,11,10.36,10.49,8876300,10.479129
"2016-05-03",11.42,11.54,10.56,10.79,11723100,10.778818
"2016-05-02",11.94,11.99,11.26,11.68,13366700,11.667896
"2016-04-29",11.86,12.2,11.42,11.96,13155900,11.947606
"2016-04-27",11.75,12.1,11.66,11.94,12589700,11.927626
