"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-10-01",65.160004,65.260002,63.900002,64.410004,1236100,62.122098
"2015-09-30",64.519997,65.139999,64.25,65.099998,1382500,62.787583
"2015-09-29",64.139999,64.959999,63.93,64.330002,824900,62.044938
"2015-09-28",64.32,65.07,64,64.059998,1066100,61.784524
"2015-09-25",63.580002,65.25,63.299999,64.589996,1641700,62.295697
"2015-09-24",62.389999,63.740002,62.299999,63.59,1633700,61.331222
"2015-09-23",64.040001,64.040001,63.119999,63.540001,1444300,61.282998
"2015-09-22",64.410004,64.629997,63.689999,64.040001,1953700,61.765238
"2015-09-21",64.370003,64.790001,63.810001,63.93,1251500,61.659145
"2015-09-18",63.91,64.860001,63.759998,64.25,1976500,61.967778
"2015-09-17",63.93,65.459999,63.799999,64.419998,1051800,62.131737
"2015-09-16",63.360001,64.489998,63.23,63.950001,1516600,61.678435
"2015-09-15",62.919998,63.41,62.549999,63.23,1257600,60.984009
"2015-09-14",62.68,63.279999,62.549999,62.830002,1173100,60.598219
"2015-09-11",61.75,62.700001,61.57,62.68,1184900,60.453546
"2015-09-10",61.830002,62.77,61.759998,62.029999,1781000,59.826633
"2015-09-09",62.779999,62.869999,61.75,61.889999,1292800,59.691607
"2015-09-08",62.27,62.73,61.849998,62.389999,1986400,60.173846
"2015-09-04",62.48,62.509998,61.27,61.529999,1497100,59.344393
"2015-09-03",62.810001,63.41,62.619999,62.990002,1111400,60.752536
"2015-09-02",63.759998,63.82,62.450001,62.759998,1291200,60.530702
"2015-09-01",64.459999,64.459999,62.66,63.060001,1639600,60.820049
"2015-08-31",65.620003,65.639999,64.43,65.330002,1704800,63.009417
"2015-08-28",65.779999,66.269997,65.07,65.900002,1714600,63.559169
"2015-08-27",64.480003,65.910004,64.480003,65.809998,2375300,63.472363
"2015-08-26",64.349998,64.519997,63.200001,64.290001,2101300,62.006358
"2015-08-25",66.419998,67.220001,63.599998,63.599998,2326900,61.340865
"2015-08-24",67.400002,69.480003,65.540001,65.900002,2487600,63.559169
"2015-08-21",70.339996,70.860001,69.389999,69.389999,1562500,66.925199
"2015-08-20",70.370003,71.559998,70.110001,70.559998,1180300,68.053638
"2015-08-19",70.260002,71.139999,70.110001,70.870003,1021100,68.352631
"2015-08-18",70.43,71.019997,70.230003,70.620003,1330800,68.111512
"2015-08-17",70.080002,70.910004,69.910004,70.660004,1782800,68.150092
"2015-08-14",69.599998,70.199997,69.449997,70.099998,1531300,67.609978
"2015-08-13",70.010002,70.059998,69.080002,69.790001,1243400,67.310992
"2015-08-12",68.629997,70.220001,68.5,70.010002,1883800,67.523179
"2015-08-11",68.32,69.529999,68.25,68.940002,1904200,66.491187
"2015-08-10",70.32,70.709999,68.550003,68.910004,1879400,65.661738
"2015-08-07",69.379997,70.870003,68.860001,70.260002,1381400,66.9481
"2015-08-06",67.860001,69.489998,67.230003,69.440002,1771600,66.166754
"2015-08-05",68.580002,68.589996,67.75,67.879997,2976800,64.680284
"2015-08-04",70,70.599998,68.230003,68.580002,2829100,65.347292
"2015-08-03",71.25,71.559998,70.889999,71.199997,1603400,67.843786
"2015-07-31",70.889999,71.5,70.889999,71.019997,1187900,67.67227
"2015-07-30",69.900002,71.089996,69.720001,70.360001,1026700,67.043385
"2015-07-29",69.830002,70.220001,69.43,70.110001,1184700,66.80517
"2015-07-28",69.75,70.470001,69.550003,69.980003,1456100,66.6813
"2015-07-27",69.25,70.800003,69.25,70.400002,1111100,67.081501
"2015-07-24",69.779999,69.889999,69.150002,69.209999,921700,65.947592
"2015-07-23",70.690002,70.790001,69.150002,69.699997,1705500,66.414493
"2015-07-22",71.339996,71.800003,70.870003,71,1423100,67.653216
"2015-07-21",72.220001,72.389999,70.93,71.300003,1038600,67.939078
"2015-07-20",72.339996,72.43,71.629997,72.279999,905400,68.872879
"2015-07-17",73.120003,73.120003,72.309998,72.370003,866800,68.95864
"2015-07-16",72.360001,73.440002,72.360001,72.970001,1483000,69.530356
"2015-07-15",72.440002,72.519997,71.739998,72.25,1536800,68.844294
"2015-07-14",72.260002,72.860001,71.989998,72.290001,1296900,68.88241
"2015-07-13",72.82,72.989998,72.019997,72.25,839300,68.844294
"2015-07-10",72.489998,73.160004,72.110001,72.489998,949500,69.072979
"2015-07-09",73.470001,73.730003,72.370003,72.519997,1266200,69.101564
"2015-07-07",72.760002,74,72.669998,73.610001,2686300,70.140187
"2015-07-06",71.739998,72.470001,71.480003,72.470001,1420900,69.053925
"2015-07-02",72.239998,72.669998,71.57,71.879997,1394100,68.491733
"2015-07-01",70.660004,71.5,70.480003,71.449997,2328000,68.082002
"2015-06-29",70.550003,71.190002,69.839996,69.949997,1354900,66.652708
"2015-06-26",69.389999,70.629997,69.059998,70.510002,1986700,67.186316
"2015-06-25",70.519997,70.529999,69.459999,69.470001,786100,66.195338
"2015-06-24",70.849998,71.18,70.5,70.510002,1194500,67.186316
"2015-06-23",71.459999,71.580002,70.540001,70.779999,1066100,67.443586
"2015-06-22",71.82,71.900002,71.25,71.5,845700,68.129648
"2015-06-19",71.639999,72.230003,71.459999,71.57,1494100,68.196348
"2015-06-18",71.32,72.360001,71.32,72.040001,1953400,68.644194
"2015-06-17",70.769997,71.620003,70.419998,71.190002,1584600,67.834263
"2015-06-16",70.879997,71.190002,70.440002,70.830002,782800,67.491232
"2015-06-15",70.489998,71,70.120003,70.949997,1475800,67.60557
"2015-06-12",71.160004,71.580002,70.699997,70.709999,903400,67.376886
"2015-06-11",71.199997,71.75,70.720001,71.419998,1744100,68.053417
"2015-06-10",71.330002,71.739998,70.639999,70.709999,2708900,67.376886
"2015-06-09",72.629997,72.629997,70.879997,70.900002,1459400,67.557932
"2015-06-08",72.239998,72.589996,71.959999,71.980003,1063700,68.587025
"2015-06-05",73.040001,73.040001,71.93,72.120003,1235100,68.720425
"2015-06-04",73.510002,74.480003,73.389999,73.760002,1028200,70.283118
"2015-06-03",74.839996,75.209999,73.370003,73.830002,2053100,70.349818
"2015-06-02",75.910004,76.309998,74.580002,75.110001,1422800,71.569481
"2015-06-01",76.540001,77.160004,76.43,76.580002,1128800,72.970189
"2015-05-29",76.550003,77.080002,76.290001,76.470001,1077900,72.865374
"2015-05-28",76.239998,76.82,75.93,76.550003,1068500,72.941605
"2015-05-27",75.699997,76.559998,75.550003,76.410004,1134100,72.808204
"2015-05-26",76.080002,76.300003,74.949997,75.480003,1278400,71.922042
"2015-05-22",75.919998,76.279999,75.379997,76.040001,659300,72.455643
"2015-05-21",76.080002,76.400002,75.660004,76.120003,830600,72.531874
"2015-05-20",76.110001,76.610001,75.779999,76.040001,1107500,72.455643
"2015-05-19",75.029999,76.269997,74.75,76.209999,1161000,72.617628
"2015-05-18",74.620003,75.389999,74.580002,75.279999,733800,71.731465
"2015-05-14",74.059998,74.650002,73.900002,74.230003,1156100,70.730965
"2015-05-13",74.57,75.220001,73.5,73.760002,1585400,70.283118
"2015-05-12",75.010002,75.139999,73.949997,74.230003,1779900,70.730965
"2015-05-11",76.400002,76.730003,76.010002,76.089996,1859700,71.712404
"2015-05-08",77.139999,77.589996,75.989998,76.400002,1279700,72.004574
"2015-05-07",76.209999,76.949997,75.769997,76.470001,1139200,72.070546
"2015-05-06",75.610001,76.230003,74.879997,75.779999,1390900,71.420241
"2015-05-05",77.449997,77.919998,75.43,75.550003,1284700,71.203477
"2015-05-04",77.18,78.459999,77,77.82,905900,73.342877
"2015-05-01",77.199997,77.419998,76.589996,77.190002,894400,72.749125
