"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-10-01",34,34.299999,33.57,33.869999,2160900,33.46248
"2015-09-30",33.25,34.200001,33.240002,33.91,1980800,33.502
"2015-09-29",32.990002,33.82,32.669998,32.93,2195800,32.533791
"2015-09-28",33.849998,34.880001,32.580002,32.990002,2641600,32.593071
"2015-09-25",35.299999,35.52,34.27,34.459999,1573800,33.882366
"2015-09-24",35.75,35.82,34.41,34.970001,2895000,34.383819
"2015-09-23",37.41,37.759998,36.209999,36.349998,2445000,35.740684
"2015-09-22",36.950001,37.200001,36.720001,37.049999,3650500,36.428951
"2015-09-21",37.919998,38.169998,37.32,37.5,2172800,36.871409
"2015-09-18",38.759998,38.91,37.580002,37.759998,4183100,37.127049
"2015-09-17",40.189999,40.360001,38.700001,38.790001,2690300,38.139786
"2015-09-16",40.330002,40.77,40.07,40.119999,2414100,39.44749
"2015-09-15",40.509998,40.73,40.029999,40.259998,1905100,39.585143
"2015-09-14",41.5,41.599998,40.110001,40.299999,1061600,39.624473
"2015-09-11",41.18,41.82,41.07,41.599998,1108200,40.902681
"2015-09-10",41.200001,41.549999,40.599998,41.330002,1143200,40.63721
"2015-09-09",42.669998,42.98,41.23,41.330002,794700,40.63721
"2015-09-08",42.209999,42.549999,41.91,42.330002,1026100,41.620448
"2015-09-04",41.73,41.82,41.23,41.48,1320700,40.784694
"2015-09-03",41.98,42.599998,41.630001,42.310001,1339700,41.600783
"2015-09-02",41.16,41.709999,40.07,41.709999,1830100,41.010838
"2015-09-01",41.259998,41.709999,40.380001,40.540001,1279200,39.860452
"2015-08-31",42.32,42.73,41.529999,42.310001,1134200,41.600783
"2015-08-28",41.669998,42.48,40.59,42.400002,1462600,41.689274
"2015-08-27",40.990002,42.869999,40.900002,42.310001,1789500,41.600783
"2015-08-26",40.950001,41.02,39.450001,40.27,3731400,39.594977
"2015-08-25",44.32,44.360001,40.130001,40.259998,2801400,39.585143
"2015-08-24",42.75,44.650002,42.27,43.139999,1901100,42.416868
"2015-08-21",45.509998,45.869999,44.630001,44.639999,1355600,43.891724
"2015-08-20",46.66,46.740002,45.900002,45.900002,599200,45.130606
"2015-08-19",47.119999,47.259998,46.360001,46.959999,834400,46.172835
"2015-08-18",47.59,47.84,47.23,47.459999,682300,46.664454
"2015-08-17",47.09,47.810001,46.5,47.720001,663600,46.920098
"2015-08-14",46.509998,46.669998,46.279999,46.5,992400,45.720547
"2015-08-13",47.200001,47.220001,46.290001,46.48,1088000,45.700882
"2015-08-12",47.720001,48.029999,47.209999,47.389999,935500,46.595628
"2015-08-11",48.630001,48.630001,48.18,48.310001,850100,47.500208
"2015-08-10",47.720001,49.34,47.459999,49.220001,1184600,48.394954
"2015-08-07",48.889999,49.049999,47.310001,47.369999,944400,46.575962
"2015-08-06",48.360001,50.279999,47.939999,49.07,1492000,48.247467
"2015-08-05",48.990002,49.450001,48.459999,48.5,842800,47.687022
"2015-08-04",48.419998,49.25,48,48.689999,724300,47.873836
"2015-08-03",48.549999,48.779999,47.82,48.459999,1151500,47.647691
"2015-07-31",48.599998,48.720001,48.09,48.540001,724100,47.726352
"2015-07-30",48.110001,48.740002,47.68,48.369999,655500,47.5592
"2015-07-29",48.450001,48.650002,47.93,48.07,773600,47.264229
"2015-07-28",47.389999,48.330002,47.220001,48.240002,735400,47.431382
"2015-07-27",47.419998,47.73,47.07,47.220001,757800,46.428479
"2015-07-24",48.720001,48.98,47.619999,47.82,866600,47.01842
"2015-07-23",49.099998,49.200001,48.630001,48.860001,698300,48.040988
"2015-07-22",48.919998,49.18,48.689999,48.830002,588100,48.011492
"2015-07-21",49.5,49.810001,48.919998,48.990002,576300,48.16881
