"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-10-01",19.27,19.309999,18.790001,18.799999,14990400,18.007447
"2014-09-30",19.629999,19.66,19.23,19.34,8926200,18.524683
"2014-09-29",19.690001,19.700001,19.43,19.549999,7487500,18.725829
"2014-09-26",19.889999,19.91,19.719999,19.870001,4952200,19.03234
"2014-09-25",20.18,20.190001,19.799999,19.809999,6129200,18.974868
"2014-09-24",19.93,20.200001,19.92,20.190001,5211700,19.33885
"2014-09-23",20.16,20.200001,19.940001,19.940001,9465900,19.099389
"2014-09-22",20.33,20.35,20.129999,20.23,5412600,19.377162
"2014-09-19",20.860001,20.889999,20.389999,20.4,11742500,19.539996
"2014-09-18",20.76,20.799999,20.68,20.75,4432000,19.875241
"2014-09-17",20.65,20.85,20.58,20.709999,5496000,19.836927
"2014-09-16",20.530001,20.77,20.51,20.639999,4831000,19.769878
"2014-09-15",20.690001,20.700001,20.360001,20.6,5700600,19.731565
"2014-09-12",20.879999,20.91,20.6,20.73,5260400,19.856084
"2014-09-11",20.99,21.1,20.780001,20.940001,6854600,20.057232
"2014-09-10",21,21.209999,20.93,21.02,5274100,20.133859
"2014-09-09",21.23,21.379999,20.93,20.99,10344100,20.105123
"2014-09-08",21.25,21.280001,20.98,21.110001,6185500,20.220065
"2014-09-05",21.09,21.290001,21,21.290001,5868500,20.392477
"2014-09-04",21,21.42,20.950001,21.120001,10544000,20.229644
"2014-09-03",20.99,21.07,20.91,21,6446800,20.114702
"2014-09-02",20.879999,20.98,20.75,20.969999,6270200,20.085966
"2014-08-29",20.549999,20.860001,20.530001,20.860001,7644500,19.980604
"2014-08-28",20.4,20.690001,20.35,20.57,4251400,19.702829
"2014-08-27",20.68,20.780001,20.440001,20.49,5699500,19.626202
"2014-08-26",20.700001,21.040001,20.700001,20.74,6036900,19.769878
"2014-08-25",20.610001,20.77,20.59,20.629999,3913900,19.665023
"2014-08-22",20.629999,20.690001,20.43,20.540001,5400100,19.579234
"2014-08-21",20.73,20.84,20.610001,20.65,7693400,19.684088
"2014-08-20",20.27,20.76,20.129999,20.700001,11470700,19.73175
"2014-08-19",20.360001,20.379999,20,20.34,10518100,19.388588
"2014-08-18",20.290001,20.42,20.290001,20.370001,5286600,19.417186
"2014-08-15",20.33,20.379999,19.9,20.16,8644100,19.217008
"2014-08-14",20.290001,20.4,20.209999,20.26,5235700,19.312331
"2014-08-13",20.299999,20.389999,20.17,20.32,4511800,19.369524
"2014-08-12",20.1,20.219999,20.01,20.190001,4394800,19.245605
"2014-08-11",20.030001,20.25,20,20.120001,4825300,19.17888
"2014-08-08",19.68,19.940001,19.620001,19.940001,5975900,19.007299
"2014-08-07",19.940001,20.02,19.610001,19.68,5317600,18.75946
"2014-08-06",19.75,20,19.700001,19.790001,6841800,18.864316
"2014-08-05",19.98,20.09,19.82,19.879999,8540100,18.950104
