"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-07-01",36.25,37.639999,36.25,37.59,23414100,34.565098
"2014-06-30",36.59,36.900002,35.98,36.299999,20880200,33.378905
"2014-06-27",36.73,37.029999,36.619999,36.619999,25426500,33.673154
"2014-06-26",36.889999,36.970001,36.41,36.900002,11463200,33.930624
"2014-06-25",36.459999,37.18,36.450001,37.09,12201300,34.105334
"2014-06-24",36.619999,37.07,36.470001,36.580002,15031800,33.636375
"2014-06-23",36.209999,36.799999,36.189999,36.669998,11584800,33.71913
"2014-06-20",36.549999,36.580002,36.099998,36.220001,14018700,33.305344
"2014-06-19",36.349998,36.639999,36.200001,36.369999,11277800,33.443272
"2014-06-18",36.360001,36.470001,35.93,36.299999,16352000,33.378905
"2014-06-17",35.869999,36.380001,35.619999,36.360001,13211600,33.434078
"2014-06-16",35.490002,36.18,35.490002,36.060001,12603700,33.15822
"2014-06-13",35.380001,35.779999,35.380001,35.630001,12046600,32.762822
"2014-06-12",36,36.279999,35.490002,35.52,16818500,32.661673
"2014-06-11",36.23,36.290001,35.919998,36.119999,8866200,33.213389
"2014-06-10",36.279999,36.700001,36.18,36.400002,8460700,33.47086
"2014-06-09",36.470001,36.830002,36.34,36.5,10279300,33.562811
"2014-06-06",36.07,36.75,35.75,36.549999,17642800,33.608787
"2014-06-05",36.959999,37.040001,36.16,36.27,25094500,33.075462
"2014-06-04",35.5,36.880001,35.349998,36.52,33252200,33.303443
"2014-06-03",35.119999,35.689999,34.75,35.259998,17795900,32.154418
"2014-06-02",34.540001,34.900002,34.290001,34.860001,11541800,31.789651
"2014-05-30",34.299999,34.639999,34.200001,34.580002,14172100,31.534313
"2014-05-29",34.599998,34.650002,34.25,34.450001,10880900,31.415762
"2014-05-28",34.09,34.619999,33.959999,34.59,12575800,31.543431
"2014-05-27",33.919998,33.98,33.77,33.939999,8995100,30.950679
"2014-05-23",33.490002,33.689999,33.41,33.630001,8267100,30.667985
"2014-05-22",33.389999,33.700001,33.310001,33.419998,8428000,30.476479
"2014-05-21",33.150002,33.619999,33.099998,33.459999,12392400,30.512956
"2014-05-20",34.16,34.299999,32.959999,33.07,24894200,30.157307
"2014-05-19",33.84,34.349998,33.799999,34.25,9006100,31.233377
"2014-05-16",33.75,34.650002,33.490002,34,21485200,31.005396
"2014-05-15",34.610001,34.75,33.830002,34.360001,18088600,31.333689
"2014-05-14",35.099998,35.110001,34.799999,34.939999,10495300,31.862603
"2014-05-13",34.84,35.189999,34.599998,35.150002,9048300,32.054109
"2014-05-12",34.380001,34.939999,34.380001,34.82,9498900,31.753173
"2014-05-09",34.799999,34.900002,34.150002,34.23,16803500,31.215138
"2014-05-08",34.98,35.43,34.73,34.849998,10251500,31.780529
"2014-05-07",34.959999,35.110001,34.610001,35.07,9269700,31.981154
"2014-05-06",35.07,35.139999,34.75,34.75,10114500,31.689338
"2014-05-05",34.84,34.889999,34.630001,34.75,8449100,31.689338
"2014-05-02",35.029999,35.330002,34.860001,34.970001,11396700,31.889963
"2014-05-01",34.669998,35.400002,34.540001,34.900002,19572600,31.826128
"2014-04-30",33.84,34.540001,33.84,34.48,14037800,31.443119
"2014-04-29",33.700001,34.099998,33.619999,33.990002,12087700,30.996278
"2014-04-28",33.93,33.939999,33.52,33.759998,20175900,30.786533
"2014-04-25",33.549999,34.080002,33.549999,33.720001,16031100,30.750058
"2014-04-24",35.5,35.700001,33.52,34.169998,33352400,31.160421
"2014-04-23",34.290001,34.610001,34.099998,34.389999,16063900,31.361045
"2014-04-22",34.029999,34.439999,34,34.23,12291600,31.215138
"2014-04-21",33.950001,34.209999,33.75,33.98,9909400,30.987157
"2014-04-17",33.830002,34.09,33.799999,33.98,12351100,30.987157
"2014-04-16",33.689999,33.990002,33.32,33.970001,18140700,30.978039
"2014-04-15",32.810001,33.439999,32.290001,33.360001,23450900,30.421765
"2014-04-14",32.290001,32.880001,32.150002,32.549999,18759700,29.683106
"2014-04-11",33,33.09,31.700001,31.93,45760200,29.117715
"2014-04-10",33.709999,34.060001,33.299999,33.299999,34302100,30.367049
"2014-04-09",33.900002,34.240002,33.599998,33.619999,33165400,30.658864
"2014-04-08",34.150002,34.599998,33.849998,34.529999,20615600,31.488714
"2014-04-07",34.669998,34.73,33.82,34.110001,24348100,31.105708
"2014-04-04",35.580002,35.700001,34.650002,34.810001,20368900,31.744055
"2014-04-03",34.939999,35.5,34.73,35.439999,20578700,32.318564
"2014-04-02",34.650002,35.049999,34.380001,34.880001,41863900,31.807889
"2014-04-01",34.5,35.139999,34.32,34.34,46569800,31.31545
"2014-03-31",34.529999,34.790001,33.950001,34.419998,24292600,31.388402
"2014-03-28",34.639999,35.02,34.560001,34.73,19175400,31.6711
"2014-03-27",34.279999,34.990002,34.110001,34.509998,16382900,31.470475
"2014-03-26",34.68,34.740002,34.200001,34.220001,16997000,31.20602
"2014-03-25",35.130001,35.18,34.189999,34.509998,24817600,31.470475
"2014-03-24",34.689999,35.169998,34.279999,35.139999,21461500,32.044988
"2014-03-21",35.389999,35.5,34.779999,35.009998,24010100,31.926437
"2014-03-20",34.790001,35.27,34.400002,35.259998,14456100,32.154418
"2014-03-19",35.279999,36,34.599998,34.91,14690900,31.835246
"2014-03-18",34.68,35.240002,34.5,35.169998,21329700,32.072345
"2014-03-17",34.139999,34.689999,33.709999,34.630001,29696400,31.579909
"2014-03-14",33.849998,34.560001,33.57,34.09,31908600,31.087469
"2014-03-13",35.040001,35.16,33.869999,34.09,39628600,30.813891
"2014-03-12",34.759998,35.25,34.369999,34.860001,46300500,31.509893
