"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-12-31",28.629999,28.860001,28.469999,28.57,2243000,28.183883
"2014-12-30",28.48,28.73,28.360001,28.5,2281000,28.114829
"2014-12-29",28.32,28.77,28.26,28.66,1951500,28.272667
"2014-12-26",28.33,28.610001,28.33,28.389999,1196000,28.006315
"2014-12-23",28.25,28.77,28.1,28.27,3318900,27.887938
"2014-12-22",28.24,28.360001,28.07,28.1,2753200,27.720236
"2014-12-19",27.870001,28.32,27.690001,28.08,7215300,27.700506
"2014-12-18",27.59,27.799999,27.360001,27.76,3835000,27.384831
"2014-12-17",26.75,27.32,26.52,27.23,2941300,26.861993
"2014-12-16",26.4,27.200001,26.26,26.51,3560300,26.151724
"2014-12-15",26.65,26.9,26.4,26.6,5336100,26.240508
"2014-12-11",27.200001,27.5,27,27.1,4366700,26.73375
"2014-12-10",26.91,27.379999,26.860001,26.93,2940400,26.566048
"2014-12-09",26.549999,27.15,26.09,27.110001,2427700,26.743616
"2014-12-08",27.43,27.450001,26.690001,26.83,3193200,26.467399
"2014-12-05",27.23,27.74,27.23,27.58,2471000,27.207263
"2014-12-04",27.219999,27.57,27.1,27.35,2150800,26.980372
"2014-12-03",27.280001,27.889999,27.219999,27.469999,3758300,27.098749
"2014-12-02",26.9,27.82,26.799999,27.24,4323000,26.871858
"2014-12-01",27.209999,27.530001,26.719999,26.91,4213300,26.546318
"2014-11-28",27.07,27.549999,27.030001,27.41,2875700,27.03956
"2014-11-25",27.129999,27.4,26.43,26.66,6022300,26.299696
"2014-11-24",26.540001,26.870001,26.35,26.540001,3283700,26.181319
"2014-11-21",26.5,26.74,26.309999,26.48,3098000,26.122129
"2014-11-20",25.66,26.24,25.65,26.200001,2526800,25.845914
"2014-11-19",25.940001,26.030001,25.540001,25.98,3658700,25.628886
"2014-11-18",25.299999,25.940001,25.299999,25.73,3373400,25.382265
"2014-11-17",25.59,25.98,25.32,25.34,3816000,24.997536
"2014-11-14",25.18,25.639999,25.139999,25.620001,2742100,25.273753
"2014-11-13",25.18,25.5,25.120001,25.43,3536100,25.08632
"2014-11-12",25.18,25.34,25.030001,25.120001,3037000,24.78051
"2014-11-11",25.32,25.540001,25.120001,25.27,2501300,24.928483
"2014-11-10",25.25,25.370001,24.93,25.33,3186400,24.987671
"2014-11-07",25.1,25.440001,25.01,25.15,4269300,24.810103
"2014-11-06",24.540001,25.35,24.5,25.15,6928500,24.810103
"2014-11-05",24.25,24.77,24.1,24.43,4811400,24.099835
"2014-11-04",24.35,24.48,23.77,23.98,4933100,23.655916
"2014-11-03",24.280001,24.799999,24.25,24.51,5139000,24.178754
"2014-10-31",24,24.33,23.77,24.23,6606500,23.902537
"2014-10-30",23.01,23.82,22.860001,23.540001,5445600,23.221864
"2014-10-29",23.370001,24.049999,22.57,23.030001,14080200,22.718756
"2014-10-28",20.799999,22.030001,20.58,21.91,12463400,21.554701
"2014-10-27",20.68,20.799999,20.23,20.610001,2994900,20.275783
"2014-10-24",21.040001,21.07,20.66,20.809999,2714400,20.472539
"2014-10-23",20.969999,21.17,20.51,20.969999,4210200,20.629944
"2014-10-22",21.120001,21.42,20.76,20.780001,6914700,20.443026
"2014-10-21",20.459999,21.23,20.459999,21.02,3779000,20.679134
"2014-10-20",20.120001,20.67,20.120001,20.41,3812100,20.079026
"2014-10-17",20.280001,20.75,20.09,20.209999,4839500,19.882268
"2014-10-16",19.41,20.4,19.379999,19.98,6257800,19.655998
"2014-10-15",19.83,19.98,18.870001,19.889999,7839300,19.567458
"2014-10-14",19.620001,20.16,19.620001,20.040001,6882300,19.715027
"2014-10-13",20.219999,20.57,19.58,19.629999,6665300,19.311674
"2014-10-10",20.870001,21,20.059999,20.17,6328600,19.842918
"2014-10-09",21.870001,21.889999,20.860001,20.92,8311700,20.580756
"2014-10-08",21.780001,22.059999,21.24,21.950001,5099800,21.594053
"2014-10-07",22.139999,22.23,21.68,21.85,5468900,21.495675
"2014-10-06",22.5,22.790001,22.24,22.27,3048100,21.908864
"2014-10-03",22.49,22.6,22.200001,22.34,3943500,21.977728
"2014-10-02",22.040001,22.57,21.719999,22.34,4624500,21.977728
"2014-10-01",22.48,22.58,21.959999,22.110001,4888500,21.751459
"2014-09-30",22.91,22.950001,22.32,22.59,3903400,22.223674
"2014-09-29",22.98,23.219999,22.809999,22.950001,2677400,22.577837
"2014-09-26",23.200001,23.43,23.02,23.25,2423000,22.872972
"2014-09-25",23.32,23.43,22.93,23.200001,2947000,22.823783
"2014-09-24",23.530001,23.610001,23.059999,23.389999,5089800,23.010701
"2014-09-23",23.9,23.92,23.4,23.610001,3521800,23.227134
"2014-09-19",24.66,24.66,23.84,23.91,6927800,23.522269
"2014-09-18",24.77,24.84,24.5,24.51,2520600,24.112539
"2014-09-17",24.809999,24.99,24.5,24.610001,1649300,24.210918
"2014-09-16",24.34,24.969999,24.27,24.74,3177300,24.338809
"2014-09-15",24.58,24.629999,24.209999,24.27,2366300,23.876431
"2014-09-12",25.01,25.01,24.469999,24.6,3509300,24.20108
"2014-09-11",24.799999,25.200001,24.790001,25.01,1890600,24.604431
"2014-09-10",24.719999,25.200001,24.719999,24.99,2958400,24.584755
"2014-09-09",25,25.07,24.709999,24.83,3617700,24.42735
"2014-09-08",25.17,25.379999,24.85,25,2706300,24.594593
"2014-09-05",25.629999,25.77,25.09,25.190001,3720900,24.781512
"2014-09-04",25.959999,26.15,25.610001,25.809999,4304400,25.391457
"2014-09-03",25.83,25.91,25.629999,25.879999,2216500,25.460322
"2014-09-02",25.9,26.23,25.690001,25.73,2894200,25.312755
"2014-08-29",25.709999,26.09,25.68,25.969999,4582700,25.548863
"2014-08-28",25.51,25.809999,25.26,25.77,3036700,25.352107
"2014-08-27",25.24,25.68,25.200001,25.51,2596500,25.096323
"2014-08-26",25.26,25.48,25.049999,25.129999,2319800,24.722484
"2014-08-25",25.27,25.360001,25.040001,25.15,1553900,24.74216
"2014-08-22",25.190001,25.25,24.93,25.07,1948100,24.663458
"2014-08-21",25.450001,25.540001,25.18,25.26,1561800,24.850377
"2014-08-20",25.58,25.6,25.33,25.459999,1280300,25.047133
"2014-08-19",25.469999,25.91,25.379999,25.6,2906500,25.184864
"2014-08-18",24.99,25.65,24.799999,25.43,3155200,25.01762
"2014-08-15",24.940001,24.98,24.57,24.889999,2467000,24.486376
"2014-08-14",24.700001,24.860001,24.57,24.82,1497500,24.417512
"2014-08-13",24.59,24.9,24.190001,24.76,2757400,24.358485
"2014-08-12",24.74,24.780001,24.370001,24.440001,1903500,24.043675
"2014-08-11",24.75,24.969999,24.68,24.73,3284900,24.328971
"2014-08-08",24.379999,24.870001,24.33,24.77,2831400,24.368323
"2014-08-07",24.25,24.459999,23.889999,24.219999,3559300,23.827241
"2014-08-06",24.190001,24.66,24.01,24.24,3810700,23.846917
"2014-08-05",24.83,24.870001,24.059999,24.23,5094100,23.837079
"2014-08-04",24.57,24.879999,24.25,24.65,3640200,24.250268
"2014-08-01",25.15,25.15,24.059999,24.58,6507000,24.181404
"2014-07-31",25.25,25.940001,24.950001,25.18,5578000,24.771674
"2014-07-30",27.440001,27.85,25.07,25.450001,10017100,25.037296
"2014-07-29",27.790001,28.059999,27.629999,27.65,3319900,27.142594
"2014-07-28",28.280001,28.34,27.6,27.76,2463800,27.250576
"2014-07-25",28.219999,28.450001,28.049999,28.219999,1403900,27.702134
"2014-07-24",28.559999,28.66,28.120001,28.379999,2561800,27.859197
"2014-07-23",28.559999,28.700001,28.030001,28.43,2406800,27.908281
"2014-07-22",27.74,28.620001,27.73,28.200001,4064400,27.682502
"2014-07-21",27.690001,27.85,27.379999,27.49,1921300,26.98553
"2014-07-18",27.629999,27.9,27.5,27.889999,1901300,27.378189
"2014-07-17",27.780001,28.139999,27.450001,27.459999,2720900,26.95608
"2014-07-16",27.9,28.139999,27.66,27.99,3045500,27.476355
"2014-07-15",27.02,28.049999,27.02,27.65,1736000,27.142594
"2014-07-14",27.83,27.940001,27.73,27.799999,1892100,27.289841
"2014-07-11",27.76,27.879999,27.57,27.700001,2174800,27.191678
"2014-07-10",27.299999,27.870001,27.049999,27.629999,3797100,27.122961
"2014-07-09",27.1,27.84,27.1,27.74,3888600,27.230943
"2014-07-08",27.219999,27.290001,26.65,26.93,3059100,26.435807
"2014-07-07",27.82,27.85,27.1,27.25,2394200,26.749935
"2014-07-03",27.83,28.040001,27.75,27.91,1362000,27.397823
"2014-07-02",27.59,27.959999,27.57,27.83,2341500,27.319291
"2014-07-01",27.860001,28.139999,27.709999,27.860001,3083100,27.348741
"2014-06-30",27.73,27.889999,27.48,27.780001,2460700,27.270209
"2014-06-27",27.26,27.790001,27.16,27.75,3955000,27.240759
"2014-06-26",27.299999,27.389999,26.940001,27.309999,1454700,26.808833
"2014-06-25",26.82,27.32,26.75,27.280001,1902100,26.779385
"2014-06-24",27.389999,27.59,26.879999,26.91,2596400,26.416174
"2014-06-23",27.57,27.780001,27.440001,27.57,2332100,27.064062
"2014-06-20",27.48,27.719999,27.35,27.709999,5000900,27.201492
"2014-06-19",27.139999,27.35,26.92,27.33,2233400,26.828467
"2014-06-18",27.24,27.24,26.83,27.200001,2603000,26.700853
"2014-06-17",27.219999,27.35,26.879999,27.18,3521900,26.68122
"2014-06-16",26.92,27.700001,26.85,27.26,5821100,26.759751
"2014-06-12",26.15,26.360001,25.52,25.73,3782200,25.257828
"2014-06-11",26.85,26.870001,26.049999,26.17,3403600,25.689754
"2014-06-10",26.799999,26.93,26.389999,26.93,2774900,26.435807
"2014-06-09",27.1,27.25,26.76,26.84,3046300,26.347459
"2014-06-06",26.9,27.4,26.780001,27.23,2721900,26.730301
"2014-06-05",26.469999,26.83,26.25,26.82,3389400,26.327825
"2014-06-04",26.280001,26.59,26.07,26.35,2657900,25.866451
"2014-06-03",26.33,26.530001,26.120001,26.25,3165300,25.768286
"2014-06-02",26.379999,26.540001,25.91,26.440001,3417700,25.9548
"2014-05-30",26.1,26.65,26.08,26.370001,3927800,25.886084
"2014-05-29",26.27,26.65,25.360001,26,4359500,25.522874
"2014-05-28",26.24,26.35,25.82,26.16,3563800,25.679937
"2014-05-27",25.74,26.5,25.67,26.299999,4447800,25.817367
"2014-05-23",24.67,25.639999,24.67,25.639999,3993900,25.169479
"2014-05-22",24.620001,24.9,24.5,24.700001,2342700,24.246731
"2014-05-21",24.6,24.82,24.4,24.620001,1956100,24.168199
