"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-04-29",69.209999,69.660004,68.440002,69.419998,1717600,68.610273
"2016-04-28",69.260002,70.059998,69.260002,69.660004,1423600,68.847479
"2016-04-27",69.239998,69.919998,68.800003,69.800003,1700200,68.985845
"2016-04-26",69.440002,70.32,69.190002,69.400002,1345500,68.590509
"2016-04-25",68.209999,69.300003,68,69.300003,1492600,68.491677
"2016-04-21",69.019997,69.150002,66.550003,66.620003,2689200,65.842937
"2016-04-20",71.300003,71.32,68.82,69.019997,1863400,68.214937
"2016-04-19",70.669998,71.330002,70.489998,71.330002,1621200,70.497998
"2016-04-18",69.860001,70.660004,69.580002,70.639999,1396100,69.816044
"2016-04-15",69.620003,70.32,69.529999,69.809998,1707600,68.995723
"2016-04-14",69.610001,69.900002,69.18,69.669998,2051100,68.857357
"2016-04-13",70,70,69.400002,69.639999,1448300,68.827708
"2016-04-12",69.919998,70.239998,69.519997,69.879997,1390700,69.064906
"2016-04-11",69.470001,69.900002,69.199997,69.550003,1865800,68.738761
"2016-04-08",68.989998,69.660004,68.709999,69.290001,1827300,68.481792
"2016-04-07",68.949997,69.68,68.529999,68.769997,2238900,67.967853
"2016-04-06",69.349998,69.620003,68.989998,69.07,1845800,68.264357
"2016-04-05",69.489998,70.150002,68.970001,69.410004,1638600,68.600395
"2016-04-04",69.389999,69.879997,69.169998,69.599998,1941200,68.788174
"2016-04-01",68.379997,69.400002,68.019997,69.160004,1829700,68.353311
"2016-03-31",68.760002,69.940002,68.510002,69.339996,2994500,68.531204
"2016-03-30",69.540001,69.599998,68.800003,68.879997,1840300,68.07657
"2016-03-29",67.660004,69.610001,67.459999,69.400002,2527000,68.590509
"2016-03-28",66.970001,68.040001,66.839996,67.650002,1426900,66.860922
"2016-03-24",66.449997,67.129997,65.860001,66.959999,1630400,66.178967
"2016-03-23",66.82,67.370003,66.269997,66.879997,1723400,66.099899
"2016-03-22",66.459999,66.970001,66.160004,66.739998,2214700,65.961532
"2016-03-21",66.970001,67.5,66.779999,66.839996,1997900,66.060364
"2016-03-18",67.730003,67.940002,67.110001,67.139999,3598200,66.356868
"2016-03-17",66.830002,67.739998,66.379997,67.57,2316200,66.781853
"2016-03-16",65.550003,66.809998,64.830002,66.550003,2416300,65.773754
"2016-03-15",66.279999,66.470001,64.760002,65.75,2016500,64.983082
"2016-03-14",66.379997,66.610001,65.639999,66.529999,1974600,65.753983
"2016-03-11",65.639999,66.669998,65.620003,66.550003,3946900,65.773754
"2016-03-10",66,66.419998,64.309998,65.129997,3300500,64.370311
"2016-03-09",66.010002,66.849998,65.849998,66.5,1699700,65.724334
"2016-03-08",66.699997,67.029999,65.650002,65.860001,2232100,65.0918
"2016-03-07",65.75,67.160004,65.43,66.870003,1712400,66.090021
"2016-03-04",65.989998,66.419998,65.419998,66.190002,1936900,65.417952
"2016-03-03",67.010002,67.269997,65.050003,65.989998,3247600,65.22028
"2016-03-02",65.980003,66.93,65.629997,66.93,1878800,66.149319
"2016-03-01",64.150002,66,64,65.980003,2401000,65.210403
"2016-02-29",63.48,64.400002,63.380001,63.779999,3214000,63.036059
"2016-02-26",62.619999,63.689999,62.459999,63.5,2355300,62.759326
"2016-02-25",61.849998,62.709999,61.549999,62.669998,2582900,61.939006
"2016-02-24",60.380001,61.650002,60.119999,61.540001,2638900,60.822189
"2016-02-23",60.150002,61.93,60.009998,60.669998,2796700,59.962334
"2016-02-22",59.529999,60.380001,59.16,60.330002,2652700,59.626304
"2016-02-19",58.439999,60.049999,57.860001,59.200001,3924500,58.509483
"2016-02-18",57,59.439999,56.119999,58.68,3848400,57.995548
"2016-02-17",56.049999,56.970001,55.48,56.529999,5821100,55.870624
"2016-02-16",55.060001,55.98,54.380001,55.959999,3655500,55.307273
"2016-02-12",54.299999,55.34,53.5,54.400002,3965600,53.765472
"2016-02-11",54.68,55.23,52.799999,53.68,5659600,53.053869
"2016-02-10",55.98,56.470001,55.610001,55.709999,2671200,55.060189
"2016-02-09",59.880001,59.93,54.41,55.740002,7557500,55.089842
"2016-02-08",63,63.23,59.16,60.580002,3618900,59.873387
"2016-02-05",62.700001,63.23,61.93,63.119999,3272100,62.383758
"2016-02-04",63.459999,63.91,62.830002,63.689999,2400300,62.097139
"2016-02-03",62.330002,63.709999,62.060001,63.66,2528500,62.06789
"2016-02-02",62.830002,62.860001,61.740002,61.810001,3260000,60.26416
"2016-02-01",61.900002,63.310001,61.549999,62.830002,2337000,61.25865
"2016-01-29",61.279999,62.23,60.529999,62.220001,4401500,60.663906
"2016-01-28",61.400002,62.049999,60.330002,60.43,4976100,58.918672
"2016-01-27",65.209999,65.360001,60.73,61.599998,6630700,60.059409
"2016-01-26",67.029999,67.919998,65.669998,66,4865200,64.349368
"2016-01-25",67.68,68.440002,66.639999,66.75,1895200,65.080611
"2016-01-22",66.129997,68.290001,66,67.75,1924600,66.055601
"2016-01-21",65.150002,66.489998,64.089996,65.480003,2225700,63.842376
"2016-01-20",67.260002,67.650002,63.700001,64.510002,3225900,62.896635
"2016-01-19",66.970001,68.440002,66.629997,67.769997,2365700,66.075098
"2016-01-15",65.529999,66.529999,65.220001,66.32,2778800,64.661365
"2016-01-14",66.379997,67.019997,65.910004,66.389999,3193400,64.729614
"2016-01-13",68.07,68.519997,66.25,66.580002,3166200,64.914864
"2016-01-12",68.830002,68.959999,67.699997,68.029999,2304100,66.328598
"2016-01-11",68.410004,69.220001,68.199997,68.550003,2608400,66.835597
"2016-01-08",68.160004,68.709999,67.949997,68.089996,2299100,66.387095
"2016-01-07",69.239998,69.870003,67.599998,67.940002,4418400,66.240852
"2016-01-06",69.5,70.160004,69.300003,69.940002,2591900,68.190833
"2016-01-05",68.5,70.449997,68.150002,70.089996,3346500,68.337075
"2016-01-04",67.769997,68.459999,67.110001,68.389999,2434100,66.679595
"2015-12-31",68.279999,68.510002,67.650002,68.029999,1461800,66.328598
"2015-12-30",68.440002,68.760002,68.110001,68.32,996300,66.611346
"2015-12-29",67.720001,68.559998,67.529999,68.510002,1910100,66.796596
"2015-12-28",66.989998,67.519997,66.660004,67.519997,1167100,65.83135
"2015-12-24",67.07,67.239998,66.599998,67.029999,637200,65.353607
"2015-12-23",66.190002,67.07,66.110001,67.029999,1782200,65.353607
"2015-12-22",65.730003,66.540001,65.510002,66.160004,1678800,64.50537
"2015-12-21",65.93,66.129997,65.059998,65.459999,1528300,63.822872
"2015-12-18",66.010002,66.260002,64.980003,65.25,4534700,63.618125
"2015-12-17",65.970001,66.239998,65.580002,66.010002,2399200,64.35912
"2015-12-16",64.779999,66.470001,64.75,66.239998,2492400,64.583364
"2015-12-15",64.07,64.889999,64.040001,64.610001,2473000,62.994132
"2015-12-14",62.990002,63.639999,62.759998,63.540001,2277600,61.950893
"2015-12-11",62.5,63.700001,62.5,63.209999,2610000,61.629144
"2015-12-10",64.080002,64.220001,62.75,62.810001,3245100,61.23915
"2015-12-09",63.93,64.709999,63.549999,64.169998,1924000,62.565134
"2015-12-08",64.25,64.980003,64,64.379997,2345400,62.769881
"2015-12-07",63.669998,64.559998,63.380001,64.150002,2449800,62.545637
"2015-12-04",63.060001,63.77,62.779999,63.650002,2624500,62.058142
"2015-12-03",63.02,63.369999,62.279999,62.709999,3332600,61.141649
"2015-12-02",64.510002,64.980003,63.330002,63.450001,2843300,61.863143
"2015-12-01",63.650002,64.82,63.650002,64.809998,3109000,63.189127
"2015-11-30",63.18,64.059998,62.790001,63.189999,5552900,61.609644
"2015-11-27",62.43,63.389999,62.369999,63.189999,1005000,61.609644
"2015-11-25",62.34,62.740002,62.110001,62.459999,1740700,60.897901
"2015-11-24",62.080002,62.580002,61.889999,62.27,3015500,60.712654
"2015-11-23",62.290001,62.75,61.860001,62.25,3119500,60.693154
"2015-11-20",60.939999,61.75,60.599998,61.669998,3401600,60.127658
"2015-11-19",59.77,60.779999,59.68,60.549999,3078700,59.03567
"2015-11-18",59.139999,59.630001,58.66,59.57,2080300,58.080179
"2015-11-16",58.209999,59.540001,58.200001,59.130001,2707600,57.651185
"2015-11-13",59.669998,60.169998,58.189999,58.209999,3097400,56.754192
"2015-11-12",59.009998,59.830002,58.369999,59.389999,3508800,57.904681
"2015-11-11",59.630001,59.84,58.959999,59.009998,1674300,57.534183
"2015-11-10",59.18,60.07,58.849998,59.400002,3335400,57.914433
"2015-11-09",60.75,61.029999,58.610001,59.009998,4334000,57.534183
"2015-11-06",63.700001,64.389999,60.529999,61.02,4082100,59.493916
"2015-11-05",64.629997,65.029999,64.139999,64.919998,2910900,62.492009
"2015-11-04",64.879997,65.110001,64.57,64.769997,2239000,62.347618
"2015-11-03",65.779999,66.139999,64.440002,64.800003,2836600,62.376502
"2015-11-02",64.739998,65.860001,64.449997,65.860001,2987800,63.396856
"2015-10-30",66.760002,67.75,64.050003,64.870003,4094900,62.443884
"2015-10-29",66.540001,67.07,66.25,66.949997,2899400,64.446087
"2015-10-28",68.18,68.279999,66.269997,66.82,3092400,64.320951
"2015-10-27",67.720001,68.139999,67.099998,68.07,1945800,65.524201
"2015-10-26",68.230003,68.470001,66.5,67.830002,3147300,65.293179
"2015-10-23",70.620003,70.940002,68,68.480003,2906900,65.918871
"2015-10-22",70.790001,71.25,70.279999,70.910004,2271900,68.25799
"2015-10-21",69.940002,70.860001,69.739998,70.550003,1527500,67.911453
"2015-10-20",69.870003,70.160004,69.279999,69.699997,1392200,67.093237
"2015-10-19",69.25,70.169998,69.120003,70.139999,1461300,67.516784
"2015-10-16",67.650002,69.410004,67.330002,69.300003,1595700,66.708203
"2015-10-15",67.68,68.389999,67.529999,68.360001,1707900,65.803356
"2015-10-14",69.010002,69.260002,67.489998,67.68,1857800,65.148788
"2015-10-13",68.449997,69.379997,68.449997,68.980003,1331400,66.400171
"2015-10-12",69.260002,69.68,68.75,69.050003,1669600,66.467553
"2015-10-09",69.529999,69.699997,69.010002,69.260002,1496700,66.669698
"2015-10-08",69.620003,69.82,68.839996,69.660004,2014400,67.05474
"2015-10-07",69.07,69.639999,68.540001,69.620003,2024000,67.016235
"2015-10-06",69.190002,69.379997,68.690002,69.099998,1477100,66.515679
"2015-10-05",68.440002,69.25,68.150002,69.209999,2131900,66.621565
"2015-10-02",67.339996,68.230003,67.029999,68.230003,1878800,65.678221
"2015-10-01",68,68.150002,66.959999,67.699997,1832200,65.168037
"2015-09-30",67.690002,68.459999,67.230003,67.720001,2077400,65.187293
"2015-09-29",66.059998,67.489998,65.779999,67.330002,2814700,64.811879
"2015-09-25",67.980003,68.400002,67.510002,67.650002,2243200,65.119911
"2015-09-24",68.059998,68.480003,67.510002,67.910004,2306800,65.370189
"2015-09-23",67.5,68.43,67.239998,68.160004,1817900,65.610839
"2015-09-22",67.290001,67.970001,67.220001,67.540001,2145700,65.014025
"2015-09-21",67.43,68.099998,67.150002,67.730003,2252000,65.196921
"2015-09-18",65.209999,68.379997,65.150002,67.360001,5513600,64.840756
"2015-09-17",64.470001,67.5,64.089996,66.18,2921400,63.704888
"2015-09-16",63.66,64.709999,63.66,64.480003,1214200,62.06847
"2015-09-15",63.360001,64.160004,62.849998,63.799999,1541700,61.413898
"2015-09-14",63.07,63.389999,62.610001,63.349998,2074400,60.980727
"2015-09-11",61.740002,62.830002,61.599998,62.810001,1331400,60.460926
"2015-09-10",61.849998,62.700001,61.639999,61.849998,1754200,59.536827
"2015-09-09",62.98,63.18,61.799999,61.91,2321100,59.594584
"2015-09-08",62.200001,62.75,61.869999,62.580002,2307500,60.239528
"2015-09-04",62.360001,62.549999,61,61.419998,1720200,59.122908
"2015-09-03",63.400002,63.5,62.689999,62.860001,1631000,60.509055
"2015-09-02",63.09,63.540001,62.48,63.220001,2326800,60.855592
"2015-09-01",62.580002,62.84,61.900002,62.389999,2545700,60.056632
"2015-08-31",64.989998,65,63.299999,63.349998,2826100,60.980727
"2015-08-28",65.370003,65.5,64.57,65.080002,1916500,62.646029
"2015-08-27",65.269997,66.129997,64.150002,65.32,2861000,62.877051
"2015-08-26",64.199997,64.529999,62.990002,64.419998,3289100,62.010709
"2015-08-25",66.589996,66.959999,63.240002,63.290001,3320000,60.922973
"2015-08-24",66.309998,66.889999,65.610001,65.760002,5944700,63.300597
"2015-08-21",69.290001,69.769997,68.419998,68.419998,2857300,65.86111
"2015-08-20",68.779999,69.660004,68.339996,69.370003,2341500,66.775585
"2015-08-19",68.910004,69.389999,68.540001,69.059998,1706200,66.477174
"2015-08-18",69.309998,69.599998,69.089996,69.330002,1700900,66.73708
"2015-08-17",68.050003,69.400002,68.019997,69.349998,3302300,66.756329
"2015-08-14",67.639999,68.160004,67.260002,67.93,2342300,65.389438
"2015-08-13",67.68,68.260002,66.919998,67.849998,2385400,65.312428
"2015-08-12",67.75,68.220001,67.080002,68.199997,5850300,65.649337
"2015-08-11",67.449997,68.610001,67.410004,67.809998,1857300,65.273923
"2015-08-10",68.120003,68.239998,67.089996,67.370003,1723800,64.850384
"2015-08-07",67.669998,68.279999,66.830002,68,2017700,65.45682
"2015-08-06",68.510002,68.599998,66.970001,68.489998,2968600,65.134346
"2015-08-05",69.459999,69.940002,68.110001,68.550003,2923400,65.191411
"2015-08-04",69.220001,70.220001,69,69.209999,2544800,65.81907
"2015-08-03",69.309998,69.839996,69.260002,69.830002,2177800,66.408696
"2015-07-31",69.459999,70.190002,69.209999,69.370003,1792100,65.971235
"2015-07-30",69.129997,69.57,68.559998,68.809998,1631600,65.438667
"2015-07-29",68.540001,69.480003,68.010002,69.309998,2050400,65.91417
"2015-07-28",68.709999,69.089996,68.400002,68.650002,2048700,65.28651
"2015-07-27",67.82,68.800003,67.760002,68.690002,2507000,65.324551
"2015-07-24",66.900002,68.089996,66.800003,67.82,1561100,64.497174
"2015-07-23",67.5,67.730003,66.599998,67.029999,1418500,63.745879
"2015-07-22",67.059998,67.800003,67.019997,67.660004,1570000,64.345017
"2015-07-21",67.269997,67.550003,66.949997,67.099998,1914100,63.812449
"2015-07-20",67.260002,67.43,66.800003,67.330002,1548300,64.031183
"2015-07-17",67.550003,67.639999,66.980003,67.300003,1744100,64.002654
"2015-07-16",67.699997,68,67.07,67.529999,2798800,64.221381
"2015-07-15",68.129997,68.25,67.379997,67.529999,3136900,64.221381
"2015-07-14",68.709999,68.760002,68.059998,68.129997,1448400,64.791983
"2015-07-13",69.209999,69.529999,67.949997,68.459999,1907300,65.105817
"2015-07-10",68.800003,69.470001,68.279999,68.75,1835400,65.381609
"2015-07-09",69.139999,69.440002,68.239998,68.339996,2270700,64.991693
