"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-05-01",47.669998,47.669998,47.139999,47.610001,806000,23.033183
"2014-04-30",47.380001,47.709999,47.220001,47.689999,1402200,23.071885
"2014-04-29",47.98,48.099998,47.369999,47.380001,686600,22.921912
"2014-04-28",47.759998,48.200001,47.549999,47.93,1133200,23.187995
"2014-04-25",47.529999,47.869999,47.43,47.650002,894600,23.052535
"2014-04-24",48.02,48.029999,47.529999,47.599998,801200,23.028344
"2014-04-23",47.889999,48.09,47.849998,47.93,924000,23.187995
"2014-04-22",47.75,47.959999,47.610001,47.900002,734400,23.173482
"2014-04-21",47.919998,47.98,47.650002,47.759998,847000,23.10575
"2014-04-17",47.610001,47.84,47.490002,47.779999,2121000,23.115426
"2014-04-16",47.380001,47.73,47.18,47.700001,936200,23.076724
"2014-04-15",47.599998,47.700001,46.98,47.34,1153600,22.805802
"2014-04-14",47.299999,47.540001,47,47.52,1142600,22.892516
"2014-04-11",47.150002,47.439999,46.849998,46.970001,1131000,22.627556
"2014-04-10",47.950001,48.189999,47.240002,47.25,1156600,22.762444
"2014-04-09",48.040001,48.110001,47.580002,47.959999,1538800,23.104483
"2014-04-08",48.049999,48.240002,47.740002,47.970001,1419400,23.109301
"2014-04-07",47.82,48.25,47.82,48.049999,1115200,23.14784
"2014-04-04",48.459999,48.619999,47.75,47.830002,1018000,23.041857
"2014-04-03",48.459999,48.580002,48.09,48.34,1259800,23.287546
"2014-04-02",48.84,48.919998,48.360001,48.459999,1674600,23.345355
"2014-04-01",49.32,49.470001,48.669998,48.900002,1755600,23.557324
"2014-03-31",48.68,49.459999,48.639999,49.27,1984400,23.735569
"2014-03-28",48.380001,48.610001,48.189999,48.400002,1201600,23.316452
"2014-03-27",48.200001,48.330002,48.029999,48.200001,1283800,23.220102
"2014-03-26",48.130001,48.580002,47.98,48.23,1637400,23.234554
"2014-03-25",47.580002,47.939999,47.439999,47.93,1248200,23.090031
"2014-03-24",47.5,47.759998,47.27,47.439999,1671200,22.853975
"2014-03-21",47.639999,47.759998,47.220001,47.299999,2431000,22.786531
"2014-03-20",47.009998,47.389999,46.950001,47.360001,753800,22.815437
"2014-03-19",47.580002,47.77,46.869999,47.200001,1272000,22.738358
"2014-03-18",47.220001,47.639999,47.099998,47.529999,938000,22.897332
"2014-03-17",47.41,47.580002,47.07,47.169998,1332600,22.723904
"2014-03-14",46.689999,47.330002,46.59,47.130001,1811600,22.704636
"2014-03-13",47.360001,47.619999,46.59,46.759998,2073800,22.526389
"2014-03-12",46.73,47.220001,46.73,47.209999,1251400,22.743174
"2014-03-11",47.41,47.459999,46.880001,46.98,1148600,22.632373
"2014-03-10",47.330002,47.689999,47.23,47.400002,1294000,22.834707
"2014-03-07",47.459999,47.459999,46.93,47.279999,1679400,22.776896
"2014-03-06",47.990002,47.990002,47.25,47.310001,1790600,22.79135
"2014-03-05",47.549999,47.919998,47.220001,47.860001,1431400,23.056309
"2014-03-04",47.540001,47.830002,47.52,47.650002,1993800,22.955143
"2014-03-03",47,47.18,46.669998,47.049999,1485600,22.666095
"2014-02-28",47.18,47.790001,47.130001,47.450001,1218200,22.858794
"2014-02-27",47,47.200001,46.759998,47.169998,1100400,22.723904
"2014-02-26",46.939999,47.509998,46.939999,46.98,1838200,22.632373
"2014-02-25",47,47.139999,46.779999,46.889999,1220200,22.589016
"2014-02-24",46.799999,47.200001,46.580002,46.950001,1735800,22.617921
"2014-02-21",46.389999,46.830002,46.18,46.709999,4408800,22.502302
"2014-02-20",45.400002,46.43,45.400002,46.189999,2246400,22.251794
"2014-02-19",44.939999,45.57,44.889999,45.310001,2940200,21.82786
"2014-02-18",45.110001,45.34,45,45.150002,2375200,21.750781
"2014-02-14",44.779999,45.169998,44.439999,45.16,1763800,21.755598
"2014-02-13",44.080002,44.860001,43.950001,44.779999,1133200,21.572534
"2014-02-12",44.330002,44.580002,44.25,44.310001,1327800,21.346115
"2014-02-11",43.439999,44.419998,43.389999,44.389999,1570200,21.384654
"2014-02-10",43.639999,43.779999,43.48,43.669998,1316600,21.037797
"2014-02-07",43.669998,43.959999,43.48,43.77,1149000,21.085973
"2014-02-06",43.310001,43.560001,43.139999,43.400002,1641400,20.907727
"2014-02-05",43.009998,43.369999,42.810001,43.099998,2678800,20.763203
