"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-05-01",80.769997,81.43,80.160004,80.449997,838400,77.971951
"2015-04-30",79.089996,80.790001,78.75,80.239998,1359300,77.768421
"2015-04-29",80.690002,80.900002,78.760002,79.260002,905500,76.818611
"2015-04-28",80.870003,81.169998,80.220001,81.089996,739100,78.592237
"2015-04-27",81.139999,81.839996,80.5,80.739998,878400,78.253019
"2015-04-24",82.120003,82.120003,80.68,81.099998,967800,78.601931
"2015-04-23",81.879997,82.239998,81.120003,82,792300,79.474211
"2015-04-22",82.730003,82.790001,81.690002,82.459999,1426600,79.920041
"2015-04-21",79.559998,82.120003,79.150002,81.93,2230100,79.406367
"2015-04-20",79.300003,80.139999,79.139999,79.300003,790000,76.85738
"2015-04-17",79.779999,79.779999,78.169998,78.550003,1325400,76.130482
"2015-04-16",80.989998,81.099998,80.089996,80.349998,720700,77.875033
"2015-04-15",80.589996,81.349998,80.480003,81.110001,904400,78.611625
"2015-04-14",80.309998,80.919998,80.139999,80.5,723300,78.020414
"2015-04-13",81.129997,81.889999,80.330002,80.349998,760400,77.875033
"2015-04-10",80.540001,81.110001,80.209999,81,673500,78.505013
"2015-04-09",79.93,80.75,79.540001,80.68,710300,78.19487
"2015-04-08",79.660004,80.480003,79.400002,80.129997,979700,77.661808
"2015-04-07",80.089996,80.580002,79.279999,79.779999,1235500,77.322591
"2015-04-06",79.019997,81.43,78.349998,80.709999,1710900,78.223945
"2015-04-02",78.5,79.519997,78.370003,78.699997,1580200,76.275855
"2015-04-01",78.5,78.599998,77.769997,78.589996,1580000,76.169243
"2015-03-31",78.110001,79.349998,77.779999,78.760002,2668300,76.334012
"2015-03-30",77.080002,78.209999,76.669998,77.629997,2286900,75.238814
"2015-03-27",73.220001,77.099998,73.089996,76.75,4094500,74.385923
"2015-03-26",70.449997,73.32,69.839996,73.279999,2865100,71.022806
"2015-03-25",71.910004,72.110001,70.610001,70.639999,1054200,68.464124
"2015-03-24",72.739998,72.970001,71.660004,71.870003,1436900,69.656241
"2015-03-23",72.879997,73.949997,72.809998,72.889999,1153100,70.644819
"2015-03-20",72.190002,73.120003,71.639999,72.75,1676700,70.509132
"2015-03-19",72.160004,72.779999,71.860001,72.18,1008700,69.95669
"2015-03-18",71.970001,72.559998,71.139999,72.330002,1309500,70.102071
"2015-03-17",72.239998,72.449997,72.040001,72.099998,830900,69.879152
"2015-03-16",72.260002,72.75,72.129997,72.730003,837800,70.489751
"2015-03-13",72.25,72.349998,71.5,71.889999,961700,69.675621
"2015-03-12",72.459999,72.970001,72,72.5,852800,70.266833
"2015-03-11",72.870003,73.110001,72.199997,72.5,1195000,70.266833
"2015-03-10",74.019997,74.339996,72.830002,72.870003,1633100,70.625438
