"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-08-29",64.730003,65.150002,64.599998,64.970001,1188900,61.740522
"2014-08-28",64.400002,64.900002,64.260002,64.75,1351700,61.531457
"2014-08-27",64.739998,65.300003,64.580002,65.279999,1593400,61.569464
"2014-08-26",64.900002,65.379997,64.660004,64.75,1592100,61.069591
"2014-08-25",64.720001,65.07,64.639999,64.849998,1185200,61.163905
"2014-08-22",65.029999,65.089996,64.230003,64.300003,1647400,60.645172
"2014-08-21",64.959999,65.230003,64.860001,64.879997,913600,61.192199
"2014-08-20",64.370003,65.190002,63.970001,64.82,1797600,61.135611
"2014-08-19",64.349998,64.82,64.279999,64.470001,987900,60.805507
"2014-08-18",64.449997,64.540001,64.160004,64.300003,1433800,60.645172
"2014-08-15",64.07,64.470001,64,64.279999,2040000,60.626304
"2014-08-14",64,64.050003,63.709999,64,1079200,60.362221
"2014-08-13",63.610001,64,63.450001,63.98,1289200,60.343357
"2014-08-12",63.450001,63.639999,63.110001,63.450001,1407400,59.843484
"2014-08-11",63.290001,64.110001,63.27,63.810001,1879100,60.183022
"2014-08-08",62.349998,63.279999,61.860001,63.240002,1606200,59.645421
"2014-08-07",62.91,63.110001,61.970001,62.380001,1768000,58.834303
"2014-08-06",61.27,62.959999,61.27,62.779999,4225900,59.211565
"2014-08-05",61.68,61.990002,61.290001,61.400002,1653300,57.910007
"2014-08-04",61.48,62.07,61.200001,62.060001,2614100,58.532492
"2014-08-01",59.66,61.740002,59.650002,61.439999,5133900,57.947731
"2014-07-31",62.990002,63.099998,59.779999,59.830002,8993800,56.429247
"2014-07-30",65.190002,65.279999,63.439999,63.73,2557700,60.107567
"2014-07-29",65.639999,65.730003,64.889999,64.889999,1119200,61.201632
"2014-07-28",65.419998,65.559998,65.120003,65.440002,1192300,61.720373
"2014-07-25",65.580002,65.709999,65.190002,65.370003,725300,61.654352
"2014-07-24",65.580002,65.830002,65.470001,65.68,885600,61.946729
"2014-07-23",66.389999,66.43,65.360001,65.440002,1399300,61.720373
"2014-07-22",66.150002,66.5,66.059998,66.269997,1081300,62.50319
"2014-07-21",65.790001,66.230003,65.769997,66.099998,940300,62.342855
"2014-07-18",66.040001,66.349998,65.790001,66.169998,1365200,62.408876
"2014-07-17",65.949997,66.160004,65.709999,65.910004,1487300,62.163659
"2014-07-16",65.75,66.019997,65.449997,66.019997,1290300,62.2674
"2014-07-15",65.330002,65.720001,65.139999,65.559998,3098400,61.833548
"2014-07-14",66.279999,66.449997,66,66.199997,1011900,62.437169
"2014-07-11",65.900002,66.050003,65.529999,65.949997,1069600,62.201379
"2014-07-10",65.610001,65.989998,65.580002,65.879997,1201900,62.135358
"2014-07-09",66.169998,66.459999,65.849998,66.099998,1415100,62.342855
"2014-07-08",65.889999,66.309998,65.709999,66.059998,1779900,62.305127
"2014-07-07",66.339996,66.470001,65.739998,65.860001,1798500,62.116498
"2014-07-03",66.370003,66.730003,66.190002,66.410004,1236700,62.635239
"2014-07-02",65.800003,66.169998,65.760002,66.050003,1300800,62.295701
"2014-07-01",65.480003,65.980003,65.139999,65.860001,2132500,62.116498
"2014-06-30",65.199997,65.730003,64.830002,65.699997,2392200,61.965589
"2014-06-27",64.779999,65.010002,64.589996,64.959999,1340600,61.267653
"2014-06-26",64.989998,65.099998,64.470001,64.82,1751500,61.135611
"2014-06-25",65.480003,65.480003,64.5,64.900002,2201700,61.211066
"2014-06-24",66.400002,66.400002,65.849998,65.870003,1088800,62.125932
"2014-06-23",67.169998,67.190002,66.089996,66.43,1746000,62.654099
"2014-06-20",67.080002,67.43,66.940002,67.239998,2401900,63.418056
"2014-06-19",66.970001,67.290001,66.720001,66.93,1156000,63.125679
"2014-06-18",66.290001,66.870003,65.720001,66.839996,2872400,63.040791
"2014-06-17",67.449997,67.57,66.629997,66.699997,1792400,62.908749
"2014-06-16",67.339996,67.540001,67.089996,67.440002,1115400,63.606692
"2014-06-13",67.169998,67.389999,66.870003,67.209999,1083900,63.389763
