"Date","Open","High","Low","Close","Volume","Adj Close"
"2016-02-01",15.97,16.049999,14.91,15.19,39813700,15.086186
"2016-01-29",15.57,16.469999,15.48,16.450001,44148200,16.337576
"2016-01-28",15.17,15.7,14.89,15.29,44750700,15.185503
"2016-01-27",14.69,15.3,14.07,14.22,39059200,13.998671
"2016-01-26",14.4,15.16,14.1,14.97,31242900,14.736997
"2016-01-25",15.14,15.74,14.18,14.19,36429300,13.969137
"2016-01-22",14.92,15.82,14.65,15.34,62530800,15.101238
"2016-01-21",12.83,14.62,12.47,13.88,69707200,13.663962
"2016-01-20",12.05,12.26,11.2,12.01,49810400,11.823068
"2016-01-19",13.17,13.42,12.21,12.55,34748900,12.354663
"2016-01-15",13.06,13.55,12.78,13,41974700,12.797659
"2016-01-14",13.06,14.05,12.95,13.98,37319000,13.762405
"2016-01-13",13.81,14.09,12.75,12.95,41765400,12.748437
"2016-01-12",14.31,14.61,12.93,13.6,46923100,13.388321
"2016-01-11",14.87,14.92,13.9,14.16,31359000,13.939604
"2016-01-08",14.52,15.05,14.16,14.77,29611000,14.54011
"2016-01-07",14.46,14.86,14.13,14.25,27846800,14.028203
"2016-01-06",15.16,15.28,14.62,14.77,28462600,14.54011
"2016-01-05",15.35,15.65,14.99,15.58,29113900,15.337502
"2016-01-04",14.89,15.5,14.83,15.27,33649600,15.032328
"2015-12-31",14.4,15.05,14.4,14.92,30263100,14.687775
"2015-12-30",14.6,15.15,14.47,14.54,35201600,14.31369
"2015-12-29",15.47,15.75,14.91,15.1,31517800,14.864974
"2015-12-28",15.79,15.83,15.16,15.26,28998300,15.022483
"2015-12-24",16.360001,16.66,15.92,16.08,16650600,15.82972
"2015-12-23",15.57,16.59,15.52,16.41,49429300,16.154583
"2015-12-22",15.03,15.92,15.03,15.32,34631200,15.081549
"2015-12-21",15.07,15.18,14.22,15.14,42261500,14.904351
"2015-12-18",15.37,15.6,15.01,15.14,59706500,14.904351
"2015-12-17",15.86,15.94,15.11,15.37,42606100,15.130771
"2015-12-16",15.73,16.219999,15.64,15.94,41548600,15.691899
"2015-12-15",16.1,16.469999,15.81,15.84,46912400,15.593456
"2015-12-14",16.309999,16.49,15.5,16,70692900,15.750965
"2015-12-11",16.48,17.08,16.030001,16.66,85328100,16.400692
