"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-12-31",43.32,43.75,42.470001,42.470001,1347100,41.8356
"2015-12-30",43.790001,43.900002,43.220001,43.349998,881000,42.702452
"2015-12-29",43.630001,44.169998,43.439999,43.91,1054900,43.254088
"2015-12-28",43.450001,43.549999,42.939999,43.389999,1437500,42.741855
"2015-12-24",43.450001,43.759998,43.349998,43.59,543600,42.938868
"2015-12-23",43.23,43.470001,43.189999,43.400002,1256700,42.751708
"2015-12-22",43.16,43.330002,42.830002,43.130001,1122400,42.485741
"2015-12-21",42.599998,43.040001,42.400002,43.009998,1696500,42.36753
"2015-12-18",43.02,43.09,42.27,42.419998,3396100,41.786344
"2015-12-17",44.470001,44.509998,43.279999,43.299999,2391100,42.653199
"2015-12-16",44.279999,44.470001,43.75,44.259998,1935100,43.598858
"2015-12-15",43.950001,44.43,43.689999,44.080002,2290200,43.421551
"2015-12-14",43.48,43.639999,43.110001,43.529999,1963000,42.879763
"2015-12-11",43.470001,43.709999,43.240002,43.32,1882300,42.672901
"2015-12-10",43.709999,44.240002,43.560001,43.939999,1334000,43.283639
"2015-12-09",44.259998,44.91,43.450001,43.740002,2362300,43.086629
"2015-12-08",44.529999,44.799999,44.119999,44.400002,3003600,43.73677
"2015-12-07",45.52,45.68,44.869999,45.02,2239500,44.347508
"2015-12-04",44.709999,45.709999,44.529999,45.689999,2433700,45.007498
"2015-12-03",45.700001,45.810001,44.34,44.689999,2805100,44.022436
"2015-12-02",45.700001,46.200001,45.34,45.41,1789000,44.731682
"2015-12-01",45.990002,46.080002,45.549999,45.900002,1886400,45.214364
"2015-11-30",45.66,45.900002,45.34,45.720001,1735400,45.037052
"2015-11-27",45.34,45.57,45.009998,45.470001,571000,44.790787
"2015-11-25",45.119999,46,45.009998,45.23,1308900,44.55437
"2015-11-24",44.970001,45.52,44.720001,45.369999,2086600,44.692278
"2015-11-23",45.880001,45.939999,44.959999,45.110001,2185200,44.436164
"2015-11-20",45.950001,46.099998,45.490002,45.93,2432800,45.243915
"2015-11-19",45.330002,45.849998,45.080002,45.610001,1971300,44.928695
"2015-11-18",44.450001,45.41,44.389999,45.369999,2039500,44.692278
"2015-11-17",44.139999,44.720001,43.950001,44.41,1764600,43.746619
"2015-11-16",43.560001,44.240002,43.459999,44.23,2218900,43.569308
"2015-11-13",44.080002,44.389999,43.48,43.560001,2813200,42.909318
"2015-11-12",44.299999,44.84,44.029999,44.139999,3016600,43.480652
"2015-11-11",44.220001,44.740002,44.189999,44.450001,1769000,43.786023
"2015-11-10",44.299999,44.639999,43.93,44.130001,1906700,43.470803
"2015-11-09",44.689999,44.900002,44.439999,44.740002,1951200,43.776175
"2015-11-06",44.299999,45,44.150002,44.98,1677600,44.011002
"2015-11-05",44.700001,44.84,44.23,44.32,1631700,43.365221
"2015-11-04",44.709999,44.77,44.279999,44.73,1505400,43.766388
"2015-11-03",44.59,44.830002,44.400002,44.619999,1141200,43.658757
"2015-11-02",44.419998,44.84,44.369999,44.759998,1858100,43.795741
"2015-10-30",44.360001,44.68,44.169998,44.419998,2850800,43.463065
"2015-10-29",45.119999,45.130001,44.02,44.200001,3821700,43.247807
"2015-10-28",45.279999,45.849998,44.950001,45.720001,2743000,44.735062
"2015-10-27",44.93,45.48,44.84,45.07,1687400,44.099064
"2015-10-26",46,46,45.209999,45.34,1878800,44.363247
"2015-10-23",46.09,46.299999,45.490002,46.02,3702800,45.028599
"2015-10-22",44.099998,45.98,44.099998,45.93,6097600,44.940537
"2015-10-21",43.549999,44.41,43.369999,43.400002,3487800,42.465042
"2015-10-20",43.59,43.73,43.16,43.290001,3766100,42.357411
"2015-10-19",43.77,44.200001,43.5,43.799999,2161900,42.856423
"2015-10-16",44.18,44.25,43.59,44,3439500,43.052115
"2015-10-15",44.09,44.639999,43.66,44.290001,4162600,43.335868
"2015-10-14",42.889999,44.240002,41.630001,43.720001,10011800,42.778148
"2015-10-13",40.98,41.299999,40.16,41.16,4214100,40.273296
"2015-10-12",41.189999,41.439999,40.830002,41.240002,2647800,40.351575
"2015-10-09",41.82,41.830002,41.02,41.209999,4026300,40.322218
"2015-10-08",41.779999,41.959999,40.490002,41.790001,8971700,40.889725
"2015-10-07",42.169998,42.59,41.720001,42.540001,3016700,41.623568
"2015-10-06",41.950001,42.040001,41.369999,41.849998,2586900,40.94843
"2015-10-05",40.439999,41.93,40.41,41.799999,3273200,40.899508
"2015-10-02",39.139999,40.220001,38.889999,40.150002,4398200,39.285056
"2015-10-01",40.52,40.84,39.299999,39.959999,3515200,39.099147
"2015-09-30",39.23,40.450001,38.209999,40.349998,3423000,39.480745
"2015-09-29",38.27,38.860001,38.060001,38.73,1879400,37.895645
"2015-09-28",38.880001,39.16,38.310001,38.310001,2542200,37.484695
"2015-09-25",39.220001,39.52,38.619999,39.02,2326800,38.179399
"2015-09-24",38.580002,38.970001,37.75,38.889999,3222500,38.052198
"2015-09-23",38.900002,39.990002,38.330002,38.830002,3131600,37.993493
"2015-09-22",39.130001,39.27,38.650002,38.830002,2957900,37.993493
"2015-09-21",40.169998,40.27,39.419998,39.740002,2005000,38.883889
"2015-09-18",40.110001,40.669998,39.810001,39.93,4316400,39.069794
"2015-09-17",41.049999,41.290001,40.59,40.639999,2299800,39.764498
"2015-09-16",40.939999,41.130001,40.560001,41.009998,2537200,40.126526
"2015-09-15",40.799999,41.360001,40.689999,40.939999,3259700,40.058034
"2015-09-14",40.599998,40.869999,40.439999,40.59,1440100,39.715576
"2015-09-11",39.950001,40.599998,39.619999,40.57,1921900,39.696006
"2015-09-10",40.16,40.73,39.779999,40.259998,2100500,39.392683
"2015-09-09",41.369999,41.77,40.259998,40.349998,2130900,39.480745
"2015-09-08",39.889999,41.139999,39.889999,41.09,2353100,40.204805
"2015-09-04",39.279999,39.57,38.93,39.119999,2109400,38.277243
"2015-09-03",39.619999,40.220001,39.619999,39.880001,2267500,39.020872
"2015-09-02",39.189999,39.66,38.599998,39.66,3887500,38.805611
"2015-09-01",39.119999,39.759998,38.25,38.459999,5100600,37.631461
"2015-08-31",40.68,40.830002,40.189999,40.279999,2943200,39.412253
"2015-08-28",40.610001,41.209999,40.220001,40.810001,3276300,39.930838
"2015-08-27",40.200001,40.849998,39.919998,40.689999,3717300,39.81342
"2015-08-26",38.200001,39.73,37.860001,39.709999,4946500,38.854533
"2015-08-25",39.439999,39.630001,37.380001,37.41,8322900,36.604082
"2015-08-24",36.709999,39.610001,36.41,38.43,6967900,37.602109
"2015-08-21",39.209999,39.349998,38.439999,38.549999,5033300,37.719522
"2015-08-20",39.869999,40.18,39.400002,39.439999,4559500,38.590349
"2015-08-19",40.900002,41.16,40.25,40.330002,3523600,39.461179
"2015-08-18",41.349998,41.5,40.349998,40.529999,2178200,39.656867
"2015-08-17",40.790001,41.400002,40.779999,41.299999,1756000,40.41028
"2015-08-14",41.240002,41.360001,40.970001,41.240002,2103700,40.351575
"2015-08-13",41.759998,41.939999,41.110001,41.130001,1851000,40.243944
"2015-08-12",41.200001,41.82,40.669998,41.650002,2556000,40.752742
"2015-08-11",42.700001,42.82,42.02,42.049999,2519100,40.850583
"2015-08-10",42.139999,43.049999,42.099998,43,2312900,41.773487
"2015-08-07",41.529999,41.939999,41.360001,41.91,2273900,40.714577
"2015-08-06",41.369999,41.919998,41,41.68,3464800,40.491138
"2015-08-05",41.290001,41.990002,41.16,41.52,2416200,40.335702
"2015-08-04",41.450001,41.490002,40.849998,41.049999,4102600,39.879107
"2015-08-03",40.970001,41.41,40.450001,41.330002,3380200,40.151123
"2015-07-31",40.93,41.07,40.610001,41,3525700,39.830534
"2015-07-30",40.41,41.150002,40.189999,40.990002,1853600,39.820821
"2015-07-29",40.639999,40.849998,40.23,40.779999,2267200,39.616808
"2015-07-28",40.66,40.939999,40.029999,40.73,2616100,39.568235
"2015-07-27",39.93,40.459999,39.650002,40.27,3216000,39.121357
"2015-07-24",41.02,41.16,39.919998,40.209999,4158300,39.063067
"2015-07-23",40.369999,41.91,40.209999,40.98,6955200,39.811104
"2015-07-22",40,40.66,39.43,40.41,9666000,39.257363
"2015-07-21",42.93,43.57,42.849998,43.119999,3137300,41.890063
"2015-07-20",43.549999,43.720001,42.919998,43,2080500,41.773487
"2015-07-17",43.57,43.630001,43.259998,43.57,2581800,42.327228
"2015-07-16",43.200001,43.720001,42.720001,43.580002,3857300,42.336945
"2015-07-15",43.470001,43.66,43.040001,43.27,2137200,42.035786
"2015-07-14",43.5,43.599998,43.32,43.540001,1285800,42.298085
"2015-07-13",43.259998,43.439999,42.91,43.349998,1506700,42.113502
"2015-07-10",42.889999,43.279999,42.450001,43.040001,1402000,41.812347
"2015-07-09",43.709999,43.990002,42.459999,42.48,2173200,41.268319
"2015-07-08",43.299999,43.369999,42.630001,42.830002,2312800,41.608338
"2015-07-07",43.439999,43.970001,42.540001,43.759998,3463800,42.511807
"2015-07-06",44.07,44.43,43.48,43.650002,2605500,42.404948
"2015-07-02",44.540001,44.630001,44.009998,44.450001,2158800,43.182128
"2015-07-01",44.540001,44.630001,44.040001,44.259998,2474800,42.997545
"2015-06-30",44.77,44.77,44.18,44.23,2816400,42.968402
"2015-06-29",45.02,45.389999,44.310001,44.349998,2694700,43.084978
"2015-06-26",46.139999,46.220001,45.18,45.369999,2279900,44.075885
"2015-06-25",46.459999,46.509998,46.16,46.189999,1048200,44.872495
"2015-06-24",46.5,46.68,46.040001,46.23,1624600,44.911355
"2015-06-23",47.299999,47.43,46.450001,46.560001,1521800,45.231944
"2015-06-22",47.5,47.52,46.950001,47.150002,1954200,45.805115
"2015-06-19",47.07,47.369999,46.369999,47.27,3748500,45.921692
"2015-06-18",46.450001,47.200001,46.419998,47.029999,1524700,45.688536
"2015-06-17",46,46.48,45.970001,46.240002,1044800,44.921072
"2015-06-16",45.740002,46.119999,45.669998,46,945300,44.687916
"2015-06-15",45.27,46.009998,45.200001,45.869999,1325200,44.561623
"2015-06-12",46.18,46.18,45.639999,45.790001,1456900,44.483907
"2015-06-11",46.75,46.759998,46.43,46.48,1070400,45.154224
"2015-06-10",46.18,46.759998,46.110001,46.66,959100,45.32909
"2015-06-09",45.91,46.18,45.599998,46,1578300,44.687916
"2015-06-08",46.52,46.549999,45.790001,45.919998,1291000,44.610196
"2015-06-05",46.540001,46.740002,46.169998,46.630001,1081000,45.299947
"2015-06-04",46.650002,46.900002,46.389999,46.610001,1628500,45.280517
"2015-06-03",47.439999,47.540001,46.73,46.91,1871700,45.571959
"2015-06-02",47.470001,47.68,47.060001,47.290001,3167600,45.941122
"2015-06-01",48.130001,48.27,47.450001,47.759998,1701100,46.397713
"2015-05-29",47.900002,48.290001,47.77,47.849998,2078600,46.485146
"2015-05-28",47.77,48.220001,47.52,48.040001,2406500,46.669729
"2015-05-27",46.720001,47.939999,46.560001,47.740002,1993700,46.378287
"2015-05-26",47.009998,47.02,46.349998,46.599998,1368700,45.2708
"2015-05-22",46.900002,47.25,46.860001,47.060001,1261800,45.717682
"2015-05-21",46.82,47.150002,46.599998,46.959999,1188400,45.620533
"2015-05-20",46.970001,47.380001,46.759998,46.919998,1433600,45.581673
"2015-05-19",47.32,47.5,46.790001,46.959999,1201200,45.620533
"2015-05-18",47.029999,47.400002,46.860001,47.34,1583300,45.989695
"2015-05-15",47.299999,47.459999,46.889999,47.080002,1663500,45.737112
"2015-05-14",46.77,47.27,46.630001,47.110001,1854600,45.766255
"2015-05-13",45.75,46.279999,45.650002,46.07,1911000,44.755919
"2015-05-12",46.130001,46.25,45.549999,46,1889700,44.396475
"2015-05-11",46.439999,46.599998,46.200001,46.34,1250000,44.724623
"2015-05-08",46.099998,46.84,46.07,46.540001,1836500,44.917652
"2015-05-07",45.82,46.279999,45.669998,45.900002,1836000,44.299962
"2015-05-06",45.799999,46,45.290001,45.830002,2357600,44.232403
"2015-05-05",46.880001,46.880001,45.560001,45.709999,2333400,44.116583
"2015-05-04",47.209999,47.290001,46.669998,47.040001,1854500,45.400222
"2015-05-01",46.43,47.080002,46.279999,46.990002,1746400,45.351966
"2015-04-30",45.73,46.389999,45.650002,46.130001,1897800,44.521944
