"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-12-01",39.380001,39.790001,38.98,39.330002,5784400,38.199536
"2015-11-30",40.16,40.189999,38.799999,39.080002,9213100,37.956722
"2015-11-25",39.900002,40.689999,39.790001,40.380001,7486200,39.219355
"2015-11-24",39.599998,40.07,39.25,39.630001,14585800,38.490912
"2015-11-23",39.139999,40.290001,38.830002,40.040001,10646700,38.889128
"2015-11-20",39.040001,39.689999,38.400002,38.599998,10618400,37.490515
"2015-11-19",38.900002,39.169998,38.25,38.540001,5916400,37.432242
"2015-11-18",38.349998,39.119999,37.950001,38.919998,10489500,37.801317
"2015-11-17",38.959999,38.959999,37.75,38.029999,9981800,36.936899
"2015-11-16",38.880001,39.02,37.869999,38.619999,10956000,37.509941
"2015-11-13",40.169998,40.169998,39.009998,39.099998,13306100,37.976144
"2015-11-12",40.119999,41.580002,39.93,40.82,15487500,39.646707
"2015-11-11",42.66,42.810001,39.75,40.439999,39208500,39.277628
"2015-11-10",46.240002,47.75,45.860001,47.02,9690700,45.6685
"2015-11-09",48.52,48.59,45.830002,46.240002,14209100,44.910921
"2015-11-05",50.57,50.77,49.720001,50.450001,3857300,48.999912
"2015-11-04",51.18,51.18,49.549999,50.439999,7776500,48.990197
"2015-11-03",51.240002,52.48,50.959999,51.18,7901200,49.708929
"2015-11-02",51.02,51.419998,49.860001,51.34,7794300,49.86433
"2015-10-30",49.93,51.630001,49.82,50.98,6062200,49.514677
"2015-10-29",49.860001,50.279999,49.32,49.700001,3491600,48.271469
"2015-10-28",49.150002,49.93,48.939999,49.869999,4147200,48.436581
"2015-10-27",48.91,49.110001,48.27,49.049999,4184500,47.640151
"2015-10-26",47.689999,49.02,47.099998,48.66,6418800,47.261361
"2015-10-23",50.189999,50.360001,47.68,47.970001,7175100,46.591195
"2015-10-22",50.439999,50.709999,49.619999,49.880001,4191700,48.446296
"2015-10-21",50.990002,51.34,50.27,50.330002,3161700,48.883362
"2015-10-20",50.290001,50.919998,50.27,50.630001,3791100,49.174738
"2015-10-19",50.32,51,50.18,50.709999,3480300,49.252437
"2015-10-16",50.560001,50.880001,50.360001,50.470001,2807200,49.019338
"2015-10-15",49.889999,50.5,49.450001,50.459999,4041500,49.009623
"2015-10-14",50.419998,50.849998,49.48,49.77,5691000,48.339457
"2015-10-13",50.330002,50.849998,49.91,50.259998,7392300,48.815371
"2015-10-12",50.970001,51.169998,49.73,50.360001,6767700,48.912499
"2015-10-09",51.490002,51.669998,50.939999,51,5805500,49.534102
"2015-10-08",51.27,52.200001,51.130001,51.470001,4753700,49.990594
"2015-10-07",51.369999,51.790001,50.849998,51.130001,3246000,49.660367
"2015-10-06",51.310001,51.549999,50.73,51.389999,4275600,49.912892
"2015-10-05",51.59,51.939999,51.209999,51.709999,4734700,50.223694
"2015-10-02",50.25,51.849998,50.029999,51.84,4224500,50.349958
"2015-10-01",51.18,51.5,50.75,51.049999,4130200,49.582665
"2015-09-30",50.990002,51.439999,50.75,51.32,4771600,49.844904
"2015-09-29",50.549999,50.82,49.720001,50.389999,5636200,48.941635
"2015-09-28",52.150002,52.279999,50.220001,50.290001,5271200,48.844511
"2015-09-25",52.639999,53.110001,52.330002,52.509998,4942800,51.000699
"2015-09-24",52.380001,52.799999,51.689999,52.080002,9602700,50.583062
"2015-09-23",53.490002,53.700001,52.790001,52.849998,3251500,51.330926
"2015-09-22",53.75,53.990002,52.959999,53.439999,3871300,51.903968
"2015-09-21",54.290001,54.799999,53.720001,53.91,4597100,52.36046
"2015-09-18",55.419998,55.560001,53.990002,54.060001,8889100,52.50615
"2015-09-17",57.34,57.599998,55.91,56,7020900,54.390387
"2015-09-16",56.900002,57.470001,56.689999,57.279999,7727300,55.633595
"2015-09-15",57.959999,57.990002,57.130001,57.169998,4132000,55.526756
"2015-09-14",58.16,58.209999,57.41,57.860001,2988600,56.196926
"2015-09-11",57.900002,58.279999,57.119999,58.189999,3275000,56.517438
"2015-09-10",58.889999,59.389999,58.169998,58.389999,4256800,56.362037
"2015-09-09",59.68,59.91,58.73,58.849998,6192400,56.80606
"2015-09-08",59.369999,59.369999,58.650002,59.169998,2819400,57.114946
"2015-09-04",58.419998,59.23,58.23,58.400002,2738300,56.371692
"2015-09-03",58.970001,60.130001,58.650002,59.279999,4337900,57.221126
"2015-09-02",58.580002,59.110001,57.889999,58.619999,3458800,56.584048
"2015-09-01",57.610001,58.509998,57.5,57.950001,3923400,55.93732
"2015-08-31",58.880001,59.110001,58.349998,58.610001,3294400,56.574397
"2015-08-28",59.139999,59.509998,58.700001,59,2806800,56.950852
"2015-08-27",59.060001,59.639999,58.169998,59.049999,5632300,56.999114
"2015-08-26",57.919998,58.779999,56.959999,58.720001,5493800,56.680578
"2015-08-25",58.849998,59.470001,56.759998,56.77,7540800,54.798303
"2015-08-24",56.009998,58.32,55.16,57.119999,7809000,55.136145
"2015-08-21",60.869999,61.290001,59.110001,59.189999,5756800,57.134251
"2015-08-20",61.650002,62.290001,61.439999,61.439999,3632800,59.306106
"2015-08-19",62.459999,62.759998,61.990002,62.389999,7282000,60.223112
"2015-08-18",63.080002,63.43,62.369999,62.669998,5207400,60.493386
"2015-08-17",62.91,63.27,62.5,62.950001,4827300,60.763664
"2015-08-14",63.099998,63.490002,62.299999,63.360001,5831500,61.159424
"2015-08-13",63.639999,65.110001,62.889999,62.98,6316500,60.79262
"2015-08-12",66.550003,67.080002,63.52,64.110001,16185700,61.883375
"2015-08-11",67.080002,67.690002,66.769997,67.529999,6851000,65.184592
"2015-08-10",67.230003,67.940002,67.089996,67.379997,4019900,65.0398
"2015-08-07",67.550003,67.589996,66.660004,66.900002,3289600,64.576476
"2015-08-06",68.540001,68.709999,66.800003,67.449997,3929900,65.107369
"2015-08-05",69.239998,70.120003,68.830002,68.910004,4205500,66.516668
"2015-08-04",68.400002,68.839996,68.129997,68.57,2509400,66.188473
"2015-08-03",69.110001,69.150002,67.769997,68.209999,3925900,65.840975
"2015-07-31",69.690002,69.940002,68.940002,69.059998,3336800,66.661452
"2015-07-30",69.07,69.75,68.980003,69.330002,3328200,66.922079
"2015-07-29",68.860001,69.43,68.690002,69.190002,5768900,66.786942
"2015-07-28",69,69.5,68.43,68.879997,5937800,66.487703
"2015-07-27",69.75,70.32,69.169998,69.949997,3139800,67.520541
"2015-07-24",70.989998,71.019997,69.889999,69.940002,2739600,67.510893
"2015-07-23",71.790001,72.199997,71.050003,71.209999,2513500,68.736781
"2015-07-22",71.839996,72.339996,71.589996,71.910004,1984800,69.412474
"2015-07-21",72.160004,72.300003,71.339996,71.669998,2765600,69.180804
"2015-07-20",72.589996,72.809998,72,72.139999,3310800,69.634481
"2015-07-17",72.5,73.610001,72.059998,72.309998,6294200,69.798575
"2015-07-15",66.970001,72.75,66.080002,72.010002,24834300,69.508999
"2015-07-14",66.82,67.160004,66.519997,66.730003,2518200,64.412382
"2015-07-13",66.959999,67.32,66.5,66.709999,3717900,64.393072
"2015-07-10",66.459999,66.849998,66.269997,66.480003,2332000,64.171065
"2015-07-09",66.879997,67.139999,65.529999,65.779999,4282900,63.495372
"2015-07-08",67.68,67.809998,65.919998,66.18,6092000,63.881481
"2015-07-07",67.550003,68.050003,67.269997,68.019997,3936900,65.657572
"2015-07-06",67.059998,67.889999,66.970001,67.5,3134700,65.155635
"2015-07-02",67.889999,68.330002,67.260002,67.440002,3097600,65.097722
"2015-07-01",67.82,67.989998,67.150002,67.709999,4314500,65.358341
"2015-06-30",67.919998,68.5,67.190002,67.470001,5645300,65.126678
"2015-06-29",67.790001,68.489998,66.989998,67.089996,7592900,64.759872
"2015-06-26",69.43,70.190002,69.25,69.849998,2635100,67.424015
"2015-06-25",69.959999,70.300003,69.160004,69.169998,3180400,66.767632
"2015-06-24",70.169998,70.68,69.889999,69.900002,3351700,67.472282
"2015-06-23",70.410004,71.099998,70.050003,70.110001,4064300,67.674987
"2015-06-22",70.440002,70.510002,69.779999,69.900002,3219300,67.472282
"2015-06-19",70.290001,70.830002,69.849998,69.849998,5279500,67.424015
"2015-06-18",70.120003,70.989998,70.059998,70.639999,4451100,68.186578
"2015-06-17",69.18,70.32,69.07,70.050003,4391200,67.617073
"2015-06-16",68.739998,69.25,68.739998,68.860001,2905000,66.468401
"2015-06-15",69.290001,69.290001,68.809998,68.980003,3338300,66.584236
"2015-06-12",68.779999,69.910004,68.610001,69.610001,5617500,67.192353
"2015-06-11",69.120003,69.18,68.459999,68.919998,2893100,66.526315
"2015-06-10",69.260002,69.599998,68.650002,68.900002,4603800,66.159515
"2015-06-09",69.139999,69.900002,68.769997,69.129997,5666400,66.380363
"2015-06-08",69.339996,69.849998,68.650002,68.970001,3951900,66.226731
"2015-06-05",69.239998,69.550003,68.75,69.25,4102200,66.495593
"2015-06-04",68.730003,69.900002,68.529999,69.239998,4300700,66.485988
"2015-06-03",68.790001,69.989998,68.360001,69.68,6052600,66.90849
"2015-06-02",66.769997,69.5,66.5,68.489998,11752600,65.765819
"2015-06-01",67.029999,67.510002,66.650002,66.809998,2421400,64.152641
"2015-05-29",67.730003,67.940002,66.760002,66.949997,4812500,64.287072
"2015-05-28",67.870003,68.790001,67.599998,68.040001,4493400,65.333721
"2015-05-27",66.480003,67.849998,66.339996,67.800003,4184000,65.103269
"2015-05-26",68.029999,68.139999,67.279999,67.330002,3987600,64.651962
"2015-05-22",67.730003,68.400002,67.730003,68.110001,4005300,65.400937
"2015-05-21",67.889999,68.440002,67.599998,67.660004,4659700,64.968838
"2015-05-20",69.040001,69.190002,68.150002,68.209999,5724700,65.496958
"2015-05-19",67.959999,69.220001,67.379997,69.080002,9370400,66.332356
"2015-05-18",66.25,68.150002,65.980003,67.849998,8017000,65.151276
