"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-01-30",25.230001,25.320001,24.809999,24.840001,3830500,21.384771
"2015-01-29",24.88,25.510001,24.700001,25.420001,4199900,21.884094
"2015-01-28",25.340001,25.510001,24.98,25.020001,3524300,21.539733
"2015-01-27",25.020001,25.27,24.909999,25.15,3799300,21.65165
"2015-01-26",24.730001,25.370002,24.520001,25.340001,4335900,21.815221
"2015-01-23",24.620001,24.709999,24.38,24.65,3860900,21.2212
"2015-01-22",24.26,24.740001,24.129999,24.620001,5952100,21.195373
"2015-01-20",24.280002,24.35,23.530001,23.700002,4121700,20.403345
"2015-01-16",23.700002,24.209999,23.229999,24.17,4810200,20.807967
"2015-01-15",24.499999,24.59,23.730001,23.76,6970100,20.454998
"2015-01-14",24.46,24.67,24.120001,24.45,5687400,21.049019
"2015-01-13",25.430001,25.719999,24.319999,24.75,5990400,21.30729
"2015-01-12",25.48,25.55,25.140001,25.190002,3561500,21.686087
"2015-01-09",25.889999,25.940001,25.36,25.38,6543500,21.849656
"2015-01-08",25.08,25.840001,24.999999,25.820001,5472100,22.228454
"2015-01-07",24.640001,24.999999,24.58,24.830001,3101300,21.376162
"2015-01-06",24.620001,24.799999,24.209999,24.55,3906200,21.057624
"2015-01-05",24.870002,24.940001,24.39,24.58,3355500,21.083356
"2015-01-02",25.39,25.47,24.819999,25.010001,3428900,21.452188
"2014-12-31",25.330001,25.510001,25.18,25.200001,1537600,21.615159
"2014-12-30",25.399999,25.430001,25.240001,25.280002,2160400,21.683779
"2014-12-29",25.27,25.46,25.209999,25.399999,1578500,21.786706
"2014-12-26",25.26,25.520001,25.100001,25.27,1023400,21.6752
"2014-12-24",25.330001,25.420001,25.16,25.17,1386700,21.589425
"2014-12-23",25.420001,25.58,25.26,25.309999,2618700,21.709509
"2014-12-22",25.36,25.57,25.280002,25.35,4973100,21.74382
"2014-12-19",25.190002,25.430001,24.85,25.309999,7386100,21.709509
"2014-12-18",24.830001,25.100001,24.67,25.07,5628400,21.503651
"2014-12-17",23.88,24.540001,23.709999,24.430001,6810600,20.954695
"2014-12-16",23.870002,24.230001,23.75,23.75,4052000,20.371429
"2014-12-15",24.100001,24.36,23.799999,23.999999,4623200,20.585864
"2014-12-12",24.330001,24.47,24.05,24.05,4946700,20.628752
"2014-12-11",24.48,24.719999,24.46,24.520001,5097200,21.031893
"2014-12-10",24.899999,24.899999,24.240001,24.319999,4370700,20.860342
"2014-12-09",24.27,24.98,24.209999,24.909999,6644600,21.366411
"2014-12-08",24.790002,24.96,24.530001,24.57,4726300,21.074779
"2014-12-05",24.75,25.07,24.629999,24.870002,6387000,21.332104
"2014-12-04",24.75,24.830001,24.57,24.780002,4934900,21.254907
"2014-12-03",24.399999,24.77,24.36,24.730001,4929900,21.212019
"2014-12-02",23.899999,24.420001,23.86,24.340001,3413900,20.877498
"2014-12-01",24.08,24.190002,23.85,23.940001,4015200,20.534401
"2014-11-28",24.16,24.299999,23.96,24.200001,1287300,20.757415
"2014-11-25",24.47,24.690002,24.110001,24.230001,3896400,20.783147
"2014-11-24",24.140001,24.35,24.09,24.309999,2515700,20.851765
"2014-11-21",24.129999,24.370002,24.040001,24.07,5256500,20.645907
"2014-11-20",23.36,24.040001,23.240001,23.85,4395900,20.457203
"2014-11-19",23.399999,23.520001,23.18,23.409999,3380400,20.079795
"2014-11-18",23.010001,23.58,22.99,23.39,5247800,20.06264
"2014-11-17",23.09,23.18,22.77,22.98,3376200,19.710965
"2014-11-14",23.110001,23.430001,23.08,23.190002,2731500,19.891093
"2014-11-13",23.18,23.36,23.06,23.18,3490500,19.882514
"2014-11-12",23.200002,23.27,22.98,23.190002,2771900,19.891093
"2014-11-11",23.15,23.330001,23.120001,23.219999,2540700,19.916823
"2014-11-10",23.36,23.540001,23.07,23.18,3282000,19.882514
"2014-11-07",23.190002,23.46,23.140001,23.35,4447100,20.028331
"2014-11-06",22.530001,23.209999,22.530001,23.140001,5185900,19.848205
"2014-11-05",22.35,22.530001,22.190002,22.47,6246000,19.273516
"2014-11-04",22.100002,22.36,22.010001,22.18,5263500,19.02477
"2014-11-03",22.100002,22.330001,21.909999,22.200002,7885000,19.041926
"2014-10-31",22.010001,22.26,21.77,22.07,8140500,18.930418
"2014-10-30",21.65,22.18,21.65,21.799999,6826700,18.698827
"2014-10-29",22.27,22.319999,21.58,21.809999,5647600,18.707404
"2014-10-28",21.790002,22.340001,21.38,22.140001,13549100,18.990461
"2014-10-27",22.76,23.09,22.55,22.97,6232100,19.702388
"2014-10-24",22.96,23.110001,22.620001,23.08,2898100,19.79674
"2014-10-23",22.830001,23.18,22.76,22.930001,2029300,19.668079
"2014-10-22",22.600002,23.120001,22.55,22.59,5611400,19.376445
"2014-10-21",22.35,22.56,22.17,22.420001,7564100,19.230629
"2014-10-20",21.709999,22.330001,21.59,22.280002,5676100,19.110546
"2014-10-17",21.340001,21.78,21.299999,21.67,5637000,18.58732
"2014-10-16",20.430001,21.36,20.319999,21.219999,6497300,18.201334
"2014-10-15",20.420001,20.920001,19.840001,20.86,13253000,17.892548
"2014-10-14",21.05,21.25,20.299999,20.95,10638700,17.969745
"2014-10-13",21.899999,22.18,20.909999,20.97,9921500,17.986899
"2014-10-10",22.75,22.909999,22.15,22.16,4458100,19.007615
"2014-10-09",23.330001,23.46,22.629999,22.76,4747300,19.522262
