"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-04-01",61.610001,62.200001,61.389999,61.610001,4626600,59.023868
"2014-03-31",61.5,61.740002,60.709999,61.540001,7741700,58.956807
"2014-03-28",59.709999,60.91,59.650002,60.41,7155800,57.874238
"2014-03-27",59.220001,59.360001,58.470001,59.169998,4886500,56.686287
"2014-03-26",59.349998,59.98,59.200001,59.290001,4136700,56.801252
"2014-03-25",58.349998,59.07,58.32,59,2971700,56.523425
"2014-03-24",59.16,59.220001,57.860001,58.150002,4424900,55.709105
"2014-03-21",60.060001,60.380001,58.66,58.830002,7155000,56.360562
"2014-03-20",59.810001,59.810001,59.169998,59.580002,2891600,57.07908
"2014-03-19",60,60.490002,59.43,59.849998,3510700,57.337744
"2014-03-18",59.32,60.169998,59.279999,59.849998,3612300,57.337744
"2014-03-17",58.98,59.639999,58.98,59.220001,3577000,56.734191
"2014-03-14",59.040001,59.509998,58.799999,58.860001,4333000,56.389302
"2014-03-13",60,60.240002,58.880001,59.029999,3963700,56.552164
"2014-03-12",59.98,60.240002,59.639999,59.830002,4259700,57.318586
"2014-03-11",60.060001,60.75,59.779999,60.259998,5143800,57.730533
"2014-03-10",59.630001,60.099998,59.400002,60.07,4343700,57.54851
"2014-03-07",60.029999,60.029999,59.369999,59.91,4133200,57.395226
"2014-03-06",59.950001,60,59.439999,59.77,4134500,57.261104
"2014-03-05",59.75,59.84,59.200001,59.639999,3192600,57.136559
"2014-03-04",59.650002,59.880001,59.450001,59.650002,4331100,57.146142
"2014-03-03",58.689999,59.41,58.529999,59.040001,4802400,56.561746
"2014-02-28",58.27,59.799999,58.259998,59.259998,7156700,56.772509
"2014-02-27",57.720001,58.32,57.720001,58.299999,3500300,55.852807
"2014-02-26",57.630001,58.23,57.52,57.810001,4008400,55.383377
"2014-02-25",57.75,57.759998,57.049999,57.450001,3253500,55.038488
"2014-02-24",57.259998,58.040001,57.16,57.599998,4390700,55.182189
"2014-02-21",57.07,57.709999,57,57.119999,5084600,54.722338
"2014-02-20",56.360001,57.029999,56.169998,57,3846200,54.607376
"2014-02-19",56.130001,57.07,56,56.200001,6517500,53.840958
"2014-02-18",56.790001,56.790001,55.299999,56.189999,7561500,53.831375
"2014-02-14",56.560001,57,56.150002,56.880001,5154800,54.492414
"2014-02-13",56.23,56.610001,56.07,56.599998,2543900,54.224165
"2014-02-12",56.650002,56.830002,56.27,56.43,3032300,54.061303
"2014-02-11",55.689999,56.529999,55.619999,56.470001,3407600,54.099625
"2014-02-10",55.700001,55.970001,55.599998,55.810001,3688000,53.467329
"2014-02-07",55.529999,55.720001,55.09,55.59,4302300,53.256562
"2014-02-06",54.740002,55.07,54.580002,54.75,5124700,52.451822
"2014-02-05",53.919998,54.970001,53.73,54.73,9615200,52.432661
"2014-02-04",54.080002,54.689999,53.330002,53.599998,15925000,51.350093
"2014-02-03",56.560001,56.580002,54.610001,54.709999,7089700,52.4135
"2014-01-31",56.400002,56.939999,56.110001,56.560001,4404000,54.185847
"2014-01-30",56.650002,57.310001,56.540001,57.009998,4705800,54.616955
"2014-01-29",56.759998,57.09,56.130001,56.360001,5511600,53.994241
"2014-01-28",57,57.57,57,57.09,4043300,54.693599
"2014-01-27",57.299999,57.630001,56.860001,56.959999,4194300,54.569054
"2014-01-24",58.400002,58.5,57.16,57.16,5682400,54.76066
"2014-01-23",59.049999,59.220001,58.540001,58.709999,4396000,56.245597
"2014-01-22",59.5,59.529999,58.66,59.150002,4085200,56.66713
"2014-01-21",59.650002,59.889999,59.029999,59.369999,4484200,56.877892
"2014-01-17",59.110001,59.59,58.889999,59.509998,6485100,57.012015
"2014-01-16",59.380001,59.560001,58.98,59.110001,4321400,56.628808
"2014-01-15",59.599998,59.799999,59.18,59.330002,4785100,56.839574
"2014-01-14",59.5,59.549999,58.880001,59.41,4546500,56.916214
"2014-01-13",59.779999,59.98,59.18,59.25,4264000,56.762931
"2014-01-10",59.669998,60.25,59.290001,59.950001,6548700,57.433548
"2014-01-09",58,59.740002,57.919998,59.360001,8127900,56.868314
"2014-01-08",59.860001,60.93,59.740002,60.84,6725000,58.286189
"2014-01-07",59.779999,60.130001,59.529999,59.84,6510600,57.328165
"2014-01-06",59.150002,59.77,58.900002,59.220001,10538100,56.734191
"2014-01-03",58.200001,58.5,57.709999,58.34,12577400,55.891129
"2014-01-02",57.209999,57.459999,57.040001,57.240002,4219000,54.837304
"2013-12-31",57.259998,57.490002,57.169998,57.389999,3299700,54.981005
"2013-12-30",57.470001,57.57,57.290001,57.369999,1882600,54.693597
"2013-12-27",57.57,57.689999,57.259998,57.400002,1834800,54.7222
"2013-12-26",57.5,57.5,57.279999,57.470001,1887300,54.788934
"2013-12-24",57.41,57.470001,57.130001,57.369999,1249400,54.693597
"2013-12-23",57.299999,57.439999,57,57.400002,3618800,54.7222
"2013-12-20",57.130001,57.189999,56.849998,56.889999,6769400,54.23599
"2013-12-19",57.43,57.599998,57.09,57.169998,4110000,54.502926
"2013-12-18",56.810001,57.77,56.189999,57.759998,4786000,55.065402
"2013-12-17",57.310001,57.380001,56.049999,56.59,4638100,53.949986
"2013-12-16",56.240002,56.619999,56.130001,56.34,3156400,53.711649
"2013-12-13",55.919998,56.18,55.560001,55.889999,2536100,53.282641
"2013-12-12",56.110001,56.18,55.610001,55.650002,3496800,53.05384
"2013-12-11",57.389999,57.43,56.200001,56.259998,4009900,53.635379
"2013-12-10",57.400002,57.650002,57.25,57.380001,2740300,54.703132
"2013-12-09",58.169998,58.200001,57.599998,57.869999,3579300,55.170271
"2013-12-06",57.529999,58.18,57.490002,58.139999,3318200,55.427675
"2013-12-05",56.950001,57.07,56.66,56.91,4352800,54.255057
"2013-12-04",57.27,58.02,56.66,56.93,4469300,54.274125
"2013-12-03",57.369999,57.700001,57.080002,57.639999,4652900,54.951001
"2013-12-02",57.32,57.990002,57.150002,57.529999,3952100,54.846132
"2013-11-29",57.490002,57.52,57.139999,57.32,2247200,54.64593
"2013-11-27",57.369999,57.639999,57.139999,57.450001,2239600,54.769866
"2013-11-26",57.349998,57.490002,56.91,57.360001,3548500,54.684065
"2013-11-25",57.75,57.970001,57.139999,57.279999,2647200,54.607795
"2013-11-22",57.189999,57.639999,56.830002,57.599998,3742200,54.912866
"2013-11-21",57.380001,57.459999,57.049999,57.099998,3776300,54.436192
"2013-11-20",58.040001,58.080002,56.52,56.889999,5823900,54.23599
"2013-11-19",57.849998,58.470001,57.299999,57.939999,4986800,55.237005
"2013-11-18",58.43,58.619999,58.080002,58.310001,3653000,55.589746
"2013-11-15",58.75,58.830002,58.099998,58.549999,5443600,55.818548
"2013-11-14",58.34,58.849998,58,58.84,3611100,56.09502
"2013-11-13",57.639999,58.200001,57.299999,58.189999,3398200,55.475342
"2013-11-12",57.990002,58.02,57.549999,57.889999,2612300,55.189338
"2013-11-11",58.200001,58.34,57.970001,58.09,2849100,55.380009
"2013-11-08",57.299999,58.040001,57.130001,58.029999,3357500,55.322806
"2013-11-07",57.560001,57.810001,57.259998,57.299999,4102500,54.626862
"2013-11-06",57.619999,58.09,57.349998,57.470001,4427800,54.788934
"2013-11-05",56.799999,57.23,56.759998,57.099998,4104300,54.436192
"2013-11-04",56.450001,57.470001,56.450001,57.27,8695700,54.598263
"2013-11-01",57.549999,57.759998,56.959999,57.259998,4723800,54.588728
"2013-10-31",58,58.09,57.380001,57.400002,6619000,54.7222
"2013-10-30",58.639999,58.82,57.68,57.939999,4035400,55.237005
"2013-10-29",57.82,58.580002,57.630001,58.5,5742400,55.770881
"2013-10-28",57.330002,57.959999,57.310001,57.650002,3738700,54.960537
"2013-10-25",57.619999,57.779999,57.009998,57.360001,2817600,54.684065
"2013-10-24",57.549999,57.689999,57.009998,57.5,4375500,54.817533
"2013-10-23",56.970001,57.880001,56.900002,57.650002,4954100,54.960537
"2013-10-22",56.57,56.82,56.419998,56.73,3183100,54.083454
"2013-10-21",56.43,56.529999,56.009998,56.490002,3657800,53.854653
"2013-10-18",56.48,56.700001,56.139999,56.59,4941000,53.949986
"2013-10-17",55.41,56.369999,55.259998,56.32,3477800,53.692581
"2013-10-16",54.68,55.48,54.669998,55.48,3352500,52.891769
"2013-10-15",55.040001,55.369999,54.52,54.580002,3086100,52.033757
"2013-10-14",54.759998,55.34,54.66,55.189999,3452200,52.615297
"2013-10-11",54.029999,55.040001,54.02,54.990002,4230100,52.42463
"2013-10-10",53.470001,54.27,53.389999,54.27,3543400,51.738218
"2013-10-09",52.560001,53.279999,52.529999,53.060001,4238200,50.584667
"2013-10-08",52.77,53.32,52.439999,52.459999,5094000,50.012656
"2013-10-07",52.959999,52.98,52.630001,52.720001,2631300,50.260529
"2013-10-04",52.990002,53.400002,52.73,53.349998,2228900,50.861136
"2013-10-03",53.330002,53.400002,52.619999,53.040001,3178000,50.5656
"2013-10-02",53.07,53.529999,52.98,53.52,3440300,51.023207
"2013-10-01",53.34,53.580002,53.049999,53.52,2987300,50.75627
"2013-09-30",52.82,53.880001,52.599998,53.25,5588300,50.500213
"2013-09-27",52.779999,53.110001,52.639999,53,2920300,50.263122
"2013-09-26",52.740002,53.130001,52.709999,52.939999,2067300,50.206219
"2013-09-25",53.459999,53.48,52.759998,52.810001,3631200,50.082935
"2013-09-24",53.849998,53.869999,53.41,53.43,2919000,50.670918
"2013-09-23",53.720001,53.889999,53.52,53.759998,2611200,50.983875
"2013-09-20",54.25,54.299999,53.650002,53.709999,6328700,50.936458
