"Date","Open","High","Low","Close","Volume","Adj Close"
"2015-10-30",70.169998,70.540001,69.800003,69.970001,1614200,68.735597
"2015-10-29",70.169998,70.620003,70,70.129997,1095900,68.892771
"2015-10-28",70.199997,70.830002,69.790001,70.370003,1023700,69.128542
"2015-10-27",69.650002,70.18,69.470001,69.959999,993500,68.725772
"2015-10-26",70.480003,70.559998,69.839996,70.050003,1309400,68.814188
"2015-10-23",70.709999,70.769997,70,70.480003,1203500,69.236602
"2015-10-22",69.209999,70.980003,69.160004,70.480003,1552800,69.236602
"2015-10-21",69.580002,69.849998,69.059998,69.470001,1432600,68.244418
"2015-10-20",69,69.830002,68.940002,69.480003,1752600,68.254244
"2015-10-19",68.980003,69.290001,68.760002,69.029999,682200,67.812178
"2015-10-16",69.459999,69.690002,69.099998,69.260002,1125000,68.038124
"2015-10-15",69,69.440002,68.940002,69.269997,1252100,68.047942
"2015-10-14",68.93,69.199997,68.610001,68.699997,802600,67.487998
"2015-10-13",69.160004,69.610001,68.919998,69.040001,869800,67.822004
"2015-10-12",68.75,69.650002,68.099998,69.43,1093300,68.205123
"2015-10-09",69.400002,69.739998,68.610001,68.779999,1619600,67.566589
"2015-10-08",69.730003,69.910004,69,69.5,1375300,68.273888
"2015-10-07",69.459999,69.879997,69.059998,69.790001,1369400,68.558773
"2015-10-06",69.440002,69.769997,68.839996,69.190002,1006300,67.969359
"2015-10-05",68.519997,69.82,68.5,69.75,2004900,68.519477
"2015-10-02",67.019997,68.410004,66.730003,68.400002,1495600,67.193295
"2015-10-01",68.349998,68.599998,67.290001,67.760002,2099500,66.564587
"2015-09-30",68.199997,68.970001,68.029999,68.379997,4517900,67.173644
"2015-09-29",67.849998,68.050003,67.080002,67.449997,2165100,66.260051
"2015-09-28",68.669998,68.989998,67.860001,67.93,2728700,66.731586
"2015-09-25",68.379997,69.389999,68.019997,69.199997,2246200,67.979177
"2015-09-24",67.32,68.010002,66.940002,67.910004,2083200,66.711942
"2015-09-23",66.830002,68.059998,66.809998,67.800003,1546000,66.603882
"2015-09-22",66.279999,66.660004,66,66.580002,1300500,65.405404
"2015-09-21",67.269997,67.940002,66.889999,67.050003,1399300,65.867113
"2015-09-18",66.389999,67.699997,66.18,67.089996,2992300,65.906401
"2015-09-17",67.470001,67.760002,66.800003,67.029999,2245400,65.847462
"2015-09-16",67.089996,67.730003,67.050003,67.470001,1798400,66.279702
"2015-09-15",66.779999,67.699997,66.760002,67.150002,3519800,65.965348
"2015-09-14",67.099998,67.379997,66.589996,66.839996,2565300,65.660812
"2015-09-11",67.760002,67.93,66.889999,67.080002,4585700,65.896583
"2015-09-10",68.269997,69.629997,68.010002,69.089996,3367300,67.537116
"2015-09-09",70,70.260002,68.300003,68.300003,4486100,66.764879
"2015-09-08",66.720001,69.709999,66.410004,69.610001,4535300,68.045433
