"Date","Open","High","Low","Close","Volume","Adj Close"
"2014-10-01",42.43,42.43,41.84,41.950001,767200,40.73877
"2014-09-30",42.43,42.68,42.349998,42.419998,698100,41.195197
"2014-09-29",42,42.43,41.939999,42.349998,1112800,41.127218
"2014-09-26",41.830002,42.439999,41.830002,42.389999,646900,41.166064
"2014-09-25",42.779999,42.91,41.93,42,1098000,40.787325
"2014-09-24",42.560001,42.849998,42.43,42.790001,931100,41.554516
"2014-09-23",43.259998,43.43,42.560001,42.57,741700,41.340867
"2014-09-22",43.779999,43.889999,43.150002,43.25,712300,42.001234
"2014-09-19",43.830002,44.130001,43.75,43.900002,1712400,42.632468
"2014-09-18",44.02,44.330002,43.540001,43.720001,1449800,42.457665
"2014-09-17",44.040001,44.040001,43.759998,43.860001,1509000,42.593622
"2014-09-16",43.560001,44.040001,43.560001,43.970001,1008900,42.700446
"2014-09-15",43.77,43.939999,43.470001,43.66,742700,42.399396
"2014-09-12",43.34,43.93,43.34,43.860001,917100,42.593622
"2014-09-11",43.049999,43.400002,42.810001,43.330002,722600,42.078926
"2014-09-10",42.919998,43.380001,42.77,43.349998,622900,42.098345
"2014-09-09",43.16,43.330002,42.869999,42.950001,777600,41.564229
"2014-09-08",43.02,43.360001,43,43.279999,679700,41.88358
"2014-09-05",43.119999,43.220001,42.830002,43.119999,660600,41.728742
"2014-09-04",43.509998,43.639999,42.889999,43.119999,594800,41.728742
"2014-09-03",43.720001,43.869999,43.200001,43.380001,842100,41.980355
"2014-09-02",43.799999,43.799999,43.240002,43.52,891300,42.115838
"2014-08-29",43.889999,44.060001,43.459999,43.470001,822900,42.067452
"2014-08-28",43.470001,43.919998,43.279999,43.799999,804700,42.386802
"2014-08-27",43.630001,43.779999,43.330002,43.720001,858500,42.309385
"2014-08-26",43.509998,43.790001,43.330002,43.619999,736700,42.21261
"2014-08-25",42.990002,43.57,42.759998,43.459999,864700,42.057772
"2014-08-22",42.650002,42.889999,42.57,42.77,613400,41.390036
"2014-08-21",42.650002,42.91,42.490002,42.75,577400,41.370681
"2014-08-20",42.439999,42.900002,42.310001,42.73,831300,41.351326
"2014-08-19",42.310001,42.529999,42.290001,42.490002,601000,41.119072
"2014-08-18",42.32,42.709999,42.209999,42.349998,455900,40.983586
"2014-08-15",42.32,42.41,41.709999,42.119999,686500,40.761007
"2014-08-14",42.110001,42.290001,42,42.23,682900,40.867458
"2014-08-13",40.91,42.139999,40.91,42.040001,858400,40.68359
"2014-08-12",41.810001,42.119999,41.360001,41.580002,802000,40.238433
"2014-08-11",41.799999,42.099998,41.77,41.970001,752400,40.615849
"2014-08-08",41.66,41.669998,41.18,41.630001,1022200,40.286819
"2014-08-07",41.880001,42.18,41.02,41.48,1215800,40.141657
"2014-08-06",41.66,42.16,41.610001,41.720001,1484600,40.373915
"2014-08-05",42.009998,42.310001,41.669998,41.68,1403500,40.335205
"2014-08-04",41.970001,42.389999,41.66,42.27,1163400,40.906169
"2014-08-01",42.200001,42.369999,41.540001,41.970001,1489300,40.615849
"2014-07-31",42.580002,42.73,42.060001,42.189999,1221100,40.828748
"2014-07-30",43.049999,43.060001,42.610001,42.900002,1416800,41.515843
"2014-07-29",42.700001,43.259998,42.700001,42.849998,1748400,41.467453
"2014-07-28",42.360001,42.91,42.189999,42.84,996500,41.457777
"2014-07-25",42.18,42.5,42,42.360001,1437300,40.993265
"2014-07-24",41.34,42.580002,41.34,42.220001,2115100,40.857783
"2014-07-23",41.419998,41.630001,41.139999,41.150002,1897100,39.822306
"2014-07-22",41.099998,41.619999,41.060001,41.450001,1290000,40.112626
"2014-07-21",40.91,41.220001,40.599998,41.060001,1793500,39.73521
"2014-07-18",40.740002,41.639999,40.509998,40.990002,2459000,39.667469
"2014-07-17",40.16,40.73,40.139999,40.610001,914900,39.299728
"2014-07-16",39.950001,40.360001,39.950001,40.299999,573600,38.999729
"2014-07-15",40.27,40.459999,39.950001,40.029999,1621800,38.73844
"2014-07-14",39.619999,40.349998,39.529999,40.240002,1385900,38.941667
"2014-07-11",38.540001,39.169998,38.41,39.110001,763600,37.848125
"2014-07-10",38.720001,38.849998,38.310001,38.599998,1159200,37.354578
"2014-07-09",38.959999,39.200001,38.869999,39.119999,829200,37.857801
"2014-07-08",39.619999,39.700001,38.82,38.919998,1342700,37.664253
"2014-07-07",39.82,39.919998,39.470001,39.709999,1455000,38.428765
"2014-07-03",39.68,40,39.48,39.939999,945700,38.651344
"2014-07-02",39.23,39.700001,39.02,39.650002,1527700,38.370703
"2014-07-01",38.799999,39.470001,38.529999,39.330002,1934600,38.061028
"2014-06-30",38.119999,38.75,37.849998,38.619999,1583800,37.373934
"2014-06-27",38,38.450001,37.869999,38.240002,1450000,37.006197
"2014-06-26",37.419998,38.189999,37.310001,38.02,1476500,36.793294
"2014-06-25",37.66,38.470001,37.52,37.540001,1479200,36.328781
"2014-06-24",38.549999,38.68,37.650002,37.720001,1612600,36.502974
"2014-06-23",37.790001,39.240002,37.790001,38.869999,2542800,37.615867
"2014-06-20",37.549999,37.779999,37.41,37.779999,1291100,36.561036
"2014-06-19",37.869999,37.93,37.360001,37.529999,982100,36.319102
"2014-06-18",37.299999,37.919998,37.150002,37.889999,1202400,36.667487
"2014-06-17",36.509998,37.290001,36.490002,37.25,907700,36.048137
"2014-06-16",36.740002,36.779999,36.349998,36.549999,1124100,35.370722
"2014-06-13",36.75,37.049999,36.639999,36.73,1092600,35.544915
"2014-06-12",36.540001,37.279999,36.240002,36.799999,1378600,35.612656
"2014-06-11",36.889999,36.889999,36.419998,36.470001,1167900,35.293305
"2014-06-10",37.639999,37.689999,37.040001,37.139999,791700,35.796526
"2014-06-09",37.580002,37.860001,37.380001,37.720001,999400,36.355547
"2014-06-06",37.950001,38.240002,37.540001,37.610001,1276200,36.249526
"2014-06-05",37.919998,38.18,36.889999,37.700001,3333700,36.33627
"2014-06-04",38.02,38.209999,37.77,38.16,1011700,36.77963
"2014-06-03",37.610001,38.169998,37.610001,38.049999,1218800,36.673608
"2014-06-02",37.950001,38.07,37.630001,37.77,875900,36.403738
"2014-05-30",37.490002,38.16,37.450001,37.900002,1363000,36.529036
"2014-05-28",37,37.509998,36.91,37.380001,1070800,36.027846
"2014-05-27",36.59,37.349998,36.57,36.919998,1499800,35.584483
"2014-05-23",36.450001,36.529999,36.18,36.450001,708100,35.131487
"2014-05-21",35.91,36.509998,35.740002,36.299999,1124700,34.986911
"2014-05-20",36.27,36.48,35.709999,35.75,1088000,34.456807
"2014-05-19",35.860001,36.349998,35.790001,36.209999,679600,34.900167
"2014-05-16",36.130001,36.310001,35.77,36.060001,1455600,34.755595
"2014-05-15",36.509998,36.619999,35.990002,36.220001,1588000,34.909807
"2014-05-14",36.560001,36.939999,36.41,36.529999,1502300,35.208591
"2014-05-13",36.77,36.98,34.700001,36.509998,1910600,35.189314
"2014-05-12",36.669998,37.060001,36.639999,36.830002,924200,35.497742
"2014-05-09",36.369999,36.639999,36.200001,36.369999,1703700,35.054379
"2014-05-08",36.84,37.27,36.5,36.560001,1160900,35.237508
"2014-05-07",36.389999,37.380001,36.389999,36.869999,1351700,35.536292
"2014-05-06",36.650002,36.650002,36.18,36.299999,1537100,34.986911
"2014-05-05",36.439999,36.950001,36.209999,36.700001,834600,35.372443
"2014-05-02",36.93,37.360001,36.830002,36.849998,929700,35.517015
"2014-05-01",36.950001,37.330002,36.639999,36.93,888000,35.594123
"2014-04-30",36.630001,37.139999,36.389999,36.900002,1615900,35.565209
"2014-04-29",36.279999,36.689999,36.189999,36.5,2096900,35.179677
"2014-04-28",36.25,36.439999,35.830002,36.299999,1644600,34.986911
"2014-04-25",36.459999,36.48,35.93,36.049999,2010500,34.745955
"2014-04-24",34.860001,37.02,34.860001,36.27,2240500,34.957998
"2014-04-23",36.459999,36.669998,36.080002,36.610001,1890400,35.285699
"2014-04-22",36.02,36.82,35.830002,36.619999,2859900,35.295335
"2014-04-21",35.040001,35.630001,34.849998,35.48,1540400,34.196574
"2014-04-17",34.810001,35.450001,34.509998,35.009998,1673000,33.743574
"2014-04-16",34.380001,34.98,34.240002,34.73,2141200,33.473703
"2014-04-15",34.360001,34.52,33.490002,34.130001,2976600,32.895409
"2014-04-14",34.799999,35.369999,34.060001,34.41,1999700,33.165279
"2014-04-11",34.810001,35.23,34.040001,34.77,3862600,33.512257
"2014-04-10",34.900002,35.720001,34.27,34.889999,4076100,33.627916
"2014-04-09",33.889999,34.959999,33.68,34.880001,3826200,33.618279
"2014-04-08",35.82,36.27,34.68,34.810001,3528600,33.550811
"2014-04-07",36.299999,36.400002,35.639999,35.790001,4113400,34.495361
"2014-04-04",36.619999,36.830002,35,36.299999,4030900,34.986911
"2014-04-03",37.099998,37.330002,36.09,36.439999,2463000,35.121846
"2014-04-02",36.02,37.110001,35.630001,36.98,2352600,35.642314
"2014-04-01",37.310001,37.310001,35.509998,35.779999,5836400,34.485721
"2014-03-31",36.639999,37.630001,36.639999,36.939999,2167600,35.60376
"2014-03-28",37.240002,37.66,36.580002,36.720001,1971800,35.39172
"2014-03-27",37.630001,37.91,36.360001,37.139999,2484200,35.796526
"2014-03-26",38.310001,38.470001,37.560001,37.599998,1526600,36.239885
"2014-03-25",38.209999,38.599998,37.740002,38.150002,1355700,36.769993
"2014-03-24",37.82,38.16,37.459999,38.09,2142300,36.712162
"2014-03-21",37.959999,37.970001,37.32,37.540001,2400600,36.182058
"2014-03-20",37.43,37.68,37.290001,37.490002,2241500,36.133867
"2014-03-19",38.580002,38.75,37.299999,37.5,2710100,36.143504
"2014-03-18",39.43,39.73,38.130001,38.5,2938900,37.107331
"2014-03-17",39.490002,39.900002,39.369999,39.73,902000,38.292837
"2014-03-14",38.790001,39.41,38.52,39.330002,1840900,37.907309
"2014-03-13",39.470001,39.689999,38.790001,38.82,1172300,37.415755
"2014-03-12",39.349998,39.540001,38.830002,39.400002,1094300,37.974776
"2014-03-11",40.119999,40.369999,39.5,39.549999,1227700,37.99405
"2014-03-10",40.669998,40.889999,40.209999,40.27,1107200,38.685725
"2014-03-07",40.759998,41.25,40.560001,40.790001,1316300,39.185268
"2014-03-06",39.970001,40.950001,39.919998,40.700001,1245400,39.098809
"2014-03-05",39.34,40.080002,38.689999,40.040001,1075300,38.464774
"2014-03-04",39.549999,39.900002,39.080002,39.82,1557100,38.253428
"2014-03-03",37.93,38.68,37.849998,38.349998,1325800,36.841259
"2014-02-28",38.5,39.060001,38.259998,38.389999,1133500,36.879686
"2014-02-27",38.290001,38.549999,38.07,38.419998,1481100,36.908504
"2014-02-26",39.040001,39.299999,38.310001,38.349998,1713100,36.841259
"2014-02-25",38.970001,39.400002,38.68,39.07,1021900,37.532934
"2014-02-24",38.799999,39.650002,38.639999,39.119999,1063100,37.580966
"2014-02-21",39.43,39.740002,38.889999,38.93,1621600,37.398442
"2014-02-20",39.419998,39.639999,39.18,39.48,957700,37.926804
"2014-02-19",39.200001,39.790001,38.990002,39.57,1907700,38.013263
"2014-02-18",38.91,39.619999,38.73,39.110001,1064500,37.571361
"2014-02-14",38.599998,38.77,38.32,38.720001,590700,37.196705
"2014-02-13",38.459999,38.849998,38.299999,38.689999,391500,37.167883
"2014-02-12",38.34,38.73,38.200001,38.59,731600,37.071818
"2014-02-11",37.509998,38.529999,37.509998,38.369999,1066200,36.860472
"2014-02-10",37.610001,37.73,37.349998,37.509998,1820100,36.034305
"2014-02-07",38,38.080002,37.459999,37.540001,1913100,36.063127
"2014-02-06",38.369999,38.599998,37.73,37.849998,1366700,36.360929
"2014-02-05",37.299999,38.330002,36.849998,38.150002,1430600,36.64913
"2014-02-04",37.099998,38.169998,36.369999,37.790001,1938400,36.303292
"2014-02-03",38.16,38.529999,37.080002,37.130001,1492400,35.669257
"2014-01-31",37.900002,38.650002,37.509998,38.150002,1514000,36.64913
"2014-01-30",37.400002,38.630001,37.400002,38.41,1441900,36.898899
"2014-01-29",37.419998,37.759998,37.060001,37.200001,1493000,35.736503
"2014-01-28",37.200001,37.82,37.169998,37.650002,1603500,36.1688
"2014-01-27",37.830002,38.080002,37.189999,37.32,1003100,35.851781
"2014-01-24",38.310001,38.599998,37.580002,37.599998,1299600,36.120765
"2014-01-23",39.310001,39.490002,38.439999,38.700001,1219900,37.177491
"2014-01-22",39.349998,39.75,39.209999,39.5,998300,37.946017
"2014-01-21",39.790001,40.119999,39.279999,39.400002,1212100,37.849953
"2014-01-17",39.950001,40,39.43,39.720001,1042800,38.157364
"2014-01-16",39.380001,39.98,39.380001,39.98,1860600,38.407133
"2014-01-15",39.889999,39.91,39.080002,39.52,1066700,37.965231
"2014-01-14",39.32,39.799999,39.209999,39.740002,836500,38.176577
"2014-01-13",39.720001,40.27,38.91,39.150002,1072700,37.609788
"2014-01-10",40.240002,40.529999,39.830002,39.919998,1054700,38.349492
"2014-01-09",40.48,40.740002,40.150002,40.240002,833200,38.656906
"2014-01-07",40.110001,40.369999,39.799999,40.07,917300,38.493593
"2014-01-06",39.689999,40.049999,39.5,39.880001,1525000,38.311069
"2014-01-03",39.290001,39.98,39.290001,39.779999,1222300,38.215001
"2014-01-02",39.889999,39.959999,39.150002,39.200001,1051300,37.657821
"2013-12-31",39.959999,40.150002,39.619999,39.799999,555600,38.234214
"2013-12-30",39.810001,39.970001,39.610001,39.830002,615800,38.263037
"2013-12-27",39.970001,40.130001,39.759998,39.919998,516200,38.349492
"2013-12-26",40.119999,40.23,39.82,39.98,514500,38.407133
"2013-12-24",39.720001,39.959999,39.32,39.91,348000,38.339887
"2013-12-23",39.369999,39.849998,39.360001,39.759998,879300,38.195787
"2013-12-20",39.599998,40.080002,39.389999,39.959999,1700100,38.38792
"2013-12-19",39.450001,39.580002,39.23,39.459999,860900,37.90759
"2013-12-18",39.25,39.599998,38.540001,39.599998,1611700,38.042082
"2013-12-17",38.720001,39.330002,38.720001,39.310001,1048800,37.763494
"2013-12-16",38.73,38.959999,38.470001,38.720001,1170000,37.196705
"2013-12-13",38.959999,38.970001,38.549999,38.549999,969700,37.033391
"2013-12-12",38.740002,39.02,38.529999,38.790001,1453000,37.263951
"2013-12-11",38.779999,39,38.619999,38.709999,1139100,37.187096
"2013-12-10",38.82,39.009998,38.450001,38.889999,1082900,37.235129
"2013-12-09",39.009998,39.119999,38.709999,38.91,1202400,37.254279
"2013-12-06",39.27,39.34,38.209999,38.880001,2022100,37.225556
"2013-12-05",39.580002,39.880001,38.82,38.860001,1653100,37.206407
"2013-12-04",38.990002,40.380001,38.740002,39.950001,2418400,38.250025
"2013-12-03",39.220001,39.509998,38.700001,39.029999,1139700,37.369171
"2013-12-02",39.470001,40.639999,39.290001,39.400002,1676000,37.723429
"2013-11-29",38.790001,39.669998,38.59,39.290001,866900,37.61811
"2013-11-27",38.830002,39.080002,38.459999,38.639999,965700,36.995767
"2013-11-26",39.259998,39.419998,38.779999,38.790001,980400,37.139386
